h0_rmse,h1_rmse,h2_rmse,h3_rmse,h4_rmse,h5_rmse,h6_rmse,h7_rmse,h8_rmse,h9_rmse,h10_rmse,h11_rmse,h12_rmse,h13_rmse,h14_rmse,h15_rmse,h16_rmse,h17_rmse,h18_rmse,h19_rmse,h20_rmse,h21_rmse,h22_rmse,h23_rmse,h24_rmse,h25_rmse,h26_rmse,h27_rmse,h28_rmse,h29_rmse,h30_rmse,h31_rmse,h32_rmse,h33_rmse,h34_rmse,h35_rmse,h36_rmse,h37_rmse,h38_rmse,h39_rmse,h40_rmse,h41_rmse,h42_rmse,h43_rmse,h44_rmse,h45_rmse,h46_rmse,h47_rmse,h48_rmse,h49_rmse,h50_rmse,h51_rmse,h52_rmse,h53_rmse,h54_rmse,h55_rmse,h56_rmse,h57_rmse,h58_rmse,h59_rmse,h60_rmse,h61_rmse,h62_rmse,h63_rmse,step
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.052326463,0.03828185,0.07825,0.05533496,0.037847906,0.023588913,0.061056253,0.024733607,0.041800484,0.06692476,0.029186448,0.04616317,0.056177966,0.015986804,0.027807212,0.03935037,0.040386293,0.05779194,0.049032263,0.057607856,0.022228012,0.0465251,0.08201631,0.050528605,0.022219775,0.051994473,0.028555417,0.058933254,0.03736008,0.05073611,0.019352127,0.057020865,0.041737158,0.07314341,0.047586083,0.042491768,0.060112543,0.025052018,0.07719803,0.055343397,0.05159354,0.04006021,0.04412784,0.038265828,0.03355909,0.022294119,0.055362664,0.03812798,0.051644623,0.066089675,0.07232806,0.031285074,0.059429675,0.01428451,0.048315927,0.065945454,0.05957812,0.027079362,0.045576565,0.060762253,0.051031567,0.042549383,0.05585663,0.027980741,1
0.11127487,0.07160906,0.1473286,0.09959666,0.07346278,0.052924987,0.10962414,0.05975403,0.07652035,0.13186651,0.054301042,0.08858384,0.11223745,0.023087,0.052538093,0.077696174,0.08255188,0.10992606,0.10335591,0.10646006,0.04960096,0.08690197,0.15847494,0.0989731,0.052154798,0.10617821,0.0534684,0.09782485,0.08397804,0.08922374,0.056263015,0.08943552,0.08042701,0.12959757,0.09641903,0.08623768,0.10865245,0.052089643,0.11935946,0.10650491,0.10375733,0.08357268,0.08252586,0.078128025,0.07753441,0.056025807,0.09395431,0.08970319,0.09090312,0.12392123,0.14474043,0.07051459,0.12224451,0.033086795,0.08991062,0.12500471,0.121628754,0.059551448,0.079404496,0.118266866,0.11919978,0.08375584,0.08456586,0.05402374,2
0.15812318,0.09565017,0.18939511,0.13000469,0.110859975,0.08000197,0.14630052,0.10221104,0.09545573,0.18187475,0.07673787,0.12118866,0.15864727,0.030568084,0.08094183,0.11425778,0.126215,0.15373719,0.15504268,0.13780233,0.08212351,0.12275765,0.20469224,0.13341789,0.095019445,0.15478526,0.06977345,0.12653372,0.13958581,0.11739917,0.12075317,0.09982449,0.11968567,0.16209257,0.14209478,0.12524353,0.14071201,0.08040133,0.15085576,0.15661824,0.13887542,0.12961993,0.11104085,0.11220653,0.12185119,0.094769396,0.12185264,0.14150897,0.11732767,0.16143857,0.19458666,0.11364946,0.18088482,0.0544339,0.12509754,0.16950653,0.1732697,0.087414786,0.0916156,0.15617472,0.17764841,0.12164729,0.09866606,0.07654366,3
0.18554504,0.108827256,0.20120545,0.14806429,0.14073667,0.1041211,0.16497122,0.13853681,0.101102546,0.21258454,0.093727976,0.14288211,0.18267418,0.042069074,0.10563787,0.14052127,0.16305965,0.18601084,0.19421221,0.14554211,0.12301716,0.14438331,0.22054394,0.14733523,0.13613483,0.19473286,0.08377948,0.14956525,0.19213998,0.13657936,0.1806897,0.095735095,0.15032043,0.17083143,0.17035736,0.14818574,0.14900339,0.0968222,0.16988167,0.19164762,0.14354299,0.16735612,0.1326363,0.13804495,0.15736204,0.1257009,0.12791699,0.1846847,0.1264521,0.18399213,0.21225242,0.14632036,0.22560911,0.07621199,0.14653133,0.18830462,0.20126967,0.10857195,0.09048183,0.16916713,0.21307012,0.14660849,0.10489521,0.09057608,4
0.19863643,0.12158607,0.20016257,0.17008942,0.16371255,0.12581755,0.17035772,0.16467135,0.10068989,0.22786607,0.10569991,0.16024758,0.18863337,0.05618285,0.121046826,0.1608503,0.18501884,0.20829281,0.22246785,0.14428167,0.1676629,0.1488431,0.21781299,0.14813724,0.17888536,0.22659977,0.10231146,0.17169769,0.23554121,0.15353793,0.21986488,0.09980825,0.17228898,0.16617115,0.19214197,0.16226839,0.1485951,0.106213704,0.17630762,0.21306977,0.1310844,0.19610007,0.1477712,0.15938531,0.17721255,0.14311428,0.13775514,0.21869858,0.13353805,0.19924387,0.21098974,0.16380362,0.25593117,0.098790415,0.16611497,0.1857683,0.2067329,0.12202056,0.09821298,0.17358516,0.22893295,0.16671896,0.11088341,0.10558961,5
0.19749244,0.13555002,0.19135869,0.18453954,0.17716676,0.14378941,0.16707885,0.17780916,0.096812956,0.23511727,0.11362928,0.1674405,0.17849828,0.069538884,0.12445302,0.17582247,0.19063161,0.21638289,0.23887564,0.13992874,0.2123476,0.14250308,0.20497622,0.14205779,0.21184805,0.24671195,0.11944021,0.18379426,0.26479027,0.16261326,0.24150212,0.113879114,0.18161754,0.15656601,0.20608659,0.16604096,0.14799605,0.11354234,0.17468855,0.2190997,0.11865436,0.21727654,0.15436788,0.17736797,0.18405718,0.14909382,0.14720547,0.24177931,0.1464015,0.20435545,0.20057322,0.17612736,0.2697903,0.12100331,0.1798098,0.16669859,0.20438482,0.12812752,0.11936367,0.17687556,0.23067166,0.17971732,0.10925184,0.11848688,6
0.18644133,0.14825614,0.18181571,0.19038457,0.1818356,0.15961649,0.1609176,0.17988133,0.09415474,0.23221894,0.11883193,0.16448003,0.16151002,0.08197316,0.11829285,0.18075088,0.19426386,0.21418113,0.24570319,0.13689153,0.24198589,0.14343104,0.18892956,0.1371269,0.22961995,0.25001705,0.13269404,0.18689772,0.27944025,0.16418645,0.24813093,0.12760586,0.18271801,0.14975382,0.21178466,0.1681275,0.15083227,0.12271771,0.17615362,0.2161658,0.120395936,0.2292639,0.15800992,0.1903965,0.18830144,0.15245612,0.15705372,0.25001928,0.16021363,0.1989286,0.19156806,0.18258268,0.27194357,0.1383014,0.19008279,0.14742693,0.1979681,0.12882745,0.13891053,0.18103701,0.22694737,0.19352213,0.10598273,0.13216689,7
0.17352422,0.15323147,0.17917113,0.19361731,0.1811992,0.17488408,0.15468618,0.17716363,0.09748167,0.2206974,0.12333669,0.16265093,0.15059137,0.09405926,0.120382324,0.17767905,0.20205578,0.20683715,0.24204262,0.13521533,0.25020778,0.1512857,0.18055978,0.13795961,0.23323606,0.2384776,0.13772105,0.17794965,0.27669558,0.15881991,0.24800104,0.14207627,0.17858575,0.15024553,0.21152915,0.16780937,0.15948004,0.13551228,0.187983,0.2051497,0.13971591,0.23742817,0.16125439,0.19625345,0.19242248,0.15677188,0.16501863,0.24431555,0.16570474,0.19158962,0.18505083,0.18596235,0.26564428,0.14783975,0.19500436,0.14031124,0.19148856,0.12726682,0.15530583,0.18751328,0.21836069,0.20835498,0.11026503,0.14575668,8
0.16711274,0.15173148,0.17499425,0.1922934,0.17703196,0.18855725,0.14842102,0.17489576,0.108300835,0.20735934,0.1285776,0.17122248,0.14910659,0.106640294,0.13199264,0.17641915,0.2047811,0.20046902,0.23620273,0.13059625,0.23904957,0.15457746,0.18243985,0.14284706,0.2289445,0.2293274,0.13958715,0.16902429,0.26474854,0.15553774,0.2378352,0.14958765,0.1705046,0.1597692,0.21138476,0.16339304,0.16300158,0.14860347,0.19756816,0.18794452,0.16582479,0.24403761,0.16732319,0.19048028,0.19846763,0.16268787,0.16399331,0.2316581,0.16025995,0.193598,0.18440601,0.18779689,0.24958508,0.15012017,0.1996549,0.14446558,0.18653226,0.13169435,0.16222566,0.18633282,0.20668489,0.213754,0.11871754,0.15435623,9
