window_id,log_id,hidden_onset_s,physical_onset_s
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:25:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:75:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:125:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:175:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:225:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:275:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:325:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:375:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:25:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:75:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:125:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:175:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:225:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:275:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:325:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:375:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:425:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:475:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:525:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:575:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:625:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:675:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:725:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:775:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.399173,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:825:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:875:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:925:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:975:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1025:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1075:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1125:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1175:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1225:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1275:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1325:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1375:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1425:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1475:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1525:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.9979309999999995,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1575:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1625:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1675:5s,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.0,0.0
