space,horizon_s,metric,spearman,n
hidden,0.2,angular_acceleration,0.27274491825348574,722
hidden,0.2,linear_acceleration,0.3191755389867866,722
hidden,0.2,attitude_deg,0.14145921339513684,722
hidden,0.2,velocity_m_s,-0.08078455521112074,722
hidden,0.2,variation,0.05092802631015422,722
physical,0.2,angular_acceleration,0.09880178812809093,722
physical,0.2,linear_acceleration,0.26064139967718575,722
physical,0.2,attitude_deg,0.022554860553597986,722
physical,0.2,velocity_m_s,-0.12030172433651781,722
physical,0.2,variation,-0.010073871486579275,722
hidden,0.5,angular_acceleration,0.2917200993162178,722
hidden,0.5,linear_acceleration,0.36205815607424985,722
hidden,0.5,attitude_deg,0.13753691131230478,722
hidden,0.5,velocity_m_s,0.01622174349359831,722
hidden,0.5,variation,0.03699874573794893,722
physical,0.5,angular_acceleration,0.07826123636788908,722
physical,0.5,linear_acceleration,0.1545611548680367,722
physical,0.5,attitude_deg,0.006233145310667351,722
physical,0.5,velocity_m_s,-0.027347000220205673,722
physical,0.5,variation,-0.03917003456892686,722
hidden,1.0,angular_acceleration,0.32987445853484776,722
hidden,1.0,linear_acceleration,0.4478212591208279,722
hidden,1.0,attitude_deg,0.1439859260947803,722
hidden,1.0,velocity_m_s,0.13918170245655823,722
hidden,1.0,variation,-0.017983707713532266,722
physical,1.0,angular_acceleration,0.01945259576702938,722
physical,1.0,linear_acceleration,0.15757331595069424,722
physical,1.0,attitude_deg,-0.007521889724002565,722
physical,1.0,velocity_m_s,-0.050551254683714714,722
physical,1.0,variation,-0.021825677358818758,722
hidden,2.0,angular_acceleration,0.32688617844094797,722
hidden,2.0,linear_acceleration,0.4714141455896349,722
hidden,2.0,attitude_deg,0.19634950550809901,722
hidden,2.0,velocity_m_s,0.2009979447523687,722
hidden,2.0,variation,0.09230233312637007,722
physical,2.0,angular_acceleration,-0.07312483162846639,722
physical,2.0,linear_acceleration,0.07340383108613042,722
physical,2.0,attitude_deg,-0.04020646661311405,722
physical,2.0,velocity_m_s,-0.0705733599868339,722
physical,2.0,variation,0.012589234770614691,722
hidden,3.0,angular_acceleration,0.3868672512428755,722
hidden,3.0,linear_acceleration,0.4817101995463855,722
hidden,3.0,attitude_deg,0.19461811788124742,722
hidden,3.0,velocity_m_s,0.23498562939979917,722
hidden,3.0,variation,0.18105566118048508,722
physical,3.0,angular_acceleration,-0.06618842409403013,722
physical,3.0,linear_acceleration,0.043673753108294806,722
physical,3.0,attitude_deg,-0.05193526798143998,722
physical,3.0,velocity_m_s,-0.05286436279105373,722
physical,3.0,variation,0.041382772379057096,722
hidden,5.0,angular_acceleration,0.47704754011388356,722
hidden,5.0,linear_acceleration,0.5063968608073613,722
hidden,5.0,attitude_deg,0.2733033294801193,722
hidden,5.0,velocity_m_s,0.28400618922533466,722
hidden,5.0,variation,0.17554428607409472,722
physical,5.0,angular_acceleration,-0.00948226701875555,722
physical,5.0,linear_acceleration,0.07222527660458125,722
physical,5.0,attitude_deg,0.10363104057295497,722
physical,5.0,velocity_m_s,0.09621632834389118,722
physical,5.0,variation,0.006475908793179333,722
