mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max,knn_outside_leave_log_p99_mean,knn_outside_leave_log_p99_median,knn_outside_leave_log_p99_p90,knn_outside_leave_log_p99_p95,knn_outside_leave_log_p99_max,mahalanobis_outside_train_p99_mean,mahalanobis_outside_train_p99_median,mahalanobis_outside_train_p99_p90,mahalanobis_outside_train_p99_p95,mahalanobis_outside_train_p99_max
D,0.0,722,0.5666549041495759,0.5601918697357178,0.6807753384113312,0.7228417873382565,1.0833247900009155,1.1081001363962972,1.056577205657959,1.2949734330177305,1.5032766997814173,3.2379183769226074,0.9335180055401662,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.023545706371191136,0.0,0.0,0.0,1.0
D,0.2,722,0.5296372939675138,0.5258485376834869,0.6330940902233123,0.6768651962280272,1.0049316883087158,0.9979925957247822,0.9554332792758942,1.1892136335372925,1.3460111677646627,3.4936752319335938,0.8614958448753463,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018005540166204988,0.0,0.0,0.0,1.0
D,0.4,722,0.5218937704520212,0.5160897374153137,0.6277699589729309,0.6543350636959074,0.9702850580215454,0.9745386316340385,0.9393114745616913,1.1368959069252014,1.2761110305786119,3.621877431869507,0.8365650969529086,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015235457063711912,0.0,0.0,0.0,1.0
D,0.5,722,0.5181243100159716,0.5156029462814331,0.6216204345226287,0.655630987882614,0.9180221557617188,0.9607580281030438,0.9273306429386139,1.1251759767532348,1.2423565983772273,3.6247403621673584,0.8310249307479224,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012465373961218837,0.0,0.0,0.0,1.0
D,0.6,722,0.5172818311363706,0.5152845084667206,0.6233715534210205,0.6543653696775436,0.9225272536277771,0.9554943168262365,0.919411301612854,1.1168259382247925,1.2301830887794492,3.631598472595215,0.8240997229916898,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012465373961218837,0.0,0.0,0.0,1.0
D,0.8,722,0.5157503214073974,0.5179416239261627,0.6176586806774139,0.6466530799865723,0.9007648825645447,0.9408984931387069,0.912524938583374,1.0970278143882752,1.1807972013950347,3.4927563667297363,0.8130193905817175,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0110803324099723,0.0,0.0,0.0,1.0
D,1.0,722,0.5182082273705845,0.5207334458827972,0.619431883096695,0.643152117729187,0.8794587254524231,0.931824498146855,0.9042210280895233,1.0929121136665343,1.1606586694717407,3.1871228218078613,0.8185595567867036,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009695290858725761,0.0,0.0,0.0,1.0
D,1.2,722,0.5180028625389875,0.5187902450561523,0.6165693163871765,0.6386749863624572,0.8718377947807312,0.9232487214569239,0.9083752036094666,1.0713304162025452,1.1295818269252775,2.751340389251709,0.8282548476454293,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.0,0.0,0.0,1.0
D,1.4000000000000001,722,0.5167779806495704,0.5173705518245697,0.620220285654068,0.6402044504880905,0.904009997844696,0.9134180460775327,0.9034954011440277,1.0690013527870177,1.1261740326881409,2.2632083892822266,0.8282548476454293,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006925207756232687,0.0,0.0,0.0,1.0
D,1.6,722,0.5154005400526886,0.517186313867569,0.6170210540294647,0.6451418548822403,0.9441055655479431,0.9055852994033835,0.8992882966995239,1.0550223946571349,1.1245371818542476,1.8541269302368164,0.8102493074792244,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004155124653739612,0.0,0.0,0.0,1.0
