mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max
D,0.0,722,0.5746176641981358,0.563544899225235,0.6880342662334442,0.7473080366849894,1.1065330505371094,1.0477870422882387,0.9957349300384521,1.2458424806594848,1.4611689329147333,3.218607187271118,0.04293628808864266,0.0,0.0,0.0,1.0
D,0.2,722,358.80276297994595,365.0521697998047,464.3836486816406,482.19126586914064,499.83154296875,11346.324718528176,11543.9482421875,14685.09248046875,15248.21630859375,15806.0546875,1.0,1.0,1.0,1.0,1.0
D,0.4,722,436.74166006130525,469.4932403564453,499.02952270507814,499.77258148193357,499.9991760253906,13810.970882088193,14846.67333984375,15780.69091796875,15804.18681640625,15811.3525390625,1.0,1.0,1.0,1.0,1.0
D,0.5,722,259.3551969048554,256.6016387939453,480.5080963134765,493.4657073974609,499.9984436035156,8201.461162502415,8114.43798828125,15194.99140625,15604.74765625,15811.326171875,0.9986149584487535,1.0,1.0,1.0,1.0
D,0.6,722,312.5755912794466,339.55589294433594,493.41130981445315,498.6200744628906,499.9999084472656,9884.447962929502,10737.68798828125,15603.02197265625,15767.744384765625,15811.3759765625,0.997229916897507,1.0,1.0,1.0,1.0
D,0.8,722,286.3378591360808,300.05055236816406,485.8578247070312,496.40481719970705,499.9971618652344,9054.750844670134,9488.41796875,15364.1666015625,15697.69033203125,15811.2841796875,1.0,1.0,1.0,1.0,1.0
D,1.0,722,316.51991174079046,353.7902374267578,492.6365478515625,498.6897689819336,499.9998474121094,10009.199420759882,11187.82080078125,15578.5248046875,15769.946435546875,15811.3701171875,1.0,1.0,1.0,1.0,1.0
D,1.2,722,321.96550673758225,367.7117004394531,493.08547058105466,498.76220703125,500.00030517578125,10181.408531384455,11628.05419921875,15592.72724609375,15772.24111328125,15811.3876953125,1.0,1.0,1.0,1.0,1.0
D,1.4000000000000001,722,312.8179830226046,355.6292419433594,492.6947570800781,498.694758605957,499.9992370605469,9892.121118210029,11245.97216796875,15580.3685546875,15770.108349609374,15811.3515625,1.0,1.0,1.0,1.0,1.0
D,1.6,722,318.5494295157224,356.833740234375,493.7102600097656,498.8005233764648,500.000244140625,10073.385297907356,11284.06396484375,15612.48095703125,15773.438818359375,15811.3837890625,1.0,1.0,1.0,1.0,1.0
D,1.8,722,323.0807018800125,358.05543518066406,494.70530700683594,498.70691986083983,500.0003967285156,10216.663983923576,11322.697265625,15643.94716796875,15770.49052734375,15811.3876953125,0.9986149584487535,1.0,1.0,1.0,1.0
D,2.0,722,323.654045117859,361.9659881591797,495.7087341308594,498.6980972290039,499.9963073730469,10234.806144703789,11446.35546875,15675.67734375,15770.203466796875,15811.265625,1.0,1.0,1.0,1.0,1.0
D,2.2,722,307.65902617619145,337.76466369628906,491.4353576660156,497.31859283447267,499.9999694824219,9728.960254362086,10681.0439453125,15540.53818359375,15726.5859375,15811.3759765625,0.997229916897507,1.0,1.0,1.0,1.0
D,2.4,722,314.7720520124046,346.0164337158203,493.7875518798828,498.5109359741211,499.9998474121094,9953.913728449814,10941.98779296875,15614.92314453125,15764.2904296875,15811.3759765625,0.9986149584487535,1.0,1.0,1.0,1.0
D,2.6,722,334.0087817068576,380.8663024902344,495.2751068115234,498.37371215820315,500.0003356933594,10562.256545629527,12044.04150390625,15661.9642578125,15759.94921875,15811.3876953125,1.0,1.0,1.0,1.0,1.0
D,2.8000000000000003,722,317.78432231497567,349.0664520263672,493.70982360839844,498.56737823486327,500.0000915527344,10049.188003487205,11038.4404296875,15612.4638671875,15766.076611328124,15811.3828125,1.0,1.0,1.0,1.0,1.0
D,3.0,722,312.6619522711907,353.2981414794922,491.3577667236328,498.30308227539064,499.99658203125,9887.19836649274,11172.2548828125,15538.085742187499,15757.71923828125,15811.2724609375,1.0,1.0,1.0,1.0,1.0
D,3.2,722,311.47185223609455,342.0296936035156,494.6449279785156,499.1649337768555,499.9981994628906,9849.547369646563,10815.9169921875,15642.036328125,15784.975146484376,15811.3203125,0.9986149584487535,1.0,1.0,1.0,1.0
D,3.4,722,319.2662451207803,341.5654602050781,494.1072265625,498.65213165283205,499.9938659667969,10096.054026833532,10801.23291015625,15625.0357421875,15768.75439453125,15811.181640625,1.0,1.0,1.0,1.0,1.0
D,3.6,722,333.84618330447626,377.04150390625,495.54297790527346,498.55632934570315,500.0001525878906,10557.116845064877,11923.08984375,15670.43427734375,15765.72626953125,15811.38671875,1.0,1.0,1.0,1.0,1.0
D,3.8000000000000003,722,312.02092424150646,340.2486267089844,492.9423767089844,498.1286254882812,500.0,9866.924134840925,10759.59716796875,15588.19609375,15752.200439453125,15811.3818359375,1.0,1.0,1.0,1.0,1.0
D,4.0,722,309.8841120982104,341.67022705078125,494.1688690185547,497.9549926757812,499.99560546875,9799.351586154293,10804.55224609375,15626.9833984375,15746.71201171875,15811.2275390625,1.0,1.0,1.0,1.0,1.0
D,4.2,722,320.2190026604568,362.13844299316406,489.7439025878906,496.48460540771487,499.97149658203125,10126.172390858552,11451.81298828125,15487.053515624999,15700.217431640625,15810.478515625,0.9986149584487535,1.0,1.0,1.0,1.0
D,4.4,722,320.09209805033544,355.1507873535156,493.23955993652345,497.8700256347656,499.9996032714844,10122.148052849598,11230.841796875,15597.5943359375,15744.022998046876,15811.37109375,0.9986149584487535,1.0,1.0,1.0,1.0
D,4.6000000000000005,722,325.341324559044,367.900634765625,494.4328155517578,498.51062469482423,500.0002136230469,10288.157193387315,11634.02734375,15635.3291015625,15764.281689453124,15811.3876953125,1.0,1.0,1.0,1.0,1.0
D,4.8,722,311.70537616836725,343.0882110595703,494.4018920898437,498.53440246582034,499.9913024902344,9856.94876930258,10849.3876953125,15634.3537109375,15765.031494140625,15811.1044921875,1.0,1.0,1.0,1.0,1.0
D,4.98,722,321.13807390981106,358.3736114501953,494.25771484375,498.9502838134766,500.0002136230469,10155.233187614716,11332.76123046875,15629.79248046875,15778.18525390625,15811.3837890625,1.0,1.0,1.0,1.0,1.0
D,5.0,722,316.795776472445,344.81370544433594,495.54761962890626,499.1218978881836,499.9982604980469,10017.912314887853,10903.951171875,15670.58310546875,15783.612939453125,15811.3203125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,0.0,722,0.5746176643632456,0.563544899225235,0.6880342662334442,0.7473080366849894,1.1065330505371094,1.0477870422882387,0.9957349300384521,1.2458424806594848,1.4611689329147333,3.218607187271118,0.04293628808864266,0.0,0.0,0.0,1.0
teacher_fixed,0.2,722,358.3069198375924,366.4788513183594,462.9203826904297,475.90960998535155,499.17071533203125,11330.642544986798,11589.064453125,14638.817578125,15049.573095703125,15785.146484375,1.0,1.0,1.0,1.0,1.0
teacher_fixed,0.4,722,436.4039077019097,468.7848663330078,499.1186096191406,499.7325073242188,500.00006103515625,13800.289017780337,14824.2666015625,15783.50927734375,15802.921630859375,15811.3828125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,0.5,722,260.90971329593594,255.41863250732422,479.59918823242185,495.42982177734376,499.9864807128906,8250.5827689118,8077.028564453125,15166.24609375,15666.854150390625,15810.953125,0.997229916897507,1.0,1.0,1.0,1.0
teacher_fixed,0.6,722,311.7089269947147,341.01869201660156,493.8383026123047,498.50370025634766,500.0000915527344,9857.060679301001,10783.94287109375,15616.52919921875,15764.06220703125,15811.3798828125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,0.8,722,288.14818376682473,305.68035888671875,489.71234130859375,497.5757553100586,499.998046875,9111.979054408721,9666.44873046875,15486.05576171875,15734.719482421875,15811.3125,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,1.0,722,313.67443169748356,338.76226806640625,492.2801574707031,498.00563659667966,499.98291015625,9919.211010557792,10712.59130859375,15567.25859375,15748.311279296875,15810.83984375,1.0,1.0,1.0,1.0,1.0
teacher_fixed,1.2,722,319.75901663344655,362.63629150390625,495.7770080566406,499.2128936767578,500.00030517578125,10111.579723149456,11467.53369140625,15677.8375,15786.488525390625,15811.3876953125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,1.4000000000000001,722,318.8445657493335,350.0771942138672,495.4752990722656,498.81736755371094,500.0003356933594,10082.678735013153,11070.396484375,15668.29365234375,15773.980224609375,15811.3876953125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,1.6,722,317.0143522413814,358.0135192871094,493.74562377929686,498.4701843261719,499.9944763183594,10024.812671959895,11321.37158203125,15613.594140625,15762.998193359375,15811.197265625,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,1.8,722,332.646461860914,375.47662353515625,495.9864227294922,498.89037017822267,500.0003967285156,10519.16589382943,11873.5986328125,15684.45263671875,15776.280419921875,15811.3857421875,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,2.0,722,325.1738229995784,360.9298400878906,492.39002990722656,498.25270385742186,499.99053955078125,10282.85177558677,11413.59033203125,15570.7283203125,15756.124462890624,15811.076171875,1.0,1.0,1.0,1.0,1.0
teacher_fixed,2.2,722,294.0400561815814,314.97682189941406,486.07147521972655,495.7937957763672,499.9989929199219,9298.303515761843,9960.43017578125,15370.916015625,15678.367968749999,15811.34375,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,2.4,722,313.71932097254034,355.40782165527344,493.36285705566405,498.98980712890625,499.99835205078125,9920.581222864399,11238.9697265625,15601.48974609375,15779.43232421875,15811.3251953125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,2.6,722,339.5177619973213,385.3045349121094,494.5887115478516,498.3106964111328,499.99951171875,10736.437720803342,12184.38720703125,15640.25576171875,15757.957861328125,15811.3662109375,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,2.8000000000000003,722,315.7695527605073,354.7296905517578,493.2487335205078,498.19247283935545,499.99835205078125,9985.452883564534,11217.5244140625,15597.88623046875,15754.215771484374,15811.3271484375,1.0,1.0,1.0,1.0,1.0
teacher_fixed,3.0,722,313.980937000168,339.62713623046875,494.9039611816406,498.59639129638674,500.00030517578125,9928.88853847386,10739.9326171875,15650.226953125,15766.987646484375,15811.38671875,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,3.2,722,312.17508985453037,352.27801513671875,492.5456268310547,497.94999389648433,499.9996032714844,9871.697411658031,11139.9990234375,15575.65078125,15746.555029296875,15811.3544921875,0.9958448753462604,1.0,1.0,1.0,1.0
teacher_fixed,3.4,722,311.51626180611817,339.40870666503906,493.62684326171876,498.22096252441406,499.9960021972656,9850.966699911947,10733.0263671875,15609.8390625,15755.122412109375,15811.2470703125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,3.6,722,327.3471111219345,368.25498962402344,494.54969787597656,498.47363433837893,499.99957275390625,10351.564752311919,11645.22705078125,15639.0271484375,15763.111669921875,15811.3642578125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,3.8000000000000003,722,315.59913782441055,343.8327178955078,496.3013885498047,499.1696014404297,499.9970703125,9980.05686763383,10872.93017578125,15694.41806640625,15785.117041015625,15811.2890625,0.9986149584487535,1.0,1.0,1.0,1.0
teacher_fixed,4.0,722,322.7366568994324,359.7831268310547,494.4438934326172,498.18202209472656,500.0,10205.771577222195,11377.32568359375,15635.67744140625,15753.889599609374,15811.373046875,1.0,1.0,1.0,1.0,1.0
teacher_fixed,4.2,722,315.28301483706423,348.73060607910156,492.6075134277344,498.7831436157227,500.00048828125,9970.077019503902,11027.81689453125,15577.6076171875,15772.902099609375,15811.3876953125,1.0,1.0,1.0,1.0,1.0
teacher_fixed,4.4,722,315.22658071896046,336.02943420410156,493.6810729980469,498.90879211425784,500.000244140625,9968.277536710544,10626.17041015625,15611.55498046875,15776.869970703125,15811.38671875,0.997229916897507,1.0,1.0,1.0,1.0
