log_id,flight_time_bin,n_unique_points,start_s,end_s,linear_rmse,angular_rmse
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,1558,118.181603,149.955763,13.082559374118164,31.013744359964353
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,1591,149.98569999999998,181.779785,10.49510878845098,27.423967907416763
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,1590,181.799743,213.58382399999996,10.336789607048964,24.431500624498625
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,3,1520,213.60378299999996,245.37782199999998,11.111093829560003,25.87083763141755
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,4,1591,245.39778099999998,277.201675,8.249012174599356,20.821624216898165
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,1434,216.758014,246.6777,12.792360947055535,28.710509664802164
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,1497,246.70727399999998,276.625595,10.260440705308614,24.983713228772704
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2,1497,276.64531,306.56249099999997,9.967587382979254,22.377324461712817
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,3,1424,306.58220499999993,336.498504,9.849214410455943,22.772773780876825
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,4,1498,336.528075,366.463442,7.757398544228024,20.41560806639653
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0,1832,167.237126,205.990173,12.2200647160613,28.46745807454194
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,1,1911,206.010133,244.75218800000002,10.329214849611738,24.814841075610463
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,2,1939,244.77214700000002,283.533263,10.419505235355707,25.26316916605659
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,3,1918,283.553223,321.89461400000005,9.765987565997417,23.415997840956187
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,4,1900,323.092153,361.073927,8.614782402270844,23.070203543121032
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0,1280,68.82816199999999,100.06569800000001,12.043253643943654,27.140037523065775
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,1,1563,100.09563700000001,131.332623,10.271191237263473,27.62267992321813
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,2,1564,131.352582,162.609112,10.773339551133672,27.76682822830451
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,3,1230,162.629071,193.865284,10.073438983993656,25.75043359665552
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,4,1563,193.895223,225.131168,8.93499153654815,23.84332132834849
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0,1544,169.07752,200.935477,11.868332348161928,30.43663442406688
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,1,1594,200.96541799999997,232.822377,10.565983539835385,29.588245881874958
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,2,1595,232.84233700000001,264.71852,9.752363573514716,25.948466310429744
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,3,1317,264.73848000000004,291.065365,10.475346927328838,27.05960569548941
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,4,1550,297.50233399999996,328.479446,8.634059947124591,25.880463903960123
