mode,horizon_s,n,l2_mean,l2_median,l2_p90,l2_p95,l2_max,dimension_rmse_mean,dimension_rmse_median,dimension_rmse_p90,dimension_rmse_p95,dimension_rmse_max,cosine_mean,cosine_median,cosine_p90,cosine_p95,cosine_max
B,0.0,722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000112274676,1.0,1.0000001192092896,1.0000001192092896,1.0000001192092896
B,0.2,722,0.10250970830662315,0.08814578503370285,0.18706176429986954,0.23051211088895776,0.4449916183948517,0.012813713538327894,0.011018223129212856,0.023382720537483692,0.02881401386111972,0.05562395229935646,0.9985744352981324,0.9993579983711243,0.999934732913971,0.9999703675508499,0.9999996423721313
B,0.4,722,0.11940740699746963,0.10152802616357803,0.2296815201640129,0.28062087744474395,0.5084023475646973,0.014925925874683704,0.012691003270447254,0.02871019002050161,0.035077609680592994,0.06355029344558716,0.9982202859631536,0.9991489052772522,0.9999298751354218,0.9999657303094864,0.9999993443489075
B,0.5,722,0.10334119378199538,0.08496031910181046,0.19542842209339142,0.25049657449126217,0.7950366139411926,0.012917649222749423,0.010620039887726307,0.024428552761673928,0.03131207181140777,0.09937957674264908,0.9985541107747034,0.999413251876831,0.999947190284729,0.999974039196968,0.9999989867210388
B,0.6,722,0.10217838793466709,0.0868581049144268,0.1887049853801727,0.23408469408750507,0.6160241961479187,0.012772298491833386,0.01085726311430335,0.023588123172521586,0.029260586760938134,0.07700302451848984,0.9986725169700928,0.9993573427200317,0.9999492287635803,0.9999800771474838,0.9999997615814209
B,0.8,722,0.10356911386226476,0.08252454549074173,0.2005399152636528,0.2520853951573369,0.4840337336063385,0.012946139232783095,0.010315568186342716,0.0250674894079566,0.031510674394667114,0.06050421670079231,0.998642313678509,0.9993844032287598,0.9999434888362885,0.9999771296977997,0.9999991059303284
B,1.0,722,0.11163529641397421,0.09164872765541077,0.21838042736053465,0.2681566655635833,0.7417088150978088,0.013954412051746776,0.011456090956926346,0.02729755342006683,0.03351958319544791,0.0927136018872261,0.9983835569544182,0.9993166327476501,0.9999211072921753,0.9999683797359467,0.9999991059303284
B,1.2,722,0.11119555992363253,0.09211136773228645,0.20859922766685485,0.2590934485197066,0.595235288143158,0.013899444990454066,0.011513920966535807,0.026074903458356856,0.03238668106496333,0.07440441101789474,0.9983829578534388,0.9993175864219666,0.9999310314655304,0.999968284368515,0.9999975562095642
B,1.4000000000000001,722,0.11447019863182323,0.09006310626864433,0.2248273536562919,0.27604248076677323,0.6303864121437073,0.014308774828977903,0.011257888283580542,0.028103419207036486,0.034505310095846654,0.07879830151796341,0.9982918148390805,0.9993040263652802,0.9999324142932892,0.9999634742736816,0.9999987483024597
B,1.6,722,0.10842764451248453,0.0907682403922081,0.2034599348902702,0.26111198663711543,0.6186203956604004,0.013553455564060566,0.011346030049026012,0.025432491861283775,0.03263899832963943,0.07732754945755005,0.9985118083181144,0.9993095695972443,0.9999390244483948,0.9999745696783066,0.9999994039535522
B,1.8,722,0.109141316991093,0.09017759934067726,0.2204371839761734,0.2502226255834102,0.5104228854179382,0.013642664623886625,0.011272199917584658,0.027554647997021675,0.03127782819792627,0.06380286067724228,0.9985311090781087,0.99931401014328,0.9999360978603363,0.9999754399061203,0.9999992847442627
B,2.0,722,0.11374738476228825,0.09296249598264694,0.2202670335769653,0.2751462846994399,0.7586846351623535,0.014218423095286032,0.011620311997830868,0.027533379197120664,0.03439328558742999,0.09483557939529419,0.9983079861075594,0.99931401014328,0.9999236404895783,0.9999637067317962,0.9999997019767761
B,2.2,722,0.1108861096336189,0.09234746173024178,0.2073285087943077,0.264463099837303,0.528322160243988,0.013860763704202363,0.011543432716280222,0.025916063599288462,0.03305788747966287,0.0660402700304985,0.9983927014792064,0.9993370175361633,0.9999339938163757,0.9999696433544158,0.9999977350234985
B,2.4,722,0.11639836934586043,0.09361284971237183,0.22349222898483273,0.29324930906295765,0.5448749661445618,0.014549796168232553,0.011701606214046478,0.02793652862310409,0.03665616363286971,0.06810937076807022,0.9982110867044602,0.9992223381996155,0.9999285101890564,0.9999627441167831,0.9999987483024597
B,2.6,722,0.11364789505410486,0.09411301463842392,0.22796849608421324,0.2688693791627883,0.6274569630622864,0.014205986881763107,0.01176412682980299,0.028496062010526655,0.03360867239534854,0.0784321203827858,0.9983718620608057,0.9992623627185822,0.9999369263648987,0.999977108836174,0.999999463558197
B,2.8000000000000003,722,0.11223909518438961,0.09353474527597427,0.21879889219999307,0.26385566145181644,0.539402425289154,0.014029886898048701,0.011691843159496784,0.027349861524999134,0.032981957681477055,0.06742530316114426,0.9984873604246124,0.9992498159408569,0.9999188721179962,0.9999636739492417,0.9999994039535522
B,3.0,722,0.11295659734043254,0.09293901547789574,0.20736658871173858,0.27609238922595924,0.7802737951278687,0.014119574667554067,0.011617376934736967,0.025920823588967322,0.034511548653244906,0.09753422439098358,0.998347163530598,0.999284565448761,0.9999311327934265,0.9999632149934768,0.9999993443489075
B,3.2,722,0.11237653789182717,0.09282990172505379,0.21444494277238846,0.2551013275980949,0.5867805480957031,0.014047067236478396,0.011603737715631723,0.026805617846548557,0.03188766594976186,0.07334756851196289,0.9983326341141624,0.9993175864219666,0.999932074546814,0.9999691188335419,0.9999985694885254
B,3.4,722,0.11649401124677726,0.09273205325007439,0.22988026589155197,0.2816763833165166,0.5921677350997925,0.014561751405847157,0.011591506656259298,0.028735033236443996,0.03520954791456458,0.07402096688747406,0.9982496386915033,0.9992594420909882,0.9999254941940308,0.9999635726213455,0.9999985694885254
B,3.6,722,0.11257424395063174,0.09373629465699196,0.21565068960189818,0.2736655890941619,0.6922284364700317,0.014071780493828968,0.011717036832123995,0.026956336200237272,0.034208198636770236,0.08652855455875397,0.9984090005426856,0.9992946982383728,0.9999330997467041,0.999975323677063,0.9999998807907104
B,3.8000000000000003,722,0.11281852133203184,0.09273054078221321,0.22081512212753293,0.2559948831796646,0.6455276608467102,0.01410231516650398,0.011591317597776651,0.027601890265941616,0.03199936039745808,0.08069095760583878,0.9984316663233527,0.9992787837982178,0.9999285995960235,0.999972277879715,0.9999988079071045
B,4.0,722,0.1150476479847397,0.09498691186308861,0.21398226767778394,0.2843116700649259,0.7910487651824951,0.014380955998092462,0.011873363982886076,0.026747783459722993,0.03553895875811574,0.09888109564781189,0.9983257835426489,0.9992916285991669,0.999920254945755,0.9999699562788009,0.9999992847442627
B,4.2,722,0.1139982725865107,0.09570024162530899,0.2149425819516182,0.2702188685536383,0.645571231842041,0.014249784073313837,0.011962530203163624,0.026867822743952274,0.03377735856920479,0.08069640398025513,0.9983167746555772,0.9992796182632446,0.9999285578727722,0.9999680489301681,0.9999983310699463
B,4.4,722,0.11831329549453802,0.09899657219648361,0.22970985025167465,0.278435157239437,0.6376640200614929,0.014789161936817253,0.012374571524560452,0.02871373128145933,0.03480439465492963,0.07970800250768661,0.998209874220502,0.9992053210735321,0.9999270379543305,0.9999647408723831,0.9999988079071045
B,4.6000000000000005,722,0.11519220831463438,0.09433640912175179,0.22886488139629363,0.2750043451786041,0.7512195706367493,0.014399026039329297,0.011792051140218973,0.028608110174536704,0.034375543147325514,0.09390244632959366,0.9983156798123652,0.9992612302303314,0.9999362766742707,0.9999703019857407,0.9999998807907104
