mode,horizon_s,target,rmse,normalized_rmse,r2
teacher,0.0,phase_relative,0.10795458108958642,0.1526708353100492,-16828652638960.36
teacher,0.0,frequency,0.06507228489338353,0.11928629377006839,0.9785188889043599
teacher,0.0,body_rate,0.13575090456239594,0.22407050974940795,0.91316783179067
teacher,0.0,recent_delta_omega,0.3293214756975644,0.5539263205617425,0.6177755708839565
teacher,0.0,recent_command_mean,0.24502385606730015,0.8702826753055707,-0.24771576444121646
teacher,0.0,within_log_phase,0.6258422053245009,0.8852117574807375,0.21588448917164527
teacher,0.2,phase_relative,0.10757738779128735,0.15213740342282914,0.9045200844091843
teacher,0.2,frequency,0.07228864663988546,0.1325148602581623,0.9719789258741257
teacher,0.2,body_rate,0.141083326119856,0.23419105702100335,0.9026999884762237
teacher,0.2,recent_delta_omega,0.35796232289449154,0.5898759292227216,0.5194521658230863
teacher,0.2,recent_command_mean,0.2388361922042868,0.8535164497319871,-0.173010425052742
teacher,0.2,within_log_phase,0.6292325565974761,0.8900283860226466,0.20807908873854652
teacher,0.4,phase_relative,0.10865782308031323,0.15366536968798608,0.9639262057158348
teacher,0.4,frequency,0.06689684382783853,0.12263095691525837,0.9767333156137381
teacher,0.4,body_rate,0.1580028279724955,0.25139333055926727,0.8792891654488839
teacher,0.4,recent_delta_omega,0.3575607888088807,0.5786015281850296,0.5425753577973664
teacher,0.4,recent_command_mean,0.2404807077410109,0.858925395229775,-0.18637075727986585
teacher,0.4,within_log_phase,0.6274450739413882,0.887507591870537,0.21190276784352846
teacher,0.5,phase_relative,0.10717423730272661,0.15156726252447164,0.9713990251167441
teacher,0.5,frequency,0.06816702896327409,0.1249593779543565,0.9763169387312732
teacher,0.5,body_rate,0.14306170539459803,0.2344208657772304,0.9040411283037859
teacher,0.5,recent_delta_omega,0.3544241112335892,0.5755400464897176,0.5481773527678041
teacher,0.5,recent_command_mean,0.24271418734037756,0.8645678030381765,-0.21231478942769
teacher,0.5,within_log_phase,0.6306687738856581,0.8920578562057732,0.20449590707973897
teacher,0.6,phase_relative,0.10305933994599671,0.1457479187752172,0.9764080944526533
teacher,0.6,frequency,0.06854035800851291,0.12564374055567318,0.9757873038549744
teacher,0.6,body_rate,0.14806894458674208,0.24155984189044372,0.895264435910044
teacher,0.6,recent_delta_omega,0.34135511654572703,0.5642494517490501,0.5683914941278088
teacher,0.6,recent_command_mean,0.24199329927803312,0.8635664572934718,-0.21361835535960694
teacher,0.6,within_log_phase,0.6333008962587638,0.8957541731134815,0.19738038272424796
teacher,0.8,phase_relative,0.11182216346334076,0.15814042285021576,0.9744490284923896
teacher,0.8,frequency,0.06868380630220032,0.12590670066733434,0.97644089867967
teacher,0.8,body_rate,0.15060334399671121,0.24485425317702314,0.8923250601368464
teacher,0.8,recent_delta_omega,0.35309404960101953,0.5727495724965924,0.5651951472918356
teacher,0.8,recent_command_mean,0.24327792289220623,0.867001749015259,-0.24169224900300246
teacher,0.8,within_log_phase,0.6340921689905699,0.8968928145116093,0.1956411383984008
teacher,1.0,phase_relative,0.10012284448076367,0.14159508699136486,0.9798575630386013
teacher,1.0,frequency,0.06664988963120609,0.12217825649302004,0.9777609150963144
teacher,1.0,body_rate,0.14520046954099317,0.23662086127689239,0.8988119832574053
teacher,1.0,recent_delta_omega,0.3427017450835177,0.5705553435495727,0.5839082246439524
teacher,1.0,recent_command_mean,0.2416570784422923,0.861659637016084,-0.22967266205537173
teacher,1.0,within_log_phase,0.6268977627182853,0.8867098872290405,0.21309515492971443
teacher,1.2,phase_relative,0.10453568815635958,0.14783579047283002,0.9781308159465735
teacher,1.2,frequency,0.06817453078552302,0.12497312980853008,0.9759822760598905
teacher,1.2,body_rate,0.14054106100929173,0.2299462897010117,0.9018708868000147
teacher,1.2,recent_delta_omega,0.34772226401612527,0.5707036645371825,0.5448364392971232
teacher,1.2,recent_command_mean,0.238822467475983,0.8541878673094152,-0.1940635496046581
teacher,1.2,within_log_phase,0.624838854462932,0.8838099143989968,0.2191262750351214
teacher,1.4000000000000001,phase_relative,0.10540935601109626,0.14907134342315365,0.9777775080193698
teacher,1.4000000000000001,frequency,0.06724050586951365,0.12326093588907258,0.97690587412205
teacher,1.4000000000000001,body_rate,0.14941898807058437,0.24121084594771827,0.8906211797184407
teacher,1.4000000000000001,recent_delta_omega,0.34248427213008775,0.55623195156648,0.5809178968790984
teacher,1.4000000000000001,recent_command_mean,0.24310914010050255,0.8630721123530208,-0.2373984907451212
teacher,1.4000000000000001,within_log_phase,0.6294336402971974,0.8903112420790292,0.20681920562652611
teacher,1.6,phase_relative,0.10453716044172624,0.14783787259879888,0.9781276577958529
teacher,1.6,frequency,0.06912413790503238,0.12671388801318717,0.9760092923837111
teacher,1.6,body_rate,0.14457132666962416,0.23737619351708095,0.900137964362036
teacher,1.6,recent_delta_omega,0.34019405368840966,0.5656440887623507,0.5709720523709145
