mode,point_index,step,horizon_s,largest_singular,median_singular,spectral_radius,frobenius
train_teacher,0,-1,-0.02,1.0459538889799855,0.4923122298623701,0.8754766161833019,4.403215691674302
train_teacher,732,-1,-0.02,1.0259564012145836,0.6555076855863257,0.9585486887737082,5.487981756562139
train_teacher,1465,-1,-0.02,1.029233541519085,0.5372244577872105,0.9561099839427286,4.772197797037283
train_teacher,2198,-1,-0.02,1.0407559029678544,0.48285648159680505,0.9889919908462008,4.438180985622597
train_teacher,2931,-1,-0.02,1.0371721152426452,0.32663812627732614,0.9754337956028591,3.629804474117316
train_teacher,3664,-1,-0.02,1.0594217896022953,0.5201507935150298,0.954247989413479,4.654193541030967
train_teacher,4397,-1,-0.02,1.0093776392295175,0.47290982363902195,0.9201858900992702,4.265961848428505
train_teacher,5130,-1,-0.02,0.9878348960732491,0.45858477651249274,0.8211150941521134,4.173384170325323
train_teacher,5863,-1,-0.02,1.0154760644172947,0.5868903566675504,0.8964745678771566,5.030423762143064
train_teacher,6596,-1,-0.02,1.0430550008263715,0.5017853869733708,0.8913492660607106,4.433388692825821
train_teacher,7329,-1,-0.02,1.0127953330479222,0.4763923539994598,0.9275536981535484,4.347614664424426
train_teacher,8062,-1,-0.02,1.028067664637444,0.40115824951830487,0.806708106371711,3.8653652039255237
train_teacher,8794,-1,-0.02,1.081686066717828,0.45250379374099703,0.9023881656765557,4.219322256673186
train_teacher,9527,-1,-0.02,1.0151088270682789,0.3928919944167971,0.847646256706711,3.8000712548392093
train_teacher,10260,-1,-0.02,1.0680294636792091,0.7408579545798515,0.9821899655443322,5.917838887352195
train_teacher,10993,-1,-0.02,1.0043232369399067,0.5529068000513275,0.8956701856186636,4.71716009487278
train_teacher,11726,-1,-0.02,1.04210489710938,0.5771195827129932,0.9578848863982621,5.006223764177164
train_teacher,12459,-1,-0.02,1.0650333041839328,0.4610560491335715,0.9025673084166721,4.240283830535112
train_teacher,13192,-1,-0.02,0.9956577984478835,0.49603411272135006,0.9214070981204167,4.3664874808967395
train_teacher,13925,-1,-0.02,0.9985866538736795,0.6136789334509085,0.9094973911046513,5.153630783091747
train_teacher,14658,-1,-0.02,1.0617232275564241,0.48136278253919484,0.9331148729960479,4.452871357145881
