mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max,knn_outside_leave_log_p99_mean,knn_outside_leave_log_p99_median,knn_outside_leave_log_p99_p90,knn_outside_leave_log_p99_p95,knn_outside_leave_log_p99_max,mahalanobis_outside_train_p99_mean,mahalanobis_outside_train_p99_median,mahalanobis_outside_train_p99_p90,mahalanobis_outside_train_p99_p95,mahalanobis_outside_train_p99_max
B,0.0,722,0.4536190280623713,0.4472828060388565,0.5489193856716156,0.5896943807601929,0.826601505279541,0.8354674052251013,0.7835484147071838,1.1228649139404296,1.2847844064235687,2.4495444297790527,0.9182825484764543,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.0110803324099723,0.0,0.0,0.0,1.0
B,0.2,722,0.45292086309012947,0.44569388031959534,0.5424333214759827,0.577567446231842,0.802776038646698,0.8169606515822978,0.7601161301136017,1.102742040157318,1.2537696838378904,2.252516984939575,0.9321329639889196,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009695290858725761,0.0,0.0,0.0,1.0
B,0.4,722,0.4567739541675906,0.4454238712787628,0.5465453863143921,0.5913093239068984,0.7731906175613403,0.8299764440990881,0.7793776988983154,1.0955285191535948,1.2293309450149525,2.297189235687256,0.9487534626038782,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0,0.0,0.0,1.0
B,0.5,722,0.4552210725410493,0.44354863464832306,0.544541209936142,0.5941819280385969,0.9131115078926086,0.8239769802281731,0.7756462395191193,1.0988603353500366,1.2605747997760772,2.5422770977020264,0.943213296398892,1.0,1.0,1.0,1.0,0.002770083102493075,0.0,0.0,0.0,1.0,0.009695290858725761,0.0,0.0,0.0,1.0
B,0.6,722,0.456362329691731,0.4455854296684265,0.5527818620204925,0.5936914324760435,0.7801957130432129,0.833893211512024,0.7806979119777679,1.1098098874092102,1.2503284990787502,2.5336711406707764,0.9349030470914127,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.0,0.0,0.0,1.0
B,0.8,722,0.4567448365556236,0.4500683695077896,0.5488973617553711,0.5927115589380263,0.8622320294380188,0.831966669646987,0.7812557220458984,1.1072792291641236,1.2211538374423976,2.537066698074341,0.945983379501385,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.009695290858725761,0.0,0.0,0.0,1.0
B,1.0,722,0.45505932588491416,0.4474141001701355,0.5472550690174103,0.5838179439306257,0.8362495303153992,0.8269967956473623,0.7817571461200714,1.092807924747467,1.2464249074459068,2.448312759399414,0.9293628808864266,1.0,1.0,1.0,1.0,0.002770083102493075,0.0,0.0,0.0,1.0,0.006925207756232687,0.0,0.0,0.0,1.0
B,1.2,722,0.4527570180533005,0.44432252645492554,0.5390039801597595,0.5797490000724792,0.7954636812210083,0.8327043339651378,0.7809406518936157,1.1065334320068358,1.2556961119174956,2.237727642059326,0.9376731301939059,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.0,0.0,0.0,1.0
B,1.4000000000000001,722,0.45563011682512355,0.44480040669441223,0.5454828679561615,0.5980727136135101,0.7983708381652832,0.8253238267185286,0.7835543751716614,1.0900344371795654,1.2321824610233305,2.469697952270508,0.9390581717451524,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.0,0.0,0.0,1.0
B,1.6,722,0.4531072896603402,0.4421345293521881,0.5504525601863861,0.5896800488233566,0.7568549513816833,0.828800543234619,0.7809090316295624,1.0976298332214356,1.2523599326610562,2.6013123989105225,0.9376731301939059,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008310249307479225,0.0,0.0,0.0,1.0
