log_id,window_id,horizon_s,linear,angular,frequency,linear_body
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:25:5s,0.2,0.5293355,2.5994015,0.50829357,0.5357941
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:75:5s,0.2,0.8535492,3.2760606,0.43895108,0.868573
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:125:5s,0.2,0.63389546,3.3758693,0.42425656,0.63865066
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:175:5s,0.2,0.61359525,2.9012246,0.53426635,0.63353974
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:225:5s,0.2,1.181343,3.901444,0.8511838,1.1610557
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:275:5s,0.2,0.9880196,3.9373963,1.078926,0.97812665
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:325:5s,0.2,0.75283355,2.5010467,0.43423232,0.7215809
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:0:375:5s,0.2,0.6331799,2.9680853,0.45535305,0.6123692
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:25:5s,0.2,0.91352904,4.699,0.7787624,0.9140618
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:75:5s,0.2,0.57053995,3.9505155,0.79558545,0.5509385
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:125:5s,0.2,0.85907316,2.893922,0.9192265,0.8680181
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:175:5s,0.2,0.61006844,2.8705747,0.6477784,0.5349629
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:225:5s,0.2,0.6295546,2.6909635,0.5115507,0.57061636
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:275:5s,0.2,0.5560545,3.5784647,0.48175836,0.54081655
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:325:5s,0.2,0.45165434,3.175721,0.82869214,0.52108467
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:375:5s,0.2,0.7841588,3.6604884,0.79921526,0.7670414
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:425:5s,0.2,0.54658246,4.8911343,0.4123284,0.591315
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:475:5s,0.2,0.52680475,4.11248,1.0332425,0.54780346
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:525:5s,0.2,0.74288327,3.2606761,0.7191632,0.7635203
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:575:5s,0.2,0.82165873,2.489974,0.7256465,0.8780678
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:625:5s,0.2,0.5628853,2.9714441,0.6477914,0.56619924
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:675:5s,0.2,0.5555891,4.441209,0.5320613,0.5161427
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:725:5s,0.2,0.38731623,3.4575071,0.48873806,0.35023504
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:775:5s,0.2,0.4619434,3.8837452,0.3970076,0.44041356
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:825:5s,0.2,0.61411697,4.6816506,0.48947144,0.654862
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:875:5s,0.2,0.8305589,3.2012544,0.87985635,0.77482074
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:925:5s,0.2,1.101946,2.836184,0.9289942,1.1240511
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:975:5s,0.2,0.5929154,2.7763362,0.540971,0.60383576
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1025:5s,0.2,0.65815884,3.125097,0.85531443,0.68140197
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1075:5s,0.2,0.7132822,3.0395422,0.7387431,0.6549509
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1125:5s,0.2,0.8180545,2.6268651,0.8739855,0.829226
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1175:5s,0.2,0.7000597,2.920548,0.8341928,0.71472394
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1225:5s,0.2,0.98007196,3.6230786,1.0647252,0.96458244
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1275:5s,0.2,0.9712402,4.902069,0.7874017,0.99070466
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:1325:5s,0.2,0.48646933,4.1483293,0.76558626,0.51904595
