mode,horizon_s,scope,median,mean,min,max
C,0.2,prefix,0.6408691193682632,0.6694570150569188,0.19811879206311106,1.6418066855377789
C,0.5,prefix,0.7586681100030641,0.7846329374733486,0.2788227592344481,1.4122261904064854
C,1.0,prefix,0.8637067595047019,0.8962231392265592,0.3767028839200863,1.5713263576466514
C,2.0,prefix,0.9514787100517035,0.9749976147713926,0.4500433763981275,1.6462151202756519
C,3.0,prefix,0.9736336531701839,0.9947955444385476,0.5752927849849402,1.6279960395373323
C,5.0,last1s,0.8884620196816742,0.9362215594897245,0.3446643694519005,2.660311336836773
C,5.0,prefix,0.9980581241014919,1.019615825641626,0.6670679629957972,1.7479303657336351
C_native,0.2,prefix,0.6118696632790162,0.6446017401725338,0.20582643745421786,1.5385415714293502
C_native,0.5,prefix,0.7485773218791678,0.7646504851864069,0.2827261754530086,1.3816040100765121
C_native,1.0,prefix,0.845929119749659,0.8681832357895934,0.3723494949545097,1.5032401178449628
C_native,2.0,prefix,0.920632755935171,0.9406858858309322,0.5301358683734901,1.4779114911674711
C_native,3.0,prefix,0.9370308924078623,0.9578800499192419,0.6103257115788917,1.4585110309608287
C_native,5.0,last1s,0.8464001429427481,0.8856189971873888,0.3608863447116943,2.7308946239706287
C_native,5.0,prefix,0.9560021032227292,0.9795965674932802,0.6619748152170168,1.8786801453207957
D,0.2,prefix,0.5846433478592914,0.6015727062572465,0.1364727678001954,1.2855743923878344
D,0.5,prefix,0.45000795325128307,0.4747239935321795,0.1410759596863414,1.030123467693079
D,1.0,prefix,0.3479584259043741,0.3752086220571035,0.11397767458321606,0.9167832444756036
D,2.0,prefix,0.2873819180790197,0.30847420705134176,0.09316507040846543,0.7079034168740748
D,3.0,prefix,0.27255500626513757,0.2843077860028642,0.09382854331620902,0.6389194228901246
D,5.0,last1s,0.07410983275470831,0.08113713157826268,0.033961134494767696,0.26198303722660193
D,5.0,prefix,0.24581886420548166,0.25657868758671176,0.09908178994501991,0.5232817619590686
R13,0.2,prefix,0.5938778017541138,0.6109570103222474,0.1134917763335448,1.3772721717486958
R13,0.5,prefix,0.45997055972960477,0.4873157384861971,0.11308238305428064,1.0717786025345948
R13,1.0,prefix,0.3736111033166129,0.4024985236523857,0.11025011575690243,0.9265812787313181
R13,2.0,prefix,0.3062387870757658,0.33843240594987833,0.10661525914850588,0.8105538510161296
R13,3.0,prefix,0.283538406765255,0.3117846339011813,0.11568872573205531,0.7658712162340953
R13,5.0,last1s,0.12875462625703013,0.14833034934163541,0.04456807678742815,0.614855714652023
R13,5.0,prefix,0.25978195664551473,0.28489213583110645,0.11750033260444327,0.656081288726769
R26,0.2,prefix,0.5942700994489228,0.6102438890917601,0.13631381317579136,1.3022192031241078
R26,0.5,prefix,0.4791856440514667,0.4992650713674801,0.14560732390314307,1.0498633750896795
R26,1.0,prefix,0.38487572530690745,0.41330754686490945,0.14571580016698266,0.9783639031082669
R26,2.0,prefix,0.3175981331366489,0.35117725416301115,0.12091565653738003,0.8005591985437605
R26,3.0,prefix,0.2973789266800899,0.32529625545267743,0.11427598169566251,0.7313814918152292
R26,5.0,last1s,0.10541545010077596,0.13186374527558375,0.04032639334544139,0.7213638198175849
R26,5.0,prefix,0.27337513433011995,0.29268071814444513,0.11006802852660584,0.6604304616411514
