mode,horizon_s,n,largest_singular_mean,largest_singular_median,largest_singular_p90,largest_singular_p95,largest_singular_max,median_singular_mean,median_singular_median,median_singular_p90,median_singular_p95,median_singular_max,spectral_radius_mean,spectral_radius_median,spectral_radius_p90,spectral_radius_p95,spectral_radius_max
train_teacher,-0.02,48,1.026996352215696,1.0279182024269033,1.0666247383064014,1.0714143505062173,1.081686066717828,0.5255309132513143,0.5260318600966234,0.6341980405861246,0.7029261946708262,0.7558116349443291,0.9133248496966863,0.918785402456237,0.9741702801779044,0.9866112819905468,0.9965142103575821
validation_B,0.0,10,1.0160540052453926,1.0087502034133795,1.049876940370119,1.0551049156228038,1.060332890875489,0.4784771148390418,0.4864028513402798,0.5182128110488821,0.524665805090206,0.5311187991315298,0.9147681597992359,0.9138187608908515,0.9472857137412807,0.9648617287092048,0.9824377436771292
validation_B,1.0,10,1.0202568189281012,1.0255705018749517,1.0484111095042508,1.0512896889740473,1.0541682684438438,0.4840811200865895,0.4859369201058126,0.5313584114342539,0.5331660733793385,0.5349737353244233,0.9280085560287274,0.935288350353894,0.9653461984380577,0.9684888194224751,0.9716314404068925
validation_B,4.98,10,1.0208468102279993,1.024172313889069,1.0617500648544738,1.0633627825066139,1.0649755001587538,0.4870508370343181,0.4985556029439948,0.5365903827085472,0.5379041825879162,0.539217982467285,0.8852981032105616,0.8946935132320619,0.9103759205983311,0.9157887777147413,0.9212016348311516
validation_free,0.0,10,1.0140426680602588,1.003956776486377,1.0470530026565654,1.056126946723069,1.0652008907895727,0.4827621441827432,0.4870944826116089,0.5319929540993318,0.5428084817551658,0.5536240094109999,0.9138497747208657,0.9186987891482541,0.9442301648242241,0.9617316806852656,0.9792331965463072
validation_free,1.0,10,1.0134250558405966,1.0178253906734642,1.033474053323492,1.0361275379538621,1.0387810225842324,0.5143237774245719,0.5170757031931281,0.5515151565110674,0.5525946336496386,0.5536741107882097,0.9186396932195752,0.9171551144821775,0.9457493425615885,0.9473736615533301,0.9489979805450718
validation_free,4.98,10,1.0344898464403371,1.0377374756716273,1.0545034194276421,1.0602489808575957,1.065994542287549,0.4873403558864515,0.4778981249498788,0.5277382265071972,0.5298230387175188,0.5319078509278404,0.9132737286205582,0.9134260213624357,0.9384331756793822,0.9475442827278552,0.956655389776328
validation_teacher,0.0,10,1.0160540052453926,1.0087502034133795,1.049876940370119,1.0551049156228038,1.060332890875489,0.4784771148390418,0.4864028513402798,0.5182128110488821,0.524665805090206,0.5311187991315298,0.9147681597992359,0.9138187608908515,0.9472857137412807,0.9648617287092048,0.9824377436771292
validation_teacher,1.0,10,1.0200905988480415,1.0261624611411468,1.0474488960096395,1.0507445128805182,1.0540401297513968,0.4827217781312004,0.4843027399928279,0.5308263078651756,0.5310435833553331,0.5312608588454905,0.9269247941020307,0.9325456035937718,0.9656971447652656,0.9665916313578747,0.9674861179504839
validation_teacher,4.98,10,1.0210221515073616,1.0241686988072902,1.0603967025554497,1.0625394341230512,1.0646821656906527,0.4870526846929487,0.4971059639131836,0.5378853866177585,0.5395036968663491,0.5411220071149397,0.8857760088555067,0.8950194853426972,0.9106520158839116,0.9159782202650342,0.9213044246461567
