mode,log_id,horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse,linear_acceleration_finite_count,linear_acceleration_median,linear_acceleration_p90,linear_acceleration_p95,linear_acceleration_mean,linear_acceleration_max,linear_acceleration_rmse,linear_acceleration_equal_log_rmse,angular_acceleration_finite_count,angular_acceleration_median,angular_acceleration_p90,angular_acceleration_p95,angular_acceleration_mean,angular_acceleration_max,angular_acceleration_rmse,angular_acceleration_equal_log_rmse
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.2,145,144,1,0.6896551724137931,0.0,145,0.0024253706018193036,0.00674875989917254,0.014402381870890008,0.0037108208750578934,0.01982257799818987,0.0054615047280758095,0.0054615047280758095,145,0.0022716522216796875,0.005453968048095703,0.006234359741210937,0.002588303335781755,0.009490966796875,0.003215835855314337,0.003215835855314337,145,0.0038386243016998445,0.008777039574234336,0.01476075427698106,0.004925731668117747,0.020194887799326145,0.0063379518886719005,0.0063379518886719005,145,0.17406951820564195,0.33541676461915926,0.35892035841520215,0.1877851606377595,0.5077267591554515,0.21693165721567534,0.21693165721567534,145,0.40873941336605196,0.8632296693252001,0.9712178871481484,0.44965102564338694,2.292844887113384,0.5611047023896284,0.5611047023896284,145,0.4244594445579191,0.7976221577420372,0.9129145362538121,0.4703151561289178,1.4791600674674956,0.5351763766661918,0.5351763766661918,145,0.09567689895629883,0.17154855728149415,0.18147816658020016,0.09669646723517056,0.2849080562591553,0.11287996574372766,0.11287996574372766,145,0.036500370989870135,0.061806062565932504,0.06587822735468478,0.036009618023137555,0.17549159404709513,0.0430856808256831,0.0430856808256831,145,0.031159400939941406,0.08477704524993895,0.10160436630249019,0.04149259552359581,0.18253803253173828,0.05473199176029957,0.05473199176029957,145,0.03735208511352539,0.08739843368530269,0.11754035949707022,0.04494173490795596,0.23691558837890625,0.05915320399285759,0.05915320399285759,145,0.15101993083953857,0.32523076310753823,0.35619826614856714,0.1672756524371176,0.5006646811962128,0.20140668171058562,0.20140668171058562,145,0.2936893701553345,0.6957830786705017,0.7623025640845297,0.3298866744691121,1.1903447285294533,0.41556401042374647,0.41556401042374647,145,0.21319105476140976,0.6111581027507781,0.6617636978626251,0.25563236267530715,0.8996697813272476,0.32698823497094054,0.32698823497094054,145,0.05244085192680359,0.14029835164546967,0.17094397842884046,0.0634185131374297,0.23203247785568237,0.08245605843523547,0.08245605843523547,145,9.628333286649866,13.475248422269477,14.0485052041044,9.943174059782754,15.781835912457279,10.228961105477765,10.228961105477765,145,24.237588580057846,33.675602823404866,36.3846797644715,25.461521649407928,64.40099445977255,26.314072560316927,26.314072560316927
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0.5,145,142,3,2.0689655172413794,0.0,145,0.002457233623788304,0.008835380372203884,0.013743297325858486,0.0036870169307766346,0.020646845590349842,0.005389100094038701,0.005389100094038701,145,0.0021495819091796875,0.0039058685302734374,0.004899215698242182,0.0023432534316490438,0.014322280883789062,0.0029238117597195946,0.0029238117597195946,145,0.0035920798590566723,0.010033377146004302,0.014793410432083863,0.004782067843502042,0.020750680851790507,0.006131156092438238,0.006131156092438238,145,0.15585688714818932,0.36207730700944707,0.3928332486361236,0.1885326430164257,0.5478257885762411,0.22054785360255336,0.22054785360255336,145,0.3526372341249662,0.7881057287234235,0.9934223359663847,0.42741891650638425,1.9824751642295841,0.5385935625787299,0.5385935625787299,145,0.4285994799043729,0.7726517576071547,0.8440272150564998,0.4554309240027341,1.2367680101250538,0.511726998601045,0.511726998601045,145,0.1016545295715332,0.16864943504333496,0.18785691261291498,0.09719797496137948,0.21164822578430176,0.11154308263192164,0.11154308263192164,145,0.03779355607954926,0.05957337667672959,0.07089663285632922,0.03606902528101649,0.19864864216575742,0.04323157945915223,0.04323157945915223,145,0.03020608425140381,0.09799413681030274,0.12128953933715814,0.04294980133658853,0.21875476837158203,0.0580208133195496,0.0580208133195496,145,0.02787882089614868,0.11099662780761715,0.12998733520507813,0.044635001826902915,0.22477762401103973,0.06409291974955873,0.06409291974955873,145,0.14488375186920166,0.33216383457183835,0.3475810289382934,0.16782978674364757,0.5439439229667187,0.20289662044599932,0.20289662044599932,145,0.23885643482208252,0.611950123310089,0.6983287811279296,0.2900602258035335,1.169000267982483,0.3675037618619438,0.3675037618619438,145,0.2284700870513916,0.5455074459314346,0.6682688891887664,0.2735404907043317,1.0456594675779343,0.3468718548856526,0.3468718548856526,145,0.053808629512786865,0.13590332269668579,0.1617105185985563,0.06143539270450329,0.2385779172182083,0.08053212031692937,0.08053212031692937,145,9.94856841012024,13.18550518552297,13.901632358782676,10.060383134336801,15.966295302184102,10.304876010855454,10.304876010855454,145,24.67738609806471,33.167586072401,36.11666070245143,25.409108651360018,40.270138813282934,26.07838202383996,26.07838202383996
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1.0,145,138,7,4.827586206896552,0.0,145,0.0026919122869102164,0.013941978666752789,0.015412955594826009,0.004462716431923696,0.02229036768862172,0.006591474279466243,0.006591474279466243,145,0.002529144287109375,0.0053741455078125,0.005638885498046874,0.0026638820253569503,0.011325836181640625,0.003320480110030372,0.003320480110030372,145,0.004510882742560042,0.01454123563778543,0.015587336536920049,0.005732802250563518,0.02230566234619618,0.007380590852904144,0.007380590852904144,145,0.17606223673680793,0.3472398759866028,0.405871703804405,0.19265178792482124,0.6289203430652089,0.2280442924407213,0.2280442924407213,145,0.3572185517467022,0.8101818570682182,0.9387803052493321,0.416439104510491,1.2473143988213287,0.5034607943827719,0.5034607943827719,145,0.4452503346565965,0.8553904497575687,0.9445603051787427,0.48780857333488337,1.3698999770547733,0.5540600045237033,0.5540600045237033,145,0.08153033256530762,0.15898828506469725,0.18424372673034667,0.0890625443951837,0.2377619743347168,0.10407275489143383,0.10407275489143383,145,0.030875608887335204,0.0559687470088221,0.07183099631172207,0.03254340341542034,0.09273567707362675,0.0380744344215862,0.0380744344215862,145,0.029778599739074707,0.09604606628417965,0.15176963806152283,0.043303660123512666,0.22643524408340454,0.06288797941811136,0.06288797941811136,145,0.033913612365722656,0.0909892976284027,0.11722946166992175,0.042820038774917864,0.19569659233093262,0.05688037680333579,0.05688037680333579,145,0.16956216096878052,0.337037618458271,0.3750925004482268,0.17331456898165673,0.6142705082893372,0.21169299491057084,0.21169299491057084,145,0.2559947445988655,0.6005645394325256,0.7775044739246364,0.3101801996279893,1.3439070582389832,0.3988796654814023,0.3988796654814023,145,0.2714986205101013,0.6193713530898094,0.7309597015380858,0.2994104204570939,0.9575265496969223,0.3723169972617631,0.3723169972617631,145,0.04898980259895325,0.15319672450423233,0.1920944023877381,0.07227345397294467,0.32524456083774567,0.09621618693460565,0.09621618693460565,145,10.06594840965749,13.448005283155673,14.217493296990854,10.267390146984624,15.6697516777415,10.502285925435494,10.502285925435494,145,25.255669108824964,34.290637920577815,37.764451413051546,25.65876274183543,41.493923880096375,26.440564537822024,26.440564537822024
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2.0,145,135,10,6.896551724137931,0.0,145,0.002575799297608544,0.013420980137024462,0.015241478238403104,0.0043105821246401,0.022309281085772216,0.006358451716889573,0.006358451716889573,145,0.0021257400512695312,0.0049682617187499995,0.005571365356445308,0.002554462695943898,0.010715484619140625,0.0032246094818008087,0.0032246094818008087,145,0.004112187033070621,0.014305030879568147,0.015328018471461992,0.0055040073700422494,0.022330979742260636,0.007129376869414019,0.007129376869414019,145,0.1725563175773861,0.3244133146945483,0.41056277789075496,0.18515060291701343,0.5900778550118518,0.21804353697724196,0.21804353697724196,145,0.36004998148928974,0.8006228562289944,0.9491613140742704,0.4109120308793522,1.2581482672774855,0.4971082054103815,0.4971082054103815,145,0.45964294908762415,0.8262301040717807,0.9366830638601654,0.4790692362292925,1.342518822825775,0.5440563760625764,0.5440563760625764,145,0.08474946022033691,0.1567965507507324,0.17978515624999997,0.08802556662723936,0.23392963409423828,0.10253968130055308,0.10253968130055308,145,0.031003348517295137,0.055060628836706364,0.07221547011238125,0.03227113184315462,0.09237518818202517,0.03772510893240159,0.03772510893240159,145,0.029924392700195312,0.09029932022094724,0.14452838897705045,0.04268241703253368,0.2277107685804367,0.06241392107292484,0.06241392107292484,145,0.03156280517578125,0.08586354255676266,0.11998758316040026,0.04228614496773687,0.1853470802307129,0.05562683132668811,0.05562683132668811,145,0.15598008036613464,0.31065418422222135,0.3667920172214507,0.1665131907877994,0.573526918888092,0.2013781073264936,0.2013781073264936,145,0.24667436629533768,0.578118085861206,0.7613676488399506,0.30554035838436466,1.324019432067871,0.3926121200204265,0.3926121200204265,145,0.2621700018644333,0.5972432285547257,0.7309250533580779,0.2928777875876504,0.9297424405813217,0.36583935557295877,0.36583935557295877,145,0.049880288541316986,0.14237136542797085,0.17239376306533813,0.06836084427295959,0.3071674704551697,0.08952446292143812,0.08952446292143812,145,10.242748339852016,13.486557484792478,13.926699185951684,10.317414039785637,15.67086206924088,10.555276347216706,10.555276347216706,145,25.287022703339158,34.43538737342666,37.44903697269522,25.607388852114514,41.483150584199166,26.39368873614974,26.39368873614974
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,3.0,145,132,13,8.96551724137931,0.0,145,0.0025711484493089235,0.01348390232914408,0.015099225226378308,0.004298152374632508,0.022247331459656378,0.006342321437490591,0.006342321437490591,145,0.0020389556884765625,0.0050361633300781234,0.0054893493652343715,0.0025494213761954473,0.011526107788085938,0.0031955423666731376,0.0031955423666731376,145,0.003967681736564781,0.014286581429266476,0.015302893788267508,0.005477469351347485,0.022257230979195738,0.007101868221366521,0.007101868221366521,145,0.17061973628613714,0.32677110363614204,0.4060356123473959,0.18660732605237537,0.6468068281108752,0.22030006426344992,0.22030006426344992,145,0.36130403571990194,0.7998054801661949,0.9146098872184815,0.4118562016190139,1.2698949114052256,0.49696819460565755,0.49696819460565755,145,0.4601305947090894,0.8260119815275433,0.8972028739339856,0.4796161331621017,1.339778781977982,0.5418778940744103,0.5418778940744103,145,0.08146905899047852,0.15647716522216795,0.18217363357543934,0.08728856875978667,0.2404646873474121,0.10169088192286031,0.10169088192286031,145,0.0305248565266254,0.05488429169081144,0.07189579848152187,0.032078015417530505,0.092989831278949,0.03759001143991064,0.03759001143991064,145,0.029274463653564453,0.09011363983154295,0.12775573730468728,0.04275323426158264,0.23249363899230957,0.06149370923875415,0.06149370923875415,145,0.03282666206359863,0.09128875732421875,0.12268257141113251,0.043042741150691594,0.19238805770874023,0.05771869606123593,0.05771869606123593,145,0.1524229347705841,0.3075906828045845,0.38229745626449557,0.1670551943978102,0.6276472806930542,0.20351706111166795,0.20351706111166795,145,0.24913156032562256,0.6020168155431747,0.7406449705362317,0.3037250188468345,1.3216804265975952,0.39172077951284734,0.39172077951284734,145,0.26567909121513367,0.6034042119979858,0.7009006276726719,0.2940298232394431,0.8516837432980537,0.36381692425069995,0.36381692425069995,145,0.04634681099560112,0.13772791661322117,0.17587382495403284,0.06783115054432559,0.30573123693466187,0.08845184346934551,0.08845184346934551,145,10.024890995636554,13.212225307735862,14.236520414130629,10.287705095434234,15.430699010321414,10.524973077381743,10.524973077381743,145,25.25260329342524,34.298489955882545,37.436140759602395,25.538612725320572,41.45071641058983,26.334152777058964,26.334152777058964
A_fixed,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,5.0,145,128,17,11.724137931034482,0.0,145,0.002524822449254642,0.013366093280051531,0.014995909859101937,0.004180745480460932,0.022159033985561703,0.006175771129660235,0.006175771129660235,145,0.0022296905517578125,0.005049514770507813,0.0055419921875,0.002583982204568797,0.01122283935546875,0.003243988124661971,0.003243988124661971,145,0.004083882524250451,0.014096727317578706,0.015239370282535176,0.00539177974226614,0.022167126050341813,0.0069759306188416715,0.0069759306188416715,145,0.17650799806493714,0.3293907910586126,0.3867577284202069,0.18559948729598275,0.6219565782395555,0.217755442742055,0.217755442742055,145,0.3684356898306895,0.8053869190676781,0.9191536489025257,0.4164998180514666,1.2685631309372347,0.5052125516123904,0.5052125516123904,145,0.4579905759057471,0.8236542322113485,0.9085413636556684,0.48010021040251954,1.3526228970573502,0.542133251767056,0.542133251767056,145,0.08459734916687012,0.154179048538208,0.17877345085144042,0.08678690318403573,0.23704195022583008,0.10110859586211193,0.10110859586211193,145,0.030658966977370028,0.0550362005888374,0.0722634876142123,0.03188698562708294,0.09266796619716189,0.03737457823934536,0.03737457823934536,145,0.02966618537902832,0.09485569000244139,0.1405578613281247,0.04246035427625837,0.23159503936767578,0.06171821469254764,0.06171821469254764,145,0.032232820987701416,0.08853673934936522,0.11699600219726551,0.042913903347377116,0.2034130096435547,0.05730204832422777,0.05730204832422777,145,0.1655649021267891,0.3077645421028137,0.36265670359134666,0.1668433654764346,0.6074364185333252,0.2008102837924414,0.2008102837924414,145,0.25113680958747864,0.5996809184551238,0.756283903121948,0.3011893265591613,1.3318737149238586,0.3896515156661447,0.3896515156661447,145,0.28489017486572266,0.5793183952569961,0.67350400686264,0.2994759003069766,0.871004581451416,0.36689935940126395,0.36689935940126395,145,0.04667772352695465,0.13584785684943199,0.17238824963569624,0.06558855228077877,0.3022637367248535,0.08640034190638618,0.08640034190638618,145,10.204734831621122,13.152992578749581,14.269478323329906,10.194807933793502,15.41196185029794,10.438366758809073,10.438366758809073,145,25.03458485989207,33.98865576894035,37.78752645407901,25.3223118559344,41.280941910475526,26.127389457195736,26.127389457195736
A_fixed,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.2,135,135,0,0.0,0.0,135,0.00145897085369948,0.003093378301781935,0.005044736313230873,0.0018560571154753998,0.0165600084342303,0.00263123974741851,0.00263123974741851,135,0.0035400390625,0.006602859497070313,0.00748748779296875,0.004011624389224582,0.011890411376953125,0.00457107575424332,0.00457107575424332,135,0.004391722007067224,0.007143242488440293,0.008885465553342693,0.004679689154152122,0.016713088965130733,0.005274292005513741,0.005274292005513741,135,0.15527577014374733,0.3012847555957603,0.3323534955178283,0.17460550651100504,0.45252463660140513,0.20000968072274367,0.20000968072274367,135,0.322788390860439,0.8796971641723936,1.0138443579125036,0.4050869637000096,1.3012974947020972,0.5081877881741406,0.5081877881741406,135,0.3715446907644138,0.7030096740056049,0.8428448772120686,0.4030685083358645,1.0699076560760756,0.45842173393255714,0.45842173393255714,135,0.09914803504943848,0.15563702583312988,0.17639670372009278,0.09512767173625805,0.23448634147644043,0.108634250222253,0.108634250222253,135,0.03618150561078437,0.06049995113586563,0.07720332733874852,0.04015049109404848,0.2588346761969902,0.05371857312363035,0.05371857312363035,135,0.031020164489746094,0.07201089859008789,0.084677517414093,0.03561223463534757,0.1538393497467041,0.045059973629712854,0.045059973629712854,135,0.030581951141357422,0.08629550933837898,0.10033483505249023,0.03877447920816916,0.20929384231567383,0.05174563880522589,0.05174563880522589,135,0.14049474895000458,0.29431042671203617,0.32533991299569603,0.15802153013646603,0.4136228561401367,0.18787192452291146,0.18787192452291146,135,0.18458811938762665,0.5381836712360384,0.6156068474054336,0.24982472183958937,0.9110370799899101,0.3274543285467773,0.3274543285467773,135,0.21687553077936172,0.5489006578922273,0.5963931865990162,0.255608606241057,0.7030452638864517,0.3126426048710197,0.3126426048710197,135,0.0428125262260437,0.12774376273155214,0.14651211351156235,0.05595620123203844,0.19607704877853394,0.07196353574675765,0.07196353574675765,135,9.502858925353806,12.791089519659304,13.650747966029376,9.531057682909296,15.193495350427522,9.836519373434095,9.836519373434095,135,22.46001283246045,30.35375131378112,33.51121430362595,23.373029941106182,39.58654564919369,23.990160118131556,23.990160118131556
A_fixed,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0.5,135,134,1,0.7407407407407408,0.0,135,0.0011751496735190859,0.0028084410598866404,0.004027772651110287,0.0015656601005212868,0.013603945956355236,0.002300275127639308,0.002300275127639308,135,0.0025000572204589844,0.006160736083984375,0.006754302978515625,0.0031073888142903647,0.018115639686584473,0.00394923357488608,0.00394923357488608,135,0.003342102624340793,0.006492978012504443,0.007697553434559327,0.0038120497888339245,0.018204444033262653,0.004570307592694776,0.004570307592694776,135,0.15025240083636668,0.3203866605270299,0.40985502028945725,0.1774101947261777,0.5561243900812334,0.20823022661805127,0.20823022661805127,135,0.36286770930946366,0.7717300943099583,0.8917081382092075,0.418283715061199,1.6393064824414891,0.5174342373254418,0.5174342373254418,135,0.40112633804304576,0.7465480158277491,0.9647301766818603,0.44585096548628234,1.6374949034670017,0.5166647996091809,0.5166647996091809,135,0.08848285675048828,0.16356377601623537,0.17343218326568605,0.09068080230995461,0.28224682807922363,0.10557607445659767,0.10557607445659767,135,0.03307237926109962,0.06027015884650524,0.06804138198809895,0.037743845239368655,0.2558357928527784,0.05059439374664887,0.05059439374664887,135,0.02627629041671753,0.0751485824584961,0.0922497034072876,0.03308549390898811,0.12779617309570312,0.04372173318518763,0.04372173318518763,135,0.03108978271484375,0.07809286117553715,0.09582772254943847,0.038436050050788456,0.1530930995941162,0.049414645307268176,0.049414645307268176,135,0.14247775077819824,0.3092440366744995,0.38309375941753376,0.16212736237449227,0.5456281900405884,0.19750045608515726,0.19750045608515726,135,0.20771366357803345,0.5935872465372088,0.8188131906092166,0.2822699865291792,1.618830531835556,0.39140622632446737,0.39140622632446737,135,0.21716820634901524,0.5152213364839554,0.6521876320242882,0.26007861874790655,0.9943040758371353,0.32786658307728345,0.32786658307728345,135,0.05379323661327362,0.12714538648724563,0.16258103549480438,0.06385514213201263,0.22158348560333252,0.07903913493239657,0.07903913493239657,135,9.485792392840917,12.352181632851927,13.701812254382617,9.500251764516454,14.904731828634366,9.776303247671274,9.776303247671274,135,23.52667722877611,30.399220216684707,33.647155283517996,23.834697449671694,40.10681707843481,24.440999399102004,24.440999399102004
A_fixed,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1.0,135,133,2,1.4814814814814816,0.0,135,0.0014521190803925164,0.0029000054243868687,0.004203642466990444,0.0017200814952305855,0.011401281313077922,0.002227354414367964,0.002227354414367964,135,0.003780364990234375,0.0063262939453125,0.006754493713378905,0.0038464104687726056,0.010553359985351562,0.004342499506444035,0.004342499506444035,135,0.004195658587954682,0.006757299230130613,0.007717780211510743,0.004417747467867947,0.011707530739877054,0.0048804108075725695,0.0048804108075725695,135,0.15355029408564794,0.29755085394741076,0.3259259638847571,0.1691092623433485,0.45344592427990776,0.1946813998211536,0.1946813998211536,135,0.3368411102961778,0.8341379341245624,1.0799057211457828,0.41293203184952015,1.632436294495295,0.5187409774378703,0.5187409774378703,135,0.4155619507643014,0.6763939947385769,0.7802195087122709,0.4261154122782196,1.5297617908657166,0.48394731864857166,0.48394731864857166,135,0.08863329887390137,0.15041146278381348,0.1681565761566162,0.08564932611253527,0.22100496292114258,0.09972184798658498,0.09972184798658498,135,0.03247101646856265,0.059684956154789866,0.08236091211619435,0.03938043318820856,0.2965570868533549,0.05776522483418337,0.05776522483418337,135,0.027915000915527344,0.07041378021240235,0.08236780166625976,0.0341833062125025,0.15649938583374023,0.04380513745502294,0.04380513745502294,135,0.029643535614013672,0.06746397018432618,0.08378577828407287,0.03341382068616373,0.11241960525512695,0.041602593834999965,0.041602593834999965,135,0.1441197395324707,0.2842852473258972,0.31841577664017673,0.15435230924437443,0.4495670795440674,0.18507074743208457,0.18507074743208457,135,0.22550591826438904,0.5115909725427629,0.5546262606978415,0.26592700339991737,1.5264533162117004,0.3471051937862219,0.3471051937862219,135,0.21843394078314304,0.5410119414329531,0.6106002286076545,0.260667619674846,0.873840719461441,0.3288187004399575,0.3288187004399575,135,0.05091521143913269,0.12492339834570886,0.140531637519598,0.05976646525259302,0.2327936589717865,0.07484152533686768,0.07484152533686768,135,9.52217382668414,12.639033009400686,13.378109938849104,9.590270514071202,14.75226818183998,9.852230090261068,9.852230090261068,135,22.9689846231499,29.70718348422112,31.413180747383322,23.478134335596522,35.66029886831259,23.943737466140107,23.943737466140107
A_fixed,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2.0,135,131,4,2.9629629629629632,0.0,135,0.0014419606122932753,0.0028371499336071054,0.00421107232732381,0.0017111925529575815,0.01139285810459462,0.00222121144401039,0.00222121144401039,135,0.00356292724609375,0.006038284301757813,0.006519126892089843,0.003668948456093117,0.0090484619140625,0.004135530392511995,0.004135530392511995,135,0.003989635380208003,0.006712011187419161,0.007686901371324338,0.004251692261927902,0.01170696300714259,0.0046942935471051585,0.0046942935471051585,135,0.15545044272793027,0.3193993781424698,0.33267971811247016,0.1667606963743107,0.4139294723185082,0.1915484004371738,0.1915484004371738,135,0.35277948487513394,0.8270995647504525,1.0750402788054836,0.421352605458942,1.5928457304867747,0.5252324944979739,0.5252324944979739,135,0.42673832477558804,0.6923569357600751,0.7927758088425116,0.43188905013636414,1.5392086517819283,0.4885508616131702,0.4885508616131702,135,0.08568692207336426,0.15514445304870608,0.16817076206207274,0.0854805239924678,0.22447800636291504,0.0996229824820496,0.0996229824820496,135,0.03247673851446109,0.06000071772095198,0.08260965421977101,0.0394690394036574,0.2964822234195171,0.057844765232920384,0.057844765232920384,135,0.025316715240478516,0.07123041152954102,0.08139796257019043,0.03387790862643333,0.1598491668701172,0.04430583905101472,0.04430583905101472,135,0.027755260467529297,0.07164783477783203,0.07755289077758788,0.033049481555267615,0.09343147277832031,0.041339050470323734,0.041339050470323734,135,0.1453283652663231,0.31518954634666446,0.32284630239009854,0.15267621271174264,0.4092249274253845,0.18171093869725477,0.18171093869725477,135,0.2256566882133484,0.4966391265392304,0.5688312530517577,0.2676619996972106,1.5350703597068787,0.34899858373123105,0.34899858373123105,135,0.214238703250885,0.5644515603780746,0.629442460462451,0.26427619495877513,0.8581691980361938,0.33362150132071855,0.33362150132071855,135,0.04897681763395667,0.12432543933391574,0.14006150290369987,0.05937916297353459,0.2315269410610199,0.07469020546949633,0.07469020546949633,135,9.830195154552351,12.220749654048738,13.513272269610034,9.645263833088904,15.12017826799358,9.908648141678754,9.908648141678754,135,22.95783016693449,29.642321516217724,31.470441673295078,23.387647495495546,35.141621926598326,23.856910108145428,23.856910108145428
