reference_history_steps,history_steps,cohort,horizon_s,metric,n_flights,flights_improved,flights_worse,mean_paired_difference
1,5,ALL,0.1,attitude_error_deg,17,17,0,-0.3852378475115105
1,5,ALL,0.1,body_rate_rmse_rad_s,17,17,0,-0.10040583074151765
1,5,ALL,0.1,position_rmse_m,17,17,0,-0.011718857999069715
1,5,ALL,0.1,velocity_rmse_m_s,17,17,0,-0.27183821563238497
1,5,ALL,0.2,attitude_error_deg,17,17,0,-0.35456799096711056
1,5,ALL,0.2,body_rate_rmse_rad_s,17,17,0,-0.08780174120714758
1,5,ALL,0.2,position_rmse_m,17,17,0,-0.019656390864942672
1,5,ALL,0.2,velocity_rmse_m_s,17,17,0,-0.10380290728935328
1,5,ALL,0.5,attitude_error_deg,17,11,6,-0.17677741092102742
1,5,ALL,0.5,body_rate_rmse_rad_s,17,14,3,-0.020260951211615353
1,5,ALL,0.5,position_rmse_m,17,15,2,-0.013679295089033709
1,5,ALL,0.5,velocity_rmse_m_s,17,12,5,-0.00909417523445967
1,5,ALL,1.0,attitude_error_deg,17,8,9,0.03970924003482564
1,5,ALL,1.0,body_rate_rmse_rad_s,17,5,12,0.006332336145636983
1,5,ALL,1.0,position_rmse_m,17,8,9,0.003696180394623324
1,5,ALL,1.0,velocity_rmse_m_s,17,2,15,0.03503195831540763
1,5,Sep17,0.1,attitude_error_deg,8,8,0,-0.5461971867120745
1,5,Sep17,0.1,body_rate_rmse_rad_s,8,8,0,-0.11611628713944332
1,5,Sep17,0.1,position_rmse_m,8,8,0,-0.01531884608898568
1,5,Sep17,0.1,velocity_rmse_m_s,8,8,0,-0.2969195303824986
1,5,Sep17,0.2,attitude_error_deg,8,8,0,-0.5377880089720773
1,5,Sep17,0.2,body_rate_rmse_rad_s,8,8,0,-0.10996937674589935
1,5,Sep17,0.2,position_rmse_m,8,8,0,-0.025767500685390216
1,5,Sep17,0.2,velocity_rmse_m_s,8,8,0,-0.09971144385647167
1,5,Sep17,0.5,attitude_error_deg,8,8,0,-0.4211208119314197
1,5,Sep17,0.5,body_rate_rmse_rad_s,8,8,0,-0.029430563145172214
1,5,Sep17,0.5,position_rmse_m,8,8,0,-0.017164051570124107
1,5,Sep17,0.5,velocity_rmse_m_s,8,5,3,-0.006588094462259185
1,5,Sep17,1.0,attitude_error_deg,8,8,0,-0.16800100352712066
1,5,Sep17,1.0,body_rate_rmse_rad_s,8,3,5,0.006672308669321933
1,5,Sep17,1.0,position_rmse_m,8,4,4,0.0008694083623934229
1,5,Sep17,1.0,velocity_rmse_m_s,8,1,7,0.03185224581241132
1,5,Sep7,0.1,attitude_error_deg,9,9,0,-0.24216287933323144
1,5,Sep7,0.1,body_rate_rmse_rad_s,9,9,0,-0.08644098061002817
1,5,Sep7,0.1,position_rmse_m,9,9,0,-0.00851886858581108
1,5,Sep7,0.1,velocity_rmse_m_s,9,9,0,-0.24954371363228395
1,5,Sep7,0.2,attitude_error_deg,9,9,0,-0.19170575274047338
1,5,Sep7,0.2,body_rate_rmse_rad_s,9,9,0,-0.06809717628381268
1,5,Sep7,0.2,position_rmse_m,9,9,0,-0.014224293246767074
1,5,Sep7,0.2,velocity_rmse_m_s,9,9,0,-0.10743976367413693
1,5,Sep7,0.5,attitude_error_deg,9,3,6,0.0404167233104324
1,5,Sep7,0.5,body_rate_rmse_rad_s,9,6,3,-0.0121101850484537
1,5,Sep7,0.5,position_rmse_m,9,7,2,-0.010581733772508909
1,5,Sep7,0.5,velocity_rmse_m_s,9,7,2,-0.011321802587526766
1,5,Sep7,1.0,attitude_error_deg,9,0,9,0.22434056764544458
1,5,Sep7,1.0,body_rate_rmse_rad_s,9,2,7,0.006030138346805917
1,5,Sep7,1.0,position_rmse_m,9,4,5,0.006208866645494348
1,5,Sep7,1.0,velocity_rmse_m_s,9,1,8,0.03785836942918213
1,13,ALL,0.1,attitude_error_deg,17,17,0,-0.47552978298800874
1,13,ALL,0.1,body_rate_rmse_rad_s,17,17,0,-0.13142998852939872
1,13,ALL,0.1,position_rmse_m,17,17,0,-0.012442215829945166
1,13,ALL,0.1,velocity_rmse_m_s,17,17,0,-0.3117247247560948
1,13,ALL,0.2,attitude_error_deg,17,17,0,-0.49864595999846356
1,13,ALL,0.2,body_rate_rmse_rad_s,17,17,0,-0.11304126893275537
1,13,ALL,0.2,position_rmse_m,17,17,0,-0.022075261187180197
1,13,ALL,0.2,velocity_rmse_m_s,17,17,0,-0.14011813038473953
1,13,ALL,0.5,attitude_error_deg,17,17,0,-0.4256683055623348
1,13,ALL,0.5,body_rate_rmse_rad_s,17,16,1,-0.04127742067190145
1,13,ALL,0.5,position_rmse_m,17,16,1,-0.018311693528630706
1,13,ALL,0.5,velocity_rmse_m_s,17,16,1,-0.030639253661392824
1,13,ALL,1.0,attitude_error_deg,17,11,6,-0.16198135143291542
1,13,ALL,1.0,body_rate_rmse_rad_s,17,14,3,-0.014568831893384355
1,13,ALL,1.0,position_rmse_m,17,9,8,-0.005347562026806539
1,13,ALL,1.0,velocity_rmse_m_s,17,8,9,0.008503820564111319
1,13,Sep17,0.1,attitude_error_deg,8,8,0,-0.6315473779689772
1,13,Sep17,0.1,body_rate_rmse_rad_s,8,8,0,-0.14097277331606062
