cohort,horizon_s,metric,mean,std,min,max,n_seeds,history_steps,coefficient_of_variation
ALL,0.1,attitude_error_deg,1.8982194030834532,0.0024992055140407752,1.895377615714654,1.9000752813817317,3,1,0.0013166051879888515
ALL,0.1,body_rate_rmse_rad_s,0.6831135470140289,0.005168676967438802,0.6772968400061753,0.6871793378952343,3,1,0.007566351143278753
ALL,0.1,position_rmse_m,0.04796205502753883,9.44755322650874e-05,0.0479052905943417,0.0480711154663515,3,1,0.001969797420290717
ALL,0.1,velocity_rmse_m_s,0.46440931888852255,0.0020949696873790386,0.4624820149849665,0.4666390761828927,3,1,0.004511041450229637
ALL,0.2,attitude_error_deg,2.735028678244132,0.023357645685506113,2.71776906138869,2.761607270237102,3,1,0.008540183096179287
ALL,0.2,body_rate_rmse_rad_s,0.6859568393531421,0.0005798524414205046,0.6853008362710671,0.6864009176836442,3,1,0.0008453191340249715
ALL,0.2,position_rmse_m,0.09296467425262321,0.0005867805459812472,0.0923022988169978,0.0934193751108384,3,1,0.006311865778034389
ALL,0.2,velocity_rmse_m_s,0.342498143410426,0.0034644951032250897,0.3397476895121253,0.3463891165382006,3,1,0.010115369002375816
ALL,0.5,attitude_error_deg,4.560018455709564,0.031409589114099745,4.523912986099733,4.581047528282063,3,1,0.006888039910183268
ALL,0.5,body_rate_rmse_rad_s,0.6411153259218222,0.005556476346665936,0.6362024136530775,0.6471455614521242,3,1,0.008666890529682166
ALL,0.5,position_rmse_m,0.21208797900804255,0.0031304707065704933,0.2086244853063982,0.2147158315327104,3,1,0.014760245824454687
ALL,0.5,velocity_rmse_m_s,0.395337255245199,0.010534174097263316,0.3835855498849149,0.403931910925791,3,1,0.0266460445037737
ALL,1.0,attitude_error_deg,6.933584677167346,0.15845753994600636,6.825817398500842,7.115524757972131,3,1,0.022853624398331107
ALL,1.0,body_rate_rmse_rad_s,0.6387623778565928,0.003033246657073187,0.6359169969658237,0.6419538082411659,3,1,0.004748630730650474
ALL,1.0,position_rmse_m,0.4889951718741332,0.015487812463569825,0.4722311355998635,0.5027714138435665,3,1,0.031672730845605096
ALL,1.0,velocity_rmse_m_s,0.6646164130089317,0.021997928992151743,0.6394208030419317,0.680006136461309,3,1,0.03309868453678425
Sep17,0.1,attitude_error_deg,2.1340822828462946,0.0019758881345375732,2.131903846581628,2.1357588215902155,3,1,0.0009258725169220126
Sep17,0.1,body_rate_rmse_rad_s,0.6753655551994565,0.006534210344613852,0.668284350998721,0.6811618867003224,3,1,0.009675071958154714
Sep17,0.1,position_rmse_m,0.03465186648995087,0.00017166881341301206,0.0344735112546146,0.0348159589861128,3,1,0.004954100047187832
Sep17,0.1,velocity_rmse_m_s,0.4925046030080576,0.005026648916703787,0.4892251489411984,0.4982917491304291,3,1,0.010206298349299994
Sep17,0.2,attitude_error_deg,3.1146078486963433,0.02112934119273009,3.099896847376658,3.138819769182708,3,1,0.00678394912591453
Sep17,0.2,body_rate_rmse_rad_s,0.6784207124523713,0.004711758286288605,0.6750646800921599,0.6838072932127857,3,1,0.0069451863715310645
Sep17,0.2,position_rmse_m,0.06871996929285606,0.0005328739365700761,0.0683724722315719,0.0693334779587706,3,1,0.007754280772437308
Sep17,0.2,velocity_rmse_m_s,0.35633128424708854,0.007317432867896483,0.3507832209940111,0.3646242894540189,3,1,0.02053547693225387
Sep17,0.5,attitude_error_deg,5.335179893971656,0.0027888142611845906,5.332919028999845,5.338296239891681,3,1,0.0005227216919781349
Sep17,0.5,body_rate_rmse_rad_s,0.61388284456116,0.007113748976714269,0.6063634286401215,0.62050597925525,3,1,0.011588121479106652
Sep17,0.5,position_rmse_m,0.1501473104319148,0.0025753640877977904,0.1473161705563885,0.1523509066627813,3,1,0.01715224921704878
Sep17,0.5,velocity_rmse_m_s,0.39799733947677246,0.014478263963396057,0.3840505035757027,0.41295414352941,3,1,0.03637779082249625
Sep17,1.0,attitude_error_deg,8.004626438856915,0.20116998476493908,7.819831438534304,8.218915155527657,3,1,0.02513171430316825
Sep17,1.0,body_rate_rmse_rad_s,0.6268856693064443,0.00924762467069606,0.6184740700714508,0.6367881618928889,3,1,0.014751692570875293
Sep17,1.0,position_rmse_m,0.37752544649639375,0.012988757321814152,0.3626835666437087,0.386816351287066,3,1,0.03440498499466903
Sep17,1.0,velocity_rmse_m_s,0.6967491372784784,0.026988594526497083,0.6656736684845999,0.714316813533249,3,1,0.03873502395986493
Sep7,0.1,attitude_error_deg,1.688563509960928,0.002986769718613159,1.6851320771662333,1.6905788011964122,3,1,0.0017688228491223705
Sep7,0.1,body_rate_rmse_rad_s,0.6900006508492044,0.0040680421895250675,0.6853079413461347,0.6925281834018227,3,1,0.005895707756968645
Sep7,0.1,position_rmse_m,0.05979333372761697,0.0001038363637114782,0.0596734340300896,0.0598534767821192,3,1,0.0017365876300608225
Sep7,0.1,velocity_rmse_m_s,0.4394357330044915,0.0014393861789590496,0.4385033668961938,0.4410934917600759,3,1,0.003275532850088769
Sep7,0.2,attitude_error_deg,2.397624971175499,0.02537476303471395,2.3780999182882727,2.426307271174341,3,1,0.01058329110672938
Sep7,0.2,body_rate_rmse_rad_s,0.6926556188204938,0.003826456112799971,0.6882678493419855,0.6952993653560671,3,1,0.005524326965420347
Sep7,0.2,position_rmse_m,0.1145155231057496,0.0010992542623693437,0.1135008242647953,0.1156832887812975,3,1,0.009599172518770535
Sep7,0.2,velocity_rmse_m_s,0.33020201822228157,0.0027663908202149147,0.327446664817805,0.3329793159026775,3,1,0.008377873748647617
Sep7,0.5,attitude_error_deg,3.8709860661432587,0.06177784068165726,3.800016760506889,3.912717305421813,3,1,0.01595919996250665
Sep7,0.5,body_rate_rmse_rad_s,0.6653219760201884,0.004768462116084883,0.6624147821021812,0.6708251900715679,3,1,0.007167149572615636
Sep7,0.5,position_rmse_m,0.2671463510757117,0.004228592122429505,0.2631207650841847,0.2715522559381645,3,1,0.015828747446492663
Sep7,0.5,velocity_rmse_m_s,0.3929727359282449,0.014888096872465133,0.3831722577153256,0.4101048350152012,3,1,0.03788582644874283
Sep7,1.0,attitude_error_deg,5.981547555665506,0.13780528136308448,5.867660010602645,6.134733293478329,3,1,0.023038399357463987
Sep7,1.0,body_rate_rmse_rad_s,0.6493194521233915,0.0025065744665189213,0.6465454938840788,0.6514218208719328,3,1,0.0038603101421372356
Sep7,1.0,position_rmse_m,0.5880793722099016,0.0199093221617969,0.569606752449779,0.6091669625414864,3,1,0.03385482147925215
Sep7,1.0,velocity_rmse_m_s,0.6360539914360013,0.018686120498392148,0.6160849226484489,0.6531165423668401,3,1,0.029378198627769032
ALL,0.1,attitude_error_deg,1.512981555571943,0.012644665407877035,1.5054705699586408,1.527580312860047,3,5,0.008357448483961888
ALL,0.1,body_rate_rmse_rad_s,0.5827077162725113,0.006693562808004016,0.5753398738934639,0.5884140016905628,3,5,0.011486998749255758
ALL,0.1,position_rmse_m,0.0362431970284691,0.0001065383312935834,0.0361227008994162,0.0363249143313908,3,5,0.0029395401076206754
ALL,0.1,velocity_rmse_m_s,0.1925711032561376,0.0025700518110603637,0.1898932886769724,0.1950177777239857,3,5,0.013345988923592312
ALL,0.2,attitude_error_deg,2.380460687277021,0.03169391239837025,2.345752286813813,2.407864727610823,3,5,0.013314192739147699
ALL,0.2,body_rate_rmse_rad_s,0.5981550981459945,0.005453376659467073,0.5941462000166904,0.6043650042407048,3,5,0.009116994365458106
ALL,0.2,position_rmse_m,0.07330828338768057,6.680092199547046e-05,0.0732437202307379,0.0733771171514989,3,5,0.0009112329317848457
ALL,0.2,velocity_rmse_m_s,0.23869523612107277,0.007185335349402422,0.230690692474582,0.2445881440388483,3,5,0.030102550290353608
ALL,0.5,attitude_error_deg,4.383241044788536,0.006036673522108204,4.3780191786665945,4.389850791781901,3,5,0.001377216872269783
ALL,0.5,body_rate_rmse_rad_s,0.6208543747102069,0.006952576882205141,0.6158859804323423,0.6287997639376611,3,5,0.011198402017301337
ALL,0.5,position_rmse_m,0.1984086839190089,0.0010033499333956758,0.1975333398593994,0.1995036539571971,3,5,0.005056985982555313
ALL,0.5,velocity_rmse_m_s,0.3862430800107393,0.0031421899203297543,0.3826747436958065,0.3885960974040061,3,5,0.008135265284862546
ALL,1.0,attitude_error_deg,6.973293917202173,0.11653086088207448,6.865612063936117,7.097012632837202,3,5,0.01671102097024888
