reference_history_steps,history_steps,cohort,horizon_s,metric,reference_error,error,relative_improvement_pct
1,13,Sep17,0.2,attitude_error_deg,3.1146078486963433,2.424208413301074,22.16649635954152
1,26,Sep17,0.2,attitude_error_deg,3.1146078486963433,2.376163835792054,23.70905259271642
13,26,Sep17,0.2,attitude_error_deg,2.424208413301074,2.376163835792054,1.981866626871295
5,13,Sep17,0.2,attitude_error_deg,2.576819839724266,2.424208413301074,5.922471725439774
5,26,Sep17,0.2,attitude_error_deg,2.576819839724266,2.376163835792054,7.786962861698689
1,5,Sep17,0.2,body_rate_rmse_rad_s,0.6784207124523713,0.568451335706472,16.209613699496206
1,13,Sep17,0.2,body_rate_rmse_rad_s,0.6784207124523713,0.5425986143487815,20.020334817405093
1,26,Sep17,0.2,body_rate_rmse_rad_s,0.6784207124523713,0.5370344702811892,20.840496107510596
13,26,Sep17,0.2,body_rate_rmse_rad_s,0.5425986143487815,0.5370344702811892,1.0254622699820777
5,13,Sep17,0.2,body_rate_rmse_rad_s,0.568451335706472,0.5425986143487815,4.547921648483888
5,26,Sep17,0.2,body_rate_rmse_rad_s,0.568451335706472,0.5370344702811892,5.526746697892415
1,5,Sep17,0.2,position_rmse_m,0.06871996929285606,0.04295246860746587,37.49637980130604
1,13,Sep17,0.2,position_rmse_m,0.06871996929285606,0.0407533157416074,40.69654547147186
1,26,Sep17,0.2,position_rmse_m,0.06871996929285606,0.040375887611762834,41.24577174984245
13,26,Sep17,0.2,position_rmse_m,0.0407533157416074,0.040375887611762834,0.9261286424830133
5,13,Sep17,0.2,position_rmse_m,0.04295246860746587,0.0407533157416074,5.119968507412449
5,26,Sep17,0.2,position_rmse_m,0.04295246860746587,0.040375887611762834,5.9986796550622055
1,5,Sep17,0.2,velocity_rmse_m_s,0.35633128424708854,0.25661984039061697,27.982792492429404
1,13,Sep17,0.2,velocity_rmse_m_s,0.35633128424708854,0.22459473217348033,36.970245919316746
1,26,Sep17,0.2,velocity_rmse_m_s,0.35633128424708854,0.22052783181036184,38.11157157409659
13,26,Sep17,0.2,velocity_rmse_m_s,0.22459473217348033,0.22052783181036184,1.8107728190067955
5,13,Sep17,0.2,velocity_rmse_m_s,0.25661984039061697,0.22459473217348033,12.479591666953434
5,26,Sep17,0.2,velocity_rmse_m_s,0.25661984039061697,0.22052783181036184,14.064387432132
1,5,Sep17,0.5,attitude_error_deg,5.335179893971656,4.914059082040236,7.893282331627735
1,13,Sep17,0.5,attitude_error_deg,5.335179893971656,4.6185260022751216,13.432609695247546
1,26,Sep17,0.5,attitude_error_deg,5.335179893971656,4.56950906185081,14.351359229442204
13,26,Sep17,0.5,attitude_error_deg,4.6185260022751216,4.56950906185081,1.061311344791944
5,13,Sep17,0.5,attitude_error_deg,4.914059082040236,4.6185260022751216,6.014031879372803
5,26,Sep17,0.5,attitude_error_deg,4.914059082040236,4.56950906185081,7.01151562154956
1,5,Sep17,0.5,body_rate_rmse_rad_s,0.61388284456116,0.5844522814159879,4.794166086561815
1,13,Sep17,0.5,body_rate_rmse_rad_s,0.61388284456116,0.5628384537500294,8.315005259288558
1,26,Sep17,0.5,body_rate_rmse_rad_s,0.61388284456116,0.5609187370666632,8.627722368159475
13,26,Sep17,0.5,body_rate_rmse_rad_s,0.5628384537500294,0.5609187370666632,0.3410777409709122
5,13,Sep17,0.5,body_rate_rmse_rad_s,0.5844522814159879,0.5628384537500294,3.6981338516796294
5,26,Sep17,0.5,body_rate_rmse_rad_s,0.5844522814159879,0.5609187370666632,4.026598081251152
1,5,Sep17,0.5,position_rmse_m,0.1501473104319148,0.13298325886179072,11.43147454373298
1,13,Sep17,0.5,position_rmse_m,0.1501473104319148,0.12944887854209694,13.785416355628746
1,26,Sep17,0.5,position_rmse_m,0.1501473104319148,0.1292848576220216,13.89465635440296
13,26,Sep17,0.5,position_rmse_m,0.12944887854209694,0.1292848576220216,0.12670710007116545
5,13,Sep17,0.5,position_rmse_m,0.13298325886179072,0.12944887854209694,2.6577633530300613
5,26,Sep17,0.5,position_rmse_m,0.13298325886179072,0.1292848576220216,2.781102878229848
1,5,Sep17,0.5,velocity_rmse_m_s,0.39799733947677246,0.39140924501451324,1.6553111814567063
1,13,Sep17,0.5,velocity_rmse_m_s,0.39799733947677246,0.37663523870557364,5.367397882428692
1,26,Sep17,0.5,velocity_rmse_m_s,0.39799733947677246,0.3736101737272393,6.127469540774758
13,26,Sep17,0.5,velocity_rmse_m_s,0.37663523870557364,0.3736101737272393,0.8031816111341357
5,13,Sep17,0.5,velocity_rmse_m_s,0.39140924501451324,0.37663523870557364,3.7745675395050493
5,26,Sep17,0.5,velocity_rmse_m_s,0.39140924501451324,0.3736101737272393,4.547432518262042
1,5,Sep17,1.0,attitude_error_deg,8.004626438856915,7.836625435329796,2.0987987985496845
1,13,Sep17,1.0,attitude_error_deg,8.004626438856915,7.577311084217961,5.338354736513798
1,26,Sep17,1.0,attitude_error_deg,8.004626438856915,7.565419632078857,5.486911976878938
13,26,Sep17,1.0,attitude_error_deg,7.577311084217961,7.565419632078857,0.15693498665868152
5,13,Sep17,1.0,attitude_error_deg,7.836625435329796,7.577311084217961,3.3090053014754246
5,26,Sep17,1.0,attitude_error_deg,7.836625435329796,7.565419632078857,3.460747301105701
1,5,Sep17,1.0,body_rate_rmse_rad_s,0.6268856693064443,0.6335579779757663,-1.0643581431210445
1,13,Sep17,1.0,body_rate_rmse_rad_s,0.6268856693064443,0.618797206954523,1.290261166899854
1,26,Sep17,1.0,body_rate_rmse_rad_s,0.6268856693064443,0.6173651306076728,1.518704153710279
13,26,Sep17,1.0,body_rate_rmse_rad_s,0.618797206954523,0.6173651306076728,0.23142902565741721
5,13,Sep17,1.0,body_rate_rmse_rad_s,0.6335579779757663,0.618797206954523,2.3298216634260256
5,26,Sep17,1.0,body_rate_rmse_rad_s,0.6335579779757663,0.6173651306076728,2.5558588055082203
1,5,Sep17,1.0,position_rmse_m,0.37752544649639375,0.37839485485878716,-0.23029132750173806
1,13,Sep17,1.0,position_rmse_m,0.37752544649639375,0.37449157819098833,0.803619552949631
1,26,Sep17,1.0,position_rmse_m,0.37752544649639375,0.3681691488196273,2.478322392198219
13,26,Sep17,1.0,position_rmse_m,0.37449157819098833,0.3681691488196273,1.6882701079426188
5,13,Sep17,1.0,position_rmse_m,0.37839485485878716,0.37449157819098833,1.0315353440139898
5,26,Sep17,1.0,position_rmse_m,0.37839485485878716,0.3681691488196273,2.7023903490907575
1,5,Sep17,1.0,velocity_rmse_m_s,0.6967491372784784,0.7286013830908898,-4.5715515252486965
1,13,Sep17,1.0,velocity_rmse_m_s,0.6967491372784784,0.7091304599578262,-1.777012990315218
1,26,Sep17,1.0,velocity_rmse_m_s,0.6967491372784784,0.6881681494601164,1.2315749470289417
13,26,Sep17,1.0,velocity_rmse_m_s,0.7091304599578262,0.6881681494601164,2.956058395652118
5,13,Sep17,1.0,velocity_rmse_m_s,0.7286013830908898,0.7091304599578262,2.6723697737799563
5,26,Sep17,1.0,velocity_rmse_m_s,0.7286013830908898,0.6881681494601164,5.549431358371383
1,5,Sep7,0.1,attitude_error_deg,1.688563509960928,1.4464006306276966,14.341354524404876
1,13,Sep7,0.1,attitude_error_deg,1.688563509960928,1.351716033622669,19.948759661758494
1,26,Sep7,0.1,attitude_error_deg,1.688563509960928,1.3518853504819213,19.938732389568052
13,26,Sep7,0.1,attitude_error_deg,1.351716033622669,1.3518853504819213,-0.012526067239024857
5,13,Sep7,0.1,attitude_error_deg,1.4464006306276966,1.351716033622669,6.546222049414982
5,26,Sep7,0.1,attitude_error_deg,1.4464006306276966,1.3518853504819213,6.534515966351482
1,5,Sep7,0.1,body_rate_rmse_rad_s,0.6900006508492044,0.6035596702391762,12.52766653243626
1,13,Sep7,0.1,body_rate_rmse_rad_s,0.6900006508492044,0.5670531376857273,17.818463361181166
1,26,Sep7,0.1,body_rate_rmse_rad_s,0.6900006508492044,0.5612731696335446,18.65613910033723
13,26,Sep7,0.1,body_rate_rmse_rad_s,0.5670531376857273,0.5612731696335446,1.019299192271837
5,13,Sep7,0.1,body_rate_rmse_rad_s,0.6035596702391762,0.5670531376857273,6.048537427787756
5,26,Sep7,0.1,body_rate_rmse_rad_s,0.6035596702391762,0.5612731696335446,7.006183926913893
1,5,Sep7,0.1,position_rmse_m,0.05979333372761697,0.0512744651418059,14.247187863145403
1,13,Sep7,0.1,position_rmse_m,0.05979333372761697,0.050216867690032196,16.01594264873988
1,26,Sep7,0.1,position_rmse_m,0.05979333372761697,0.05005917023103227,16.279680174595697
13,26,Sep7,0.1,position_rmse_m,0.050216867690032196,0.05005917023103227,0.31403284643982055
5,13,Sep7,0.1,position_rmse_m,0.0512744651418059,0.050216867690032196,2.062620153811035
5,26,Sep7,0.1,position_rmse_m,0.0512744651418059,0.05005917023103227,2.370175695470601
1,5,Sep7,0.1,velocity_rmse_m_s,0.4394357330044915,0.18989201937220757,56.787305831074356
1,13,Sep7,0.1,velocity_rmse_m_s,0.4394357330044915,0.14669232758342773,66.61802476087479
1,26,Sep7,0.1,velocity_rmse_m_s,0.4394357330044915,0.13750282218963325,68.70923052854516
13,26,Sep7,0.1,velocity_rmse_m_s,0.14669232758342773,0.13750282218963325,6.264475821728423
5,13,Sep7,0.1,velocity_rmse_m_s,0.18989201937220757,0.14669232758342773,22.749608925957055
5,26,Sep7,0.1,velocity_rmse_m_s,0.18989201937220757,0.13750282218963325,27.588940996981126
1,5,Sep7,0.2,attitude_error_deg,2.397624971175499,2.205919218435026,7.995652157663527
1,13,Sep7,0.2,attitude_error_deg,2.397624971175499,2.0694265448630853,13.688480486233251
1,26,Sep7,0.2,attitude_error_deg,2.397624971175499,2.0367704978430776,15.050496957224425
13,26,Sep7,0.2,attitude_error_deg,2.0694265448630853,2.0367704978430776,1.5780239748576448
5,13,Sep7,0.2,attitude_error_deg,2.205919218435026,2.0694265448630853,6.187564459807113
5,26,Sep7,0.2,attitude_error_deg,2.205919218435026,2.0367704978430776,7.667947184029231
1,5,Sep7,0.2,body_rate_rmse_rad_s,0.6926556188204938,0.6245584425366811,9.831317964297124
1,13,Sep7,0.2,body_rate_rmse_rad_s,0.6926556188204938,0.5998639758173689,13.396504768291265
1,26,Sep7,0.2,body_rate_rmse_rad_s,0.6926556188204938,0.5922815168826502,14.491198686696308
13,26,Sep7,0.2,body_rate_rmse_rad_s,0.5998639758173689,0.5922815168826502,1.2640297201356314
5,13,Sep7,0.2,body_rate_rmse_rad_s,0.6245584425366811,0.5998639758173689,3.9539080792846466
5,26,Sep7,0.2,body_rate_rmse_rad_s,0.6245584425366811,0.5922815168826502,5.167959226191276
1,5,Sep7,0.2,position_rmse_m,0.1145155231057496,0.10029122985898253,12.42127954446107
1,13,Sep7,0.2,position_rmse_m,0.1145155231057496,0.09767705513107473,14.704092089877935
1,26,Sep7,0.2,position_rmse_m,0.1145155231057496,0.09704252995777136,15.258187426557674
13,26,Sep7,0.2,position_rmse_m,0.09767705513107473,0.09704252995777136,0.6496153804513117
5,13,Sep7,0.2,position_rmse_m,0.10029122985898253,0.09767705513107473,2.606583578228663
5,26,Sep7,0.2,position_rmse_m,0.10029122985898253,0.09704252995777136,3.2392661908514837
1,5,Sep7,0.2,velocity_rmse_m_s,0.33020201822228157,0.2227622545481446,32.53758540076878
1,13,Sep7,0.2,velocity_rmse_m_s,0.33020201822228157,0.18263359600542536,44.69034532596884
1,26,Sep7,0.2,velocity_rmse_m_s,0.33020201822228157,0.1731252147926029,47.569910164491944
13,26,Sep7,0.2,velocity_rmse_m_s,0.18263359600542536,0.1731252147926029,5.206260743253396
5,13,Sep7,0.2,velocity_rmse_m_s,0.2227622545481446,0.18263359600542536,18.014119413595004
5,26,Sep7,0.2,velocity_rmse_m_s,0.2227622545481446,0.1731252147926029,22.282518129575617
1,5,Sep7,0.5,attitude_error_deg,3.8709860661432587,3.911402789453691,-1.0440937430369115
1,13,Sep7,0.5,attitude_error_deg,3.8709860661432587,3.7039716149224353,4.314519565998419
1,26,Sep7,0.5,attitude_error_deg,3.8709860661432587,3.641853556010805,5.9192284915854225
13,26,Sep7,0.5,attitude_error_deg,3.7039716149224353,3.641853556010805,1.6770662782989751
5,13,Sep7,0.5,attitude_error_deg,3.911402789453691,3.7039716149224353,5.3032424860603
5,26,Sep7,0.5,attitude_error_deg,3.911402789453691,3.641853556010805,6.891369872969133
1,5,Sep7,0.5,body_rate_rmse_rad_s,0.6653219760201884,0.6532117909717347,1.8201991644548154
1,13,Sep7,0.5,body_rate_rmse_rad_s,0.6653219760201884,0.6327263065831575,4.8992323434152985
1,26,Sep7,0.5,body_rate_rmse_rad_s,0.6653219760201884,0.6282724179299914,5.56866591297936
13,26,Sep7,0.5,body_rate_rmse_rad_s,0.6327263065831575,0.6282724179299914,0.7039202585424241
5,13,Sep7,0.5,body_rate_rmse_rad_s,0.6532117909717347,0.6327263065831575,3.1361167498373503
5,26,Sep7,0.5,body_rate_rmse_rad_s,0.6532117909717347,0.6282724179299914,3.8179612472461275
1,5,Sep7,0.5,position_rmse_m,0.2671463510757117,0.25656461730320285,3.9610250074162203
1,13,Sep7,0.5,position_rmse_m,0.2671463510757117,0.2509562027570252,6.060404064474046
1,26,Sep7,0.5,position_rmse_m,0.2671463510757117,0.2484938038804437,6.982145599279292
13,26,Sep7,0.5,position_rmse_m,0.2509562027570252,0.2484938038804437,0.9812066207287825
5,13,Sep7,0.5,position_rmse_m,0.25656461730320285,0.2509562027570252,2.185965705298231
5,26,Sep7,0.5,position_rmse_m,0.25656461730320285,0.2484938038804437,3.1457234857997665
1,5,Sep7,0.5,velocity_rmse_m_s,0.3929727359282449,0.3816509333407181,2.8810656700606603
1,13,Sep7,0.5,velocity_rmse_m_s,0.3929727359282449,0.35408712414223503,9.895244181293585
1,26,Sep7,0.5,velocity_rmse_m_s,0.3929727359282449,0.3427786484685312,12.772918543865325
13,26,Sep7,0.5,velocity_rmse_m_s,0.35408712414223503,0.3427786484685312,3.193698641569722
5,13,Sep7,0.5,velocity_rmse_m_s,0.3816509333407181,0.35408712414223503,7.222256462785989
5,26,Sep7,0.5,velocity_rmse_m_s,0.3816509333407181,0.3427786484685312,10.185297997813034
1,5,Sep7,1.0,attitude_error_deg,5.981547555665506,6.2058881233109515,-3.7505439112150465
1,13,Sep7,1.0,attitude_error_deg,5.981547555665506,6.055418651526847,-1.234983006887116
1,26,Sep7,1.0,attitude_error_deg,5.981547555665506,5.9165544682314755,1.0865597377466618
13,26,Sep7,1.0,attitude_error_deg,6.055418651526847,5.9165544682314755,2.293221844543443
5,13,Sep7,1.0,attitude_error_deg,6.2058881233109515,6.055418651526847,2.424624305083771
5,26,Sep7,1.0,attitude_error_deg,6.2058881233109515,5.9165544682314755,4.662244135414923
1,5,Sep7,1.0,body_rate_rmse_rad_s,0.6493194521233915,0.6553495904701975,-0.9286859229438381
1,13,Sep7,1.0,body_rate_rmse_rad_s,0.6493194521233915,0.6289902917487068,3.130841114986571
1,26,Sep7,1.0,body_rate_rmse_rad_s,0.6493194521233915,0.6243690023470577,3.842553876176249
13,26,Sep7,1.0,body_rate_rmse_rad_s,0.6289902917487068,0.6243690023470577,0.7347155373099726
5,13,Sep7,1.0,body_rate_rmse_rad_s,0.6553495904701975,0.6289902917487068,4.0221736771939565
5,26,Sep7,1.0,body_rate_rmse_rad_s,0.6553495904701975,0.6243690023470577,4.7273376795599935
1,5,Sep7,1.0,position_rmse_m,0.5880793722099016,0.5942882388553961,-1.0557871843323823
1,13,Sep7,1.0,position_rmse_m,0.5880793722099016,0.5806751935418496,1.2590441049187546
1,26,Sep7,1.0,position_rmse_m,0.5880793722099016,0.568097537221355,3.397812596870766
13,26,Sep7,1.0,position_rmse_m,0.5806751935418496,0.568097537221355,2.1660398894908344
5,13,Sep7,1.0,position_rmse_m,0.5942882388553961,0.5806751935418496,2.2906469324995045
5,26,Sep7,1.0,position_rmse_m,0.5942882388553961,0.568097537221355,4.4070704957050015
