reference_history_steps,history_steps,cohort,horizon_s,metric,reference_error,error,relative_improvement_pct
1,5,ALL,0.1,attitude_error_deg,1.8982194030834532,1.512981555571943,20.294695485976632
1,13,ALL,0.1,attitude_error_deg,1.8982194030834532,1.4226896200954444,25.051360354633495
1,26,ALL,0.1,attitude_error_deg,1.8982194030834532,1.4073877652708784,25.85747659176129
13,26,ALL,0.1,attitude_error_deg,1.4226896200954444,1.4073877652708784,1.0755581968426444
5,13,ALL,0.1,attitude_error_deg,1.512981555571943,1.4226896200954444,5.967814686436551
5,26,ALL,0.1,attitude_error_deg,1.512981555571943,1.4073877652708784,6.979185563246848
1,5,ALL,0.1,body_rate_rmse_rad_s,0.6831135470140289,0.5827077162725113,14.698263733811686
1,13,ALL,0.1,body_rate_rmse_rad_s,0.6831135470140289,0.5516835584846302,19.239845133198557
1,26,ALL,0.1,body_rate_rmse_rad_s,0.6831135470140289,0.545328817446893,20.170106444149656
13,26,ALL,0.1,body_rate_rmse_rad_s,0.5516835584846302,0.545328817446893,1.151881534260785
5,13,ALL,0.1,body_rate_rmse_rad_s,0.5827077162725113,0.5516835584846302,5.324137113944131
5,26,ALL,0.1,body_rate_rmse_rad_s,0.5827077162725113,0.545328817446893,6.414690895930668
1,5,ALL,0.1,position_rmse_m,0.04796205502753883,0.0362431970284691,24.433602756055805
1,13,ALL,0.1,position_rmse_m,0.04796205502753883,0.03551983919759367,25.941790490005268
1,26,ALL,0.1,position_rmse_m,0.04796205502753883,0.03533975990047313,26.317252502667436
13,26,ALL,0.1,position_rmse_m,0.03551983919759367,0.03533975990047313,0.5069822983115753
5,13,ALL,0.1,position_rmse_m,0.0362431970284691,0.03551983919759367,1.9958444347700146
5,26,ALL,0.1,position_rmse_m,0.0362431970284691,0.03533975990047313,2.4927081550954693
1,5,ALL,0.1,velocity_rmse_m_s,0.46440931888852255,0.1925711032561376,58.5341862396257
1,13,ALL,0.1,velocity_rmse_m_s,0.46440931888852255,0.15268459413242777,67.1228401493213
1,26,ALL,0.1,velocity_rmse_m_s,0.46440931888852255,0.14492896236407943,68.79283931878456
13,26,ALL,0.1,velocity_rmse_m_s,0.15268459413242777,0.14492896236407943,5.0795116641706874
5,13,ALL,0.1,velocity_rmse_m_s,0.1925711032561376,0.15268459413242777,20.712613912097208
5,26,ALL,0.1,velocity_rmse_m_s,0.1925711032561376,0.14492896236407943,24.740025936648276
1,5,ALL,0.2,attitude_error_deg,2.735028678244132,2.380460687277021,12.963958798221498
1,13,ALL,0.2,attitude_error_deg,2.735028678244132,2.236382718245668,18.231836615277867
1,26,ALL,0.2,attitude_error_deg,2.735028678244132,2.196485009819066,19.690604076985665
13,26,ALL,0.2,attitude_error_deg,2.236382718245668,2.196485009819066,1.7840286504225853
5,13,ALL,0.2,attitude_error_deg,2.380460687277021,2.236382718245668,6.052524614307398
5,26,ALL,0.2,attitude_error_deg,2.380460687277021,2.196485009819066,7.728574491536859
1,5,ALL,0.2,body_rate_rmse_rad_s,0.6859568393531421,0.5981550981459945,12.799892962645387
1,13,ALL,0.2,body_rate_rmse_rad_s,0.6859568393531421,0.5729155704203867,16.479355908070463
1,26,ALL,0.2,body_rate_rmse_rad_s,0.6859568393531421,0.5662829067172568,17.44627734140503
13,26,ALL,0.2,body_rate_rmse_rad_s,0.5729155704203867,0.5662829067172568,1.1577035161154792
5,13,ALL,0.2,body_rate_rmse_rad_s,0.5981550981459945,0.5729155704203867,4.2195624184829
5,26,ALL,0.2,body_rate_rmse_rad_s,0.5981550981459945,0.5662829067172568,5.328415912114915
1,5,ALL,0.2,position_rmse_m,0.09296467425262321,0.07330828338768057,21.143935610991495
1,13,ALL,0.2,position_rmse_m,0.09296467425262321,0.07088941306544307,23.745859773780946
1,26,ALL,0.2,position_rmse_m,0.09296467425262321,0.07037587473612027,24.298261353683547
13,26,ALL,0.2,position_rmse_m,0.07088941306544307,0.07037587473612027,0.7244217537091402
5,13,ALL,0.2,position_rmse_m,0.07330828338768057,0.07088941306544307,3.2995866366773963
5,26,ALL,0.2,position_rmse_m,0.07330828338768057,0.07037587473612027,4.000105467007966
1,5,ALL,0.2,velocity_rmse_m_s,0.342498143410426,0.23869523612107277,30.307582474969223
1,13,ALL,0.2,velocity_rmse_m_s,0.342498143410426,0.2023800130256865,40.91062479624354
1,26,ALL,0.2,velocity_rmse_m_s,0.342498143410426,0.19543232868331298,42.93915676818124
13,26,ALL,0.2,velocity_rmse_m_s,0.2023800130256865,0.19543232868331298,3.4329893740503477
5,13,ALL,0.2,velocity_rmse_m_s,0.23869523612107277,0.2023800130256865,15.214054409098548
5,26,ALL,0.2,velocity_rmse_m_s,0.23869523612107277,0.19543232868331298,18.124746911922305
1,5,ALL,0.5,attitude_error_deg,4.560018455709564,4.383241044788536,3.876681917804209
1,13,ALL,0.5,attitude_error_deg,4.560018455709564,4.134350150147228,9.334793481578114
1,26,ALL,0.5,attitude_error_deg,4.560018455709564,4.078397323464926,10.561824188268448
13,26,ALL,0.5,attitude_error_deg,4.134350150147228,4.078397323464926,1.3533644865641115
5,13,ALL,0.5,attitude_error_deg,4.383241044788536,4.134350150147228,5.678238821413377
5,26,ALL,0.5,attitude_error_deg,4.383241044788536,4.078397323464926,6.954756040306183
1,5,ALL,0.5,body_rate_rmse_rad_s,0.6411153259218222,0.6208543747102069,3.1602662410983973
1,13,ALL,0.5,body_rate_rmse_rad_s,0.6411153259218222,0.5998379052499208,6.438376841569189
1,26,ALL,0.5,body_rate_rmse_rad_s,0.6411153259218222,0.5965765681119546,6.9470742640301
13,26,ALL,0.5,body_rate_rmse_rad_s,0.5998379052499208,0.5965765681119546,0.5437030753512222
5,13,ALL,0.5,body_rate_rmse_rad_s,0.6208543747102069,0.5998379052499208,3.3850884066164273
5,26,ALL,0.5,body_rate_rmse_rad_s,0.6208543747102069,0.5965765681119546,3.910386652197518
1,5,ALL,0.5,position_rmse_m,0.21208797900804255,0.1984086839190089,6.449821037954688
1,13,ALL,0.5,position_rmse_m,0.21208797900804255,0.19377628547941195,8.634008214079973
1,26,ALL,0.5,position_rmse_m,0.21208797900804255,0.19239547622942152,9.285063147249035
13,26,ALL,0.5,position_rmse_m,0.19377628547941195,0.19239547622942152,0.7125790684728209
5,13,ALL,0.5,position_rmse_m,0.1984086839190089,0.19377628547941195,2.334776053193273
5,26,ALL,0.5,position_rmse_m,0.1984086839190089,0.19239547622942152,3.030717996215323
1,5,ALL,0.5,velocity_rmse_m_s,0.395337255245199,0.3862430800107393,2.300358773123786
1,13,ALL,0.5,velocity_rmse_m_s,0.395337255245199,0.36469800158380616,7.750155912422055
1,26,ALL,0.5,velocity_rmse_m_s,0.395337255245199,0.3572876015314527,9.624606132843933
13,26,ALL,0.5,velocity_rmse_m_s,0.36469800158380616,0.3572876015314527,2.031927792357414
5,13,ALL,0.5,velocity_rmse_m_s,0.3862430800107393,0.36469800158380616,5.578113768752595
5,26,ALL,0.5,velocity_rmse_m_s,0.3862430800107393,0.3572876015314527,7.49669831715341
1,5,ALL,1.0,attitude_error_deg,6.933584677167346,6.973293917202173,-0.5727086620228565
1,13,ALL,1.0,attitude_error_deg,6.933584677167346,6.771603325734431,2.336184801583627
1,26,ALL,1.0,attitude_error_deg,6.933584677167346,6.692491015924361,3.4771863685016924
13,26,ALL,1.0,attitude_error_deg,6.771603325734431,6.692491015924361,1.168295099469519
5,13,ALL,1.0,attitude_error_deg,6.973293917202173,6.771603325734431,2.8923288457725578
5,26,ALL,1.0,attitude_error_deg,6.973293917202173,6.692491015924361,4.026833009076372
1,5,ALL,1.0,body_rate_rmse_rad_s,0.6387623778565928,0.6450947140022298,-0.9913445696168812
1,13,ALL,1.0,body_rate_rmse_rad_s,0.6387623778565928,0.6241935459632085,2.280790540963127
1,26,ALL,1.0,body_rate_rmse_rad_s,0.6387623778565928,0.6210730627049943,2.7693107429019466
13,26,ALL,1.0,body_rate_rmse_rad_s,0.6241935459632085,0.6210730627049943,0.499922384394241
5,13,ALL,1.0,body_rate_rmse_rad_s,0.6450947140022298,0.6241935459632085,3.240015393917654
5,26,ALL,1.0,body_rate_rmse_rad_s,0.6450947140022298,0.6210730627049943,3.7237402160998814
1,5,ALL,1.0,position_rmse_m,0.4889951718741332,0.4926913522687566,-0.7558725744586238
1,13,ALL,1.0,position_rmse_m,0.4889951718741332,0.48364760984732663,1.0935817640716996
1,26,ALL,1.0,position_rmse_m,0.4889951718741332,0.474013589738189,3.063748478032097
13,26,ALL,1.0,position_rmse_m,0.48364760984732663,0.474013589738189,1.9919503194027541
5,13,ALL,1.0,position_rmse_m,0.4926913522687566,0.48364760984732663,1.835579695033236
5,26,ALL,1.0,position_rmse_m,0.4926913522687566,0.474013589738189,3.7909661788378832
1,5,ALL,1.0,velocity_rmse_m_s,0.6646164130089317,0.6996483713243394,-5.271004090435687
1,13,ALL,1.0,velocity_rmse_m_s,0.6646164130089317,0.673120233573043,-1.279508058732966
1,26,ALL,1.0,velocity_rmse_m_s,0.6646164130089317,0.6477484181435842,2.5380045594993192
13,26,ALL,1.0,velocity_rmse_m_s,0.673120233573043,0.6477484181435842,3.769284321581097
5,13,ALL,1.0,velocity_rmse_m_s,0.6996483713243394,0.673120233573043,3.7916386057016487
5,26,ALL,1.0,velocity_rmse_m_s,0.6996483713243394,0.6477484181435842,7.418005287787017
1,5,Sep17,0.1,attitude_error_deg,2.1340822828462946,1.58788509613422,25.594007836642263
1,13,Sep17,0.1,attitude_error_deg,2.1340822828462946,1.5025349048773171,29.59339398697703
1,26,Sep17,0.1,attitude_error_deg,2.1340822828462946,1.4698279819084552,31.12599295149491
13,26,Sep17,0.1,attitude_error_deg,1.5025349048773171,1.4698279819084552,2.1767829061869577
5,13,Sep17,0.1,attitude_error_deg,1.58788509613422,1.5025349048773171,5.375086110745155
5,26,Sep17,0.1,attitude_error_deg,1.58788509613422,1.4698279819084552,7.434865061280583
1,5,Sep17,0.1,body_rate_rmse_rad_s,0.6753655551994565,0.5592492680600133,17.193101757336507
1,13,Sep17,0.1,body_rate_rmse_rad_s,0.6753655551994565,0.5343927818833959,20.873550957810835
1,26,Sep17,0.1,body_rate_rmse_rad_s,0.6753655551994565,0.52739142123691,21.910228145829137
13,26,Sep17,0.1,body_rate_rmse_rad_s,0.5343927818833959,0.52739142123691,1.3101525476842282
5,13,Sep17,0.1,body_rate_rmse_rad_s,0.5592492680600133,0.5343927818833959,4.444616666704343
5,26,Sep17,0.1,body_rate_rmse_rad_s,0.5592492680600133,0.52739142123691,5.6965379558949465
1,5,Sep17,0.1,position_rmse_m,0.03465186648995087,0.0193330204009652,44.20785268068654
1,13,Sep17,0.1,position_rmse_m,0.03465186648995087,0.018985682143600333,45.21021789949978
1,26,Sep17,0.1,position_rmse_m,0.03465186648995087,0.018780423278594135,45.802563668423154
13,26,Sep17,0.1,position_rmse_m,0.018985682143600333,0.018780423278594135,1.0811245203290565
5,13,Sep17,0.1,position_rmse_m,0.0193330204009652,0.018985682143600333,1.7966062734177182
5,26,Sep17,0.1,position_rmse_m,0.0193330204009652,0.018780423278594135,2.858307242791086
1,5,Sep17,0.1,velocity_rmse_m_s,0.4925046030080576,0.19558507262555902,60.28766605814664
1,13,Sep17,0.1,velocity_rmse_m_s,0.4925046030080576,0.1594258940000528,67.62956264239331
1,26,Sep17,0.1,velocity_rmse_m_s,0.4925046030080576,0.15328337006033144,68.87676396847327
13,26,Sep17,0.1,velocity_rmse_m_s,0.1594258940000528,0.15328337006033144,3.852902301880354
5,13,Sep17,0.1,velocity_rmse_m_s,0.19558507262555902,0.1594258940000528,18.487698544730833
5,26,Sep17,0.1,velocity_rmse_m_s,0.19558507262555902,0.15328337006033144,21.62828788381655
1,5,Sep17,0.2,attitude_error_deg,3.1146078486963433,2.576819839724266,17.26663628607932
