reference_history_steps,history_steps,cohort,flight_id,horizon_s,metric,reference_error,error,delta
1,5,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,position_rmse_m,0.0394402103984553,0.0194519865206229,-0.0199882238778324
1,5,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,position_rmse_m,0.0782576548531356,0.0423709746871102,-0.0358866801660254
1,5,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,position_rmse_m,0.17200253058778436,0.1411289069849774,-0.03087362360280696
1,5,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,position_rmse_m,0.4331498411074706,0.4139759584933414,-0.019173882614129223
1,5,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,position_rmse_m,0.035008925094628336,0.02072643060009023,-0.014282494494538105
1,5,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,position_rmse_m,0.06775435269839716,0.04304882686808476,-0.0247055258303124
1,5,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,position_rmse_m,0.14770825328215906,0.1256052286385334,-0.02210302464362565
1,5,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,position_rmse_m,0.3544992273128238,0.3624266552695079,0.007927427956684108
1,5,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,position_rmse_m,0.035282404740063465,0.016647643016987165,-0.0186347617230763
1,5,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,position_rmse_m,0.06524114487682707,0.038270548839732334,-0.026970596037094736
1,5,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,position_rmse_m,0.13328583666786784,0.12007254450968184,-0.013213292158185994
1,5,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,position_rmse_m,0.3650964137094222,0.3634570305627492,-0.0016393831466730013
1,5,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.1,position_rmse_m,0.03382797832966783,0.018938733627738565,-0.014889244701929264
1,5,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.2,position_rmse_m,0.06617609073692264,0.043399015648196294,-0.022777075088726347
1,5,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.5,position_rmse_m,0.1661332038980108,0.14584013529621312,-0.020293068601797692
1,5,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,1.0,position_rmse_m,0.43395075645991943,0.41811809069635175,-0.015832665763567677
1,5,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.1,position_rmse_m,0.0309546997016872,0.021535770042423366,-0.009418929659263834
1,5,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.2,position_rmse_m,0.06065754691611843,0.044148199971333534,-0.016509346944784897
1,5,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.5,position_rmse_m,0.1335645759942334,0.12442423420100206,-0.009140341793231352
1,5,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,1.0,position_rmse_m,0.35705375718455296,0.3702838798575538,0.013230122673000833
1,5,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.1,position_rmse_m,0.0409685579949729,0.022839799306615168,-0.01812875868835773
1,5,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.2,position_rmse_m,0.07598394656069983,0.04521048281972614,-0.030773463740973693
1,5,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.5,position_rmse_m,0.14876591663500183,0.13275872685226023,-0.0160071897827416
1,5,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,1.0,position_rmse_m,0.3527040425047508,0.35831221684800224,0.005608174343251449
1,5,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.1,position_rmse_m,0.03184751491158291,0.017907041671615533,-0.013940473239967374
1,5,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.2,position_rmse_m,0.06707893077513827,0.044036819302028435,-0.023042111473109833
1,5,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.5,position_rmse_m,0.13796242898084643,0.13428631729720805,-0.003676111683638378
1,5,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,1.0,position_rmse_m,0.3298269994350276,0.35724297492524654,0.027415975490218958
1,5,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.1,position_rmse_m,0.029884640748549064,0.016616758421628634,-0.01326788232692043
1,5,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.2,position_rmse_m,0.0686100869256097,0.04313488072351527,-0.02547520620209443
1,5,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.5,position_rmse_m,0.16175573740941476,0.13974997711444953,-0.022005760294965232
1,5,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,1.0,position_rmse_m,0.3939225342571824,0.3833420322175443,-0.010580502039638062
1,5,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.1,position_rmse_m,0.03201357245261966,0.015463144214821834,-0.01655042823779783
1,5,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.2,position_rmse_m,0.05481493112026903,0.03147149521547333,-0.0233434359047957
1,5,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0.5,position_rmse_m,0.1280613334582847,0.10675598539947277,-0.021305348058811915
1,5,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,1.0,position_rmse_m,0.3526147602100429,0.3449960310945421,-0.007618729115500822
1,5,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.1,position_rmse_m,0.0660861094725159,0.06010065046870327,-0.005985459003812636
1,5,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.2,position_rmse_m,0.12357303266971124,0.11472458053518803,-0.008848452134523219
1,5,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,0.5,position_rmse_m,0.2826341759308795,0.27966615846277076,-0.0029680174681087634
1,5,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,1.0,position_rmse_m,0.634283597589079,0.6543812678407569,0.020097670251677857
1,5,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.1,position_rmse_m,0.03573690631055333,0.0237224673437353,-0.01201443896681803
1,5,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.2,position_rmse_m,0.06415904407432843,0.04541276808358493,-0.0187462759907435
1,5,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,0.5,position_rmse_m,0.13049204234116304,0.1284054911085712,-0.0020865512325918545
1,5,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,1.0,position_rmse_m,0.34069157194053395,0.362679980382769,0.02198840844223504
1,5,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.1,position_rmse_m,0.0366757861520249,0.025179405003009265,-0.011496381149015637
1,5,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.2,position_rmse_m,0.0699595397057326,0.04959603270465216,-0.020363507001080437
1,5,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,0.5,position_rmse_m,0.15195637678800603,0.13548184270281657,-0.01647453408518945
1,5,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,1.0,position_rmse_m,0.39978380644274286,0.4106223579135649,0.010838551470822022
1,5,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.1,position_rmse_m,0.0392834923272958,0.023950783499810835,-0.015332708827484963
1,5,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.2,position_rmse_m,0.08048359712248677,0.04949662319195027,-0.030986973930536503
1,5,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.5,position_rmse_m,0.15977752317704505,0.12300467528096341,-0.03677284789608164
1,5,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,1.0,position_rmse_m,0.3722349361106619,0.3593208366106842,-0.012914099499977683
1,5,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.1,position_rmse_m,0.06566778330603863,0.060122407079473604,-0.005545376226565028
1,5,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.2,position_rmse_m,0.11939257733708576,0.10907981357375336,-0.0103127637633324
1,5,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.5,position_rmse_m,0.2518461674662975,0.24216547028969135,-0.009680697176606162
1,5,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,1.0,position_rmse_m,0.48913198865546653,0.48820168063656966,-0.0009303080188968749
1,5,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.1,position_rmse_m,0.08832131117078369,0.08605745050566956,-0.002263860665114137
1,5,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.2,position_rmse_m,0.17061799445217832,0.16727917365934733,-0.0033388207928309876
