reference_history_steps,history_steps,cohort,horizon_s,metric,n_seeds,seeds_improved,mean_paired_difference,min_paired_difference,max_paired_difference
1,5,ALL,0.1,position_rmse_m,3,3,-0.01171885799906973,-0.011948414566935295,-0.0115803762629509
1,5,ALL,0.2,position_rmse_m,3,3,-0.019656390864942638,-0.020042257959339504,-0.0189982860361929
1,5,ALL,0.5,position_rmse_m,3,3,-0.013679295089033669,-0.015390280325619704,-0.010435427365968003
1,5,ALL,1.0,position_rmse_m,3,1,0.0036961803946234015,-0.006726566942673429,0.01707292632313917
1,5,Sep17,0.1,position_rmse_m,3,3,-0.015318846088985665,-0.015426802102541895,-0.0151362570309676
1,5,Sep17,0.2,position_rmse_m,3,3,-0.025767500685390198,-0.025977649579383297,-0.025490377024371506
1,5,Sep17,0.5,position_rmse_m,3,3,-0.01716405157012409,-0.018660492254759103,-0.01559987352461048
1,5,Sep17,1.0,position_rmse_m,3,1,0.000869408362393409,-0.009742318389648785,0.011325881309826313
1,5,Sep7,0.1,position_rmse_m,3,3,-0.008518868585811065,-0.008856514535284896,-0.008190951489176
1,5,Sep7,0.2,position_rmse_m,3,3,-0.014224293246767064,-0.015199485457088796,-0.012794407331134891
1,5,Sep7,0.5,position_rmse_m,3,3,-0.010581733772508872,-0.013416967481744924,-0.005844808558285897
1,5,Sep7,1.0,position_rmse_m,3,1,0.0062088666454944335,-0.004045898989806673,0.022181410779417154
1,5,ALL,0.1,velocity_rmse_m_s,3,3,-0.2718382156323849,-0.2742135768207362,-0.26967977161751167
1,5,ALL,0.2,velocity_rmse_m_s,3,3,-0.10380290728935325,-0.11066693170637013,-0.09515954547327701
1,5,ALL,0.5,velocity_rmse_m_s,3,3,-0.009094175234459692,-0.016473511993385592,-0.0009108061891083818
1,5,ALL,1.0,velocity_rmse_m_s,3,0,0.03503195831540762,0.011954220340426258,0.04714022186259381
1,5,Sep17,0.1,velocity_rmse_m_s,3,3,-0.2969195303824986,-0.2981353284486221,-0.2954418430900734
1,5,Sep17,0.2,velocity_rmse_m_s,3,3,-0.09971144385647163,-0.1034030863688758,-0.0954665883066857
1,5,Sep17,0.5,velocity_rmse_m_s,3,2,-0.006588094462259182,-0.010305060013097112,0.00037142927715999585
1,5,Sep17,1.0,velocity_rmse_m_s,3,0,0.031852245812411306,0.01244385317566421,0.04700618600353801
1,5,Sep7,0.1,velocity_rmse_m_s,3,3,-0.24954371363228392,-0.2537977165646792,-0.2467801525307901
1,5,Sep7,0.2,velocity_rmse_m_s,3,3,-0.10743976367413695,-0.11991339820638508,-0.0948866185102471
1,5,Sep7,0.5,velocity_rmse_m_s,3,3,-0.011321802587526778,-0.022378275853425778,-0.002050571048013372
1,5,Sep7,1.0,velocity_rmse_m_s,3,0,0.03785836942918208,0.011518991153548042,0.05694779839998243
1,5,ALL,0.1,attitude_error_deg,3,3,-0.3852378475115104,-0.39460471142309084,-0.3677973028546071
1,5,ALL,0.2,attitude_error_deg,3,3,-0.3545679909671109,-0.41585498342328897,-0.31784497549578106
1,5,ALL,0.5,attitude_error_deg,3,3,-0.1767774109210274,-0.1970756740803008,-0.14205982218261948
1,5,ALL,1.0,attitude_error_deg,3,1,0.03970924003482601,-0.01851212513492939,0.09784517980413199
1,5,Sep17,0.1,attitude_error_deg,3,3,-0.5461971867120744,-0.5745473461030244,-0.5272961341855404
1,5,Sep17,0.2,attitude_error_deg,3,3,-0.5377880089720776,-0.5665280580007113,-0.5127314343430132
1,5,Sep17,0.5,attitude_error_deg,3,3,-0.42112081193142004,-0.504735571257255,-0.3375240447469974
