model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows,history_steps
B2_StandardGRU,17,ALL,0.1,0.047909759021923355,0.4641068654977086,1.9000752813817314,0.6772968400061753,0.4641068654977086,0.6772968400061753,0.12356365851185179,0.1189242321419871,0.42979635770909086,0.5397697600023355,0.37561777466262963,0.1518664573493048,17,2582,1
B2_StandardGRU,17,ALL,0.2,0.09341937511083846,0.34135762418095217,2.761607270237102,0.6853008362710671,0.34135762418095217,0.6853008362710671,0.13111619034887667,0.12307372632586379,0.28908476113158155,0.5428771778039861,0.3795596988259622,0.16400234338957312,17,2582,1
B2_StandardGRU,17,ALL,0.5,0.21471583153271048,0.40393191092579106,4.581047528282063,0.6362024136530775,0.40393191092579106,0.6362024136530775,0.20869543778361033,0.20255649035783083,0.27643766700162314,0.5381329042752259,0.2951296151772665,0.16100538643675236,17,2582,1
B2_StandardGRU,17,ALL,1.0,0.5027714138435665,0.680006136461309,7.115524757972131,0.6359169969658237,0.680006136461309,0.6359169969658237,0.39726780263819367,0.423061806410787,0.351588649999432,0.5306035902028055,0.29982271740515537,0.1739002760821759,17,2582,1
B2_StandardGRU,17,Sep17,0.1,0.03447351125461468,0.48999691095254533,2.1357588215902155,0.668284350998721,0.48999691095254533,0.668284350998721,0.12650910525295878,0.11591359093410446,0.4584922762399866,0.5075792640105189,0.4044209888681871,0.15612642785305178,8,1101,1
B2_StandardGRU,17,Sep17,0.2,0.06837247223157197,0.35078322099401116,3.1388197691827076,0.6750646800921599,0.35078322099401116,0.6750646800921599,0.1351904021244391,0.11899544068189732,0.29987396876384154,0.4998842281596032,0.41561830355613966,0.17800115822501544,8,1101,1
B2_StandardGRU,17,Sep17,0.5,0.15077485407657468,0.3969873713252046,5.332919028999845,0.6063634286401215,0.3969873713252046,0.6063634286401215,0.19442775369600582,0.18142735404434418,0.29328527980110286,0.4961521675836409,0.30172110274684727,0.17218825613624128,8,1101,1
B2_StandardGRU,17,Sep17,1.0,0.38307642155840654,0.7102569298175865,8.218915155527657,0.6184740700714508,0.7102569298175865,0.6184740700714508,0.41171623175346506,0.43884482334094405,0.37406651697561977,0.5002505835539108,0.30369346477405196,0.19663626118326416,8,1101,1
B2_StandardGRU,17,Sep7,0.1,0.05985309037064219,0.4410934917600759,1.6905788011964122,0.6853079413461347,0.4410934917600759,0.6853079413461347,0.12094548363086778,0.12160035766010496,0.40428887457051677,0.5683835342172836,0.35001491759102293,0.14807981690152971,9,1481,1
B2_StandardGRU,17,Sep7,0.2,0.11568328878129758,0.3329793159026775,2.426307271174341,0.6943996417634288,0.3329793159026775,0.6943996417634288,0.12749466877059895,0.12669886912050068,0.2794943543473504,0.5810931330434375,0.3475076057324711,0.1515589524247355,9,1481,1
B2_StandardGRU,17,Sep7,0.5,0.27155225593816457,0.4101048350152012,3.9127173054218125,0.6627259558868162,0.4101048350152012,0.6627259558868162,0.22137782363925881,0.22133794485870784,0.26146201117986334,0.575449114667746,0.2892705151154169,0.15106505781498442,9,1481,1
B2_StandardGRU,17,Sep7,1.0,0.6091669625414864,0.6531165423668401,6.134733293478329,0.6514218208719328,0.6531165423668401,0.6514218208719328,0.3844247545357302,0.4090324580284252,0.3316083237983762,0.5575840405573784,0.2963820530772473,0.15369051154787525,9,1481,1
