history_steps,seed,flight_id,cohort,horizon_s,n_windows,metric,value
1,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.1,130,position_rmse_m,0.03893000214731568
1,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.2,130,position_rmse_m,0.07664323795010569
1,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.5,130,position_rmse_m,0.1735559782326252
1,17,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,1.0,130,position_rmse_m,0.43129703403699804
1,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.1,145,position_rmse_m,0.034739720638561476
1,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.2,145,position_rmse_m,0.0675918227060013
1,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.5,145,position_rmse_m,0.14766686397659695
1,17,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,1.0,145,position_rmse_m,0.3712365228281468
1,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.1,144,position_rmse_m,0.034864668681269716
1,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.2,144,position_rmse_m,0.06423591534779241
1,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.5,144,position_rmse_m,0.13528518774869286
1,17,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,1.0,144,position_rmse_m,0.36692819535932664
1,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.1,153,position_rmse_m,0.03394846907754772
1,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.2,153,position_rmse_m,0.06561255986546596
1,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.5,153,position_rmse_m,0.1638444378731862
1,17,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,1.0,153,position_rmse_m,0.44150246815767813
1,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.1,138,position_rmse_m,0.030862880592585094
1,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.2,138,position_rmse_m,0.05992644034119496
1,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.5,138,position_rmse_m,0.1354726084168481
1,17,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,1.0,138,position_rmse_m,0.3718734527848357
1,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.1,131,position_rmse_m,0.04093571998370423
1,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.2,131,position_rmse_m,0.07622432260379454
1,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.5,131,position_rmse_m,0.15012987360931482
1,17,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,1.0,131,position_rmse_m,0.36236416018686346
1,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.1,146,position_rmse_m,0.03157733397380572
1,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.2,146,position_rmse_m,0.06757612272813963
1,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.5,146,position_rmse_m,0.13452769783345891
1,17,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,1.0,146,position_rmse_m,0.33007553602350576
1,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.1,114,position_rmse_m,0.02992929494212783
1,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.2,114,position_rmse_m,0.06916935631008128
1,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.5,114,position_rmse_m,0.16571618492187437
1,17,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,1.0,114,position_rmse_m,0.389334003089898
1,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.1,168,position_rmse_m,0.03177351290230834
1,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.2,168,position_rmse_m,0.05520272109975222
1,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.5,168,position_rmse_m,0.13291469132576045
1,17,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,1.0,168,position_rmse_m,0.3858176444563546
1,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.1,182,position_rmse_m,0.06598311015329753
1,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.2,182,position_rmse_m,0.12432110513126488
1,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.5,182,position_rmse_m,0.28537206964105327
1,17,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,1.0,182,position_rmse_m,0.6390106236058646
1,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.1,160,position_rmse_m,0.035918513486601626
1,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.2,160,position_rmse_m,0.06516107555791259
1,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.5,160,position_rmse_m,0.13682743378646908
1,17,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,1.0,160,position_rmse_m,0.3769581799091031
1,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.1,161,position_rmse_m,0.03711701318304064
1,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.2,161,position_rmse_m,0.07283571423717282
1,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.5,161,position_rmse_m,0.16306990385873457
1,17,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,1.0,161,position_rmse_m,0.4504309269612271
1,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.1,150,position_rmse_m,0.03896844252528387
1,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.2,150,position_rmse_m,0.08174108237389455
1,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.5,150,position_rmse_m,0.156278664984723
1,17,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,1.0,150,position_rmse_m,0.36862267389623976
1,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.1,155,position_rmse_m,0.06570844818828127
1,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.2,155,position_rmse_m,0.12012168759818301
1,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,0.5,155,position_rmse_m,0.2543483680004283
1,17,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,1.0,155,position_rmse_m,0.4946847850130907
1,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.1,140,position_rmse_m,0.0886255706440604
1,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.2,140,position_rmse_m,0.17239847760468802
1,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,0.5,140,position_rmse_m,0.4334470579608021
1,17,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,1.0,140,position_rmse_m,0.8748361702372708
1,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.1,201,position_rmse_m,0.04472003522192431
1,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.2,201,position_rmse_m,0.08131967847242581
1,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,0.5,201,position_rmse_m,0.21517715952101274
1,17,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,1.0,201,position_rmse_m,0.5028704024305106
1,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.1,164,position_rmse_m,0.12986316703098166
1,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.2,164,position_rmse_m,0.26804805695638423
1,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,0.5,164,position_rmse_m,0.6665349543644974
1,17,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,1.0,164,position_rmse_m,1.3892712563637164
1,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.1,130,position_rmse_m,0.039391875640600475
1,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.2,130,position_rmse_m,0.07706363589009796
1,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,0.5,130,position_rmse_m,0.16284149010891527
1,23,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,1.0,130,position_rmse_m,0.41360231824395866
1,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.1,145,position_rmse_m,0.03541598028141145
1,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.2,145,position_rmse_m,0.06788770119805396
1,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,0.5,145,position_rmse_m,0.14974570576630186
1,23,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,1.0,145,position_rmse_m,0.3442408649580049
1,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.1,144,position_rmse_m,0.03538605921828068
1,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.2,144,position_rmse_m,0.06577074957090018
1,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,0.5,144,position_rmse_m,0.13105323284885223
1,23,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,1.0,144,position_rmse_m,0.338916027427231
1,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.1,153,position_rmse_m,0.03384494292749978
1,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.2,153,position_rmse_m,0.0658959374962508
1,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,0.5,153,position_rmse_m,0.16294799491153403
1,23,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,1.0,153,position_rmse_m,0.4178069018595349
1,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.1,138,position_rmse_m,0.030882998483105942
1,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.2,138,position_rmse_m,0.061360375415605295
1,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,0.5,138,position_rmse_m,0.13084956396552164
1,23,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,1.0,138,position_rmse_m,0.35208747299619747
1,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.1,131,position_rmse_m,0.040657887552957524
1,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.2,131,position_rmse_m,0.07517711270062492
1,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,0.5,131,position_rmse_m,0.1449534356763057
1,23,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,1.0,131,position_rmse_m,0.3396679732134241
1,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.1,146,position_rmse_m,0.031664932948801364
1,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.2,146,position_rmse_m,0.06663861860807331
1,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,0.5,146,position_rmse_m,0.1375230157994744
1,23,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,1.0,146,position_rmse_m,0.33137131886002574
1,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.1,114,position_rmse_m,0.030084356780344566
1,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.2,114,position_rmse_m,0.06783753062619981
1,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,0.5,114,position_rmse_m,0.15861492537420313
1,23,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,1.0,114,position_rmse_m,0.3637756555912931
1,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.1,168,position_rmse_m,0.031649243273927895
1,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.2,168,position_rmse_m,0.053862832819070845
1,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,0.5,168,position_rmse_m,0.12154878948956926
1,23,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,1.0,168,position_rmse_m,0.3247950921600865
1,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.1,182,position_rmse_m,0.06610020512512975
1,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.2,182,position_rmse_m,0.12306284994289894
1,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,0.5,182,position_rmse_m,0.27857509668308494
1,23,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,1.0,182,position_rmse_m,0.6221915284896737
1,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.1,160,position_rmse_m,0.03511101341423889
1,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.2,160,position_rmse_m,0.06119373077586
1,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,0.5,160,position_rmse_m,0.1241118199897836
1,23,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,1.0,160,position_rmse_m,0.30334917628151303
1,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.1,161,position_rmse_m,0.03648396524375041
1,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.2,161,position_rmse_m,0.0687188943114533
1,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,0.5,161,position_rmse_m,0.14449834763155753
1,23,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,1.0,161,position_rmse_m,0.35626010689502824
1,23,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,0.1,150,position_rmse_m,0.03939747518504834
