steps,variant,fold,beta,denominator,instrument_rms,conditional_input_rms
5,iv_manual,0,-4.628586613700559,7.1796807810417194e-06,0.002457999395920056,0.01752725563191735
5,iv_attitude,0,-1.6675119971250314,2.7951746190587005e-05,0.004754188663065797,0.01752725563191735
5,iv_manual,1,-4.901448627277134,7.076247897825182e-06,0.002334931292087832,0.017879023156292286
5,iv_attitude,1,-0.04578382161654638,2.676418823336942e-05,0.0045992965327959585,0.017879023156292286
5,iv_manual,2,-3.1208279969296373,7.964080300110535e-06,0.002543373462884182,0.016859944459584983
5,iv_attitude,2,-0.6698921796084248,2.481002629187522e-05,0.004485571609297379,0.016859944459584983
5,iv_manual,3,-4.383372503197023,7.929771719846392e-06,0.0025271048001558392,0.016877086296552664
5,iv_attitude,3,-1.351300256739379,2.9502670100266362e-05,0.004874763505918074,0.016877086296552664
5,iv_manual,4,-4.310546077753508,7.93126240574428e-06,0.0025091910688306656,0.016334872567565023
5,iv_attitude,4,-1.3159992336607762,2.750228872087966e-05,0.0047003755260019,0.016334872567565023
10,iv_manual,0,-0.28925581356822516,8.094482673238194e-06,0.002614575296051727,0.023614582812696565
10,iv_attitude,0,2.5560651651321415,3.921367839165809e-05,0.005494230736630778,0.023614582812696565
10,iv_manual,1,-0.641291207431462,9.124064863588112e-06,0.002649681221063807,0.024034344886928186
10,iv_attitude,1,2.014135512670286,3.647691834493303e-05,0.005265130756626063,0.024034344886928186
10,iv_manual,2,0.03480026025557218,9.52077356254745e-06,0.002780043670688791,0.02272637523237327
10,iv_attitude,2,3.1189179613007765,3.485970052030509e-05,0.005191788026342799,0.02272637523237327
10,iv_manual,3,-0.2039246511976486,1.020877655868979e-05,0.0028548061535196207,0.022987912455780794
10,iv_attitude,3,1.6206179608598905,4.152217034316775e-05,0.0056759234328184775,0.022987912455780794
10,iv_manual,4,2.164933344469616,9.762167206736245e-06,0.002761438270272763,0.022079703426451925
10,iv_attitude,4,3.8919472615148822,3.709185965475396e-05,0.0053016258502841095,0.022079703426451925
