steps,variant,rmse
5,direct,0.4302402767897797
5,iv_attitude,0.43299324527217553
5,iv_manual,0.42836559400809704
5,no_common,0.4359125809368867
10,direct,0.47691564497711586
10,iv_attitude,0.47794355032459124
10,iv_manual,0.4808423649214981
10,no_common,0.48019439494221977
