steps,variant,log_id,n,finite,rmse
5,no_common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,393,True,0.3476340923392389
5,no_common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,288,True,0.3510268076973825
5,no_common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,256,True,0.3482179347849283
5,no_common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,260,True,0.3934702543118446
5,no_common,2026.9.6/log_24_2026-9-6-06-28-38.ulg,175,True,0.4703826302901213
5,no_common,2026.9.6/log_28_2026-9-6-07-01-38.ulg,317,True,0.4243554351827545
5,no_common,9.11数据/log_13_2026-9-11-18-28-08.ulg,248,True,0.3843085033309249
5,no_common,9.11数据/log_14_2026-9-11-18-34-58.ulg,241,True,0.41179027309678007
5,no_common,9.11数据/log_15_2026-9-11-18-40-48.ulg,209,True,0.41704585635241137
5,no_common,9.12数据/log_10_2026-9-12-06-13-40.ulg,180,True,0.3934613242773518
5,no_common,9.12数据/log_11_2026-9-12-06-21-12.ulg,144,True,0.42252058501859746
5,no_common,9.12数据/log_12_2026-9-12-06-29-44.ulg,129,True,0.4565673371695756
5,no_common,9.12数据/log_2_2026-9-12-18-32-54.ulg,129,True,0.39517973544096513
5,no_common,9.12数据/log_3_2026-9-12-18-40-02.ulg,135,True,0.4336289226891896
5,no_common,9.12数据/log_7_2026-9-12-05-49-02.ulg,110,True,0.44869650840799735
5,no_common,9.12数据/log_8_2026-9-12-05-55-30.ulg,183,True,0.415790093017697
5,no_common,9.12数据/log_9_2026-9-12-06-03-32.ulg,318,True,0.38921941360978485
5,no_common,9.13数据/log_1_2026-9-13-06-11-06.ulg,90,True,0.4242351832459914
5,no_common,9.13数据/log_2_2026-9-13-06-20-06.ulg,105,True,0.43269136618862747
5,no_common,9.13数据/log_3_2026-9-13-06-31-26.ulg,131,True,0.42716728078981325
5,no_common,9.13数据/log_4_2026-9-13-06-36-26.ulg,97,True,0.4204867043652689
5,no_common,9.13数据/log_5_2026-9-13-06-42-40.ulg,127,True,0.38999202621843443
5,no_common,9.13数据/log_7_2026-9-13-18-12-52.ulg,158,True,0.37590256097968455
5,no_common,9.14数据/log_11_2026-9-14-18-13-22.ulg,82,True,0.5230007982373891
5,no_common,9.14数据/log_12_2026-9-14-18-20-30.ulg,124,True,0.46199032358472253
5,no_common,9.14数据/log_13_2026-9-14-18-28-32.ulg,199,True,0.4349901850038559
5,no_common,9.14数据/log_14_2026-9-14-18-34-22.ulg,50,True,0.4779575571391455
5,no_common,9.15数据/log_10_2026-9-15-17-44-04.ulg,104,True,0.5301729683582732
5,no_common,9.15数据/log_11_2026-9-15-17-51-56.ulg,95,True,0.492629290419694
5,no_common,9.15数据/log_12_2026-9-15-18-03-58.ulg,135,True,0.42001612754383805
5,no_common,9.15数据/log_13_2026-9-15-18-10-58.ulg,123,True,0.48747132077722427
5,no_common,9.15数据/log_14_2026-9-15-18-17-26.ulg,130,True,0.40421538838989285
5,no_common,9.15数据/log_15_2026-9-15-18-23-44.ulg,110,True,0.3985335643304775
5,no_common,9.16数据/log_1_2026-9-16-18-02-34.ulg,98,True,0.42158614301346753
5,no_common,9.16数据/log_2_2026-9-16-18-08-46.ulg,118,True,0.4629809613779853
5,no_common,9.16数据/log_3_2026-9-16-18-13-58.ulg,100,True,0.4335811466020754
5,no_common,9.16数据/log_4_2026-9-16-18-20-50.ulg,101,True,0.5019673889415825
5,no_common,9.16数据/log_5_2026-9-16-18-26-48.ulg,97,True,0.45076644445099234
5,no_common,9.18数据/log_0_2026-9-18-18-15-06.ulg,135,True,0.6200270021655393
5,no_common,9.18数据/log_1_2026-9-18-18-23-36.ulg,123,True,0.4776614428429029
5,no_common,9.18数据/log_2_2026-9-18-18-29-40.ulg,130,True,0.4990969364279299
5,direct,2026.9.6/log_17_2026-9-6-18-34-06.ulg,393,True,0.3437448868427463
5,direct,2026.9.6/log_18_2026-9-6-18-46-20.ulg,288,True,0.34746831954968743
5,direct,2026.9.6/log_19_2026-9-6-18-52-30.ulg,256,True,0.3500042416250744
5,direct,2026.9.6/log_20_2026-9-6-18-58-10.ulg,260,True,0.39167841549207316
5,direct,2026.9.6/log_24_2026-9-6-06-28-38.ulg,175,True,0.46334548824302235
5,direct,2026.9.6/log_28_2026-9-6-07-01-38.ulg,317,True,0.42049605075274554
5,direct,9.11数据/log_13_2026-9-11-18-28-08.ulg,248,True,0.3821494245906132
5,direct,9.11数据/log_14_2026-9-11-18-34-58.ulg,241,True,0.4078654762003278
5,direct,9.11数据/log_15_2026-9-11-18-40-48.ulg,209,True,0.4094888717211118
5,direct,9.12数据/log_10_2026-9-12-06-13-40.ulg,180,True,0.3819258951877753
5,direct,9.12数据/log_11_2026-9-12-06-21-12.ulg,144,True,0.4148126323974289
5,direct,9.12数据/log_12_2026-9-12-06-29-44.ulg,129,True,0.4514735075819506
5,direct,9.12数据/log_2_2026-9-12-18-32-54.ulg,129,True,0.39245263299455213
5,direct,9.12数据/log_3_2026-9-12-18-40-02.ulg,135,True,0.4310115070430902
5,direct,9.12数据/log_7_2026-9-12-05-49-02.ulg,110,True,0.4434864075757302
5,direct,9.12数据/log_8_2026-9-12-05-55-30.ulg,183,True,0.4057834070347726
5,direct,9.12数据/log_9_2026-9-12-06-03-32.ulg,318,True,0.38696788164767015
5,direct,9.13数据/log_1_2026-9-13-06-11-06.ulg,90,True,0.4114535550576931
5,direct,9.13数据/log_2_2026-9-13-06-20-06.ulg,105,True,0.429020811887964
5,direct,9.13数据/log_3_2026-9-13-06-31-26.ulg,131,True,0.4192052790811523
5,direct,9.13数据/log_4_2026-9-13-06-36-26.ulg,97,True,0.421734044738507
5,direct,9.13数据/log_5_2026-9-13-06-42-40.ulg,127,True,0.3862830724016131
5,direct,9.13数据/log_7_2026-9-13-18-12-52.ulg,158,True,0.3689152035937932
5,direct,9.14数据/log_11_2026-9-14-18-13-22.ulg,82,True,0.5155414348654492
5,direct,9.14数据/log_12_2026-9-14-18-20-30.ulg,124,True,0.4571827714803715
5,direct,9.14数据/log_13_2026-9-14-18-28-32.ulg,199,True,0.4328095926582302
5,direct,9.14数据/log_14_2026-9-14-18-34-22.ulg,50,True,0.47274454437923424
5,direct,9.15数据/log_10_2026-9-15-17-44-04.ulg,104,True,0.5139074217175732
5,direct,9.15数据/log_11_2026-9-15-17-51-56.ulg,95,True,0.4838776782685069
5,direct,9.15数据/log_12_2026-9-15-18-03-58.ulg,135,True,0.41843068782883464
5,direct,9.15数据/log_13_2026-9-15-18-10-58.ulg,123,True,0.4778805001515239
5,direct,9.15数据/log_14_2026-9-15-18-17-26.ulg,130,True,0.39787738593427774
5,direct,9.15数据/log_15_2026-9-15-18-23-44.ulg,110,True,0.3935008751006138
5,direct,9.16数据/log_1_2026-9-16-18-02-34.ulg,98,True,0.41834408119006616
5,direct,9.16数据/log_2_2026-9-16-18-08-46.ulg,118,True,0.4578660875147746
5,direct,9.16数据/log_3_2026-9-16-18-13-58.ulg,100,True,0.42842975951047596
5,direct,9.16数据/log_4_2026-9-16-18-20-50.ulg,101,True,0.4894448200318433
5,direct,9.16数据/log_5_2026-9-16-18-26-48.ulg,97,True,0.4465619479501482
5,direct,9.18数据/log_0_2026-9-18-18-15-06.ulg,135,True,0.6156007094331849
5,direct,9.18数据/log_1_2026-9-18-18-23-36.ulg,123,True,0.47543406631604673
5,direct,9.18数据/log_2_2026-9-18-18-29-40.ulg,130,True,0.48364997080871724
5,iv_manual,2026.9.6/log_17_2026-9-6-18-34-06.ulg,393,True,0.34256059630321034
5,iv_manual,2026.9.6/log_18_2026-9-6-18-46-20.ulg,288,True,0.34642314281825326
5,iv_manual,2026.9.6/log_19_2026-9-6-18-52-30.ulg,256,True,0.3538700410275696
5,iv_manual,2026.9.6/log_20_2026-9-6-18-58-10.ulg,260,True,0.392762916098954
5,iv_manual,2026.9.6/log_24_2026-9-6-06-28-38.ulg,175,True,0.4590143627540164
5,iv_manual,2026.9.6/log_28_2026-9-6-07-01-38.ulg,317,True,0.41954467266169637
5,iv_manual,9.11数据/log_13_2026-9-11-18-28-08.ulg,248,True,0.3842336900940938
5,iv_manual,9.11数据/log_14_2026-9-11-18-34-58.ulg,241,True,0.40550249859199167
5,iv_manual,9.11数据/log_15_2026-9-11-18-40-48.ulg,209,True,0.4051149210584777
5,iv_manual,9.12数据/log_10_2026-9-12-06-13-40.ulg,180,True,0.377746417426064
5,iv_manual,9.12数据/log_11_2026-9-12-06-21-12.ulg,144,True,0.4108145040182172
5,iv_manual,9.12数据/log_12_2026-9-12-06-29-44.ulg,129,True,0.44991178172902063
5,iv_manual,9.12数据/log_2_2026-9-12-18-32-54.ulg,129,True,0.3925137611965425
