log_id,segment_id,valid_samples,selected_starts,excluded_reason
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,0,631,8,
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,1,4619,87,
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,2,2744,50,
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,0,1062,16,
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,1,4922,93,
2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,2,1560,26,
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,0,1043,16,
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,1,712,9,
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,2,776,11,
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,3,5247,100,
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,4,10,0,shorter_than_26_history_plus_250_future
2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,5,1952,34,
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,0,630,8,
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,1,44,0,shorter_than_26_history_plus_250_future
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,2,206,0,shorter_than_26_history_plus_250_future
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,3,5021,95,
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,4,260,0,shorter_than_26_history_plus_250_future
2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,5,1724,29,
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,0,1149,18,
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,1,5005,95,
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,2,264,0,shorter_than_26_history_plus_250_future
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,3,1578,27,
2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,4,4,0,shorter_than_26_history_plus_250_future
