bin,horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse,variable
0,0.2,234,233,1,0.4273504273504274,0.0,234,0.027713961470092675,0.0564953404495059,0.06887884410639251,0.03187232058609813,0.15036397526162548,0.039001769629258894,0.038760287017152464,234,0.07153511047363281,0.11905040740966798,0.13400453329086304,0.0730742493755797,0.1858823299407959,0.08226040848856869,0.08215767630297743,234,0.07816401006025012,0.1276837155269454,0.14122124073184442,0.08421844738798108,0.20392313833399386,0.09103797470792047,0.09103472905862933,234,0.3815525868707884,0.6768887397522299,0.7403500183202094,0.39920558537164885,1.128250530395041,0.4524078905176639,0.45384916883200327,234,2.7792757309050673,4.89042050061277,5.5319656497871135,3.017441332101886,9.100986447882047,3.3325158881425914,3.3464523602461256,234,0.6136648698037133,0.9805875293952795,1.0860792902619587,0.6405235727611441,1.842118379954271,0.6935506003527515,0.6951706289080423,234,0.1563272476196289,0.33478488922119143,0.3664123058319092,0.17428834214169756,0.44751667976379395,0.20774650083857968,0.20806510630070085,234,0.1885211184298612,0.38925692803121803,0.4578108322882939,0.21294022451852448,0.6503921257021972,0.2512971508392615,0.25187847854817774,234,0.08164894580841064,0.22956423759460462,0.3001400351524352,0.10574195735976419,0.5425825119018555,0.14514126558469248,0.14415013846115693,234,0.08492898941040039,0.24624552130699165,0.2860238075256348,0.1092026755054537,0.6198718547821045,0.1454286846905067,0.14555969670040608,234,0.3282339312136173,0.6325424544513227,0.6962108418345452,0.33704554036848694,1.0916146636009216,0.40306005767913233,0.4035154323262371,234,0.35695910081267357,0.7214378133416177,0.8182847492396829,0.39001965588287046,1.514694657176733,0.4678369906020547,0.4666022295067259,234,0.35562991723418236,0.7219246208667756,0.8685630032792686,0.3862837146958694,1.0481286942958832,0.45846106675507947,0.45798472222475456,234,0.14043062925338745,0.3587922293692829,0.44868444502353666,0.1783480449504036,0.7245510816574097,0.22793515688429802,0.2295556657804929,vertical_speed
0,0.5,234,231,3,1.282051282051282,0.0,234,0.1087025456414572,0.20773683869010917,0.24206711024119268,0.11839919243891701,0.4197831171524567,0.13473965246889236,0.13458602717138332,234,0.10210704803466797,0.22857832908630377,0.26525325775146474,0.11783802865916847,0.451657772064209,0.1448404088605729,0.14486106502805274,234,0.17305325964321466,0.27579949719406816,0.32692684209268247,0.1786565114130948,0.5467223870061372,0.19782193504850723,0.19806494936373809,234,0.5828246967352151,0.9953458313450563,1.138832469687602,0.634725350695363,2.367111399507907,0.7003707849933325,0.6982329973254215,234,5.616934142898652,9.781806049058211,11.243685404345069,6.17600800127674,16.447488306145853,6.775338801165153,6.784312788747189,234,0.6238595873378376,1.0454821014983309,1.1770761627829276,0.6481697335254364,1.5400512654065153,0.7100419050611072,0.709150910127349,234,0.1558074951171875,0.3222227573394776,0.3704130411148071,0.16720218434293047,0.5096211433410645,0.199489368491526,0.19886303216438664,234,0.23907387409810354,0.5664597008635612,0.6522810538673142,0.2806750103572946,0.9450494925503108,0.3474895037901484,0.347283316550539,234,0.22361576557159424,0.46879400736652316,0.5880271047353741,0.24848780517752928,0.9182429611682892,0.3027791335255809,0.2996627557346347,234,0.2207651287317276,0.5038589477539063,0.5835772991180419,0.24983307320433548,1.1812844276428223,0.3129959717642695,0.3118623579091026,234,0.37941405177116394,0.8483156740665436,1.008073927462101,0.4415217078784401,2.039268136024475,0.5485230664548353,0.5466965809221501,234,0.3093934990465641,0.7653760969638824,0.9553077816963195,0.3917576531943284,1.504326581954956,0.48887954635672276,0.4896211225828774,234,0.3974256217479706,0.7232771769165993,0.8092097766697407,0.4005388027493858,1.1553316675126553,0.4705094943135152,0.46725804219266875,234,0.13451785407960415,0.3414211124181748,0.41564220786094663,0.16386599202329913,0.7026786524802446,0.20922980633191732,0.20735191846121998,vertical_speed
0,1.0,234,228,6,2.564102564102564,0.0,234,0.3983485011367004,0.710008561040698,0.7693460095968535,0.4131603192931975,1.3188955034851086,0.4572780323678442,0.4553079407569898,234,0.1779632568359375,0.4815954685211183,0.5632930755615234,0.21927151364139003,1.2534961700439453,0.29050078075085584,0.28759826481545614,234,0.464987074205602,0.7879607078981281,0.9038067563301291,0.49637812356947436,1.5560708976798212,0.541750775267617,0.5386228426191616,234,0.9689467434426892,1.5776566663906741,1.7745214447008715,1.0104451210987517,2.793739199111143,1.1096041453053582,1.1021549389505416,234,8.97929868483643,15.880370436058078,18.87563919061106,9.91124998784556,30.301742350332702,10.905376305466827,10.865043602873737,234,0.6621631229914624,1.0495872570119875,1.1759014446073022,0.6784172175101731,1.7700880701195205,0.7414525822478834,0.7417328525201635,234,0.14440417289733887,0.29781546592712405,0.33264622688293455,0.15287817849053276,0.5192272663116455,0.18532393957534424,0.18514903784188919,234,0.3905198767698792,0.98800718617436,1.1261744023909592,0.4751768943585482,1.6437000756644267,0.5901230640351373,0.5902405392775962,234,0.42173705250024796,0.9995147943496706,1.1139296397566794,0.48382816505498993,2.2438666820526123,0.6093078555845055,0.6040846178009451,234,0.45130348205566406,0.918284988403321,1.1800089597702024,0.5018676578656285,1.9703729152679443,0.6112688760223774,0.605944824498289,234,0.40963901579380035,1.1422906905412678,1.4024512290954587,0.5319322359939225,2.139491319656372,0.6973633612459038,0.6943263086677451,234,0.34877155907452106,0.8454752042889595,1.0548915311694145,0.41588504561800194,1.4108258485794067,0.5265674879970902,0.5269843245552164,234,0.3668150082230568,0.7460083898156883,0.827610172331333,0.4021170514408881,1.0169749334454536,0.4733232070615803,0.4714535917500721,234,0.13517558109015226,0.38055270314216616,0.4573687372729181,0.16985141811245638,0.6716224551200867,0.22009941836231406,0.22031942024470466,vertical_speed
0,2.0,234,208,26,11.11111111111111,0.0,234,1.472561642772796,2.5949557172060387,3.060862559961322,1.5536930039941939,4.548999550729638,1.742961802119019,1.7281713087482171,234,0.3806619644165039,1.206444358825684,1.546747875213623,0.5202840668523413,2.0972900390625,0.6975618293714108,0.6870519363453954,234,1.627193672180255,2.792373503641677,3.1356388439930036,1.7109993169151967,4.5648689248362375,1.8773673986308506,1.8606695362145047,234,1.6556995393484346,2.958988353362043,3.8124091705227494,1.849704130347398,6.097239108862213,2.076691942255736,2.0621249604001464,234,13.708068481672935,28.32861207052598,35.49496657892274,16.018031245774395,61.87555909170687,18.438860672187,18.270315198335968,234,0.6916231768205563,1.130600619815591,1.2067276299662653,0.719723310554634,1.5692926522139337,0.7734720912463867,0.7750227376533301,234,0.12887966632843018,0.3065200328826905,0.34403239488601683,0.15485003463223448,0.46755266189575195,0.18684629980323897,0.18674604603418773,234,0.6761152229638405,1.7649894361769352,2.0811136735777684,0.8339485257603755,3.006041857464787,1.0512808319393192,1.0426377127050492,234,0.8484104573726654,2.096148443222046,2.721179676055908,1.023432885383208,4.988080620765686,1.344178786208752,1.3187171386029486,234,0.9071681499481201,2.33371970653534,2.762572157382965,1.0995667680628343,4.028364658355713,1.3935159322898416,1.381440904863964,234,0.5434408215805888,1.2221060246229174,1.4334792561829086,0.6106192228049995,2.2739744186401367,0.7509634879211112,0.7501883045985078,234,0.34550974518060684,0.8579062759876255,0.980292510986328,0.4085155271802647,1.5225514248013496,0.5072317427764539,0.5083834674539828,234,0.433305392973125,0.7703024486079812,0.8903935871087014,0.4567147073491166,1.1175970062613487,0.520326374523322,0.5206658290722658,234,0.16647911071777344,0.45060040391981626,0.5384486570954322,0.20460152546039376,0.9937367178499699,0.26501980875480924,0.2643174987216498,vertical_speed
0,3.0,234,184,50,21.367521367521366,0.0,234,3.124721062572421,6.20876128623214,7.529107622287956,3.5694572901820982,12.468024355592256,4.1156315636303935,4.070845565494114,234,0.5384225845336914,1.874546337127686,2.1908575773239134,0.7623158667841529,2.7318286895751953,1.0179997596961057,1.005805167540109,234,3.3158231964067504,6.340330238405144,7.541518613794764,3.738714501917981,12.480084736685127,4.239663510031437,4.195993125698919,234,2.369249293057168,4.890966316692841,6.2872775398253316,2.8130815019681217,11.348608262423006,3.3019749864476045,3.2642761211914078,234,20.650980539644145,42.64723342383016,51.80002406038793,23.637103942153466,104.61244380976238,28.323829136601532,27.978144931215958,234,0.6847667514557926,1.1510076725754879,1.3000199778685093,0.7201361518180417,1.951869661352503,0.7920212987906803,0.7873313936614361,234,0.14664757251739502,0.3175825119018556,0.34647259712219236,0.16165621565957355,0.43849992752075195,0.19205043638319763,0.19246028593386835,234,1.0049370225331842,2.2827855865478273,2.581400612869749,1.131060522408582,3.098068911052721,1.3737397393873194,1.345604096561725,234,1.2897820472717285,3.726467569172384,4.528058838844299,1.688342308315138,8.75350308418274,2.2728366369784734,2.2260333797559175,234,1.3451693058013916,3.7449925899505625,4.844985902309418,1.7356473620081496,9.27835988998413,2.2879220336265234,2.270897754775667,234,0.4955827444791794,1.1833735033869752,1.38456916809082,0.5643577464183586,1.8601245284080505,0.7089888580085811,0.7034159087342527,234,0.3822932313196361,0.8634316081181176,1.1786493339575825,0.4532541726092991,1.8882218822836876,0.574086273695442,0.5693043619866535,234,0.4212751127779484,0.7275117993354799,0.7889602487906813,0.4161138622971793,1.1408585608005524,0.48063933451176827,0.47909352797641624,234,0.15662021189928055,0.4314445283263924,0.5130056541413068,0.19371338542620453,1.0125636979937553,0.25827992220194484,0.255213138436791,vertical_speed
0,5.0,234,154,80,34.18803418803419,0.0,234,8.34813633778796,18.66429982454781,23.623762694747178,9.995285485115065,39.84517936652841,11.922321515338425,11.763046399060494,234,0.9104595184326172,2.565662574768067,2.9743580341339113,1.2022084150558863,4.300641059875488,1.5358356024379816,1.5212828791463626,234,8.528796773748748,18.776393947435942,23.63923129151818,10.150234391005943,39.860068799911915,12.020837795795163,11.86675115179002,234,3.6241231589365084,8.690458422840164,10.641992628763724,4.402600392778648,14.07870277097943,5.273169969259686,5.207730224158101,234,31.564927641132925,78.2819929562333,95.15349144801927,39.493583301074295,153.64435983818754,48.526043454229935,47.668747946478994,234,0.7411691637733779,1.1566719062931583,1.382738025181894,0.7525700402357274,2.0704098782552105,0.828627811804761,0.8201399943169448,234,0.15159666538238525,0.31391470432281493,0.3583711862564087,0.1628786264321743,0.4396984577178955,0.1958949146326569,0.19619824038928868,234,1.625503968817899,2.850476946992407,2.996083682683262,1.6419035925887628,3.1144806824617604,1.857891907320601,1.8504057394750013,234,1.8935236930847168,6.293107974529269,7.42938585281372,2.671736769744346,11.762840747833252,3.5797137232497027,3.516669938784168,234,2.084003746509552,6.562261235713959,8.009494215250013,2.8580146768990042,12.136157035827637,3.80407829613667,3.762507647198132,234,0.45957590639591217,1.2867659702897072,1.439566533267498,0.5663415637965767,2.014566421508789,0.7217752428158539,0.7222223811532803,234,0.33788495138287544,0.9258384257555011,1.1717695996165274,0.433939554683295,2.0258834213018417,0.5685200353406645,0.5579405527498902,234,0.4275199891999364,0.818707112967968,0.9173645979259163,0.44864056871320385,1.2424013298004866,0.5273538203600234,0.5237713989270928,234,0.21248431969434023,0.42751572127453985,0.5754167072474955,0.2378307625125998,0.9937832877039909,0.29207356618544583,0.2911921272013698,vertical_speed
1,0.2,265,264,1,0.37735849056603776,0.0,265,0.03475935151391006,0.06884723901132407,0.08327089984155103,0.038069078102653156,0.17962680365007053,0.04603975567544041,0.045813332958341293,265,0.06343841552734375,0.11212348937988281,0.12031974792480468,0.0631223237739419,0.15354537963867188,0.07259548000239614,0.07160463566828183,265,0.07653925834332762,0.12368256939093601,0.13048821061662166,0.07973275638020899,0.18899697336077334,0.08596372967381385,0.08508057962759889,265,0.4991059252762757,0.7638510521419271,0.8426825442746846,0.49118450055647617,1.1348341331585048,0.5313762444853484,0.5301963136484842,265,2.561308151022441,4.470633322378306,5.601982590275564,2.8433926860402163,9.05668206223381,3.186717292075604,3.1548489982233052,265,0.626712918841051,0.9846398314454563,1.0907042414502044,0.6353724115561841,1.7107034204182483,0.6949165974377389,0.6943576091495757,265,0.14216828346252441,0.2897626876831055,0.34349389076232906,0.15385003449781887,0.4446885585784912,0.1842470616893258,0.18376493893131984,265,0.16368885727526106,0.34361296417278314,0.38365917609767863,0.17939273228401137,0.5804433527445809,0.2148367210795289,0.21483914264856246,265,0.1297292709350586,0.30524234771728515,0.3499514579772947,0.1473712387090584,0.52520751953125,0.18265894495490867,0.18212061584959874,265,0.13386297225952148,0.3007839202880859,0.34781680107116697,0.1483424807424253,0.5294976234436035,0.18430520003698928,0.18356588943618982,265,0.41228649765253067,0.7212555229663848,0.8158528506755827,0.40076838235441103,1.1227947622537613,0.4637111345122497,0.46254173897380857,265,0.326122909784317,0.8090564250946045,0.929146647453308,0.3752090824702052,1.5224565863609314,0.47176461985290197,0.4692838523269535,265,0.37777673453092575,0.7352090448141098,0.8532097846269603,0.4105021505581461,1.1216771677136421,0.47759719054993394,0.47842205355824274,265,0.12211158871650696,0.2878061100840568,0.3417276334017515,0.14230668167056482,0.692574143409729,0.179577683547543,0.17951683366452112,vertical_speed
1,0.5,265,258,7,2.6415094339622645,0.0,265,0.123980853934624,0.22556137244011085,0.2709894810131833,0.13480304497867826,0.4599301627398497,0.1535004896652124,0.15300802167985578,265,0.10642242431640625,0.22308311462402342,0.2522773742675781,0.11726153121804292,0.3714866638183594,0.14088222810416517,0.13908205553149422,265,0.1855855917848345,0.30037736882994304,0.3232849613777061,0.19347169923473542,0.49884055376368813,0.208351151959988,0.20713624959954968,265,0.5862776565694701,0.9612991473229955,1.1797449178042967,0.6343694508777447,1.887890800741867,0.6877509730819263,0.6868618909176702,265,5.434229861559864,8.905110663842008,10.292353397981122,5.647300550671073,19.51855785324478,6.246698560070412,6.238998328144363,265,0.6640607256235724,1.0590171115961542,1.2552299153495574,0.6854862508401122,2.015127374742264,0.7460954637997811,0.7490348281144101,265,0.11151623725891113,0.3059030532836914,0.35160303115844727,0.14144957380474737,0.4935002326965332,0.1773479376632252,0.17593429107616618,265,0.2350854896017509,0.5497610876384,0.6275711427432823,0.2698317573754687,0.8892078960712836,0.3314890635736054,0.3302114303908016,265,0.24280786514282227,0.5067150831222533,0.5763391494750977,0.2670713377167594,1.238417625427246,0.3206515035410348,0.31999356351306185,265,0.2698146104812622,0.543217658996582,0.5912868499755859,0.28980326692591296,1.5306937545537949,0.35405997265646316,0.3515799479753045,265,0.3702976703643799,0.8042717779055237,0.9507513660937547,0.4060171378987297,1.4242503345012665,0.49479849435352463,0.49274951132855255,265,0.3303754925727844,0.8885224357247351,1.0556373327970503,0.4168193309998386,1.7568225264549255,0.5296079586122433,0.5307669459730017,265,0.4170563891530037,0.7608838856220246,0.8173607930541038,0.4271224303496123,1.1444639936089516,0.49221999944552447,0.49487480310931575,265,0.11953111365437508,0.30267286449670794,0.3415715128183365,0.14479600132365034,0.6044851243495941,0.18410139440816523,0.18450884826062153,vertical_speed
1,1.0,265,247,18,6.7924528301886795,0.0,265,0.42134758894010327,0.6683213807887929,0.7964850621541212,0.4400412501418608,1.386883850436783,0.4863284936725245,0.4841314167481062,265,0.2146167755126953,0.521044921875,0.6378639221191402,0.2553544219934715,1.0890045166015625,0.32608713021115165,0.32396638765900193,265,0.4979741752127553,0.7912746618354889,1.0038144486481912,0.5390415762616771,1.4192873680462699,0.5855324245907577,0.5830422839872409,265,1.017918427822086,1.6050769037682802,1.9173401718995648,1.0599599057435853,2.4522954429799255,1.1493634264324892,1.1499544270384612,265,8.73554971396846,15.02662784272105,17.088027127228575,9.416316205680923,26.490530807797498,10.34492036706523,10.3409539478284,265,0.6319264537473492,1.0627656391149192,1.1714100305852986,0.6698796282792614,1.6548144848876931,0.7349840762803231,0.7306121486838737,265,0.13418793678283691,0.3479988098144531,0.39496288299560545,0.1598278819390063,0.5030663013458252,0.19988580394320127,0.20061307579048102,265,0.4178009463916297,0.9467350442485469,1.113400035396914,0.4683651336931153,1.6384585387479405,0.5810049456797491,0.5771394735900877,265,0.43030667304992676,0.9766271531581878,1.0719011306762696,0.49723931085230466,2.148425817489624,0.6193344167041888,0.6183823242864812,265,0.4544954299926758,1.0746221601963044,1.2217179775238036,0.5339202513109963,2.105175644159317,0.6619950430193935,0.6552849679088395,265,0.5323087498545647,1.1471184194087982,1.311063551902771,0.5813896067967673,1.7788368090987206,0.7065576617120968,0.7089766478358908,265,0.315708227455616,0.8747464548796414,1.0421741306781762,0.39447015600437124,1.6369938179850578,0.5142652627148063,0.5042477280826007,265,0.38085798919200897,0.7702771984040737,0.8524177968502044,0.4124040692394494,1.1822580602020025,0.4831235876330452,0.48233240933491695,265,0.13045378029346466,0.3427238091826439,0.41415705867111674,0.15683244989969644,0.6248067393898964,0.20572902328812645,0.2052675218892392,vertical_speed
1,2.0,265,230,35,13.20754716981132,0.0,265,1.439726796482302,2.7093450204072,3.3202042021023206,1.5726104329785933,5.9464736816219865,1.7913023540818647,1.7794684951508188,265,0.4779987335205078,1.194015121459961,1.370926284790039,0.5687344996434338,2.4634761810302734,0.7251589887844977,0.7235474512832971,265,1.552485354647121,2.8319696599199844,3.435070103205782,1.739959262388303,6.014139369454734,1.932516412027123,1.9224583504350634,265,1.4960660122052738,3.138435765797432,3.8583309794996214,1.7845828324424509,6.920203401622451,2.0487055988104106,2.0332107391490255,265,13.26664740219755,26.611746866485063,31.5296981925945,15.393338370689237,58.090417041351124,17.706755354535826,17.657757882622743,265,0.6798803600080289,1.1784487032400375,1.397479791101677,0.7130530697119447,1.833719667312076,0.7923811702354149,0.7892222913883327,265,0.15085792541503906,0.3283671379089355,0.36235504150390624,0.16098039735038325,0.551260232925415,0.1980321728102055,0.19726553387720983,265,0.5903066449990675,1.265641803776235,1.59464885466314,0.6883639626318515,3.094920561550687,0.8594239943795599,0.8407292721454291,265,0.7052361965179443,2.094574642181396,2.422224140167236,0.9567425700783168,6.903707265853882,1.3162312390119222,1.2870784016587518,265,0.9444808959960938,2.317770195007324,2.742680430412292,1.0919946491015406,4.961912989616394,1.4058651767278716,1.396635426006375,265,0.4497387409210205,1.2017652750015255,1.3382537439465523,0.5496359944361139,2.155669093132019,0.6987653833084275,0.6963065300451954,265,0.37472720444202423,1.0187694221734998,1.276946444809436,0.4659042829489511,1.7352121551521122,0.6028729246486202,0.5944360759585381,265,0.36876161862164736,0.7210573278367519,0.7858393266797066,0.38424115773237677,1.1109220944344997,0.45697644514056046,0.4570698705022613,265,0.1421881690621376,0.4169598400592804,0.479112821817398,0.18352136410298353,0.6374074444174767,0.2357640436028385,0.23520430121995548,vertical_speed
