horizon_s,n_rollouts,n_valid,n_failed,failure_pct,numerical_failure_pct,position_horizontal_m_finite_count,position_horizontal_m_median,position_horizontal_m_p90,position_horizontal_m_p95,position_horizontal_m_mean,position_horizontal_m_max,position_horizontal_m_rmse,position_horizontal_m_equal_log_rmse,position_vertical_m_finite_count,position_vertical_m_median,position_vertical_m_p90,position_vertical_m_p95,position_vertical_m_mean,position_vertical_m_max,position_vertical_m_rmse,position_vertical_m_equal_log_rmse,position_m_finite_count,position_m_median,position_m_p90,position_m_p95,position_m_mean,position_m_max,position_m_rmse,position_m_equal_log_rmse,velocity_m_s_finite_count,velocity_m_s_median,velocity_m_s_p90,velocity_m_s_p95,velocity_m_s_mean,velocity_m_s_max,velocity_m_s_rmse,velocity_m_s_equal_log_rmse,attitude_deg_finite_count,attitude_deg_median,attitude_deg_p90,attitude_deg_p95,attitude_deg_mean,attitude_deg_max,attitude_deg_rmse,attitude_deg_equal_log_rmse,body_rate_rad_s_finite_count,body_rate_rad_s_median,body_rate_rad_s_p90,body_rate_rad_s_p95,body_rate_rad_s_mean,body_rate_rad_s_max,body_rate_rad_s_rmse,body_rate_rad_s_equal_log_rmse,frequency_hz_finite_count,frequency_hz_median,frequency_hz_p90,frequency_hz_p95,frequency_hz_mean,frequency_hz_max,frequency_hz_rmse,frequency_hz_equal_log_rmse,phase_rad_finite_count,phase_rad_median,phase_rad_p90,phase_rad_p95,phase_rad_mean,phase_rad_max,phase_rad_rmse,phase_rad_equal_log_rmse,velocity_x_m_s_finite_count,velocity_x_m_s_median,velocity_x_m_s_p90,velocity_x_m_s_p95,velocity_x_m_s_mean,velocity_x_m_s_max,velocity_x_m_s_rmse,velocity_x_m_s_equal_log_rmse,velocity_y_m_s_finite_count,velocity_y_m_s_median,velocity_y_m_s_p90,velocity_y_m_s_p95,velocity_y_m_s_mean,velocity_y_m_s_max,velocity_y_m_s_rmse,velocity_y_m_s_equal_log_rmse,velocity_z_m_s_finite_count,velocity_z_m_s_median,velocity_z_m_s_p90,velocity_z_m_s_p95,velocity_z_m_s_mean,velocity_z_m_s_max,velocity_z_m_s_rmse,velocity_z_m_s_equal_log_rmse,body_rate_p_rad_s_finite_count,body_rate_p_rad_s_median,body_rate_p_rad_s_p90,body_rate_p_rad_s_p95,body_rate_p_rad_s_mean,body_rate_p_rad_s_max,body_rate_p_rad_s_rmse,body_rate_p_rad_s_equal_log_rmse,body_rate_q_rad_s_finite_count,body_rate_q_rad_s_median,body_rate_q_rad_s_p90,body_rate_q_rad_s_p95,body_rate_q_rad_s_mean,body_rate_q_rad_s_max,body_rate_q_rad_s_rmse,body_rate_q_rad_s_equal_log_rmse,body_rate_r_rad_s_finite_count,body_rate_r_rad_s_median,body_rate_r_rad_s_p90,body_rate_r_rad_s_p95,body_rate_r_rad_s_mean,body_rate_r_rad_s_max,body_rate_r_rad_s_rmse,body_rate_r_rad_s_equal_log_rmse
0.2,722,722,0,0.0,0.0,722,0.04235081987687661,0.09824786824648792,0.1272852263607356,0.05133459936345659,0.2786670359204162,0.06370291945685928,0.06312362556302245,722,0.0948310913720416,0.16328716029619486,0.17870716936116007,0.09314639312692155,0.23054767402619136,0.10639779135142037,0.1057221603677252,722,0.11465115126485748,0.1736990113253273,0.18864489110838947,0.11539386823863956,0.2989526636195031,0.12401028970124811,0.12327323056281554,722,0.7210766197252456,1.1144246805018825,1.2395669126035194,0.7226188901919569,1.8770221739857187,0.786741228824337,0.7850546976436125,722,7.872894217171819,13.436951981546315,15.894898637943463,8.183562075638225,21.827919479801846,9.052931669960328,9.012696148282576,722,1.002109272515591,1.6520686156880564,1.8320021477759856,1.0471796618616624,3.793367601908723,1.145563772286831,1.14349844922857,722,0.20074093341827393,0.4458700895309448,0.5211846709251404,0.22408741415372516,0.6498370170593262,0.2716899297328066,0.27199682794871594,722,0.22756488678796316,0.4854958506135772,0.5516799769649441,0.24814984834748274,0.7689013404180196,0.29906921115150675,0.299067494555607,722,0.19217681884765625,0.5022122204303742,0.637937307357788,0.24387760448606216,1.8444828391075134,0.32373487891522745,0.31993910589092966,722,0.19481855630874634,0.5283139109611511,0.6431344896554945,0.2534602758722313,1.6560800075531006,0.3337379141969754,0.3310894288560533,722,0.5410271547734737,0.9686799249611795,1.0810304753482343,0.5367267966096952,1.517829418182373,0.6346467473588933,0.634670374084459,722,0.5645692273974419,1.3243845000863075,1.54199708243832,0.6569076368580875,3.6789573431015015,0.8136413481989364,0.8098569938405733,722,0.6263414919376373,1.2052290380001067,1.3395848184823989,0.6638247035545364,2.210592269897461,0.7812196782857436,0.781356368458147,722,0.13224703818559647,0.31804680824279785,0.3876328684389591,0.15799320174391296,0.8178304806351662,0.1999998178403441,0.19920239837179063
0.5,722,722,0,0.0,0.0,722,0.2118132689823925,0.4451150238603414,0.5683216250011774,0.2439363114923615,1.310753825707039,0.2964859889786388,0.2937999166245967,722,0.20687389119549993,0.40152825479004367,0.4437494747216406,0.2176737821583318,0.6920285833392152,0.2557796179592453,0.25433917772555,722,0.34737624592505534,0.5389967103702052,0.6263321529748644,0.3580843099374004,1.3115150599878682,0.39157011456956087,0.38923891921403886,722,0.978969036041899,1.796066462426587,2.2415444637204023,1.0946690051110812,4.274705179212535,1.2370888419136847,1.227860814852486,722,19.23188574959984,31.789007515470644,35.79202592697021,19.66271915467153,52.88429605267474,21.621355670552425,21.539198876281464,722,0.8197093078863255,1.5249659321598255,1.7513237565939452,0.90039933771929,3.033689438092106,1.0168044777734269,1.0167367577827215,722,0.18893945217132568,0.4613948822021484,0.5374526977539061,0.22052002877739987,0.7678794860839844,0.27745117739952163,0.2768900607135314,722,0.4787308327495752,1.0569686577901471,1.2212149753804735,0.5142908001444008,1.5858670733084506,0.6326241969843672,0.6312282620674725,722,0.41476836800575256,1.1494861841201782,1.4879756569862364,0.5418406717773976,4.159568548202515,0.7335279219951959,0.7235116922859378,722,0.4424360990524292,1.2391506791114806,1.5633019924163807,0.576262430686483,3.1602152436971664,0.764041603385477,0.7579275973474385,722,0.4204019480384886,1.084059653431177,1.240465996414423,0.5029139233945928,1.9776949882507324,0.6391916916988994,0.636990351724342,722,0.4427613317966461,1.264957608282566,1.5410300254821772,0.5755923314009074,2.6725656390190125,0.7446786052389618,0.7409175716306684,722,0.4294306430965662,1.0690812379121781,1.2326819837093352,0.5181392914184415,1.7163004875183105,0.6385605087872558,0.638251599387607,722,0.1640276424586773,0.43711661361157883,0.5388353791087853,0.2058658357505476,1.0016660764813423,0.2675548495856631,0.2679251491466082
1.0,722,722,0,0.0,0.0,722,0.7541631760400416,1.6627146283466496,2.115924825795704,0.889888703053604,4.580691155960536,1.078945409045908,1.0687893789004093,722,0.4316291729872481,0.9176426023657424,1.0546696142230805,0.47292106432889525,1.72065244273589,0.5723058779591675,0.568702643153717,722,0.9707007349485274,1.772904908953488,2.209840004898695,1.0779173177247514,4.59767090660565,1.2213341940877014,1.2113004662643572,722,1.6708392419150107,3.366069531493706,4.132252419105806,1.929862266231805,8.368595395929775,2.2250021769772874,2.2073522092718085,722,37.80835195243639,64.35710042832918,73.19680545620687,39.36799915646849,110.28216173512146,43.31573755997437,43.18131424020264,722,0.9171817578115079,1.633246502574779,1.8793214110003975,0.9720292327607035,3.5591089705097207,1.0945828064878418,1.0925288425890443,722,0.24052977561950684,0.6056099414825439,0.7061124920845029,0.2928771741502503,1.1554350852966309,0.3672836247682629,0.36603387658247344,722,0.9694430780721868,2.393172258471806,2.664147568206218,1.1411998703442185,3.134406691301089,1.3972493078219725,1.3929103293943137,722,0.7820361852645874,2.276152682304382,2.9174153670668597,1.048736925136267,7.389962196350098,1.4303941387957533,1.411884909985002,722,0.8224713802337646,2.3672298192977905,3.09678658246994,1.095865373961483,6.178158283233643,1.4621425575910767,1.4530564198935558,722,0.6178586781024933,1.436338061094284,1.7092793516814704,0.7082049969630186,2.946729004383087,0.875640586390014,0.867117702499776,722,0.4820835366845131,1.3031583309173582,1.5725032031536101,0.609066404046883,3.2382619380950928,0.7826299489260189,0.7761271223286582,722,0.48196808248758316,1.1747494071722029,1.3027612179517745,0.5686732329914496,2.400836229324341,0.7057769077851666,0.7049264576375546,722,0.18951435945928097,0.47461975291371333,0.5871006133034821,0.23018525947169774,1.1365404650568962,0.2957716006314091,0.2950714966417681
2.0,722,722,0,0.0,0.0,722,2.7051031995689687,6.078116554259066,7.596288773027228,3.224537899252928,13.99068293129695,3.911706294763274,3.878231093487707,722,0.9635213242813734,2.2686289766849193,2.672418307808873,1.0909332100323368,5.028802596653421,1.3569633526014653,1.3492377879894986,722,3.0617303188171014,6.275999446827235,7.72055133033612,3.560333329735101,14.124057134270922,4.140385933315158,4.10660545174548,722,2.7794138051051624,5.862532027570551,7.216759940101048,3.2756924743708016,13.617422358909389,3.83863747993852,3.810674700451718,722,76.58617227442623,128.51978639865635,148.6714275846915,79.35931792384096,177.83023401458252,87.09501188291681,86.92868433860959,722,0.9280362390708182,1.6376793577474307,1.8510280446918679,1.003481333258664,3.3025145987071913,1.1208451450696284,1.1184852953369901,722,0.25716352462768555,0.6223983764648438,0.7692007184028613,0.30850143974177396,1.6474242210388184,0.39674959781735475,0.3961638923319798,722,1.688368390673801,2.8559939273004677,2.9915751595654863,1.6299012877680605,3.141180862292167,1.8626672162703497,1.8603057398011686,722,1.3714251518249512,4.150134861469268,5.2648451149463655,1.900071855035928,13.514715194702148,2.583012595602215,2.5515156123221576,722,1.4824350476264954,4.4839081883430465,5.322862154245376,2.0024894530835904,10.263611316680908,2.6511094941525197,2.6368666153303906,722,0.6818864177912474,1.6806383720599112,1.9691346317529677,0.8155426722796443,3.149614632129669,1.0172522220980549,1.0114664814492198,722,0.5257219504565,1.321862569451332,1.5993466734886164,0.6230569025501609,3.053183436393738,0.8059160126528307,0.8006862064353626,722,0.4873112142086029,1.1690035730600357,1.3178910225629799,0.5593942076072917,1.9753955006599426,0.6896914198141187,0.6888502237597391,722,0.22860817378386855,0.5814055658876895,0.7204345881938933,0.28425727589952393,1.3536604642868042,0.36210352830468795,0.3606239982515674
3.0,722,722,0,0.0,0.0,722,5.6520659786130825,12.632255070584703,15.14665841406238,6.635692496103016,27.477946389354486,8.017226510942148,7.956823827631257,722,1.414932893165341,3.49157546892916,4.141936097872133,1.6872260935523322,7.0727345424153185,2.0942365694587117,2.0862466101636996,722,5.999182162696606,12.70836292603644,15.274658782411478,7.064924876923064,27.541389083127473,8.28623845521065,8.226225451738875,722,3.6597035045989585,7.880853089495997,9.580016887191912,4.268545209258631,17.62982929689632,5.0387623192018065,5.006813832279802,722,114.00644881836371,166.40071254443563,171.41267609300235,110.05616960819836,179.914741613565,117.36965238742711,117.4197754209277,722,0.9848103058447881,1.640801007944411,1.9095307585673469,1.0386045782165125,3.0669694500386666,1.1417494840693716,1.135819931358228,722,0.24156248569488525,0.6131910800933837,0.7372730970382686,0.2925604750244901,1.6659562587738037,0.3688364033689585,0.3674508822605481,722,1.6026194517158108,2.8108256953895934,2.957998738285843,1.5671825840489328,3.1400690999912575,1.80925631770786,1.8100463623816467,722,1.927525818347931,5.543733572959899,7.188842706382272,2.565693996114001,17.508607387542725,3.4517769174173107,3.4135199944545898,722,1.964597225189209,5.897351300716398,7.2154718190431595,2.6687623183152684,14.012784004211426,3.544462934228018,3.5305873842592255,722,0.6316486597061157,1.5696609705686568,1.803753396868704,0.7563239492184465,4.0830190777778625,0.9545388046992774,0.9501462725250185,722,0.5313806664198637,1.310828584432602,1.6134107738733288,0.6463168153634109,3.057679772377014,0.8183807396311001,0.808753717170438,722,0.5173891484737396,1.1148219227790832,1.2837375402450548,0.5669068128171756,1.7823545336723328,0.6859445468076775,0.685360448146405,722,0.26825010776519775,0.6420032232999802,0.7898404326289887,0.31962724620333827,1.4974155724048615,0.4041347894927379,0.4010528648823118
5.0,722,722,0,0.0,0.0,722,13.773650087087299,28.715079714672452,33.77172923495937,15.533548768101102,57.90798353995862,18.504154300833576,18.398162786847053,722,2.3967168006378383,5.721133519722996,6.78147203556942,2.8292225095158057,12.74693711672105,3.523695873779225,3.5063631644156197,722,14.243337660469049,29.113722313428692,33.86066659325736,16.125101018345333,58.10594879180534,18.836670592223737,18.72989672346562,722,5.554670727804107,9.914171332805129,11.643375453484072,5.740831668663468,16.2035637422254,6.614279159360032,6.583017608576332,722,122.98529319752045,170.03764092515425,175.79936867921285,119.9817364163436,179.9030018289616,126.66918147084641,126.78521461262191,722,0.9490398374773641,1.6588546886364604,2.044049839537721,1.02997324587395,3.4352730022809954,1.1552598942995997,1.152003876896667,722,0.2746250629425049,0.7348582744598388,0.8473449230194088,0.34031494849276345,1.6564018726348877,0.4349042516748843,0.4340051352390513,722,1.6287833164466452,2.876930905899543,2.992877624497943,1.6216518560980162,3.137405683021376,1.865816139182438,1.8657225329316787,722,2.755538761615753,7.533311456441879,8.564029896259303,3.4813529487307133,15.935692310333252,4.4977999679894305,4.4603709334571695,722,2.8954829573631287,7.963050660490989,9.455975914001465,3.6987299390570607,15.08335256576538,4.751106207406627,4.7395199194452005,722,0.603888601064682,1.5843150988221169,1.9061527088284487,0.7661942960049472,4.509828686714172,0.9723549001475501,0.9618992082525478,722,0.5244304165244102,1.298827114701271,1.6280984327197068,0.6329270022730356,3.2662214040756226,0.8188686637247299,0.8136720276485411,722,0.45152322202920914,1.1776416569948196,1.3507584311068057,0.5583494813984435,2.217054605484009,0.7010115729813402,0.6999594474645353,722,0.25685787200927734,0.6741716280579566,0.8176675897091618,0.31958385931795213,1.8174285888671875,0.41552654487171437,0.41165869146839407
