,,position_rmse_m,position_rmse_m,velocity_rmse_m_s,velocity_rmse_m_s,attitude_error_deg,attitude_error_deg,body_rate_rmse_rad_s,body_rate_rmse_rad_s
,,mean,std,mean,std,mean,std,mean,std
cohort,horizon_s,,,,,,,,
ALL,0.1,0.03533975864420625,0.00015990767617191237,0.14492896163638916,0.004558850788517942,1.4073877468550968,0.020646258245104163,0.5453288200248091,0.0026433578346637793
ALL,0.2,0.07037587349308577,0.0004976466306378217,0.19543233126080128,0.0037720954344334693,2.196485019790116,0.038513377531380115,0.566282902745557,0.0028450684233779343
ALL,0.5,0.19239547672322296,0.001856806680455877,0.35728760280197097,0.007164950868292151,4.078397320880655,0.04607170828475755,0.5965765638938305,0.002814068571613762
ALL,1.0,0.4740135945068145,0.0063451929683339976,0.6477484161958498,0.007016089778034282,6.692491016944584,0.1321127775463332,0.621073066091966,0.010836731491132377
Sep17,0.1,0.018780422431597697,0.00028830337644317124,0.15328336836166886,0.004828239875014057,1.4698279488461614,0.012525798814222399,0.5273914227725652,0.002736797979077498
Sep17,0.2,0.04037588592285831,0.000832871451905773,0.22052783542296642,0.0008974633393705403,2.37616382737612,0.056678042941411856,0.5370344677623691,0.0007091574312916206
Sep17,0.5,0.12928485858696695,0.004018232911316696,0.373610173552306,0.014307367346192515,4.569509023899155,0.105403816956355,0.5609187234319971,0.004592958054577349
Sep17,1.0,0.3681691524105302,0.0141463689109559,0.6881681445830085,0.01188640878236767,7.56541947905566,0.35081689495904095,0.617365134617765,0.01607849461408921
Sep7,0.1,0.05005916861096942,8.744299065043268e-05,0.13750282232502947,0.004517645369159583,1.3518853450852613,0.02882240760414476,0.5612731731379149,0.0029278190593896563
Sep7,0.2,0.09704252911106574,0.0002834870360181057,0.17312521644998788,0.006327708090695251,2.0367705241581118,0.022973501834104283,0.5922815116195018,0.00501544518428118
Sep7,0.5,0.2484938039554505,0.0008251470194659296,0.34277865102389543,0.0009654753328229383,3.6418535848642115,0.05666248916746785,0.6282724220821269,0.0025899965823362723
Sep7,1.0,0.568097543036845,0.0034957627160058747,0.6118197687405976,0.0035173037417053766,5.916554606179183,0.06500466524481746,0.6243690051801445,0.007323336754088228
