model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows
StandardGRU_H26_K50,17,ALL,0.1,0.03536245247039216,0.14035855425947605,1.3845081812843176,0.5438908690521727,0.14035855425947605,0.5438908690521727,0.062459000675592236,0.06368893856642806,0.10396465194660977,0.4762783226978417,0.22208440546189814,0.13502715352845338,17,2582
StandardGRU_H26_K50,17,ALL,0.2,0.07037190362324913,0.1913372511543343,2.153924994033037,0.5642465228464214,0.1913372511543343,0.5642465228464214,0.08804070561340194,0.08925993440362247,0.14163087365157478,0.49880749418929976,0.21699200371978775,0.1456706492547093,17,2582
StandardGRU_H26_K50,17,ALL,0.5,0.19181755741143322,0.35120971133871337,4.033739869797021,0.5987111814112148,0.35120971133871337,0.5987111814112148,0.18695264129837869,0.18616324447708388,0.2267395326944748,0.523436296783577,0.2435075595288423,0.1534824523940518,17,2582
StandardGRU_H26_K50,17,ALL,1.0,0.4710118286077274,0.6397392884452643,6.7436704082204395,0.6179617155873608,0.6397392884452643,0.6179617155873608,0.38417104265233143,0.40668320868846636,0.3065967874369264,0.514607989797867,0.294705740534934,0.16743040797200148,17,2582
StandardGRU_H26_K50,17,Sep17,0.1,0.018732196986657252,0.14915633499956593,1.4554004953167754,0.5271383330299544,0.14915633499956593,0.5271383330299544,0.06466484148902703,0.060415261859285606,0.11964480131186236,0.4552508380185507,0.2291281554568838,0.12985899326807343,8,1101
StandardGRU_H26_K50,17,Sep17,0.2,0.04013913695398029,0.21956426725896339,2.3154080924912437,0.5362156880837925,0.21956426725896339,0.5362156880837925,0.10107149804727422,0.09271941224681479,0.16912293955277283,0.46336637688121685,0.2222070689303598,0.15174908788668093,8,1101
StandardGRU_H26_K50,17,Sep17,0.5,0.1270365414992979,0.36104227868017574,4.526343476132087,0.562090449389662,0.36104227868017574,0.562090449389662,0.1816924816466104,0.17479358938055245,0.25598402606064574,0.4826943657106594,0.2336733087151609,0.16700033448810553,8,1101
StandardGRU_H26_K50,17,Sep17,1.0,0.3575994212796688,0.6744544206776595,7.675609643783913,0.6087628894087019,0.6744544206776595,0.6087628894087019,0.3970527773314975,0.41678998760348446,0.34945116191092584,0.4987098624601958,0.29304367306287743,0.18682439586063257,8,1101
StandardGRU_H26_K50,17,Sep7,0.1,0.05014490178926762,0.1325383047127295,1.3214927910332441,0.5587820121830335,0.1325383047127295,0.5587820121830335,0.060498253285872425,0.06659887341722134,0.09002674139971857,0.4949694201905448,0.21582329435524422,0.1396210737599022,9,1481
StandardGRU_H26_K50,17,Sep7,0.2,0.09724547399593256,0.16624657017244177,2.0103844620701867,0.5891628204132026,0.16624657017244177,0.5891628204132026,0.07645777900551545,0.08618484298745151,0.11719348173939872,0.5303107095742622,0.21235639019927924,0.14026759269295674,9,1481
StandardGRU_H26_K50,17,Sep7,0.5,0.24940068266666465,0.3424696514796357,3.595869997499184,0.6312629432081506,0.3424696514796357,0.6312629432081506,0.19162833876661717,0.19626960456288964,0.20074442748010063,0.5596513466261704,0.25224911580767023,0.14146655719933737,9,1481
StandardGRU_H26_K50,17,Sep7,1.0,0.5718228573437796,0.6088813931275797,5.915279976608463,0.626138449968391,0.6088813931275797,0.626138449968391,0.3727206118264061,0.3976994052084504,0.26850401012670466,0.5287396585424636,0.29618313384342876,0.15019130762655164,9,1481
StandardGRU_H26_K50,23,ALL,0.1,0.03548710706056091,0.14947616727417384,1.4246294335515182,0.5437161515862754,0.14947616727417384,0.5437161515862754,0.06403325329168638,0.0667638486052066,0.11318972131192438,0.4730885636082701,0.2267500249514597,0.13790270611682434,17,2582
StandardGRU_H26_K50,23,ALL,0.2,0.07087549318270406,0.19876495619749096,2.2065952786632073,0.569533643257486,0.19876495619749096,0.569533643257486,0.0899604889689234,0.0925984893800837,0.1479007911537216,0.4991149195221619,0.22928845628661912,0.1444868031490214,17,2582
StandardGRU_H26_K50,23,ALL,0.5,0.19447251859209935,0.36518771582815834,4.075688347819958,0.5976309379499345,0.36518771582815834,0.5976309379499345,0.2003181658860737,0.19355842990947955,0.23137130019898958,0.5170257637731865,0.25558301123582755,0.15092699188731803,17,2582
StandardGRU_H26_K50,23,ALL,1.0,0.4813027004065133,0.6528093513503518,6.5424453514921,0.6331251394378538,0.6528093513503518,0.6331251394378538,0.39383236636540675,0.4092846963854225,0.31410016077830377,0.5141008245322067,0.3271085725712706,0.16288493362662368,17,2582
StandardGRU_H26_K50,23,Sep17,0.1,0.01908979743112844,0.15859305155288933,1.4761573258907612,0.5247899606121859,0.15859305155288933,0.5247899606121859,0.06598835205490085,0.06394066581290164,0.1285006555401665,0.44649739112416986,0.23533550979961723,0.13952249268114084,8,1101
StandardGRU_H26_K50,23,Sep17,0.2,0.04130150095366564,0.22133991140693343,2.3854714299740563,0.5374336526607578,0.22133991140693343,0.5374336526607578,0.10223209464624916,0.0965629406575916,0.16813897375304873,0.45423988820086775,0.24445204801676304,0.14877804337629166,8,1101
