model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
StandardGRU_H26_K50,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.018539392305667597,0.130677128854024,1.441099904218311,0.5619771580081581,0.130677128854024,0.5619771580081581,0.05829199374906838,0.051318072725378666,0.10509524671478968,0.49702430100463973,0.2259559648907941,0.1331505623872678,130
StandardGRU_H26_K50,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.03867770968243915,0.19756442456065693,2.396061200001026,0.5316277033104622,0.19756442456065693,0.5316277033104622,0.09206635453144002,0.07285219885839968,0.15889633518986804,0.46622201624154264,0.21322426136199715,0.1407141103992711,130
StandardGRU_H26_K50,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.13107762700801623,0.38397353490120867,4.985910293715179,0.6061456418878973,0.38397353490120867,0.6061456418878973,0.17334703498327417,0.1969792300440654,0.2803313466208951,0.5312024927150167,0.22902358099579836,0.18106532042581952,130
StandardGRU_H26_K50,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.4025489417898279,0.7903290965246597,8.853941482419497,0.6932807106726248,0.7903290965246597,0.6932807106726248,0.4444415149463214,0.5155169250542581,0.4016641888298062,0.5560434046140201,0.35572282514317893,0.211931941075771,130
StandardGRU_H26_K50,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.02047750353120678,0.1521744281367637,1.625962324959965,0.5437917518692967,0.1521744281367637,0.5437917518692967,0.06108697051065212,0.06451755492584418,0.12354320587945114,0.49314783405417817,0.1871964988206447,0.13218227565768392,145
StandardGRU_H26_K50,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.042124485278415134,0.23575162874935338,2.329150787959338,0.5540913975063277,0.23575162874935338,0.5540913975063277,0.08291293544106611,0.10865236599904371,0.19209096531937256,0.4853676325343579,0.21379445420895077,0.1603978473297089,145
StandardGRU_H26_K50,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.12367397651478379,0.35901290664994684,4.505578996895918,0.5822998043350742,0.35901290664994684,0.5822998043350742,0.1552131546918233,0.1986122808326921,0.2556409702185692,0.5039272567488637,0.23697534475074905,0.17021477025949944,145
StandardGRU_H26_K50,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.35548380881641967,0.646329224310094,7.415775553261124,0.6291595993217155,0.646329224310094,0.6291595993217155,0.3694035335364293,0.3925136008111746,0.35667291568933834,0.5146853225837303,0.301587004280431,0.19996524444187408,145
StandardGRU_H26_K50,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.015772745773176073,0.13086221632024925,1.3729883122457456,0.4493565624909559,0.13086221632024925,0.4493565624909559,0.06123689304698165,0.04939283892380248,0.1045720328445782,0.382228112844002,0.2004893176967526,0.12500809371753419,144
StandardGRU_H26_K50,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.03423269594923243,0.19705069568219946,2.0131219226209267,0.511005673921775,0.19705069568219946,0.511005673921775,0.0854809158837823,0.08344660078875911,0.1567120113625946,0.43594313743879304,0.22311541931290907,0.14594481616382915,144
