seed,group,flight_id,cohort,interval,axis,n_origins,n_direction,waveform_rmse,true_amplitude,pred_amplitude,mean_change_bias,direction_agreement
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vx,168,73,0.035599071515255785,0.1336168419099471,0.13432173486161678,0.009298182578763052,1.0
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vy,168,43,0.03616021159152514,0.13783130611897704,0.1370343859899281,-0.0031412971462613,1.0
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,vz,168,123,0.0735076285860684,0.5289688687765128,0.5394823129758077,0.006532193913666185,1.0
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,p,168,128,0.5202507042462355,0.7740591963776268,0.5528504905850957,0.04206270641206156,0.9453125
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,q,168,133,0.19403400200041448,0.7294799282451057,0.7070689574224532,0.006904795874174535,0.9849624060150376
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,early,r,168,95,0.13446021917462558,0.1312699715774333,0.10938356716027585,0.03862012867614977,0.7052631578947368
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vx,182,68,0.03705660946188492,0.13187538168589782,0.13160548534827413,0.0037173966116322964,1.0
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vy,182,46,0.03295002923909998,0.1342700715291585,0.13522039317425988,0.0014370256113387344,1.0
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,vz,182,129,0.06957646460649299,0.5286164572478275,0.555553620225967,0.004326661067758638,1.0
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,p,182,149,0.5083117752015901,0.8024329222614903,0.6329290479104106,-0.008600259896559366,0.9463087248322147
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,q,182,148,0.20459543789959803,0.6748726590219942,0.6517778316316626,-0.004480408118250584,0.9932432432432432
17,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,early,r,182,94,0.12461371653589286,0.12380297280070669,0.08354257052623545,0.011784467125121389,0.7021276595744681
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vx,160,67,0.043389049780209285,0.15261316105285505,0.15203918758121193,0.0030857236585154404,0.9850746268656716
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vy,160,58,0.03764745832837511,0.1763411915709155,0.17463870996217395,-0.0009604915450534725,1.0
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,vz,160,134,0.07019412446197063,0.5908613508869681,0.6040519275863989,0.005804922931675971,1.0
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,p,160,130,0.5195705620056059,0.8797246543107708,0.6821580167527098,-0.0024447070333766356,0.9615384615384616
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,q,160,131,0.20940852870685725,0.6472177943070602,0.6131415521122134,0.008845038566834721,1.0
17,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,early,r,160,94,0.12216131990560537,0.14078004810858602,0.09029431383979576,-0.005662733641061497,0.776595744680851
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vx,161,63,0.03903966147531133,0.15089287184298758,0.14852874627123122,0.001868108903903294,1.0
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vy,161,45,0.040246448235796074,0.15087194626125444,0.1477415809233843,-0.0008129248706554439,1.0
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,vz,161,131,0.06998276827036344,0.5782158949718944,0.5730575154063019,0.010872027452218352,1.0
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,p,161,129,0.5200699715267401,0.8576474541020019,0.6304742634828664,0.04072455021453208,0.937984496124031
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,q,161,133,0.2052685805941228,0.705565876425805,0.6732290319072086,-0.038325736353187534,1.0
17,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,early,r,161,98,0.13080929165333408,0.13142488008645,0.09479508655486717,0.029608683685767957,0.673469387755102
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vx,150,52,0.10762227869362097,0.17755458279494163,0.12877236838472317,0.007685637793067919,1.0
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vy,150,43,0.17419108347648224,0.24593246401654653,0.13330347711912074,0.01766350012864997,1.0
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,vz,150,111,0.08414360995032419,0.5475199563286093,0.5546671048553387,0.011582757205205513,1.0
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,p,150,111,0.5096889021263535,0.7763930861696677,0.5992102978727438,0.0009195804513431005,0.963963963963964
17,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,early,q,150,123,0.20034788975450335,0.6803552568034749,0.6424457234820996,-0.02729783169613223,1.0
