group,step,metric,cohort,flight_id,autonomous,local100ms,local_gain
ALL,5,attitude_error_deg,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.4352465765737261,1.4352465765737261,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.6007211935092711,1.6007211935092711,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.375446047534225,1.375446047534225,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,1.5890792972322894,1.5890792972322894,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,1.391487169094585,1.391487169094585,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,1.434786021527796,1.434786021527796,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,1.4291526677785642,1.4291526677785642,0.0
ALL,5,attitude_error_deg,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,1.5027048820171849,1.5027048649941106,1.7023074283528672e-08
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_21_2026-9-7-05-54-56.ulg,1.362259684957733,1.362259684957733,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_22_2026-9-7-06-01-40.ulg,1.4579581554329293,1.4579581554329293,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_23_2026-9-7-06-09-22.ulg,1.4558988172801353,1.4558988172801353,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_24_2026-9-7-06-16-04.ulg,1.462726746768211,1.462726746768211,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,1.2910002825293683,1.2910002825293683,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,1.2360253149034586,1.2360253149034586,0.0
ALL,5,attitude_error_deg,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,1.2321510217916058,1.2321510217916058,0.0
