group,axis,cohort,zero_lag_correlation_mean,zero_lag_correlation_std,best_correlation_mean,best_correlation_std,median_alignment_lag_s_mean,median_alignment_lag_s_std,bound_fraction_mean,bound_fraction_std
ALL,p,ALL,0.7212418725660367,0.008538506430651493,0.783653069978902,0.0014390378729247826,0.009783300245098039,0.0033889047149515154,0.009859458815341305,0.0025061414320217746
ALL,p,Sep17,0.7326472235101756,0.007519102340143431,0.7793056238024736,0.0011602453564474044,0.004989454166666665,0.0043209940599492295,0.00992246607709256,0.003912712305764694
ALL,p,Sep7,0.7111037828379133,0.009948785060645386,0.7875174665801717,0.0017757571969551317,0.014044496759259258,0.0025603808528073166,0.0098034523604513,0.0013646881306488756
ALL,q,ALL,0.8652088396575107,0.006766651289887861,0.8717835534881476,0.004000231577963228,0.0,0.0,0.002204882376767049,0.0006517276751326481
ALL,q,Sep17,0.8908201749963248,0.010837663361824791,0.8984148106394384,0.0067753300709816845,0.0,0.0,0.0014994480743804224,0.0019332340971102923
ALL,q,Sep7,0.8424432082452316,0.0037257959392533674,0.8481113249092225,0.002083927570359039,0.0,0.0,0.002831935089999606,0.000770630230232083
ALL,r,ALL,0.5378639687668122,0.006338824727020901,0.6969542559853311,0.00143590632862077,-0.006231800490196077,0.0006900964495556415,0.17979190906141754,0.006371111369200902
ALL,r,Sep17,0.6235036293937081,0.0060481773540840035,0.7518071047870108,0.0037158199677859213,0.03251665,0.0025409928592845478,0.15241239639369322,0.0080934348298748
ALL,r,Sep7,0.46173982598734914,0.009559158721909052,0.6481961681616158,0.0020012595263060613,-0.04067486759259259,0.0012884771986255497,0.20412925365495027,0.011083101089957607
ALL,vx,ALL,0.8297278531641749,0.005071670645691229,0.8400936902484144,0.004747682305932922,0.0,0.0,0.02227082069904256,0.0005237208192944728
ALL,vx,Sep17,0.8450364367629032,0.00671718862764437,0.8571237023437647,0.006278509979883831,0.0,0.0,0.028409321355854517,0.002376565338542438
ALL,vx,Sep7,0.8161202232986384,0.0038323119451549145,0.8249559017192144,0.0036132277516250024,0.0,0.0,0.016814375670765266,0.0022780155948142647
ALL,vy,ALL,0.8531470926489839,0.003824728636191298,0.869269395107991,0.003106758814940343,0.0,0.0,0.050489057366737145,0.003029431018379373
ALL,vy,Sep17,0.8598641184840118,0.002450090991156745,0.8782082464993376,0.002534324018008672,0.0,0.0,0.06529677412919606,0.006239696303511243
ALL,vy,Sep7,0.8471764030178481,0.00571851738426231,0.861323749426794,0.004250374269030886,0.0,0.0,0.03732664246677366,0.0019758723143833163
ALL,vz,ALL,0.9499777044232548,0.0035793033948985455,0.9524931556584564,0.002973729415069011,0.0,0.0,0.003709522867447926,0.0007115539381442469
ALL,vz,Sep17,0.9378089437697511,0.006959702296778215,0.9410475481303688,0.005735772324649925,0.0,0.0,0.0047349991796708825,0.0009845280717206816
ALL,vz,Sep7,0.9607943805597027,0.0008185462969955385,0.9626670290167563,0.0009290110244727658,0.0,0.0,0.0027979883676941867,0.0006587014640373334
common_high,p,ALL,0.6905339156610134,0.010618741232870082,0.7646614468516842,0.0022337785669520644,0.009797940196078431,0.003584351332372571,0.022965497401078006,0.00734786465021271
common_high,p,Sep17,0.7149796357784487,0.012524618831044698,0.7659894179477176,0.004100819448109103,0.0054054515625,0.003139200979815145,0.0210815932291223,0.013107536709950079
common_high,p,Sep7,0.6688043866677374,0.009028407563057022,0.7634810280996547,0.001408584736567222,0.013702374537037038,0.004196103317064698,0.024640078887260854,0.002375927033702165
common_high,q,ALL,0.8213329603251571,0.006649205101053306,0.8364683516141264,0.004684088100949862,0.0,0.0,0.005836235128300792,0.002646042308721009
common_high,q,Sep17,0.8549339643601916,0.013198866555777733,0.8695860784823713,0.010691547524358446,0.0,0.0,0.004589499647639183,0.005622839906032144
common_high,q,Sep7,0.791465401182904,0.005070056930607425,0.8070303721756863,0.0014212177723047423,0.0,0.0,0.006944444444444444,0.0
common_high,r,ALL,0.5538174316516845,0.010010456946439527,0.6878307881733648,0.006138144841287289,-0.0027412767156862763,0.001878606256031378,0.17847602837033139,0.009196216261123004
