seed,group,step,condition,flight_id,cohort,axis,rmse
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vx,0.2019193308352126
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vy,0.1671530576859885
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vz,0.22773382824013153
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,p,0.5679533177634597
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,q,0.27544350763964404
17,ALL,25,autonomous,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,r,0.1730618883836046
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vx,0.0501493940472951
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vy,0.05005566004974044
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,vz,0.10753587895784826
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,p,0.5426277181951286
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,q,0.2513540487606476
17,ALL,25,local100ms,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,r,0.1671220160482536
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vx,0.17769341672161243
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vy,0.15396838509875815
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vz,0.21446420476284395
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,p,0.5480085273123871
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,q,0.2614255816041484
17,ALL,25,autonomous,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,r,0.15247678338339246
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vx,0.05498199047594959
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vy,0.04202344433796794
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,vz,0.0995961118496123
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,p,0.5065916747695994
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,q,0.21596242412622754
17,ALL,25,local100ms,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,r,0.15080825354525507
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vx,0.1709586718480133
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vy,0.1664473457861936
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vz,0.19164556085780193
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,p,0.6855887940517504
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,q,0.21466545677900206
17,ALL,25,autonomous,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,r,0.1414732853037667
17,ALL,25,local100ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vx,0.04561991491640075
17,ALL,25,local100ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vy,0.05133368830976935
17,ALL,25,local100ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,vz,0.10238758829589759
17,ALL,25,local100ms,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,p,0.6655915139384637
