channel,axis,amplitude_ratio,direction_agreement,waveform_rmse
drive,vz,0.9647697456282318,0.985620167944846,0.2339538035451175
common,q,0.9244963755420044,0.9833763565221366,0.2952672367404035
differential,p,0.8398664312036982,0.968557755961407,0.52662173106578
rudder,r,0.8630414823865992,0.9066659778215378,0.1743056960853829
