group,step,condition,metric,cohort,value_mean,value_std
ALL,1,autonomous,attitude_error_deg,ALL,0.38248437984033123,0.0013335376015908718
ALL,1,autonomous,attitude_error_deg,Sep17,0.3675452500045613,0.0025787753676401464
ALL,1,autonomous,attitude_error_deg,Sep7,0.3957636063610157,0.001103098040462343
ALL,1,autonomous,body_rate_rmse_rad_s,ALL,0.5064967954192475,0.0035659950515976534
ALL,1,autonomous,body_rate_rmse_rad_s,Sep17,0.4664903311301434,0.002232914320662601
ALL,1,autonomous,body_rate_rmse_rad_s,Sep7,0.5420580970095624,0.004823797122683402
ALL,1,autonomous,position_rmse_m,ALL,0.008603064861377798,4.273092218323925e-06
ALL,1,autonomous,position_rmse_m,Sep17,0.005291476080598455,4.238928907787021e-06
ALL,1,autonomous,position_rmse_m,Sep7,0.011546699333181658,4.586663391993484e-06
ALL,1,autonomous,velocity_rmse_m_s,ALL,0.05133327424146109,0.0007968627063960226
ALL,1,autonomous,velocity_rmse_m_s,Sep17,0.052803981909776504,0.0014308742242709204
ALL,1,autonomous,velocity_rmse_m_s,Sep7,0.050025978536291836,0.0005289960878847157
ALL,2,autonomous,attitude_error_deg,ALL,0.73037599999246,0.001565787850485127
ALL,2,autonomous,attitude_error_deg,Sep17,0.7038931742871388,0.003416813239415088
ALL,2,autonomous,attitude_error_deg,Sep7,0.7539162895083008,0.0058219963952236145
ALL,2,autonomous,body_rate_rmse_rad_s,ALL,0.529042117774521,0.004156805609914403
ALL,2,autonomous,body_rate_rmse_rad_s,Sep17,0.5007679687131225,0.002602052042860517
ALL,2,autonomous,body_rate_rmse_rad_s,Sep7,0.5541746947179864,0.005883467309453395
ALL,2,autonomous,position_rmse_m,ALL,0.015676265358232435,1.996497753660565e-05
ALL,2,autonomous,position_rmse_m,Sep17,0.008650523195873982,3.7552690805335084e-05
ALL,2,autonomous,position_rmse_m,Sep7,0.021921369502551063,1.7443774491135845e-05
ALL,2,autonomous,velocity_rmse_m_s,ALL,0.07910991617805639,0.0017871354917314798
ALL,2,autonomous,velocity_rmse_m_s,Sep17,0.0819438524596946,0.002690769404390938
ALL,2,autonomous,velocity_rmse_m_s,Sep7,0.07659086170548911,0.0016129912603669145
ALL,3,autonomous,attitude_error_deg,ALL,1.032070847972844,0.010846990065946877
ALL,3,autonomous,attitude_error_deg,Sep17,1.0147809854059435,0.007906111786765334
ALL,3,autonomous,attitude_error_deg,Sep7,1.0474396146989777,0.017453479126870453
ALL,3,autonomous,body_rate_rmse_rad_s,ALL,0.5589675165266045,0.0016037360515437308
ALL,3,autonomous,body_rate_rmse_rad_s,Sep17,0.5295642822071404,0.00309818233881223
ALL,3,autonomous,body_rate_rmse_rad_s,Sep7,0.5851037248105728,0.00299098917791775
ALL,3,autonomous,position_rmse_m,ALL,0.022336742593945264,5.3391131870925994e-05
ALL,3,autonomous,position_rmse_m,Sep17,0.011906919013151995,9.377197005058757e-05
ALL,3,autonomous,position_rmse_m,Sep7,0.03160769688798373,3.751642894502867e-05
ALL,3,autonomous,velocity_rmse_m_s,ALL,0.10543538669184292,0.002885452903951663
ALL,3,autonomous,velocity_rmse_m_s,Sep17,0.10828357477028887,0.0037801729867657998
ALL,3,autonomous,velocity_rmse_m_s,Sep7,0.10290366395544649,0.0027334509979039284
ALL,4,autonomous,attitude_error_deg,ALL,1.2349136006871522,0.019520739702594467
ALL,4,autonomous,attitude_error_deg,Sep17,1.242139787089968,0.012709435440480196
ALL,4,autonomous,attitude_error_deg,Sep7,1.2284903238846494,0.026869970371917833
ALL,4,autonomous,body_rate_rmse_rad_s,ALL,0.5441516199227657,0.002907582439956266
ALL,4,autonomous,body_rate_rmse_rad_s,Sep17,0.5188742911218478,0.005050627931798008
