step,median_s,p05_s,p95_s
1,0.019868,0.00998905,0.029610849999999998
2,0.0397,0.02995105,0.049379
3,0.0596015,0.058936,0.068976
4,0.0796505,0.07855909999999999,0.088748
5,0.0996335,0.0901122,0.10864744999999999
6,0.1196145,0.11802205,0.12828235000000002
7,0.139635,0.1378791,0.147883
8,0.159598,0.157444,0.16789549999999998
9,0.179566,0.17715104999999998,0.18784569999999998
10,0.199567,0.19703705000000002,0.20708195
11,0.21950599999999998,0.21668815,0.226945
12,0.23947000000000002,0.23632905,0.2492606
13,0.259434,0.25610404999999997,0.26642879999999997
14,0.279411,0.27588205,0.28594395
15,0.29938200000000004,0.2954734,0.30921455
16,0.31934049999999997,0.31520329999999996,0.32913194999999995
17,0.33930099999999996,0.3350429999999999,0.3452249
18,0.359274,0.35472705,0.3653485
19,0.37923049999999997,0.37440319999999994,0.38910999999999996
20,0.399196,0.39418605,0.40882065000000006
21,0.4191645,0.41391105,0.42413675
22,0.439145,0.4335862,0.44900795
23,0.4590989999999999,0.45331399999999994,0.46890295000000004
24,0.479068,0.47306404999999996,0.48397775
25,0.4990945,0.49276604999999996,0.50888
26,0.5190494999999999,0.5124761,0.528866
27,0.5389805,0.53223,0.5487809
28,0.5590725000000001,0.5519480500000001,0.5685948
29,0.581194,0.5716500499999999,0.5887489499999999
30,0.5996505,0.59136905,0.60875885
31,0.620587,0.61117065,0.6286660000000001
32,0.640542,0.6383652000000001,0.6486289499999999
33,0.6602055,0.65053505,0.66868485
34,0.6799499999999999,0.67830125,0.6886289
35,0.6996995,0.6984320500000001,0.7085309
36,0.719406,0.7182091,0.7292288
37,0.739126,0.738267,0.7490058500000001
38,0.7588534999999998,0.7583069999999998,0.7686849
39,0.7785889999999999,0.7781930499999999,0.7884999499999998
40,0.7983739999999999,0.7982279999999999,0.8083479499999999
41,0.8182679999999999,0.81795705,0.82827185
42,0.838224,0.83765805,0.8482388500000001
43,0.858188,0.8573264999999999,0.868207
44,0.878155,0.87708305,0.88815795
45,0.898138,0.8967970500000001,0.90812495
46,0.918105,0.9165061,0.928088
47,0.9380569999999999,0.936227,0.948044
48,0.958032,0.955957,0.96802
49,0.9779939999999999,0.9756841,0.9879679499999999
50,0.997967,0.99537005,1.007936
