group,step,metric,cohort,autonomous,local100ms,local_gain_pct
ALL,5,attitude_error_deg,ALL,1.4073877652708784,1.4073877642695212,7.115005857486211e-08
ALL,5,attitude_error_deg,Sep17,1.4698279819084552,1.469827979780571,1.4477097588207365e-07
ALL,5,attitude_error_deg,Sep7,1.3518853504819213,1.3518853504819213,0.0
ALL,5,body_rate_rmse_rad_s,ALL,0.545328817446893,0.5453288175190333,-1.3228769768016845e-08
ALL,5,body_rate_rmse_rad_s,Sep17,0.5273914212369101,0.5273914213902079,-2.906718097990053e-08
ALL,5,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.5612731696335446,0.0
ALL,5,position_rmse_m,ALL,0.03533975990047323,0.03533975990047323,0.0
ALL,5,position_rmse_m,Sep17,0.01878042327859422,0.01878042327859422,0.0
ALL,5,position_rmse_m,Sep7,0.050059170231032346,0.050059170231032346,0.0
ALL,5,velocity_rmse_m_s,ALL,0.14492896236407948,0.14492896251489953,-1.0406481108568264e-07
ALL,5,velocity_rmse_m_s,Sep17,0.15328337006033146,0.1532833703808241,-2.0908506402671133e-07
ALL,5,velocity_rmse_m_s,Sep7,0.13750282218963325,0.13750282218963325,0.0
ALL,10,attitude_error_deg,ALL,2.196485009819066,1.3796000191447175,37.190556139585894
ALL,10,attitude_error_deg,Sep17,2.376163835792054,1.425888322608288,39.9920030289918
ALL,10,attitude_error_deg,Sep7,2.0367704978430776,1.3384548605104325,34.28543559876557
ALL,10,body_rate_rmse_rad_s,ALL,0.5662829067172569,0.550009898940407,2.8736533601525394
ALL,10,body_rate_rmse_rad_s,Sep17,0.5370344702811893,0.5192991504088645,3.3024546567818347
ALL,10,body_rate_rmse_rad_s,Sep7,0.5922815168826502,0.5773083420795558,2.528050323417573
ALL,10,position_rmse_m,ALL,0.07037587473612035,0.0334958373017464,52.40437518206122
ALL,10,position_rmse_m,Sep17,0.0403758876117629,0.01853519493720152,54.0934056597642
ALL,10,position_rmse_m,Sep7,0.09704252995777145,0.046794186070230746,51.7797133992761
ALL,10,velocity_rmse_m_s,ALL,0.19543232868331303,0.13653341546416756,30.137753367605733
ALL,10,velocity_rmse_m_s,Sep17,0.22052783181036187,0.15262572069045055,30.79072177080228
ALL,10,velocity_rmse_m_s,Sep7,0.17312521479260293,0.122229144151916,29.39841588162555
ALL,25,attitude_error_deg,ALL,4.078397323464926,1.3929447049430586,65.84578219172525
ALL,25,attitude_error_deg,Sep17,4.56950906185081,1.4167467314708009,68.99564674685273
ALL,25,attitude_error_deg,Sep7,3.641853556010805,1.3717873480295102,62.33271527995949
ALL,25,body_rate_rmse_rad_s,ALL,0.5965765681119547,0.5576668347166271,6.522169236124888
ALL,25,body_rate_rmse_rad_s,Sep17,0.5609187370666632,0.5080840273004633,9.41931625292108
ALL,25,body_rate_rmse_rad_s,Sep7,0.6282724179299916,0.6017404413087727,4.223005158914254
ALL,25,position_rmse_m,ALL,0.19239547622942155,0.03469331335903488,81.96770836874308
ALL,25,position_rmse_m,Sep17,0.12928485762202166,0.01860546820868648,85.60893475778765
ALL,25,position_rmse_m,Sep7,0.2484938038804437,0.048993620159344574,80.28376587493644
ALL,25,velocity_rmse_m_s,ALL,0.3572876015314526,0.1443197250434036,59.60684769782058
ALL,25,velocity_rmse_m_s,Sep17,0.3736101737272393,0.1401270160770513,62.49379007024752
ALL,25,velocity_rmse_m_s,Sep7,0.3427786484685311,0.14804657745793892,56.809860205884334
ALL,50,attitude_error_deg,ALL,6.692491015924361,1.3941609871042229,79.16828003523794
ALL,50,attitude_error_deg,Sep17,7.565419632078857,1.441032200782777,80.95238240754658
ALL,50,attitude_error_deg,Sep7,5.9165544682314755,1.3524976860566194,77.14045069104391
ALL,50,body_rate_rmse_rad_s,ALL,0.6210730627049943,0.5566631342157713,10.37074900796612
ALL,50,body_rate_rmse_rad_s,Sep17,0.617365130607673,0.5256565777662284,14.854831977824164
