group,step,condition,metric,cohort,seed,value
ALL,1,autonomous,attitude_error_deg,ALL,17,0.38383432787529054
ALL,1,autonomous,attitude_error_deg,ALL,23,0.38245092960420257
ALL,1,autonomous,attitude_error_deg,ALL,42,0.38116788204150065
ALL,1,autonomous,attitude_error_deg,Sep17,17,0.3705194280385853
ALL,1,autonomous,attitude_error_deg,Sep17,23,0.36618378408731433
ALL,1,autonomous,attitude_error_deg,Sep17,42,0.36593253788778435
ALL,1,autonomous,attitude_error_deg,Sep7,17,0.39566979439680633
ALL,1,autonomous,attitude_error_deg,Sep7,23,0.39691061450810333
ALL,1,autonomous,attitude_error_deg,Sep7,42,0.39471041017813735
ALL,1,autonomous,body_rate_rmse_rad_s,ALL,17,0.5028783411100951
ALL,1,autonomous,body_rate_rmse_rad_s,ALL,23,0.5100079074164177
ALL,1,autonomous,body_rate_rmse_rad_s,ALL,42,0.5066041377312299
ALL,1,autonomous,body_rate_rmse_rad_s,Sep17,17,0.4640044522263745
ALL,1,autonomous,body_rate_rmse_rad_s,Sep17,23,0.46832590109108707
ALL,1,autonomous,body_rate_rmse_rad_s,Sep17,42,0.4671406400729685
ALL,1,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5374329090067358
ALL,1,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5470585797056002
ALL,1,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5416828023163514
ALL,1,autonomous,position_rmse_m,ALL,17,0.008607583569834454
ALL,1,autonomous,position_rmse_m,ALL,23,0.008602521686778502
ALL,1,autonomous,position_rmse_m,ALL,42,0.008599089327520437
ALL,1,autonomous,position_rmse_m,Sep17,17,0.0052952133812557214
ALL,1,autonomous,position_rmse_m,Sep17,23,0.005292344756726999
ALL,1,autonomous,position_rmse_m,Sep17,42,0.0052868701038126424
ALL,1,autonomous,position_rmse_m,Sep7,17,0.011551912626348885
ALL,1,autonomous,position_rmse_m,Sep7,23,0.011544901180157616
ALL,1,autonomous,position_rmse_m,Sep7,42,0.011543284193038475
ALL,1,autonomous,velocity_rmse_m_s,ALL,17,0.05066389423543039
ALL,1,autonomous,velocity_rmse_m_s,ALL,23,0.05221471645388172
ALL,1,autonomous,velocity_rmse_m_s,ALL,42,0.05112121203507117
ALL,1,autonomous,velocity_rmse_m_s,Sep17,17,0.05205600849866159
ALL,1,autonomous,velocity_rmse_m_s,Sep17,23,0.05445382239922996
ALL,1,autonomous,velocity_rmse_m_s,Sep17,42,0.05190211483143795
ALL,1,autonomous,velocity_rmse_m_s,Sep7,17,0.04942645933478043
ALL,1,autonomous,velocity_rmse_m_s,Sep7,23,0.05022440005801662
ALL,1,autonomous,velocity_rmse_m_s,Sep7,42,0.05042707621607846
ALL,2,autonomous,attitude_error_deg,ALL,17,0.7295940304789115
ALL,2,autonomous,attitude_error_deg,ALL,23,0.7321787511437334
ALL,2,autonomous,attitude_error_deg,ALL,42,0.7293552183547349
ALL,2,autonomous,attitude_error_deg,Sep17,17,0.7070526653788609
ALL,2,autonomous,attitude_error_deg,Sep17,23,0.7002670112022504
ALL,2,autonomous,attitude_error_deg,Sep17,42,0.7043598462803052
ALL,2,autonomous,attitude_error_deg,Sep7,17,0.7496307994567342
ALL,2,autonomous,attitude_error_deg,Sep7,23,0.7605447422028294
ALL,2,autonomous,attitude_error_deg,Sep7,42,0.7515733268653392
ALL,2,autonomous,body_rate_rmse_rad_s,ALL,17,0.5245872246692269
ALL,2,autonomous,body_rate_rmse_rad_s,ALL,23,0.5328169745649259
ALL,2,autonomous,body_rate_rmse_rad_s,ALL,42,0.5297221540894103
ALL,2,autonomous,body_rate_rmse_rad_s,Sep17,17,0.497775126325807
ALL,2,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5020345080517534
ALL,2,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5024942717618069
ALL,2,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5484202009744892
ALL,2,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5601791670210791
ALL,2,autonomous,body_rate_rmse_rad_s,Sep7,42,0.553924716158391
ALL,2,autonomous,position_rmse_m,ALL,17,0.015687348674336285
ALL,2,autonomous,position_rmse_m,ALL,23,0.01568822999636628
ALL,2,autonomous,position_rmse_m,ALL,42,0.015653217403994744
ALL,2,autonomous,position_rmse_m,Sep17,17,0.008651418592608684
ALL,2,autonomous,position_rmse_m,Sep17,23,0.008687620181354503
ALL,2,autonomous,position_rmse_m,Sep17,42,0.008612530813658757
ALL,2,autonomous,position_rmse_m,Sep7,17,0.021941508746983043
ALL,2,autonomous,position_rmse_m,Sep7,23,0.021910994276376747
ALL,2,autonomous,position_rmse_m,Sep7,42,0.021911605484293398
ALL,2,autonomous,velocity_rmse_m_s,ALL,17,0.07749573231014246
ALL,2,autonomous,velocity_rmse_m_s,ALL,23,0.08103040880189599
ALL,2,autonomous,velocity_rmse_m_s,ALL,42,0.07880360742213072
ALL,2,autonomous,velocity_rmse_m_s,Sep17,17,0.08060777339374968
ALL,2,autonomous,velocity_rmse_m_s,Sep17,23,0.08504117368377745
ALL,2,autonomous,velocity_rmse_m_s,Sep17,42,0.08018261030155666
ALL,2,autonomous,velocity_rmse_m_s,Sep7,17,0.07472947356915827
ALL,2,autonomous,velocity_rmse_m_s,Sep7,23,0.07746528446244583
ALL,2,autonomous,velocity_rmse_m_s,Sep7,42,0.07757782708486323
ALL,3,autonomous,attitude_error_deg,ALL,17,1.0208710855180565
ALL,3,autonomous,attitude_error_deg,ALL,23,1.0425267753499359
ALL,3,autonomous,attitude_error_deg,ALL,42,1.0328146830505398
ALL,3,autonomous,attitude_error_deg,Sep17,17,1.0067623447680891
ALL,3,autonomous,attitude_error_deg,Sep17,23,1.0150110656788374
ALL,3,autonomous,attitude_error_deg,Sep17,42,1.0225695457709043
ALL,3,autonomous,attitude_error_deg,Sep7,17,1.033412188406916
ALL,3,autonomous,attitude_error_deg,Sep7,23,1.066985183946468
ALL,3,autonomous,attitude_error_deg,Sep7,42,1.0419214717435492
ALL,3,autonomous,body_rate_rmse_rad_s,ALL,17,0.5581680516342287
ALL,3,autonomous,body_rate_rmse_rad_s,ALL,23,0.5579206629098792
ALL,3,autonomous,body_rate_rmse_rad_s,ALL,42,0.5608138350357057
ALL,3,autonomous,body_rate_rmse_rad_s,Sep17,17,0.531691995730978
ALL,3,autonomous,body_rate_rmse_rad_s,Sep17,23,0.5260097708776656
ALL,3,autonomous,body_rate_rmse_rad_s,Sep17,42,0.5309910800127773
ALL,3,autonomous,body_rate_rmse_rad_s,Sep7,17,0.5817023235482294
ALL,3,autonomous,body_rate_rmse_rad_s,Sep7,23,0.5862859002718469
ALL,3,autonomous,body_rate_rmse_rad_s,Sep7,42,0.5873229506116422
ALL,3,autonomous,position_rmse_m,ALL,17,0.022361944512166842
ALL,3,autonomous,position_rmse_m,ALL,23,0.02237286801835433
ALL,3,autonomous,position_rmse_m,ALL,42,0.02227541525131463
ALL,3,autonomous,position_rmse_m,Sep17,17,0.01191310439508187
ALL,3,autonomous,position_rmse_m,Sep17,23,0.011997445167271551
ALL,3,autonomous,position_rmse_m,Sep17,42,0.011810207477102564
ALL,3,autonomous,position_rmse_m,Sep7,17,0.03164980239402015
ALL,3,autonomous,position_rmse_m,Sep7,23,0.03159546610820568
ALL,3,autonomous,position_rmse_m,Sep7,42,0.03157782216172536
ALL,3,autonomous,velocity_rmse_m_s,ALL,17,0.1027893350311606
ALL,3,autonomous,velocity_rmse_m_s,ALL,23,0.10851187949298031
ALL,3,autonomous,velocity_rmse_m_s,ALL,42,0.10500494555138783
