group,step,condition,metric,cohort,value_mean,value_std
ALL,5,autonomous,attitude_error_deg,ALL,1.4073877652708784,0.02064625836209928
ALL,5,autonomous,attitude_error_deg,Sep17,1.4698279819084552,0.012525797846849263
ALL,5,autonomous,attitude_error_deg,Sep7,1.3518853504819213,0.028822407939506266
ALL,5,autonomous,body_rate_rmse_rad_s,ALL,0.545328817446893,0.0026433547186965247
ALL,5,autonomous,body_rate_rmse_rad_s,Sep17,0.5273914212369101,0.0027367945889366454
ALL,5,autonomous,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.0029278176189402203
ALL,5,autonomous,position_rmse_m,ALL,0.03533975990047323,0.00015990873590763545
ALL,5,autonomous,position_rmse_m,Sep17,0.01878042327859422,0.00028830242078524
ALL,5,autonomous,position_rmse_m,Sep7,0.050059170231032346,8.744334916525886e-05
ALL,5,autonomous,velocity_rmse_m_s,ALL,0.14492896236407948,0.004558853008184936
ALL,5,autonomous,velocity_rmse_m_s,Sep17,0.15328337006033146,0.004828245157538848
ALL,5,autonomous,velocity_rmse_m_s,Sep7,0.13750282218963325,0.004517645063215637
ALL,5,local100ms,attitude_error_deg,ALL,1.4073877642695212,0.020646257580785136
ALL,5,local100ms,attitude_error_deg,Sep17,1.469827979780571,0.012525797653844586
ALL,5,local100ms,attitude_error_deg,Sep7,1.3518853504819213,0.028822407939506266
ALL,5,local100ms,body_rate_rmse_rad_s,ALL,0.5453288175190333,0.0026433547884841696
ALL,5,local100ms,body_rate_rmse_rad_s,Sep17,0.5273914213902079,0.0027367947385673183
ALL,5,local100ms,body_rate_rmse_rad_s,Sep7,0.5612731696335446,0.0029278176189402203
ALL,5,local100ms,position_rmse_m,ALL,0.03533975990047323,0.00015990873590763545
ALL,5,local100ms,position_rmse_m,Sep17,0.01878042327859422,0.00028830242078524
ALL,5,local100ms,position_rmse_m,Sep7,0.050059170231032346,8.744334916525886e-05
ALL,5,local100ms,velocity_rmse_m_s,ALL,0.14492896251489953,0.004558853298300241
ALL,5,local100ms,velocity_rmse_m_s,Sep17,0.1532833703808241,0.004828245794284335
ALL,5,local100ms,velocity_rmse_m_s,Sep7,0.13750282218963325,0.004517645063215637
ALL,10,autonomous,attitude_error_deg,ALL,2.196485009819066,0.038513408516639334
ALL,10,autonomous,attitude_error_deg,Sep17,2.376163835792054,0.05667804461582944
ALL,10,autonomous,attitude_error_deg,Sep7,2.0367704978430776,0.022973567441240322
ALL,10,autonomous,body_rate_rmse_rad_s,ALL,0.5662829067172569,0.002845070392982552
ALL,10,autonomous,body_rate_rmse_rad_s,Sep17,0.5370344702811893,0.0007091605500893418
ALL,10,autonomous,body_rate_rmse_rad_s,Sep7,0.5922815168826502,0.005015444449187461
ALL,10,autonomous,position_rmse_m,ALL,0.07037587473612035,0.0004976476671810978
ALL,10,autonomous,position_rmse_m,Sep17,0.0403758876117629,0.0008328714661951241
ALL,10,autonomous,position_rmse_m,Sep7,0.09704252995777145,0.00028348760185255447
ALL,10,autonomous,velocity_rmse_m_s,ALL,0.19543232868331303,0.003772095483271508
ALL,10,autonomous,velocity_rmse_m_s,Sep17,0.22052783181036187,0.0008974636379996783
ALL,10,autonomous,velocity_rmse_m_s,Sep7,0.17312521479260293,0.006327707911003984
ALL,10,local100ms,attitude_error_deg,ALL,1.3796000191447175,0.020548523789253162
ALL,10,local100ms,attitude_error_deg,Sep17,1.425888322608288,0.02119410270345014
ALL,10,local100ms,attitude_error_deg,Sep7,1.3384548605104325,0.022819123794430244
ALL,10,local100ms,body_rate_rmse_rad_s,ALL,0.550009898940407,0.003363026991176953
ALL,10,local100ms,body_rate_rmse_rad_s,Sep17,0.5192991504088645,0.005361946787700552
ALL,10,local100ms,body_rate_rmse_rad_s,Sep7,0.5773083420795558,0.0033358014056706553
ALL,10,local100ms,position_rmse_m,ALL,0.0334958373017464,6.926350795912033e-05
ALL,10,local100ms,position_rmse_m,Sep17,0.01853519493720152,0.0002263580373180805
ALL,10,local100ms,position_rmse_m,Sep7,0.046794186070230746,0.00016500924840955075
ALL,10,local100ms,velocity_rmse_m_s,ALL,0.13653341546416756,0.0021612876496125808
ALL,10,local100ms,velocity_rmse_m_s,Sep17,0.15262572069045055,0.0016051809003237091
ALL,10,local100ms,velocity_rmse_m_s,Sep7,0.122229144151916,0.0027113762245772723
ALL,25,autonomous,attitude_error_deg,ALL,4.078397323464926,0.04607174281450127
ALL,25,autonomous,attitude_error_deg,Sep17,4.56950906185081,0.10540376893244405
ALL,25,autonomous,attitude_error_deg,Sep7,3.641853556010805,0.0566626039371381
ALL,25,autonomous,body_rate_rmse_rad_s,ALL,0.5965765681119547,0.002814065097141482
ALL,25,autonomous,body_rate_rmse_rad_s,Sep17,0.5609187370666632,0.004592958152190309
ALL,25,autonomous,body_rate_rmse_rad_s,Sep7,0.6282724179299916,0.0025899913786430234
ALL,25,autonomous,position_rmse_m,ALL,0.19239547622942155,0.0018568135301971977
ALL,25,autonomous,position_rmse_m,Sep17,0.12928485762202166,0.004018237993935144
ALL,25,autonomous,position_rmse_m,Sep7,0.2484938038804437,0.0008251530470098953
ALL,25,autonomous,velocity_rmse_m_s,ALL,0.3572876015314526,0.007164943745699934
ALL,25,autonomous,velocity_rmse_m_s,Sep17,0.3736101737272393,0.014307360556249926
ALL,25,autonomous,velocity_rmse_m_s,Sep7,0.3427786484685311,0.0009654691087388667
ALL,25,local100ms,attitude_error_deg,ALL,1.3929447049430586,0.025210771425463335
ALL,25,local100ms,attitude_error_deg,Sep17,1.4167467314708009,0.01407478456455214
ALL,25,local100ms,attitude_error_deg,Sep7,1.3717873480295102,0.03544653522326953
ALL,25,local100ms,body_rate_rmse_rad_s,ALL,0.5576668347166271,0.0020618433662757834
ALL,25,local100ms,body_rate_rmse_rad_s,Sep17,0.5080840273004633,0.0038023549923690133
ALL,25,local100ms,body_rate_rmse_rad_s,Sep7,0.6017404413087727,0.002136461162898556
ALL,25,local100ms,position_rmse_m,ALL,0.03469331335903488,0.00011034996113430406
ALL,25,local100ms,position_rmse_m,Sep17,0.01860546820868648,0.00029249845720135856
ALL,25,local100ms,position_rmse_m,Sep7,0.048993620159344574,7.178370143359648e-05
ALL,25,local100ms,velocity_rmse_m_s,ALL,0.1443197250434036,0.002232092779910505
ALL,25,local100ms,velocity_rmse_m_s,Sep17,0.1401270160770513,0.00404233658339044
ALL,25,local100ms,velocity_rmse_m_s,Sep7,0.14804657745793892,0.001650065698663172
ALL,50,autonomous,attitude_error_deg,ALL,6.692491015924361,0.13211263225775574
ALL,50,autonomous,attitude_error_deg,Sep17,7.565419632078857,0.35081668607431754
ALL,50,autonomous,attitude_error_deg,Sep7,5.9165544682314755,0.06500476713780902
ALL,50,autonomous,body_rate_rmse_rad_s,ALL,0.6210730627049943,0.010836732534806002
ALL,50,autonomous,body_rate_rmse_rad_s,Sep17,0.617365130607673,0.016078501370692114
ALL,50,autonomous,body_rate_rmse_rad_s,Sep7,0.6243690023470578,0.007323327960054344
ALL,50,autonomous,position_rmse_m,ALL,0.474013589738189,0.006345199092699647
ALL,50,autonomous,position_rmse_m,Sep17,0.3681691488196273,0.014146390467115686
ALL,50,autonomous,position_rmse_m,Sep7,0.5680975372213551,0.003495787999885392
ALL,50,autonomous,velocity_rmse_m_s,ALL,0.6477484181435841,0.0070160720728467295
ALL,50,autonomous,velocity_rmse_m_s,Sep17,0.6881681494601164,0.011886375648105647
ALL,50,autonomous,velocity_rmse_m_s,Sep7,0.6118197680844443,0.0035172979400426084
ALL,50,local100ms,attitude_error_deg,ALL,1.3941609871042229,0.024754245925702942
ALL,50,local100ms,attitude_error_deg,Sep17,1.441032200782777,0.013586981494211859
ALL,50,local100ms,attitude_error_deg,Sep7,1.3524976860566194,0.035566605755556584
ALL,50,local100ms,body_rate_rmse_rad_s,ALL,0.5566631342157713,0.0021037962382182123
