group,axis,cohort,seed,zero_lag_correlation,best_correlation,median_alignment_lag_s,bound_fraction
ALL,p,ALL,17,0.7198204010142315,0.7830966086458112,0.01173981544117647,0.010232543725286676
ALL,p,ALL,23,0.7304019074866515,0.7852872479483664,0.005870130147058823,0.007187689888842443
ALL,p,ALL,42,0.7135033091972272,0.7825753533425286,0.011739955147058822,0.012158142831894793
ALL,p,Sep17,17,0.7288942519304131,0.7792941452607554,0.007484109374999998,0.011088296771079413
ALL,p,Sep17,23,0.7413040708864821,0.780471565844174,0.0,0.005559346148016164
ALL,p,Sep17,42,0.7277433477136315,0.7781511603024914,0.007484253124999998,0.0131197553121821
ALL,p,Sep7,17,0.7117547557554035,0.7864765760991942,0.015522665277777776,0.009471874351248688
ALL,p,Sep7,23,0.7207110955756909,0.789567854263204,0.01108802361111111,0.008635106547354691
ALL,p,Sep7,42,0.7008454971826455,0.7865079693781172,0.015522801388888887,0.01130337618275052
ALL,q,ALL,17,0.8690089167986762,0.874660728481508,0.0,0.0022820007193263135
ALL,q,ALL,23,0.8573963455928177,0.8672155489977575,0.0,0.002814619845509938
ALL,q,ALL,42,0.8692212565810383,0.8734743829851774,0.0,0.0015180265654648956
ALL,q,Sep17,17,0.8987642563693655,0.9044546102935939,0.0,0.0008169934640522876
ALL,q,Sep17,23,0.8784741492669399,0.8910884374670355,0.0,0.00368135075908898
ALL,q,Sep17,42,0.8952221193526692,0.8997013841576859,0.0,0.0
ALL,q,Sep7,17,0.8425597260691746,0.848177277981876,0.0,0.0035842293906810036
ALL,q,Sep7,23,0.8386605201047092,0.8459952036917326,0.0,0.002044192366773012
ALL,q,Sep7,42,0.846109378561811,0.8501614930540589,0.0,0.002867383512544803
ALL,r,ALL,17,0.5305581417644134,0.6961829471099525,-0.005825948529411764,0.18685704311957013
ALL,r,ALL,23,0.5411304009901249,0.6986109882918565,-0.007028608823529411,0.1780352842143986
ALL,r,ALL,42,0.5419033635458982,0.6960688325541844,-0.005840844117647058,0.17448339985028394
ALL,r,Sep17,17,0.6187926714770764,0.7525177161948283,0.0350527671875,0.1585918323260462
ALL,r,Sep17,23,0.6303240390275494,0.7551163033610784,0.029970809375,0.14325105459085746
ALL,r,Sep17,42,0.6213941776764985,0.7477872948051258,0.0325263734375,0.15539430226417605
ALL,r,Sep7,17,0.4521274486864908,0.6461075968122854,-0.042162584722222216,0.2119816749360358
ALL,r,Sep7,23,0.4618471671790808,0.6483840415636591,-0.03991698055555556,0.20895459943532405
ALL,r,Sep7,42,0.47124486209647576,0.650096866108903,-0.039945037499999995,0.19145148659349093
ALL,vx,ALL,17,0.8326463174029243,0.8430998603547996,0.0,0.022672233985226883
ALL,vx,ALL,23,0.8238716029639046,0.8346203793519384,0.0,0.022461820612978106
ALL,vx,ALL,42,0.8326656391256955,0.8425608310385054,0.0,0.02167840749892269
ALL,vx,Sep17,17,0.8499876832924683,0.8621105409024067,0.0,0.0305678707357463
ALL,vx,Sep17,23,0.8373902727708894,0.8500730614920344,0.0,0.025862544965981865
ALL,vx,Sep17,42,0.8477313542253518,0.8591875046368529,0.0,0.028797548365835385
