group,interval,axis,cohort,waveform_rmse_mean,waveform_rmse_std,true_amplitude_mean,true_amplitude_std,pred_amplitude_mean,pred_amplitude_std,mean_change_bias_mean,mean_change_bias_std,direction_agreement_mean,direction_agreement_std,amplitude_ratio
ALL,early,p,ALL,0.48585459213217325,0.002443932884076737,0.8004581122269115,0.0,0.6421804084514154,0.0044049719664724825,-0.011064774061522504,0.010785850037250942,0.955696251541803,0.003846037634889776,0.8022661006768235
ALL,early,p,Sep17,0.45475001622876676,0.004521392519597927,0.7323122674921025,0.0,0.5977328161684533,0.004240493050426975,-0.0345811403301315,0.007194814304959734,0.953501035544439,0.002723490187743911,0.8162266873057666
ALL,early,p,Sep7,0.5135031040463124,0.002296794411158296,0.8610321964356307,0.0,0.681689379369604,0.0047003858020447315,0.009838662621685495,0.014106724233514474,0.957647554650571,0.006695649433022079,0.7917118339959381
ALL,early,q,ALL,0.20265783446544758,0.002906323497403986,0.7215625776398622,0.0,0.6878810235950789,0.0036900589364479504,0.0031960721165355276,0.009377248996308494,0.9942343517094491,0.0005906920841544383,0.9533213679748314
ALL,early,q,Sep17,0.2065071159713028,0.003966084735453516,0.7716270274562759,0.0,0.7230758667087857,0.007821401494218587,0.017642044099027542,0.017037690454169037,0.9908253985699268,0.0016440254306328082,0.9370794969331976
ALL,early,q,Sep7,0.19923625090468736,0.0023401263974171136,0.6770608444697167,0.0,0.6565967186051173,0.00036311906470817975,-0.00964479186790182,0.0049792000440658825,0.9972645322779131,0.0005436443212707596,0.9697750563605148
ALL,early,r,ALL,0.114917938994667,0.0016081221588210013,0.1352960676924316,0.0,0.09401255641241611,0.0005744091989256919,0.0026325491760348933,0.0013466471626684753,0.8011766309743926,0.0019762039020692263,0.6948654016030588
ALL,early,r,Sep17,0.11325642151987984,0.0033558731525305066,0.14455356183839652,0.0,0.09869884125854717,0.0024159632287933746,-0.006432070637776188,0.004097387014216185,0.8221341600442038,0.01714366753366219,0.6827838761170577
ALL,early,r,Sep7,0.11639484341669999,0.0006622383245841321,0.12706718400712946,0.0,0.08984696988252183,0.0018121607646463924,0.010689989010533633,0.0011827401603780733,0.7825477162456717,0.014370568313268751,0.7070824035691285
ALL,early,vx,ALL,0.04819356713372671,0.0008304510330731779,0.14943853608387003,0.0,0.1463435441557667,0.0010881962354121468,0.004154891710576178,0.0008585890453481095,0.9949505679170366,0.0016885129591016537,0.9792891980260947
ALL,early,vx,Sep17,0.0503272106879204,0.0007286785603038683,0.15024708539736042,0.0,0.14912219195258067,0.001789241773629439,0.005697455379590636,0.0012349624024600226,0.9917483735635332,0.0026319191702617066,0.9925130431528523
ALL,early,vx,Sep7,0.04629699508555452,0.0011747463339128069,0.14871982558298968,0.0,0.14387363500304318,0.0007882019285802881,0.002783724004785548,0.0005283590530681684,0.9977969628979286,0.0009433827927934467,0.9674139573459747
ALL,early,vy,ALL,0.05045311080652323,0.0011239456993769603,0.15136266906589624,0.0,0.1441967416685577,0.0010995614629516958,0.0018239318013478013,0.0003640276064603699,0.995058440047116,0.0007077347162971411,0.9526572341677007
ALL,early,vy,Sep17,0.046479520241885786,0.001331014669765908,0.1444722500164947,0.0,0.14421096713960854,0.0017600982500334435,0.0023723447031191456,0.000753697565000487,0.9948031303497187,0.0015355060350788824,0.9981914666875036
ALL,early,vy,Sep7,0.05398519130842319,0.0010111748096404837,0.15748748599869763,0.0,0.14418409680540142,0.0006331140683380121,0.0013364536664399395,0.0006982374457936772,0.9952853820003579,0.002365898920314874,0.9155273251780385
ALL,early,vz,ALL,0.07898711408227028,0.0030080169507845137,0.5536782054700328,0.0,0.5642774319543097,0.002362232203753857,0.008554569530823923,0.0034458701097649026,0.9991785175608704,0.0003032301833979757,1.01914329727911
ALL,early,vz,Sep17,0.08739559383222446,0.0040485445713611306,0.5487708286796813,0.0,0.5552090890649565,0.003267687457360001,0.0038224237105948925,0.006857850101860464,0.9982543498168498,0.0006443641397205542,1.0117321476448837
ALL,early,vz,Sep7,0.07151290986008879,0.0032766991405450384,0.5580403181725675,0.0,0.5723381811892901,0.0023676056496191055,0.012760921371027504,0.004158323606292458,1.0,0.0,1.0256215591438702
ALL,extended,p,ALL,0.5134674340632994,0.0035988542740516827,0.8473624306506786,0.0,0.7035718756615474,0.00795650675890621,-0.03213162623744435,0.009973579051868306,0.9880962400664336,0.0011336250462546664,0.8303080833089139
ALL,extended,p,Sep17,0.4878421545205156,0.005454968265336943,0.7859702609880198,0.0,0.6646446707809219,0.006978363748136059,-0.05874151024691716,0.010701904498958163,0.9850911379185189,0.0023464925643519735,0.8456359022355591
ALL,extended,p,Sep7,0.5362454603235517,0.0036725053717550087,0.9019332481285977,0.0,0.7381738355554367,0.008854362202512345,-0.008478396006801852,0.009507777278604275,0.9907674419756911,7.914518218864278e-05,0.8184351082378414
ALL,extended,q,ALL,0.267382427190547,0.01911600660198647,0.7316595247001968,0.0,0.700661597482927,0.0033468350743082577,0.01796693901419678,0.004104389568495572,0.9992847593073232,0.0006194783478759977,0.9576333989091833
ALL,extended,q,Sep17,0.2794094099422288,0.027827104705346585,0.8094904250969891,0.0,0.7558000365463049,0.0045895749157098915,0.023132357625542804,0.005430274295690344,0.999198717948718,0.0006939306120067993,0.9336738435859185
ALL,extended,q,Sep7,0.25669177585571873,0.0144370922109161,0.6624765021252703,0.0,0.6516496516488132,0.003391949642262389,0.013375455804111423,0.004398986903307212,0.9993612405149723,0.0005534285485513446,0.9836570045251056
ALL,extended,r,ALL,0.16173408422237842,0.0025538789393674075,0.27867930663269513,0.0,0.2311223071370275,0.002135745087105932,-0.02587313251213146,0.01535668703401399,0.9157412097935737,0.00843402609582665,0.8293486514291185
ALL,extended,r,Sep17,0.17722384786113987,0.005139348716345924,0.32733241084937736,0.0,0.2699497390691552,0.003232183181611651,-0.044089393070824295,0.021582756219241186,0.9083588709733582,0.021203069623932626,0.8246960280183593
ALL,extended,r,Sep7,0.14796540543236827,0.0012769664197707514,0.23543210288453312,0.0,0.19660903430846952,0.0013566740287798218,-0.00968090090440449,0.010125145748022587,0.922303288744876,0.005325489042365111,0.835098662839943
ALL,extended,vx,ALL,0.2939429199484654,0.006126652490527367,1.0247394620693075,0.0,1.0621677489414012,0.012696863035788793,0.03683214359997486,0.009724007798334515,0.9160323146236515,0.003666404546080985,1.0365246857933166
ALL,extended,vx,Sep17,0.3047459290942834,0.011294006457821174,1.071018492248532,0.0,1.100288660254033,0.011335735198348358,0.058784580450225686,0.018987017833400607,0.926831278859325,0.0070140422240424355,1.0273292834972907
ALL,extended,vx,Sep7,0.28434024515218276,0.0029989542286050254,0.983602546354441,0.0,1.028282494441284,0.014112537817858827,0.017318866399751904,0.0022850123055047837,0.9064332353030528,0.0036355252282966356,1.0454247991248515
ALL,extended,vy,ALL,0.30871917785539427,0.0037477833016836396,1.1105352495448308,0.0,1.156899749392298,0.018347348194180716,-0.01673085367256574,0.0015414980108485056,0.9476818505458704,0.0019242352407966843,1.0417496876992156
ALL,extended,vy,Sep17,0.3123280779786706,0.007555386073695943,1.1879594012332915,0.0,1.243398490592851,0.015579037526440255,-0.03781799611025353,0.0032576599346078963,0.9574518719653907,0.0021064532371142457,1.046667494951431
ALL,extended,vy,Sep7,0.3055112666347041,0.001680678446868082,1.0417137813773105,0.0,1.080011979436251,0.020808945100571945,0.0020132729387122984,0.000912864139643598,0.9389973870618525,0.0028801731121649585,1.0367646072689027
ALL,extended,vz,ALL,0.275245204852882,0.00567823803415072,0.7618932142634782,0.0,0.7377954042072981,0.011598101877599857,-0.03640269262732209,0.026833989020515533,0.9639673394278699,0.0017479960202898969,0.9683711449255057
ALL,extended,vz,Sep17,0.3156201778772798,0.015381382929572111,0.8459650569457602,0.0,0.808941477122073,0.01556250547707832,-0.07159169309348172,0.044175264268191995,0.9525671897880429,0.006646109671003429,0.956235095622796
ALL,extended,vz,Sep7,0.23935633994230618,0.003006012928296592,0.6871626874347831,0.0,0.6745544505052758,0.009710656793064095,-0.005123581101846859,0.020243720875212094,0.9741008057743828,0.0028531516817607225,0.9816517439609904
ALL,late,p,ALL,0.5067955084804155,0.0038245468537826894,0.8607228190780544,0.0,0.7267187888820207,0.00858286265818343,-0.028255633026603055,0.01175251557668398,0.9727427446862843,0.0014981729113677155,0.8443122138442091
ALL,late,p,Sep17,0.47880376448830414,0.006267525118679131,0.7903252659850722,0.0,0.6766857796676801,0.007850387612634105,-0.05562750259489715,0.012644367039991366,0.9703380267407082,0.0023787674574701945,0.856211750771057
ALL,late,p,Sep7,0.5316770586956258,0.0029527125610450586,0.9232984218273718,0.0,0.7711925748503236,0.009245887590987564,-0.003925082299230539,0.011012740941186606,0.9748802717490186,0.0009460056212526818,0.8352581967204019
ALL,late,q,ALL,0.23551120055424823,0.00973189094675159,0.7668881383157454,0.0,0.7270818793876974,0.0046362616742336975,0.015256479534897107,0.007139590584080116,0.992974063789747,0.001203172734158472,0.9480937871650078
ALL,late,q,Sep17,0.24120680067712041,0.013843730945927984,0.8404030772029646,0.0,0.7732890176293133,0.006195489859187248,0.022080263781918203,0.010124015354196441,0.9915141452875876,0.0013803216405866869,0.9201406308541602
ALL,late,q,Sep7,0.23044844488947294,0.0081251864682103,0.7015415259715508,0.0,0.6860088676173722,0.00350899830568333,0.00919089353754502,0.005608582400501646,0.9942717691249996,0.0010545786190865152,0.9778592459902246
ALL,late,r,ALL,0.14473536682064428,0.001021249211717241,0.26924766882938944,0.0,0.23646537934173747,0.00222219128694836,-0.0037591702269675446,0.011673616997238904,0.9123210499278483,0.0021304613924801744,0.8782448530374289
ALL,late,r,Sep17,0.15492587693304632,0.0017550911508554758,0.3255817127408155,0.0,0.2790607234680869,0.0022692255513664904,-0.0146334398925754,0.016715607317255982,0.9161823140825835,0.006954079055268421,0.8571142436683403
ALL,late,r,Sep7,0.13567713560962025,0.0027070908213414403,0.21917296313034398,0.0,0.1986028512294268,0.002193559618422476,0.005906847253572773,0.007211387713496406,0.9088888151236391,0.0022574204969349164,0.9061466724402318
ALL,late,vx,ALL,0.16073488472584765,0.004081545032268782,0.5867914117646685,0.0,0.5977385674737183,0.006582634862375779,0.0232831476444606,0.004529492449491726,0.946861628673127,0.0003486816546587525,1.0186559576189573
ALL,late,vx,Sep17,0.1702355141290007,0.006893177237802656,0.6210085135095613,0.0,0.6325402376035661,0.008230700840939143,0.03704682008713158,0.007866914093730708,0.9496775188828264,0.0040522448078747645,1.018569349442304
