group,step,metric,cohort,seed,autonomous,local100ms,local_gain_pct
ALL,5,attitude_error_deg,ALL,17,1.3845081999116717,1.3845081991779844,5.299263183538121e-08
ALL,5,attitude_error_deg,ALL,23,1.4246294529035894,1.4246294497797252,2.192755647440814e-07
ALL,5,attitude_error_deg,ALL,42,1.4130256429973742,1.413025643850854,-6.040086643598736e-08
ALL,5,attitude_error_deg,Sep17,17,1.4554005293162402,1.4554005277571544,1.0712417083731373e-07
ALL,5,attitude_error_deg,Sep17,23,1.4761573607193075,1.4761573540810964,4.4969535556089224e-07
ALL,5,attitude_error_deg,Sep17,42,1.4779260556898177,1.477926057503462,-1.2271549979336333e-07
ALL,5,attitude_error_deg,Sep7,17,1.3214927959964997,1.3214927959964997,0.0
ALL,5,attitude_error_deg,Sep7,23,1.3788268681785063,1.3788268681785063,0.0
ALL,5,attitude_error_deg,Sep7,42,1.355336387270758,1.355336387270758,0.0
ALL,5,body_rate_rmse_rad_s,ALL,17,0.5438908711237967,0.5438908711743669,-9.29784012658178e-09
ALL,5,body_rate_rmse_rad_s,ALL,23,0.5437161480655596,0.5437161480793442,-2.5352640610531027e-09
ALL,5,body_rate_rmse_rad_s,ALL,42,0.5483794331513229,0.5483794333033886,-2.7730013960737176e-08
ALL,5,body_rate_rmse_rad_s,Sep17,17,0.5271383388882338,0.5271383389956954,-2.0385843193378946e-08
ALL,5,body_rate_rmse_rad_s,Sep17,23,0.5247899582661589,0.5247899582954513,-5.581727673123423e-09
ALL,5,body_rate_rmse_rad_s,Sep17,42,0.5302459665563375,0.530245966879477,-6.094143765855894e-08
ALL,5,body_rate_rmse_rad_s,Sep7,17,0.5587820108887416,0.5587820108887416,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,23,0.5605394278872491,0.5605394278872491,0.0
ALL,5,body_rate_rmse_rad_s,Sep7,42,0.5644980701246433,0.5644980701246433,0.0
ALL,5,position_rmse_m,ALL,17,0.03536245183250302,0.03536245183250302,0.0
ALL,5,position_rmse_m,ALL,23,0.03548711053487921,0.03548711053487921,0.0
ALL,5,position_rmse_m,ALL,42,0.035169717334037454,0.035169717334037454,0.0
ALL,5,position_rmse_m,Sep17,17,0.018732196056148013,0.018732196056148013,0.0
ALL,5,position_rmse_m,Sep17,23,0.019089797975652693,0.019089797975652693,0.0
ALL,5,position_rmse_m,Sep17,42,0.01851927580398196,0.01851927580398196,0.0
ALL,5,position_rmse_m,Sep7,17,0.05014490141148525,0.05014490141148525,0.0
ALL,5,position_rmse_m,Sep7,23,0.0500624994764139,0.0500624994764139,0.0
ALL,5,position_rmse_m,Sep7,42,0.04997010980519788,0.04997010980519788,0.0
ALL,5,velocity_rmse_m_s,ALL,17,0.14035855362762464,0.14035855353102392,6.882425396996064e-08
ALL,5,velocity_rmse_m_s,ALL,23,0.14947617109493305,0.14947617157922546,-3.239930539973378e-07
