window_id,log_id,segment_id,start_sample_in_segment,state_sample_count,history_start_timestamp_us,origin_timestamp_us,end_timestamp_us,history_span_s,cohort,activity,activity_group,drive_activity,drive_high,common_activity,common_high,differential_activity,differential_high,rudder_activity,rudder_high
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:25,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,25,51,106197864,106690619,107695792,0.492755,Sep7,0.5136636178385446,high,0.11556931076172917,False,0.47794225207286045,True,0.47850849707890963,False,0.8116013216315938,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:75,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,75,51,107193204,107695792,108691191,0.5025879999999999,Sep7,0.4251998104078308,high,0.11791949564079321,False,0.10935722072153833,False,0.4373623683201263,False,0.7124163337207355,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,125,51,108188568,108691191,109696718,0.5026229999999999,Sep7,0.20688219274631278,middle,0.11993747133342177,False,0.08665042306879688,False,0.3202053917124113,False,0.22246995127412342,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,175,51,109193945,109696718,110691861,0.502773,Sep7,0.11719159910099906,low,0.026351275558776532,False,0.08409654664174852,False,0.1435526178663025,False,0.16689890135726587,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,225,51,110199126,110691861,111697324,0.492735,Sep7,0.22043365731292994,middle,0.0,False,0.056756866060978836,False,0.3595883436481913,False,0.2274433334452745,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,275,51,111194561,111697324,112692762,0.502763,Sep7,0.19193991111024708,middle,0.0,False,0.11114332309193375,False,0.32227859895113536,False,0.175705245234203,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,325,51,112189878,112692762,113697933,0.502884,Sep7,0.2920668777732608,middle,0.010351636809765228,False,0.10242187019952259,False,0.4762544172274276,False,0.3344581842982585,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,375,51,113195388,113697933,114693304,0.502545,Sep7,0.2095297833829813,middle,0.013888012592845273,False,0.11034177053159265,False,0.3531403777242974,False,0.14823779864256453,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,425,51,114190585,114693304,115688514,0.502719,Sep7,0.19285449836044985,middle,0.009929533044665484,False,0.08775330833112974,False,0.352862526902471,False,0.14268374065523173,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,475,51,115195926,115688514,116693927,0.4925879999999999,Sep7,0.22874532278094012,middle,0.002070203959237307,False,0.17365389380019808,False,0.29021879208089313,False,0.32876055234033413,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,525,51,116191139,116693927,117689180,0.502788,Sep7,0.23962321304893866,middle,0.0,False,0.10643687892570627,False,0.334764794329887,False,0.30764351699451253,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,575,51,117196632,117689180,118694589,0.492548,Sep7,0.10355691871557572,low,0.0,False,0.054213303360675175,False,0.18536878085001968,False,0.076881114336509,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,625,51,118191871,118694589,119689778,0.502718,Sep7,0.11344594418802748,low,0.0,False,0.06220104818852587,False,0.1856024466195707,False,0.11897978262081782,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,675,51,119197102,119689778,120695267,0.492676,Sep7,0.18972842479738947,middle,0.0,False,0.07312517882839371,False,0.34192793612404326,False,0.15957758807604175,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,725,51,120192445,120695267,121690443,0.502822,Sep7,0.08535459523721714,low,0.01792990287978699,False,0.09632722807337339,False,0.13532364202572922,False,0.05315229044409247,False
