seed,group,flight_id,cohort,n_origins,step,condition,metric,value
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,1,autonomous,position_rmse_m,0.0035974939113812116
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,1,autonomous,velocity_rmse_m_s,0.050558183617022225
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,1,autonomous,attitude_error_deg,0.3743470012190973
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,1,autonomous,body_rate_rmse_rad_s,0.5358090208362151
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,2,autonomous,position_rmse_m,0.006631146759299574
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,2,autonomous,velocity_rmse_m_s,0.06901320692728483
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,2,autonomous,attitude_error_deg,0.7068451466010414
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,2,autonomous,body_rate_rmse_rad_s,0.5592990858091368
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,3,autonomous,position_rmse_m,0.009500165528459713
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,3,autonomous,velocity_rmse_m_s,0.08610022924220208
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,3,autonomous,attitude_error_deg,0.9993733946094574
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,3,autonomous,body_rate_rmse_rad_s,0.5636584643357027
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,4,autonomous,position_rmse_m,0.012400081227968915
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,4,autonomous,velocity_rmse_m_s,0.10362174079462227
17,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,4,autonomous,attitude_error_deg,1.1716072667644148
