group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
differential_high,late,r,Sep17,42,257,214,8,8
differential_high,late,r,Sep7,17,244,195,9,9
differential_high,late,r,Sep7,23,244,195,9,9
differential_high,late,r,Sep7,42,244,195,9,9
differential_high,late,vx,ALL,17,501,413,17,17
differential_high,late,vx,ALL,23,501,413,17,17
differential_high,late,vx,ALL,42,501,413,17,17
differential_high,late,vx,Sep17,17,257,217,8,8
differential_high,late,vx,Sep17,23,257,217,8,8
differential_high,late,vx,Sep17,42,257,217,8,8
differential_high,late,vx,Sep7,17,244,196,9,9
differential_high,late,vx,Sep7,23,244,196,9,9
differential_high,late,vx,Sep7,42,244,196,9,9
differential_high,late,vy,ALL,17,501,432,17,17
differential_high,late,vy,ALL,23,501,432,17,17
differential_high,late,vy,ALL,42,501,432,17,17
differential_high,late,vy,Sep17,17,257,222,8,8
differential_high,late,vy,Sep17,23,257,222,8,8
differential_high,late,vy,Sep17,42,257,222,8,8
differential_high,late,vy,Sep7,17,244,210,9,9
differential_high,late,vy,Sep7,23,244,210,9,9
differential_high,late,vy,Sep7,42,244,210,9,9
differential_high,late,vz,ALL,17,501,386,17,17
differential_high,late,vz,ALL,23,501,386,17,17
differential_high,late,vz,ALL,42,501,386,17,17
differential_high,late,vz,Sep17,17,257,194,8,8
differential_high,late,vz,Sep17,23,257,194,8,8
differential_high,late,vz,Sep17,42,257,194,8,8
differential_high,late,vz,Sep7,17,244,192,9,9
differential_high,late,vz,Sep7,23,244,192,9,9
differential_high,late,vz,Sep7,42,244,192,9,9
differential_high,middle,p,ALL,17,501,386,17,17
differential_high,middle,p,ALL,23,501,386,17,17
differential_high,middle,p,ALL,42,501,386,17,17
differential_high,middle,p,Sep17,17,257,196,8,8
differential_high,middle,p,Sep17,23,257,196,8,8
differential_high,middle,p,Sep17,42,257,196,8,8
differential_high,middle,p,Sep7,17,244,190,9,9
differential_high,middle,p,Sep7,23,244,190,9,9
differential_high,middle,p,Sep7,42,244,190,9,9
differential_high,middle,q,ALL,17,501,369,17,17
differential_high,middle,q,ALL,23,501,369,17,17
differential_high,middle,q,ALL,42,501,369,17,17
differential_high,middle,q,Sep17,17,257,195,8,8
differential_high,middle,q,Sep17,23,257,195,8,8
differential_high,middle,q,Sep17,42,257,195,8,8
differential_high,middle,q,Sep7,17,244,174,9,9
differential_high,middle,q,Sep7,23,244,174,9,9
differential_high,middle,q,Sep7,42,244,174,9,9
differential_high,middle,r,ALL,17,501,379,17,17
differential_high,middle,r,ALL,23,501,379,17,17
differential_high,middle,r,ALL,42,501,379,17,17
differential_high,middle,r,Sep17,17,257,205,8,8
differential_high,middle,r,Sep17,23,257,205,8,8
differential_high,middle,r,Sep17,42,257,205,8,8
differential_high,middle,r,Sep7,17,244,174,9,9
differential_high,middle,r,Sep7,23,244,174,9,9
differential_high,middle,r,Sep7,42,244,174,9,9
differential_high,middle,vx,ALL,17,501,356,17,17
differential_high,middle,vx,ALL,23,501,356,17,17
differential_high,middle,vx,ALL,42,501,356,17,17
differential_high,middle,vx,Sep17,17,257,190,8,8
differential_high,middle,vx,Sep17,23,257,190,8,8
differential_high,middle,vx,Sep17,42,257,190,8,8
differential_high,middle,vx,Sep7,17,244,166,9,9
differential_high,middle,vx,Sep7,23,244,166,9,9
differential_high,middle,vx,Sep7,42,244,166,9,9
differential_high,middle,vy,ALL,17,501,375,17,17
differential_high,middle,vy,ALL,23,501,375,17,17
differential_high,middle,vy,ALL,42,501,375,17,17
differential_high,middle,vy,Sep17,17,257,201,8,8
differential_high,middle,vy,Sep17,23,257,201,8,8
differential_high,middle,vy,Sep17,42,257,201,8,8
differential_high,middle,vy,Sep7,17,244,174,9,9
differential_high,middle,vy,Sep7,23,244,174,9,9
differential_high,middle,vy,Sep7,42,244,174,9,9
differential_high,middle,vz,ALL,17,501,361,17,17
differential_high,middle,vz,ALL,23,501,361,17,17
differential_high,middle,vz,ALL,42,501,361,17,17
differential_high,middle,vz,Sep17,17,257,186,8,8
differential_high,middle,vz,Sep17,23,257,186,8,8
differential_high,middle,vz,Sep17,42,257,186,8,8
differential_high,middle,vz,Sep7,17,244,175,9,9
differential_high,middle,vz,Sep7,23,244,175,9,9
differential_high,middle,vz,Sep7,42,244,175,9,9
drive_high,early,p,ALL,17,533,435,16,16
drive_high,early,p,ALL,23,533,435,16,16
drive_high,early,p,ALL,42,533,435,16,16
drive_high,early,p,Sep17,17,389,314,8,8
drive_high,early,p,Sep17,23,389,314,8,8
drive_high,early,p,Sep17,42,389,314,8,8
drive_high,early,p,Sep7,17,144,121,8,8
drive_high,early,p,Sep7,23,144,121,8,8
drive_high,early,p,Sep7,42,144,121,8,8
drive_high,early,q,ALL,17,533,429,16,16
drive_high,early,q,ALL,23,533,429,16,16
drive_high,early,q,ALL,42,533,429,16,16
drive_high,early,q,Sep17,17,389,317,8,8
drive_high,early,q,Sep17,23,389,317,8,8
drive_high,early,q,Sep17,42,389,317,8,8
drive_high,early,q,Sep7,17,144,112,8,8
drive_high,early,q,Sep7,23,144,112,8,8
drive_high,early,q,Sep7,42,144,112,8,8
drive_high,early,r,ALL,17,533,299,16,16
drive_high,early,r,ALL,23,533,299,16,16
drive_high,early,r,ALL,42,533,299,16,16
drive_high,early,r,Sep17,17,389,225,8,8
drive_high,early,r,Sep17,23,389,225,8,8
drive_high,early,r,Sep17,42,389,225,8,8
drive_high,early,r,Sep7,17,144,74,8,8
drive_high,early,r,Sep7,23,144,74,8,8
drive_high,early,r,Sep7,42,144,74,8,8
drive_high,early,vx,ALL,17,533,204,16,16
drive_high,early,vx,ALL,23,533,204,16,16
drive_high,early,vx,ALL,42,533,204,16,16
drive_high,early,vx,Sep17,17,389,150,8,8
drive_high,early,vx,Sep17,23,389,150,8,8
drive_high,early,vx,Sep17,42,389,150,8,8
drive_high,early,vx,Sep7,17,144,54,8,8
drive_high,early,vx,Sep7,23,144,54,8,8
drive_high,early,vx,Sep7,42,144,54,8,8
drive_high,early,vy,ALL,17,533,144,16,14
drive_high,early,vy,ALL,23,533,144,16,14
drive_high,early,vy,ALL,42,533,144,16,14
drive_high,early,vy,Sep17,17,389,100,8,8
drive_high,early,vy,Sep17,23,389,100,8,8
drive_high,early,vy,Sep17,42,389,100,8,8
drive_high,early,vy,Sep7,17,144,44,8,6
drive_high,early,vy,Sep7,23,144,44,8,6
drive_high,early,vy,Sep7,42,144,44,8,6
drive_high,early,vz,ALL,17,533,421,16,16
drive_high,early,vz,ALL,23,533,421,16,16
drive_high,early,vz,ALL,42,533,421,16,16
drive_high,early,vz,Sep17,17,389,307,8,8
drive_high,early,vz,Sep17,23,389,307,8,8
drive_high,early,vz,Sep17,42,389,307,8,8
drive_high,early,vz,Sep7,17,144,114,8,8
drive_high,early,vz,Sep7,23,144,114,8,8
drive_high,early,vz,Sep7,42,144,114,8,8
drive_high,extended,p,ALL,17,533,384,16,16
drive_high,extended,p,ALL,23,533,384,16,16
drive_high,extended,p,ALL,42,533,384,16,16
drive_high,extended,p,Sep17,17,389,287,8,8
drive_high,extended,p,Sep17,23,389,287,8,8
drive_high,extended,p,Sep17,42,389,287,8,8
drive_high,extended,p,Sep7,17,144,97,8,8
drive_high,extended,p,Sep7,23,144,97,8,8
drive_high,extended,p,Sep7,42,144,97,8,8
drive_high,extended,q,ALL,17,533,394,16,16
drive_high,extended,q,ALL,23,533,394,16,16
drive_high,extended,q,ALL,42,533,394,16,16
drive_high,extended,q,Sep17,17,389,296,8,8
drive_high,extended,q,Sep17,23,389,296,8,8
drive_high,extended,q,Sep17,42,389,296,8,8
drive_high,extended,q,Sep7,17,144,98,8,8
drive_high,extended,q,Sep7,23,144,98,8,8
drive_high,extended,q,Sep7,42,144,98,8,8
drive_high,extended,r,ALL,17,533,410,16,16
drive_high,extended,r,ALL,23,533,410,16,16
drive_high,extended,r,ALL,42,533,410,16,16
drive_high,extended,r,Sep17,17,389,312,8,8
drive_high,extended,r,Sep17,23,389,312,8,8
drive_high,extended,r,Sep17,42,389,312,8,8
drive_high,extended,r,Sep7,17,144,98,8,8
drive_high,extended,r,Sep7,23,144,98,8,8
drive_high,extended,r,Sep7,42,144,98,8,8
drive_high,extended,vx,ALL,17,533,495,16,16
drive_high,extended,vx,ALL,23,533,495,16,16
drive_high,extended,vx,ALL,42,533,495,16,16
drive_high,extended,vx,Sep17,17,389,365,8,8
drive_high,extended,vx,Sep17,23,389,365,8,8
drive_high,extended,vx,Sep17,42,389,365,8,8
drive_high,extended,vx,Sep7,17,144,130,8,8
drive_high,extended,vx,Sep7,23,144,130,8,8
drive_high,extended,vx,Sep7,42,144,130,8,8
drive_high,extended,vy,ALL,17,533,483,16,16
drive_high,extended,vy,ALL,23,533,483,16,16
drive_high,extended,vy,ALL,42,533,483,16,16
drive_high,extended,vy,Sep17,17,389,355,8,8
drive_high,extended,vy,Sep17,23,389,355,8,8
drive_high,extended,vy,Sep17,42,389,355,8,8
drive_high,extended,vy,Sep7,17,144,128,8,8
drive_high,extended,vy,Sep7,23,144,128,8,8
drive_high,extended,vy,Sep7,42,144,128,8,8
drive_high,extended,vz,ALL,17,533,423,16,16
drive_high,extended,vz,ALL,23,533,423,16,16
drive_high,extended,vz,ALL,42,533,423,16,16
drive_high,extended,vz,Sep17,17,389,308,8,8
drive_high,extended,vz,Sep17,23,389,308,8,8
drive_high,extended,vz,Sep17,42,389,308,8,8
drive_high,extended,vz,Sep7,17,144,115,8,8
drive_high,extended,vz,Sep7,23,144,115,8,8
drive_high,extended,vz,Sep7,42,144,115,8,8
drive_high,late,p,ALL,17,533,414,16,16
drive_high,late,p,ALL,23,533,414,16,16
drive_high,late,p,ALL,42,533,414,16,16
drive_high,late,p,Sep17,17,389,305,8,8
drive_high,late,p,Sep17,23,389,305,8,8
drive_high,late,p,Sep17,42,389,305,8,8
drive_high,late,p,Sep7,17,144,109,8,8
drive_high,late,p,Sep7,23,144,109,8,8
drive_high,late,p,Sep7,42,144,109,8,8
drive_high,late,q,ALL,17,533,408,16,16
drive_high,late,q,ALL,23,533,408,16,16
drive_high,late,q,ALL,42,533,408,16,16
drive_high,late,q,Sep17,17,389,304,8,8
drive_high,late,q,Sep17,23,389,304,8,8
drive_high,late,q,Sep17,42,389,304,8,8
drive_high,late,q,Sep7,17,144,104,8,8
drive_high,late,q,Sep7,23,144,104,8,8
drive_high,late,q,Sep7,42,144,104,8,8
drive_high,late,r,ALL,17,533,427,16,16
drive_high,late,r,ALL,23,533,427,16,16
drive_high,late,r,ALL,42,533,427,16,16
drive_high,late,r,Sep17,17,389,321,8,8
drive_high,late,r,Sep17,23,389,321,8,8
drive_high,late,r,Sep17,42,389,321,8,8
drive_high,late,r,Sep7,17,144,106,8,8
drive_high,late,r,Sep7,23,144,106,8,8
drive_high,late,r,Sep7,42,144,106,8,8
drive_high,late,vx,ALL,17,533,456,16,16
drive_high,late,vx,ALL,23,533,456,16,16
drive_high,late,vx,ALL,42,533,456,16,16
drive_high,late,vx,Sep17,17,389,337,8,8
drive_high,late,vx,Sep17,23,389,337,8,8
drive_high,late,vx,Sep17,42,389,337,8,8
drive_high,late,vx,Sep7,17,144,119,8,8
drive_high,late,vx,Sep7,23,144,119,8,8
drive_high,late,vx,Sep7,42,144,119,8,8
drive_high,late,vy,ALL,17,533,437,16,16
drive_high,late,vy,ALL,23,533,437,16,16
drive_high,late,vy,ALL,42,533,437,16,16
drive_high,late,vy,Sep17,17,389,330,8,8
drive_high,late,vy,Sep17,23,389,330,8,8
drive_high,late,vy,Sep17,42,389,330,8,8
drive_high,late,vy,Sep7,17,144,107,8,8
drive_high,late,vy,Sep7,23,144,107,8,8
drive_high,late,vy,Sep7,42,144,107,8,8
drive_high,late,vz,ALL,17,533,417,16,16
drive_high,late,vz,ALL,23,533,417,16,16
drive_high,late,vz,ALL,42,533,417,16,16
drive_high,late,vz,Sep17,17,389,302,8,8
drive_high,late,vz,Sep17,23,389,302,8,8
drive_high,late,vz,Sep17,42,389,302,8,8
drive_high,late,vz,Sep7,17,144,115,8,8
drive_high,late,vz,Sep7,23,144,115,8,8
drive_high,late,vz,Sep7,42,144,115,8,8
drive_high,middle,p,ALL,17,533,406,16,16
drive_high,middle,p,ALL,23,533,406,16,16
drive_high,middle,p,ALL,42,533,406,16,16
drive_high,middle,p,Sep17,17,389,302,8,8
drive_high,middle,p,Sep17,23,389,302,8,8
drive_high,middle,p,Sep17,42,389,302,8,8
drive_high,middle,p,Sep7,17,144,104,8,8
drive_high,middle,p,Sep7,23,144,104,8,8
drive_high,middle,p,Sep7,42,144,104,8,8
drive_high,middle,q,ALL,17,533,390,16,16
drive_high,middle,q,ALL,23,533,390,16,16
drive_high,middle,q,ALL,42,533,390,16,16
drive_high,middle,q,Sep17,17,389,290,8,8
drive_high,middle,q,Sep17,23,389,290,8,8
drive_high,middle,q,Sep17,42,389,290,8,8
drive_high,middle,q,Sep7,17,144,100,8,8
drive_high,middle,q,Sep7,23,144,100,8,8
drive_high,middle,q,Sep7,42,144,100,8,8
drive_high,middle,r,ALL,17,533,384,16,16
drive_high,middle,r,ALL,23,533,384,16,16
drive_high,middle,r,ALL,42,533,384,16,16
drive_high,middle,r,Sep17,17,389,299,8,8
drive_high,middle,r,Sep17,23,389,299,8,8
drive_high,middle,r,Sep17,42,389,299,8,8
drive_high,middle,r,Sep7,17,144,85,8,8
drive_high,middle,r,Sep7,23,144,85,8,8
drive_high,middle,r,Sep7,42,144,85,8,8
drive_high,middle,vx,ALL,17,533,383,16,16
drive_high,middle,vx,ALL,23,533,383,16,16
drive_high,middle,vx,ALL,42,533,383,16,16
drive_high,middle,vx,Sep17,17,389,289,8,8
drive_high,middle,vx,Sep17,23,389,289,8,8
drive_high,middle,vx,Sep17,42,389,289,8,8
drive_high,middle,vx,Sep7,17,144,94,8,8
drive_high,middle,vx,Sep7,23,144,94,8,8
drive_high,middle,vx,Sep7,42,144,94,8,8
drive_high,middle,vy,ALL,17,533,367,16,16
drive_high,middle,vy,ALL,23,533,367,16,16
drive_high,middle,vy,ALL,42,533,367,16,16
drive_high,middle,vy,Sep17,17,389,278,8,8
drive_high,middle,vy,Sep17,23,389,278,8,8
drive_high,middle,vy,Sep17,42,389,278,8,8
drive_high,middle,vy,Sep7,17,144,89,8,8
drive_high,middle,vy,Sep7,23,144,89,8,8
drive_high,middle,vy,Sep7,42,144,89,8,8
drive_high,middle,vz,ALL,17,533,391,16,16
drive_high,middle,vz,ALL,23,533,391,16,16
drive_high,middle,vz,ALL,42,533,391,16,16
drive_high,middle,vz,Sep17,17,389,278,8,8
drive_high,middle,vz,Sep17,23,389,278,8,8
drive_high,middle,vz,Sep17,42,389,278,8,8
drive_high,middle,vz,Sep7,17,144,113,8,8
drive_high,middle,vz,Sep7,23,144,113,8,8
drive_high,middle,vz,Sep7,42,144,113,8,8
high,early,p,ALL,17,454,361,17,17
high,early,p,ALL,23,454,361,17,17
high,early,p,ALL,42,454,361,17,17
high,early,p,Sep17,17,269,211,8,8
high,early,p,Sep17,23,269,211,8,8
high,early,p,Sep17,42,269,211,8,8
high,early,p,Sep7,17,185,150,9,9
high,early,p,Sep7,23,185,150,9,9
high,early,p,Sep7,42,185,150,9,9
high,early,q,ALL,17,454,364,17,17
high,early,q,ALL,23,454,364,17,17
high,early,q,ALL,42,454,364,17,17
high,early,q,Sep17,17,269,217,8,8
high,early,q,Sep17,23,269,217,8,8
high,early,q,Sep17,42,269,217,8,8
high,early,q,Sep7,17,185,147,9,9
high,early,q,Sep7,23,185,147,9,9
high,early,q,Sep7,42,185,147,9,9
high,early,r,ALL,17,454,269,17,17
high,early,r,ALL,23,454,269,17,17
high,early,r,ALL,42,454,269,17,17
high,early,r,Sep17,17,269,155,8,8
high,early,r,Sep17,23,269,155,8,8
high,early,r,Sep17,42,269,155,8,8
high,early,r,Sep7,17,185,114,9,9
high,early,r,Sep7,23,185,114,9,9
high,early,r,Sep7,42,185,114,9,9
high,early,vx,ALL,17,454,201,17,17
high,early,vx,ALL,23,454,201,17,17
high,early,vx,ALL,42,454,201,17,17
high,early,vx,Sep17,17,269,123,8,8
high,early,vx,Sep17,23,269,123,8,8
high,early,vx,Sep17,42,269,123,8,8
high,early,vx,Sep7,17,185,78,9,9
high,early,vx,Sep7,23,185,78,9,9
high,early,vx,Sep7,42,185,78,9,9
high,early,vy,ALL,17,454,158,17,17
high,early,vy,ALL,23,454,158,17,17
high,early,vy,ALL,42,454,158,17,17
high,early,vy,Sep17,17,269,96,8,8
high,early,vy,Sep17,23,269,96,8,8
high,early,vy,Sep17,42,269,96,8,8
high,early,vy,Sep7,17,185,62,9,9
high,early,vy,Sep7,23,185,62,9,9
high,early,vy,Sep7,42,185,62,9,9
high,early,vz,ALL,17,454,343,17,17
high,early,vz,ALL,23,454,343,17,17
high,early,vz,ALL,42,454,343,17,17
high,early,vz,Sep17,17,269,204,8,8
high,early,vz,Sep17,23,269,204,8,8
high,early,vz,Sep17,42,269,204,8,8
high,early,vz,Sep7,17,185,139,9,9
high,early,vz,Sep7,23,185,139,9,9
high,early,vz,Sep7,42,185,139,9,9
high,extended,p,ALL,17,454,342,17,17
high,extended,p,ALL,23,454,342,17,17
high,extended,p,ALL,42,454,342,17,17
high,extended,p,Sep17,17,269,206,8,8
high,extended,p,Sep17,23,269,206,8,8
high,extended,p,Sep17,42,269,206,8,8
high,extended,p,Sep7,17,185,136,9,9
high,extended,p,Sep7,23,185,136,9,9
high,extended,p,Sep7,42,185,136,9,9
high,extended,q,ALL,17,454,363,17,17
high,extended,q,ALL,23,454,363,17,17
high,extended,q,ALL,42,454,363,17,17
high,extended,q,Sep17,17,269,218,8,8
high,extended,q,Sep17,23,269,218,8,8
high,extended,q,Sep17,42,269,218,8,8
high,extended,q,Sep7,17,185,145,9,9
high,extended,q,Sep7,23,185,145,9,9
high,extended,q,Sep7,42,185,145,9,9
high,extended,r,ALL,17,454,378,17,17
high,extended,r,ALL,23,454,378,17,17
high,extended,r,ALL,42,454,378,17,17
high,extended,r,Sep17,17,269,218,8,8
high,extended,r,Sep17,23,269,218,8,8
high,extended,r,Sep17,42,269,218,8,8
high,extended,r,Sep7,17,185,160,9,9
high,extended,r,Sep7,23,185,160,9,9
high,extended,r,Sep7,42,185,160,9,9
high,extended,vx,ALL,17,454,411,17,17
high,extended,vx,ALL,23,454,411,17,17
high,extended,vx,ALL,42,454,411,17,17
high,extended,vx,Sep17,17,269,246,8,8
high,extended,vx,Sep17,23,269,246,8,8
high,extended,vx,Sep17,42,269,246,8,8
high,extended,vx,Sep7,17,185,165,9,9
high,extended,vx,Sep7,23,185,165,9,9
high,extended,vx,Sep7,42,185,165,9,9
high,extended,vy,ALL,17,454,420,17,17
high,extended,vy,ALL,23,454,420,17,17
high,extended,vy,ALL,42,454,420,17,17
high,extended,vy,Sep17,17,269,249,8,8
high,extended,vy,Sep17,23,269,249,8,8
high,extended,vy,Sep17,42,269,249,8,8
high,extended,vy,Sep7,17,185,171,9,9
high,extended,vy,Sep7,23,185,171,9,9
high,extended,vy,Sep7,42,185,171,9,9
high,extended,vz,ALL,17,454,361,17,17
high,extended,vz,ALL,23,454,361,17,17
high,extended,vz,ALL,42,454,361,17,17
high,extended,vz,Sep17,17,269,221,8,8
high,extended,vz,Sep17,23,269,221,8,8
high,extended,vz,Sep17,42,269,221,8,8
high,extended,vz,Sep7,17,185,140,9,9
high,extended,vz,Sep7,23,185,140,9,9
high,extended,vz,Sep7,42,185,140,9,9
high,late,p,ALL,17,454,362,17,17
high,late,p,ALL,23,454,362,17,17
high,late,p,ALL,42,454,362,17,17
high,late,p,Sep17,17,269,209,8,8
high,late,p,Sep17,23,269,209,8,8
high,late,p,Sep17,42,269,209,8,8
high,late,p,Sep7,17,185,153,9,9
high,late,p,Sep7,23,185,153,9,9
high,late,p,Sep7,42,185,153,9,9
high,late,q,ALL,17,454,356,17,17
high,late,q,ALL,23,454,356,17,17
high,late,q,ALL,42,454,356,17,17
high,late,q,Sep17,17,269,216,8,8
high,late,q,Sep17,23,269,216,8,8
high,late,q,Sep17,42,269,216,8,8
high,late,q,Sep7,17,185,140,9,9
high,late,q,Sep7,23,185,140,9,9
high,late,q,Sep7,42,185,140,9,9
high,late,r,ALL,17,454,378,17,17
high,late,r,ALL,23,454,378,17,17
high,late,r,ALL,42,454,378,17,17
high,late,r,Sep17,17,269,229,8,8
high,late,r,Sep17,23,269,229,8,8
high,late,r,Sep17,42,269,229,8,8
high,late,r,Sep7,17,185,149,9,9
high,late,r,Sep7,23,185,149,9,9
high,late,r,Sep7,42,185,149,9,9
high,late,vx,ALL,17,454,384,17,17
high,late,vx,ALL,23,454,384,17,17
high,late,vx,ALL,42,454,384,17,17
high,late,vx,Sep17,17,269,235,8,8
high,late,vx,Sep17,23,269,235,8,8
high,late,vx,Sep17,42,269,235,8,8
high,late,vx,Sep7,17,185,149,9,9
high,late,vx,Sep7,23,185,149,9,9
high,late,vx,Sep7,42,185,149,9,9
high,late,vy,ALL,17,454,391,17,17
high,late,vy,ALL,23,454,391,17,17
high,late,vy,ALL,42,454,391,17,17
high,late,vy,Sep17,17,269,232,8,8
high,late,vy,Sep17,23,269,232,8,8
high,late,vy,Sep17,42,269,232,8,8
high,late,vy,Sep7,17,185,159,9,9
high,late,vy,Sep7,23,185,159,9,9
high,late,vy,Sep7,42,185,159,9,9
high,late,vz,ALL,17,454,354,17,17
high,late,vz,ALL,23,454,354,17,17
high,late,vz,ALL,42,454,354,17,17
high,late,vz,Sep17,17,269,207,8,8
high,late,vz,Sep17,23,269,207,8,8
high,late,vz,Sep17,42,269,207,8,8
high,late,vz,Sep7,17,185,147,9,9
high,late,vz,Sep7,23,185,147,9,9
high,late,vz,Sep7,42,185,147,9,9
high,middle,p,ALL,17,454,346,17,17
high,middle,p,ALL,23,454,346,17,17
high,middle,p,ALL,42,454,346,17,17
high,middle,p,Sep17,17,269,205,8,8
high,middle,p,Sep17,23,269,205,8,8
high,middle,p,Sep17,42,269,205,8,8
high,middle,p,Sep7,17,185,141,9,9
high,middle,p,Sep7,23,185,141,9,9
high,middle,p,Sep7,42,185,141,9,9
high,middle,q,ALL,17,454,338,17,17
high,middle,q,ALL,23,454,338,17,17
high,middle,q,ALL,42,454,338,17,17
high,middle,q,Sep17,17,269,205,8,8
high,middle,q,Sep17,23,269,205,8,8
high,middle,q,Sep17,42,269,205,8,8
high,middle,q,Sep7,17,185,133,9,9
high,middle,q,Sep7,23,185,133,9,9
high,middle,q,Sep7,42,185,133,9,9
high,middle,r,ALL,17,454,356,17,17
high,middle,r,ALL,23,454,356,17,17
high,middle,r,ALL,42,454,356,17,17
high,middle,r,Sep17,17,269,218,8,8
high,middle,r,Sep17,23,269,218,8,8
high,middle,r,Sep17,42,269,218,8,8
high,middle,r,Sep7,17,185,138,9,9
high,middle,r,Sep7,23,185,138,9,9
high,middle,r,Sep7,42,185,138,9,9
high,middle,vx,ALL,17,454,341,17,17
high,middle,vx,ALL,23,454,341,17,17
high,middle,vx,ALL,42,454,341,17,17
high,middle,vx,Sep17,17,269,211,8,8
high,middle,vx,Sep17,23,269,211,8,8
high,middle,vx,Sep17,42,269,211,8,8
high,middle,vx,Sep7,17,185,130,9,9
high,middle,vx,Sep7,23,185,130,9,9
high,middle,vx,Sep7,42,185,130,9,9
high,middle,vy,ALL,17,454,341,17,17
high,middle,vy,ALL,23,454,341,17,17
high,middle,vy,ALL,42,454,341,17,17
high,middle,vy,Sep17,17,269,210,8,8
high,middle,vy,Sep17,23,269,210,8,8
high,middle,vy,Sep17,42,269,210,8,8
high,middle,vy,Sep7,17,185,131,9,9
high,middle,vy,Sep7,23,185,131,9,9
high,middle,vy,Sep7,42,185,131,9,9
high,middle,vz,ALL,17,454,326,17,17
high,middle,vz,ALL,23,454,326,17,17
high,middle,vz,ALL,42,454,326,17,17
high,middle,vz,Sep17,17,269,193,8,8
high,middle,vz,Sep17,23,269,193,8,8
high,middle,vz,Sep17,42,269,193,8,8
high,middle,vz,Sep7,17,185,133,9,9
high,middle,vz,Sep7,23,185,133,9,9
high,middle,vz,Sep7,42,185,133,9,9
low,early,p,ALL,17,888,709,17,17
low,early,p,ALL,23,888,709,17,17
low,early,p,ALL,42,888,709,17,17
low,early,p,Sep17,17,201,162,8,8
low,early,p,Sep17,23,201,162,8,8
low,early,p,Sep17,42,201,162,8,8
low,early,p,Sep7,17,687,547,9,9
low,early,p,Sep7,23,687,547,9,9
low,early,p,Sep7,42,687,547,9,9
low,early,q,ALL,17,888,711,17,17
low,early,q,ALL,23,888,711,17,17
low,early,q,ALL,42,888,711,17,17
low,early,q,Sep17,17,201,169,8,8
low,early,q,Sep17,23,201,169,8,8
low,early,q,Sep17,42,201,169,8,8
low,early,q,Sep7,17,687,542,9,9
low,early,q,Sep7,23,687,542,9,9
low,early,q,Sep7,42,687,542,9,9
low,early,r,ALL,17,888,474,17,17
low,early,r,ALL,23,888,474,17,17
low,early,r,ALL,42,888,474,17,17
low,early,r,Sep17,17,201,102,8,8
low,early,r,Sep17,23,201,102,8,8
low,early,r,Sep17,42,201,102,8,8
low,early,r,Sep7,17,687,372,9,9
low,early,r,Sep7,23,687,372,9,9
low,early,r,Sep7,42,687,372,9,9
low,early,vx,ALL,17,888,318,17,17
low,early,vx,ALL,23,888,318,17,17
low,early,vx,ALL,42,888,318,17,17
low,early,vx,Sep17,17,201,72,8,8
low,early,vx,Sep17,23,201,72,8,8
low,early,vx,Sep17,42,201,72,8,8
low,early,vx,Sep7,17,687,246,9,9
low,early,vx,Sep7,23,687,246,9,9
low,early,vx,Sep7,42,687,246,9,9
low,early,vy,ALL,17,888,231,17,17
low,early,vy,ALL,23,888,231,17,17
low,early,vy,ALL,42,888,231,17,17
low,early,vy,Sep17,17,201,53,8,8
low,early,vy,Sep17,23,201,53,8,8
low,early,vy,Sep17,42,201,53,8,8
low,early,vy,Sep7,17,687,178,9,9
low,early,vy,Sep7,23,687,178,9,9
low,early,vy,Sep7,42,687,178,9,9
low,early,vz,ALL,17,888,687,17,17
low,early,vz,ALL,23,888,687,17,17
low,early,vz,ALL,42,888,687,17,17
low,early,vz,Sep17,17,201,158,8,8
low,early,vz,Sep17,23,201,158,8,8
low,early,vz,Sep17,42,201,158,8,8
low,early,vz,Sep7,17,687,529,9,9
low,early,vz,Sep7,23,687,529,9,9
low,early,vz,Sep7,42,687,529,9,9
low,extended,p,ALL,17,888,644,17,17
low,extended,p,ALL,23,888,644,17,17
low,extended,p,ALL,42,888,644,17,17
low,extended,p,Sep17,17,201,151,8,8
low,extended,p,Sep17,23,201,151,8,8
low,extended,p,Sep17,42,201,151,8,8
low,extended,p,Sep7,17,687,493,9,9
low,extended,p,Sep7,23,687,493,9,9
low,extended,p,Sep7,42,687,493,9,9
low,extended,q,ALL,17,888,678,17,17
low,extended,q,ALL,23,888,678,17,17
low,extended,q,ALL,42,888,678,17,17
low,extended,q,Sep17,17,201,164,8,8
low,extended,q,Sep17,23,201,164,8,8
low,extended,q,Sep17,42,201,164,8,8
low,extended,q,Sep7,17,687,514,9,9
low,extended,q,Sep7,23,687,514,9,9
low,extended,q,Sep7,42,687,514,9,9
low,extended,r,ALL,17,888,667,17,17
low,extended,r,ALL,23,888,667,17,17
low,extended,r,ALL,42,888,667,17,17
low,extended,r,Sep17,17,201,156,8,8
low,extended,r,Sep17,23,201,156,8,8
low,extended,r,Sep17,42,201,156,8,8
low,extended,r,Sep7,17,687,511,9,9
low,extended,r,Sep7,23,687,511,9,9
low,extended,r,Sep7,42,687,511,9,9
low,extended,vx,ALL,17,888,770,17,17
low,extended,vx,ALL,23,888,770,17,17
low,extended,vx,ALL,42,888,770,17,17
low,extended,vx,Sep17,17,201,174,8,8
