group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
ALL,early,vy,Sep7,42,1481,426,9,9
ALL,early,vz,ALL,17,2582,2012,17,17
ALL,early,vz,ALL,23,2582,2012,17,17
ALL,early,vz,ALL,42,2582,2012,17,17
ALL,early,vz,Sep17,17,1101,857,8,8
ALL,early,vz,Sep17,23,1101,857,8,8
ALL,early,vz,Sep17,42,1101,857,8,8
ALL,early,vz,Sep7,17,1481,1155,9,9
ALL,early,vz,Sep7,23,1481,1155,9,9
ALL,early,vz,Sep7,42,1481,1155,9,9
ALL,extended,p,ALL,17,2582,1889,17,17
ALL,extended,p,ALL,23,2582,1889,17,17
ALL,extended,p,ALL,42,2582,1889,17,17
ALL,extended,p,Sep17,17,1101,814,8,8
ALL,extended,p,Sep17,23,1101,814,8,8
ALL,extended,p,Sep17,42,1101,814,8,8
ALL,extended,p,Sep7,17,1481,1075,9,9
ALL,extended,p,Sep7,23,1481,1075,9,9
ALL,extended,p,Sep7,42,1481,1075,9,9
ALL,extended,q,ALL,17,2582,1977,17,17
ALL,extended,q,ALL,23,2582,1977,17,17
ALL,extended,q,ALL,42,2582,1977,17,17
ALL,extended,q,Sep17,17,1101,869,8,8
ALL,extended,q,Sep17,23,1101,869,8,8
ALL,extended,q,Sep17,42,1101,869,8,8
ALL,extended,q,Sep7,17,1481,1108,9,9
ALL,extended,q,Sep7,23,1481,1108,9,9
ALL,extended,q,Sep7,42,1481,1108,9,9
ALL,extended,r,ALL,17,2582,1997,17,17
ALL,extended,r,ALL,23,2582,1997,17,17
ALL,extended,r,ALL,42,2582,1997,17,17
ALL,extended,r,Sep17,17,1101,877,8,8
ALL,extended,r,Sep17,23,1101,877,8,8
ALL,extended,r,Sep17,42,1101,877,8,8
ALL,extended,r,Sep7,17,1481,1120,9,9
ALL,extended,r,Sep7,23,1481,1120,9,9
ALL,extended,r,Sep7,42,1481,1120,9,9
ALL,extended,vx,ALL,17,2582,2307,17,17
ALL,extended,vx,ALL,23,2582,2307,17,17
ALL,extended,vx,ALL,42,2582,2307,17,17
ALL,extended,vx,Sep17,17,1101,991,8,8
ALL,extended,vx,Sep17,23,1101,991,8,8
ALL,extended,vx,Sep17,42,1101,991,8,8
ALL,extended,vx,Sep7,17,1481,1316,9,9
ALL,extended,vx,Sep7,23,1481,1316,9,9
ALL,extended,vx,Sep7,42,1481,1316,9,9
ALL,extended,vy,ALL,17,2582,2319,17,17
ALL,extended,vy,ALL,23,2582,2319,17,17
ALL,extended,vy,ALL,42,2582,2319,17,17
ALL,extended,vy,Sep17,17,1101,997,8,8
ALL,extended,vy,Sep17,23,1101,997,8,8
ALL,extended,vy,Sep17,42,1101,997,8,8
ALL,extended,vy,Sep7,17,1481,1322,9,9
ALL,extended,vy,Sep7,23,1481,1322,9,9
ALL,extended,vy,Sep7,42,1481,1322,9,9
ALL,extended,vz,ALL,17,2582,1941,17,17
ALL,extended,vz,ALL,23,2582,1941,17,17
ALL,extended,vz,ALL,42,2582,1941,17,17
ALL,extended,vz,Sep17,17,1101,848,8,8
ALL,extended,vz,Sep17,23,1101,848,8,8
ALL,extended,vz,Sep17,42,1101,848,8,8
ALL,extended,vz,Sep7,17,1481,1093,9,9
ALL,extended,vz,Sep7,23,1481,1093,9,9
ALL,extended,vz,Sep7,42,1481,1093,9,9
ALL,late,p,ALL,17,2582,2005,17,17
ALL,late,p,ALL,23,2582,2005,17,17
ALL,late,p,ALL,42,2582,2005,17,17
ALL,late,p,Sep17,17,1101,850,8,8
ALL,late,p,Sep17,23,1101,850,8,8
ALL,late,p,Sep17,42,1101,850,8,8
ALL,late,p,Sep7,17,1481,1155,9,9
ALL,late,p,Sep7,23,1481,1155,9,9
ALL,late,p,Sep7,42,1481,1155,9,9
ALL,late,q,ALL,17,2582,1952,17,17
ALL,late,q,ALL,23,2582,1952,17,17
ALL,late,q,ALL,42,2582,1952,17,17
ALL,late,q,Sep17,17,1101,863,8,8
ALL,late,q,Sep17,23,1101,863,8,8
ALL,late,q,Sep17,42,1101,863,8,8
ALL,late,q,Sep7,17,1481,1089,9,9
ALL,late,q,Sep7,23,1481,1089,9,9
ALL,late,q,Sep7,42,1481,1089,9,9
ALL,late,r,ALL,17,2582,2024,17,17
ALL,late,r,ALL,23,2582,2024,17,17
ALL,late,r,ALL,42,2582,2024,17,17
ALL,late,r,Sep17,17,1101,912,8,8
ALL,late,r,Sep17,23,1101,912,8,8
ALL,late,r,Sep17,42,1101,912,8,8
ALL,late,r,Sep7,17,1481,1112,9,9
ALL,late,r,Sep7,23,1481,1112,9,9
ALL,late,r,Sep7,42,1481,1112,9,9
ALL,late,vx,ALL,17,2582,2125,17,17
ALL,late,vx,ALL,23,2582,2125,17,17
ALL,late,vx,ALL,42,2582,2125,17,17
ALL,late,vx,Sep17,17,1101,915,8,8
ALL,late,vx,Sep17,23,1101,915,8,8
ALL,late,vx,Sep17,42,1101,915,8,8
ALL,late,vx,Sep7,17,1481,1210,9,9
ALL,late,vx,Sep7,23,1481,1210,9,9
ALL,late,vx,Sep7,42,1481,1210,9,9
ALL,late,vy,ALL,17,2582,2132,17,17
ALL,late,vy,ALL,23,2582,2132,17,17
ALL,late,vy,ALL,42,2582,2132,17,17
ALL,late,vy,Sep17,17,1101,930,8,8
ALL,late,vy,Sep17,23,1101,930,8,8
ALL,late,vy,Sep17,42,1101,930,8,8
ALL,late,vy,Sep7,17,1481,1202,9,9
ALL,late,vy,Sep7,23,1481,1202,9,9
ALL,late,vy,Sep7,42,1481,1202,9,9
ALL,late,vz,ALL,17,2582,2051,17,17
ALL,late,vz,ALL,23,2582,2051,17,17
ALL,late,vz,ALL,42,2582,2051,17,17
ALL,late,vz,Sep17,17,1101,857,8,8
ALL,late,vz,Sep17,23,1101,857,8,8
ALL,late,vz,Sep17,42,1101,857,8,8
ALL,late,vz,Sep7,17,1481,1194,9,9
ALL,late,vz,Sep7,23,1481,1194,9,9
ALL,late,vz,Sep7,42,1481,1194,9,9
ALL,middle,p,ALL,17,2582,1961,17,17
ALL,middle,p,ALL,23,2582,1961,17,17
ALL,middle,p,ALL,42,2582,1961,17,17
ALL,middle,p,Sep17,17,1101,837,8,8
ALL,middle,p,Sep17,23,1101,837,8,8
ALL,middle,p,Sep17,42,1101,837,8,8
ALL,middle,p,Sep7,17,1481,1124,9,9
ALL,middle,p,Sep7,23,1481,1124,9,9
ALL,middle,p,Sep7,42,1481,1124,9,9
ALL,middle,q,ALL,17,2582,1884,17,17
ALL,middle,q,ALL,23,2582,1884,17,17
ALL,middle,q,ALL,42,2582,1884,17,17
ALL,middle,q,Sep17,17,1101,839,8,8
ALL,middle,q,Sep17,23,1101,839,8,8
ALL,middle,q,Sep17,42,1101,839,8,8
ALL,middle,q,Sep7,17,1481,1045,9,9
ALL,middle,q,Sep7,23,1481,1045,9,9
ALL,middle,q,Sep7,42,1481,1045,9,9
ALL,middle,r,ALL,17,2582,1791,17,17
ALL,middle,r,ALL,23,2582,1791,17,17
ALL,middle,r,ALL,42,2582,1791,17,17
ALL,middle,r,Sep17,17,1101,831,8,8
ALL,middle,r,Sep17,23,1101,831,8,8
ALL,middle,r,Sep17,42,1101,831,8,8
ALL,middle,r,Sep7,17,1481,960,9,9
ALL,middle,r,Sep7,23,1481,960,9,9
ALL,middle,r,Sep7,42,1481,960,9,9
ALL,middle,vx,ALL,17,2582,1764,17,17
ALL,middle,vx,ALL,23,2582,1764,17,17
ALL,middle,vx,ALL,42,2582,1764,17,17
ALL,middle,vx,Sep17,17,1101,778,8,8
ALL,middle,vx,Sep17,23,1101,778,8,8
ALL,middle,vx,Sep17,42,1101,778,8,8
ALL,middle,vx,Sep7,17,1481,986,9,9
ALL,middle,vx,Sep7,23,1481,986,9,9
ALL,middle,vx,Sep7,42,1481,986,9,9
ALL,middle,vy,ALL,17,2582,1736,17,17
ALL,middle,vy,ALL,23,2582,1736,17,17
ALL,middle,vy,ALL,42,2582,1736,17,17
ALL,middle,vy,Sep17,17,1101,787,8,8
ALL,middle,vy,Sep17,23,1101,787,8,8
ALL,middle,vy,Sep17,42,1101,787,8,8
ALL,middle,vy,Sep7,17,1481,949,9,9
ALL,middle,vy,Sep7,23,1481,949,9,9
ALL,middle,vy,Sep7,42,1481,949,9,9
ALL,middle,vz,ALL,17,2582,1951,17,17
ALL,middle,vz,ALL,23,2582,1951,17,17
ALL,middle,vz,ALL,42,2582,1951,17,17
ALL,middle,vz,Sep17,17,1101,815,8,8
ALL,middle,vz,Sep17,23,1101,815,8,8
ALL,middle,vz,Sep17,42,1101,815,8,8
ALL,middle,vz,Sep7,17,1481,1136,9,9
ALL,middle,vz,Sep7,23,1481,1136,9,9
ALL,middle,vz,Sep7,42,1481,1136,9,9
common_high,early,p,ALL,17,440,349,17,17
common_high,early,p,ALL,23,440,349,17,17
common_high,early,p,ALL,42,440,349,17,17
common_high,early,p,Sep17,17,249,198,8,8
common_high,early,p,Sep17,23,249,198,8,8
common_high,early,p,Sep17,42,249,198,8,8
common_high,early,p,Sep7,17,191,151,9,9
common_high,early,p,Sep7,23,191,151,9,9
common_high,early,p,Sep7,42,191,151,9,9
common_high,early,q,ALL,17,440,372,17,17
common_high,early,q,ALL,23,440,372,17,17
common_high,early,q,ALL,42,440,372,17,17
common_high,early,q,Sep17,17,249,213,8,8
common_high,early,q,Sep17,23,249,213,8,8
common_high,early,q,Sep17,42,249,213,8,8
common_high,early,q,Sep7,17,191,159,9,9
common_high,early,q,Sep7,23,191,159,9,9
common_high,early,q,Sep7,42,191,159,9,9
common_high,early,r,ALL,17,440,245,17,17
common_high,early,r,ALL,23,440,245,17,17
common_high,early,r,ALL,42,440,245,17,17
common_high,early,r,Sep17,17,249,139,8,8
common_high,early,r,Sep17,23,249,139,8,8
common_high,early,r,Sep17,42,249,139,8,8
common_high,early,r,Sep7,17,191,106,9,9
common_high,early,r,Sep7,23,191,106,9,9
common_high,early,r,Sep7,42,191,106,9,9
common_high,early,vx,ALL,17,440,186,17,17
common_high,early,vx,ALL,23,440,186,17,17
common_high,early,vx,ALL,42,440,186,17,17
common_high,early,vx,Sep17,17,249,109,8,8
common_high,early,vx,Sep17,23,249,109,8,8
common_high,early,vx,Sep17,42,249,109,8,8
common_high,early,vx,Sep7,17,191,77,9,9
common_high,early,vx,Sep7,23,191,77,9,9
common_high,early,vx,Sep7,42,191,77,9,9
common_high,early,vy,ALL,17,440,137,17,17
common_high,early,vy,ALL,23,440,137,17,17
common_high,early,vy,ALL,42,440,137,17,17
common_high,early,vy,Sep17,17,249,74,8,8
common_high,early,vy,Sep17,23,249,74,8,8
common_high,early,vy,Sep17,42,249,74,8,8
common_high,early,vy,Sep7,17,191,63,9,9
common_high,early,vy,Sep7,23,191,63,9,9
common_high,early,vy,Sep7,42,191,63,9,9
common_high,early,vz,ALL,17,440,355,17,17
common_high,early,vz,ALL,23,440,355,17,17
common_high,early,vz,ALL,42,440,355,17,17
common_high,early,vz,Sep17,17,249,204,8,8
common_high,early,vz,Sep17,23,249,204,8,8
common_high,early,vz,Sep17,42,249,204,8,8
common_high,early,vz,Sep7,17,191,151,9,9
