group,step,condition,cohort,axis,mean,std
ALL,50,autonomous,Sep17,vy,0.42258405666950155,0.013478863850232538
ALL,50,autonomous,Sep17,vz,0.35591816312528574,0.016397390408041012
ALL,50,autonomous,Sep7,p,0.5322571985434198,0.004237846766299019
ALL,50,autonomous,Sep7,q,0.2869130863145196,0.02157683825794245
ALL,50,autonomous,Sep7,r,0.14880870221609954,0.002074304830981853
ALL,50,autonomous,Sep7,vx,0.37430403119603356,0.004458902051651939
ALL,50,autonomous,Sep7,vy,0.4012272755158553,0.0042936268008502984
ALL,50,autonomous,Sep7,vz,0.26676105464461614,0.005736314128169145
ALL,50,local100ms,ALL,p,0.49635156169677486,0.0036839478782544977
ALL,50,local100ms,ALL,q,0.21161648136122804,0.0027351832605759796
ALL,50,local100ms,ALL,r,0.13308676354834423,0.001941559660353274
ALL,50,local100ms,ALL,vx,0.05416966525148209,0.0005443217232941585
ALL,50,local100ms,ALL,vy,0.054362192632033325,0.000611661093273912
ALL,50,local100ms,ALL,vz,0.10669787069623858,0.005345553573997332
ALL,50,local100ms,Sep17,p,0.46429637546666047,0.005201857620885661
ALL,50,local100ms,Sep17,q,0.2075618142964796,0.005707626271606799
ALL,50,local100ms,Sep17,r,0.12979101788032613,0.005582239392325826
ALL,50,local100ms,Sep17,vx,0.05924532366040755,0.0010725395612081118
ALL,50,local100ms,Sep17,vy,0.06339298992041588,0.0009230796206603141
ALL,50,local100ms,Sep17,vz,0.1177831897441044,0.0052593595147302
ALL,50,local100ms,Sep7,p,0.5248450605679876,0.002336321651450598
ALL,50,local100ms,Sep7,q,0.21522062986322665,0.003069385311791535
ALL,50,local100ms,Sep7,r,0.1360163152532492,0.0024457405970866705
ALL,50,local100ms,Sep7,vx,0.049657968887992794,0.00017820584906563566
ALL,50,local100ms,Sep7,vy,0.04633481726458218,0.0011996987039744353
ALL,50,local100ms,Sep7,vz,0.09684425376480228,0.006152592616734233
common_high,25,autonomous,ALL,p,0.5463441351627869,0.005827291350092292
common_high,25,autonomous,ALL,q,0.3115436616448551,0.003356113875659975
common_high,25,autonomous,ALL,r,0.17867712831163904,0.0024766871058156054
common_high,25,autonomous,ALL,vx,0.28236494845902116,0.0115942020660101
common_high,25,autonomous,ALL,vy,0.2944293369968089,0.003382791090314764
common_high,25,autonomous,ALL,vz,0.3166129621782667,0.0035902652664149474
common_high,25,autonomous,Sep17,p,0.5247275241862336,0.0026182047712703447
common_high,25,autonomous,Sep17,q,0.29844392066507835,0.013157303304262243
common_high,25,autonomous,Sep17,r,0.19774597227202692,0.001603496725594629
common_high,25,autonomous,Sep17,vx,0.26591583051657813,0.024280658044405025
common_high,25,autonomous,Sep17,vy,0.2599066849168313,0.021739524764050475
common_high,25,autonomous,Sep17,vz,0.3220349105819718,0.0009462464243403967
common_high,25,autonomous,Sep7,p,0.5655589004752788,0.009071574690031203
common_high,25,autonomous,Sep7,q,0.3231878758491012,0.007679302653495471
common_high,25,autonomous,Sep7,r,0.16172704479129427,0.0032871083125029428
common_high,25,autonomous,Sep7,vx,0.29698638663008164,0.004612189210879302
common_high,25,autonomous,Sep7,vy,0.32511613884567786,0.013035028870624342
common_high,25,autonomous,Sep7,vz,0.3117934524860843,0.007100372606626178
common_high,25,local100ms,ALL,p,0.5269537735672073,0.005305293865705228
common_high,25,local100ms,ALL,q,0.26544491558565936,0.007604336990033648
common_high,25,local100ms,ALL,r,0.15117115288469662,0.0009501668350648922
common_high,25,local100ms,ALL,vx,0.09830980581003367,0.0031741146179856926
common_high,25,local100ms,ALL,vy,0.11920242600306862,0.0018433927241844322
common_high,25,local100ms,ALL,vz,0.1383675090548486,0.004032388871801649
common_high,25,local100ms,Sep17,p,0.4922360492869721,0.007045701938736044
common_high,25,local100ms,Sep17,q,0.2545769935477468,0.012709845984953602
common_high,25,local100ms,Sep17,r,0.14171264782850604,0.004412968212445578
common_high,25,local100ms,Sep17,vx,0.07012175438374836,0.004770641956481308
common_high,25,local100ms,Sep17,vy,0.08125828241471705,0.005734996711485557
common_high,25,local100ms,Sep17,vz,0.12463156350395525,0.009816781641729784
common_high,25,local100ms,Sep7,p,0.5578139729274163,0.00391477743545596
common_high,25,local100ms,Sep7,q,0.2751052907304706,0.006649662111293928
common_high,25,local100ms,Sep7,r,0.15957871293464385,0.002311163998024679
common_high,25,local100ms,Sep7,vx,0.12336585152228725,0.003391188742791937
common_high,25,local100ms,Sep7,vy,0.1529305536371589,0.007889390126571109
common_high,25,local100ms,Sep7,vz,0.15057723843342044,0.0048423082067889445
common_high,50,autonomous,ALL,p,0.5453618501250097,0.0029629531310847892
common_high,50,autonomous,ALL,q,0.3382620831688519,0.01822029141494724
common_high,50,autonomous,ALL,r,0.1646639776458111,0.0015277410481323974
common_high,50,autonomous,ALL,vx,0.44694570380907167,0.01095869352575811
common_high,50,autonomous,ALL,vy,0.5465592872903148,0.013871221792155018
common_high,50,autonomous,ALL,vz,0.3700397317559267,0.02023135489100726
common_high,50,autonomous,Sep17,p,0.502183525649252,0.004307279472088795
common_high,50,autonomous,Sep17,q,0.3370567146483898,0.017351168404851444
common_high,50,autonomous,Sep17,r,0.19193624633465856,0.0013602895580258052
common_high,50,autonomous,Sep17,vx,0.48825917314522,0.03407402178332979
common_high,50,autonomous,Sep17,vy,0.5532352750693761,0.019345259247472657
common_high,50,autonomous,Sep17,vz,0.42359561639809606,0.012626343212034551
common_high,50,autonomous,Sep7,p,0.5837425829923499,0.0045476387645914575
common_high,50,autonomous,Sep7,q,0.3393335218537072,0.022015077201117342
common_high,50,autonomous,Sep7,r,0.14042196103350224,0.0022268190482020497
common_high,50,autonomous,Sep7,vx,0.4102226199547177,0.01021607740254809
common_high,50,autonomous,Sep7,vy,0.5406250759311492,0.02017196492057752
common_high,50,autonomous,Sep7,vz,0.3224345009628872,0.027764592360517322
common_high,50,local100ms,ALL,p,0.5042705908709045,0.007025360236361641
common_high,50,local100ms,ALL,q,0.2479585478942169,0.00580880157485906
common_high,50,local100ms,ALL,r,0.12893831578860504,0.0011193978488794757
common_high,50,local100ms,ALL,vx,0.06598200047256812,0.0014110591365906731
common_high,50,local100ms,ALL,vy,0.06900648062794314,0.0034365179079932856
common_high,50,local100ms,ALL,vz,0.12661752705001206,0.007275074397695975
common_high,50,local100ms,Sep17,p,0.45559594944637655,0.006822417352061557
common_high,50,local100ms,Sep17,q,0.23711282924412316,0.011010655065326527
common_high,50,local100ms,Sep17,r,0.1384939182840667,0.005081126400386726
common_high,50,local100ms,Sep17,vx,0.07402097104857001,0.0023631208862955632
common_high,50,local100ms,Sep17,vy,0.09023114869156061,0.002501221609902046
common_high,50,local100ms,Sep17,vz,0.14025840543245008,0.007068823135683275
common_high,50,local100ms,Sep7,p,0.5475369388038184,0.007205816193454827
common_high,50,local100ms,Sep7,q,0.25759918669430015,0.001690466393313604
common_high,50,local100ms,Sep7,r,0.12044444690375027,0.0030378882461411212
common_high,50,local100ms,Sep7,vx,0.05883624884945534,0.0014914582249346594
common_high,50,local100ms,Sep7,vy,0.05014010901583873,0.005352218771930045
common_high,50,local100ms,Sep7,vz,0.11449230182117824,0.010802438671417065
differential_high,25,autonomous,ALL,p,0.555373757775517,0.004273397521211688
differential_high,25,autonomous,ALL,q,0.27504663370622323,0.010244308116325224
differential_high,25,autonomous,ALL,r,0.1775752473742506,0.0027792730633553826
differential_high,25,autonomous,ALL,vx,0.24831515197863818,0.01727155077205289
differential_high,25,autonomous,ALL,vy,0.2585603606496865,0.007307184938866763
differential_high,25,autonomous,ALL,vz,0.28153748284102376,0.004472090715762862
differential_high,25,autonomous,Sep17,p,0.5060372437813473,0.008379040068407773
differential_high,25,autonomous,Sep17,q,0.2896417500636928,0.012122537595920921
differential_high,25,autonomous,Sep17,r,0.18316396394404297,0.002888416004005306
differential_high,25,autonomous,Sep17,vx,0.2527062943525638,0.02583129532376202
differential_high,25,autonomous,Sep17,vy,0.2566668266908374,0.016536106959197768
differential_high,25,autonomous,Sep17,vz,0.3334954513781869,0.011239687872583795
differential_high,25,autonomous,Sep7,p,0.5992284368814457,0.0035216160164940943
differential_high,25,autonomous,Sep7,q,0.2620731969440281,0.010814868875870205
differential_high,25,autonomous,Sep7,r,0.172607499312213,0.0035716979691620483
differential_high,25,autonomous,Sep7,vx,0.24441191431292653,0.01082810048463664
differential_high,25,autonomous,Sep7,vy,0.26024350194644125,0.011241281402858905
differential_high,25,autonomous,Sep7,vz,0.23535262191910092,0.0025671644882756853
differential_high,25,local100ms,ALL,p,0.5347622623408025,0.004426279999740876
differential_high,25,local100ms,ALL,q,0.24675999746678193,0.007300347990170156
differential_high,25,local100ms,ALL,r,0.14643089457241423,0.0011571239903639362
differential_high,25,local100ms,ALL,vx,0.07628255999323393,0.0013774926140038125
differential_high,25,local100ms,ALL,vy,0.08556301475974248,0.0017609436412639524
differential_high,25,local100ms,ALL,vz,0.12259102330734147,0.00287010511797509
differential_high,25,local100ms,Sep17,p,0.47700304211193917,0.00978808222191071
differential_high,25,local100ms,Sep17,q,0.2547873300977126,0.013306902377144138
differential_high,25,local100ms,Sep17,r,0.1357661503593542,0.005948358957571274
differential_high,25,local100ms,Sep17,vx,0.06633898377447799,0.0030304183499167267
differential_high,25,local100ms,Sep17,vy,0.08095306900181613,0.00666998744300798
differential_high,25,local100ms,Sep17,vz,0.12392073817985061,0.005913877290304397
differential_high,25,local100ms,Sep7,p,0.5861037914331254,0.0005515107920872575
differential_high,25,local100ms,Sep7,q,0.23962459068373243,0.0036275212305116934
differential_high,25,local100ms,Sep7,r,0.1559106672062454,0.003143100303542011
differential_high,25,local100ms,Sep7,vx,0.08512129440990586,0.0006544619520737746
differential_high,25,local100ms,Sep7,vy,0.08966074432234368,0.0054034552120866474
differential_high,25,local100ms,Sep7,vz,0.12140905453177779,0.005499268762035058
differential_high,50,autonomous,ALL,p,0.5479626650134949,0.003199360132350145
differential_high,50,autonomous,ALL,q,0.32743290525383767,0.02206685448884042
differential_high,50,autonomous,ALL,r,0.18407743346664115,0.0031900015945379783
differential_high,50,autonomous,ALL,vx,0.4620156567260896,0.021235023665270587
differential_high,50,autonomous,ALL,vy,0.4943817497473088,0.021625631662023144
differential_high,50,autonomous,ALL,vz,0.35273666402085735,0.011114603504898051
differential_high,50,autonomous,Sep17,p,0.522082333335164,0.0023379174025254476
differential_high,50,autonomous,Sep17,q,0.3522368449419286,0.03072097495633683
differential_high,50,autonomous,Sep17,r,0.21123015160330283,0.006305678610777135
differential_high,50,autonomous,Sep17,vx,0.5084720281483706,0.03363214938122101
differential_high,50,autonomous,Sep17,vy,0.5238490291682595,0.015630321460482405
differential_high,50,autonomous,Sep17,vz,0.43429213136761957,0.016151523489676713
differential_high,50,autonomous,Sep7,p,0.5709674042831224,0.00420448443392266
differential_high,50,autonomous,Sep7,q,0.3053849588644236,0.020336360423704618
differential_high,50,autonomous,Sep7,r,0.15994168401183076,0.0004205455577513971
differential_high,50,autonomous,Sep7,vx,0.4207211043507288,0.014615150177565074
differential_high,50,autonomous,Sep7,vy,0.46818861248424165,0.02993263425530799
differential_high,50,autonomous,Sep7,vz,0.2802429152681798,0.013704390906497853
differential_high,50,local100ms,ALL,p,0.5144841068080409,0.0035748667938707564
differential_high,50,local100ms,ALL,q,0.24206328306372463,0.0053344035159046755
differential_high,50,local100ms,ALL,r,0.12928469083249772,0.000641668941803857
differential_high,50,local100ms,ALL,vx,0.06440412673032779,0.001327301330059916
differential_high,50,local100ms,ALL,vy,0.06733367710604998,0.002801414607030809
differential_high,50,local100ms,ALL,vz,0.12006299914220304,0.004066387725481511
differential_high,50,local100ms,Sep17,p,0.4909894596676417,0.001645892681749201
differential_high,50,local100ms,Sep17,q,0.24627747108546072,0.008891727485882671
differential_high,50,local100ms,Sep17,r,0.133738721294954,0.0048249953666116875
differential_high,50,local100ms,Sep17,vx,0.07158844723222431,0.0022130548195165765
differential_high,50,local100ms,Sep17,vy,0.08857789076572241,0.004138388174583799
differential_high,50,local100ms,Sep17,vz,0.14155744330367323,0.006397116277684391
differential_high,50,local100ms,Sep7,p,0.5353682375995067,0.005918906720397888
differential_high,50,local100ms,Sep7,q,0.23831733815551473,0.008568403156344917
differential_high,50,local100ms,Sep7,r,0.1253255526436477,0.00425623053649412
differential_high,50,local100ms,Sep7,vx,0.05801806406197532,0.0008788366347440061
differential_high,50,local100ms,Sep7,vy,0.04844993163078559,0.0022835663442147317
differential_high,50,local100ms,Sep7,vz,0.10095682655422955,0.0033680900022149012
drive_high,25,autonomous,ALL,p,0.48128788514058735,0.004057111453425112
drive_high,25,autonomous,ALL,q,0.2429957821916743,0.00724341081194591
drive_high,25,autonomous,ALL,r,0.15140227485924201,0.0011086453080693213
drive_high,25,autonomous,ALL,vx,0.19371256363142444,0.012977806923432818
drive_high,25,autonomous,ALL,vy,0.21082419039968234,0.008927962092840167
drive_high,25,autonomous,ALL,vz,0.25144230896782965,0.008105831661128935
drive_high,25,autonomous,Sep17,p,0.47701973842211864,0.003962445676606515
drive_high,25,autonomous,Sep17,q,0.25082062818869577,0.011341673755620773
drive_high,25,autonomous,Sep17,r,0.16990711161591687,0.0032947842574437103
drive_high,25,autonomous,Sep17,vx,0.21440029385796144,0.012504308464854128
drive_high,25,autonomous,Sep17,vy,0.1954326127122611,0.018091846654623545
drive_high,25,autonomous,Sep17,vz,0.2847316225879681,0.007027719465759881
drive_high,25,autonomous,Sep7,p,0.48555603185905616,0.0087112633894641
drive_high,25,autonomous,Sep7,q,0.23517093619465293,0.013696607717296739
drive_high,25,autonomous,Sep7,r,0.13289743810256713,0.0011698823988951514
drive_high,25,autonomous,Sep7,vx,0.17302483340488747,0.013987952085780405
drive_high,25,autonomous,Sep7,vy,0.22621576808710356,0.008686561641581868
drive_high,25,autonomous,Sep7,vz,0.2181529953476912,0.012025083944859244
drive_high,25,local100ms,ALL,p,0.4552164063430175,0.010535257727008243
drive_high,25,local100ms,ALL,q,0.2219723732483534,0.003973812565394136
drive_high,25,local100ms,ALL,r,0.12988603655477945,0.0037066483899259274
drive_high,25,local100ms,ALL,vx,0.05525853481517811,0.0030260530840415375
drive_high,25,local100ms,ALL,vy,0.052318165717322146,0.00208774382661861
drive_high,25,local100ms,ALL,vz,0.10020779392064333,0.0031713893923841466
drive_high,25,local100ms,Sep17,p,0.4438892309006824,0.00793131903614712
drive_high,25,local100ms,Sep17,q,0.221881846918815,0.008899967281775856
drive_high,25,local100ms,Sep17,r,0.12793397902944303,0.005455590362873747
drive_high,25,local100ms,Sep17,vx,0.05906522131274674,0.0016393816438028228
drive_high,25,local100ms,Sep17,vy,0.05889207802486535,0.004030543117408878
drive_high,25,local100ms,Sep17,vz,0.11174711101041812,0.0040626472883806865
drive_high,25,local100ms,Sep7,p,0.4665435817853527,0.013157845222170256
drive_high,25,local100ms,Sep7,q,0.22206289957789174,0.0062183475857410745
drive_high,25,local100ms,Sep7,r,0.13183809408011588,0.002527008155950719
drive_high,25,local100ms,Sep7,vx,0.05145184831760948,0.0044206804338682
drive_high,25,local100ms,Sep7,vy,0.045744253409778945,0.0009679978160276972
drive_high,25,local100ms,Sep7,vz,0.08866847683086854,0.0037552414959563553
drive_high,50,autonomous,ALL,p,0.4717685436721902,0.0018955109412201762
drive_high,50,autonomous,ALL,q,0.2957273546624893,0.02835153754176879
drive_high,50,autonomous,ALL,r,0.16155164355566562,0.0021914539338325997
drive_high,50,autonomous,ALL,vx,0.371494081150955,0.006217567640027572
drive_high,50,autonomous,ALL,vy,0.4079164399403847,0.019567497545249554
drive_high,50,autonomous,ALL,vz,0.30539234707347623,0.0034585542033291655
drive_high,50,autonomous,Sep17,p,0.46657396375241983,0.001980873384571944
drive_high,50,autonomous,Sep17,q,0.3062895896460927,0.037774018913570885
drive_high,50,autonomous,Sep17,r,0.19025262033094215,0.0065410318082208384
drive_high,50,autonomous,Sep17,vx,0.4138115913410226,0.005380774150212693
drive_high,50,autonomous,Sep17,vy,0.42004590622356486,0.02463468639880046
drive_high,50,autonomous,Sep17,vz,0.3596256447357166,0.008864225476931888
drive_high,50,autonomous,Sep7,p,0.4769631235919605,0.001955957881012265
drive_high,50,autonomous,Sep7,q,0.28516511967888586,0.024898831473713925
drive_high,50,autonomous,Sep7,r,0.13285066678038907,0.0039712592301433345
drive_high,50,autonomous,Sep7,vx,0.3291765709608874,0.0097450953593198
drive_high,50,autonomous,Sep7,vy,0.39578697365720444,0.015152441214001423
drive_high,50,autonomous,Sep7,vz,0.25115904941123585,0.014345992176645991
drive_high,50,local100ms,ALL,p,0.4332736173250949,0.007922828486484472
drive_high,50,local100ms,ALL,q,0.21204031421900846,0.002483518656473619
drive_high,50,local100ms,ALL,r,0.14600211492395085,0.003979859692870418
drive_high,50,local100ms,ALL,vx,0.049997703472389084,0.0015246032960504372
drive_high,50,local100ms,ALL,vy,0.05094564449873023,0.0002631477191246679
drive_high,50,local100ms,ALL,vz,0.09957051365464303,0.00507062962409689
drive_high,50,local100ms,Sep17,p,0.43457754686985356,0.00902136276432266
drive_high,50,local100ms,Sep17,q,0.19504611978289718,0.0026736418725926436
drive_high,50,local100ms,Sep17,r,0.1339587356081178,0.0075354415071441595
drive_high,50,local100ms,Sep17,vx,0.05893275214871559,0.002014475417210123
drive_high,50,local100ms,Sep17,vy,0.0697300333354511,0.001959810829576085
drive_high,50,local100ms,Sep17,vz,0.11098689988981549,0.006249217158003607
drive_high,50,local100ms,Sep7,p,0.43196968778033634,0.006846869697952306
drive_high,50,local100ms,Sep7,q,0.22903450865511968,0.007241525705446893
drive_high,50,local100ms,Sep7,r,0.15804549423978384,0.001997282872353365
drive_high,50,local100ms,Sep7,vx,0.04106265479606258,0.0016303136825220894
drive_high,50,local100ms,Sep7,vy,0.03216125566200936,0.0021541925342248424
drive_high,50,local100ms,Sep7,vz,0.0881541274194706,0.006087649847703752
high,25,autonomous,ALL,p,0.5635997345418104,0.006749484932445068
high,25,autonomous,ALL,q,0.29156964148296943,0.008745681817804869
high,25,autonomous,ALL,r,0.18330504128610978,0.0015259696009167125
high,25,autonomous,ALL,vx,0.27856483979088714,0.016874394664092393
high,25,autonomous,ALL,vy,0.2867657949299561,0.0080515874885285
high,25,autonomous,ALL,vz,0.29398511783490305,0.002404775360458443
high,25,autonomous,Sep17,p,0.5182394560426101,0.0038493809676247224
high,25,autonomous,Sep17,q,0.29278317415275473,0.009971795675195103
high,25,autonomous,Sep17,r,0.1868133445727338,0.0007778748404477835
high,25,autonomous,Sep17,vx,0.26526871200601354,0.025385848393598025
high,25,autonomous,Sep17,vy,0.26089334598338826,0.018217588903894685
high,25,autonomous,Sep17,vz,0.3270665835030881,0.009361933146879093
high,25,autonomous,Sep7,p,0.6039199820966551,0.011240013949752473
high,25,autonomous,Sep7,q,0.29049094577649365,0.013229323428088682
high,25,autonomous,Sep7,r,0.18018654947577728,0.0033224571980869384
high,25,autonomous,Sep7,vx,0.29038362004410817,0.012981481243401819
high,25,autonomous,Sep7,vy,0.30976352732690526,0.0039401869697390495
high,25,autonomous,Sep7,vz,0.2645793705742942,0.004481445611152918
high,25,local100ms,ALL,p,0.5341048907574225,0.0025253565708976975
high,25,local100ms,ALL,q,0.2621726435607001,0.011193860776873031
high,25,local100ms,ALL,r,0.15381220109966384,0.0010970221480473728
high,25,local100ms,ALL,vx,0.08448164348578509,0.002813142493634608
high,25,local100ms,ALL,vy,0.09579468424583093,0.0013806786518573498
high,25,local100ms,ALL,vz,0.1314597657786813,0.00200983419006659
high,25,local100ms,Sep17,p,0.48501489730538205,0.00803750109820839
high,25,local100ms,Sep17,q,0.2612228135440156,0.013982176541121147
high,25,local100ms,Sep17,r,0.13627186860843996,0.0053833272351229595
high,25,local100ms,Sep17,vx,0.07088778518402107,0.004637725317765597
high,25,local100ms,Sep17,vy,0.08187018716509309,0.006799404228867863
high,25,local100ms,Sep17,vz,0.128860851183673,0.008435827816723845
high,25,local100ms,Sep7,p,0.5777404404925695,0.004628001318412664
high,25,local100ms,Sep7,q,0.263016936908864,0.008775068634554847
high,25,local100ms,Sep7,r,0.1694036077585295,0.0027207461556445984
high,25,local100ms,Sep7,vx,0.09656507308735311,0.003032223646838972
high,25,local100ms,Sep7,vy,0.10817201498426456,0.007732148932600522
high,25,local100ms,Sep7,vz,0.13376991208535535,0.00473597117130394
high,50,autonomous,ALL,p,0.5278967837420524,0.0034710909380356084
high,50,autonomous,ALL,q,0.3397590378023125,0.017688035656193188
high,50,autonomous,ALL,r,0.18244886504279845,0.0005431439127440241
high,50,autonomous,ALL,vx,0.4637294191874474,0.018041201889721765
high,50,autonomous,ALL,vy,0.5470309474258032,0.016445028907464326
high,50,autonomous,ALL,vz,0.35991769016770886,0.009763311702717959
high,50,autonomous,Sep17,p,0.5092830969013933,0.004133796588686672
high,50,autonomous,Sep17,q,0.35914181335422546,0.028448132035097037
high,50,autonomous,Sep17,r,0.2092244918658194,0.0024898675259044387
high,50,autonomous,Sep17,vx,0.5033138976095995,0.03468500716220023
high,50,autonomous,Sep17,vy,0.53729492243512,0.016712070811447627
high,50,autonomous,Sep17,vz,0.4425123846397296,0.012143470477941055
high,50,autonomous,Sep7,p,0.5444422831559718,0.003356107135225298
high,50,autonomous,Sep7,q,0.32252990397838993,0.020721517832834133
high,50,autonomous,Sep7,r,0.15864830786677983,0.0012943611007579941
high,50,autonomous,Sep7,vx,0.4285432161455345,0.015278244946621168
high,50,autonomous,Sep7,vy,0.5556851918619662,0.02073153824340508
high,50,autonomous,Sep7,vz,0.2865001839703571,0.01981047469715853
high,50,local100ms,ALL,p,0.5005347554081442,0.00615383333210897
high,50,local100ms,ALL,q,0.24859768617747025,0.002524612775924119
high,50,local100ms,ALL,r,0.13265136335485453,0.001101196132960823
high,50,local100ms,ALL,vx,0.06670455778995561,0.0005371750816838178
high,50,local100ms,ALL,vy,0.06804941502638732,0.002743441357538533
high,50,local100ms,ALL,vz,0.12300887064082555,0.0030655668632435383
high,50,local100ms,Sep17,p,0.47611061720680087,0.003856734206646568
high,50,local100ms,Sep17,q,0.24371117199013992,0.008639591134602642
high,50,local100ms,Sep17,r,0.134085733958781,0.005186655029709935
high,50,local100ms,Sep17,vx,0.07301587712545728,0.0020251678515913825
high,50,local100ms,Sep17,vy,0.08870997100710816,0.0039118511330162205
high,50,local100ms,Sep17,vz,0.14446020699314943,0.005001636701385869
high,50,local100ms,Sep7,p,0.5222451004760047,0.008940085452583204
high,50,local100ms,Sep7,q,0.2529412543439861,0.005581295952423725
high,50,local100ms,Sep7,r,0.13137636726247545,0.003924963567557355
high,50,local100ms,Sep7,vx,0.06109449615839858,0.0008595392460048768
high,50,local100ms,Sep7,vy,0.04968447637685768,0.0030640131875818827
high,50,local100ms,Sep7,vz,0.10394101610542654,0.0059063397647943165
low,25,autonomous,ALL,p,0.4954862891477476,0.005003990996177768
low,25,autonomous,ALL,q,0.21489723536709726,0.014724009639316719
low,25,autonomous,ALL,r,0.13329514174294502,0.0036103082330480045
low,25,autonomous,ALL,vx,0.1553615986506949,0.003847221364163469
low,25,autonomous,ALL,vy,0.14866991126358975,0.00510387806138123
low,25,autonomous,ALL,vz,0.19501354908988958,0.009979693877842555
low,25,autonomous,Sep17,p,0.4339292683883615,0.00707211130036349
low,25,autonomous,Sep17,q,0.19725028949447762,0.024043222692894568
low,25,autonomous,Sep17,r,0.139381364695879,0.004822423927630109
low,25,autonomous,Sep17,vx,0.1487320990783492,0.006825284648326601
low,25,autonomous,Sep17,vy,0.14580280746035948,0.006095297773796398
low,25,autonomous,Sep17,vz,0.218528702077971,0.02125182221844615
low,25,autonomous,Sep7,p,0.5502036409338688,0.004204321210090958
low,25,autonomous,Sep7,q,0.23058340947609246,0.01144049421943496
low,25,autonomous,Sep7,r,0.1278851657847815,0.0040795614599471895
low,25,autonomous,Sep7,vx,0.16125448715944665,0.0033515406009834224
low,25,autonomous,Sep7,vy,0.15121844797757222,0.005036430890677906
low,25,autonomous,Sep7,vz,0.17411119087826163,0.0026919385794722315
low,25,local100ms,ALL,p,0.4737472101808868,0.004888443324394573
low,25,local100ms,ALL,q,0.19617023474282122,0.005495025793624961
low,25,local100ms,ALL,r,0.12851538063204268,0.0032405060748685005
low,25,local100ms,ALL,vx,0.04843782361156693,0.0007274791303620799
low,25,local100ms,ALL,vy,0.0453533941351531,0.0009871750542581061
low,25,local100ms,ALL,vz,0.09297591064237913,0.004830704149368061
