group,step,condition,cohort,axis,mean,std
ALL,25,autonomous,ALL,p,0.5209094689846674,0.0034138782082701507
ALL,25,autonomous,ALL,q,0.2446992944535096,0.010339493153647445
ALL,25,autonomous,ALL,r,0.15102117617616093,0.0024155674175266985
ALL,25,autonomous,ALL,vx,0.194524552153712,0.006857907503278672
ALL,25,autonomous,ALL,vy,0.1901348674338168,0.0037279284175602122
ALL,25,autonomous,ALL,vz,0.22719224952883463,0.003972084957535092
ALL,25,autonomous,Sep17,p,0.476841696533202,0.005201410480078379
ALL,25,autonomous,Sep17,q,0.24461481031287102,0.01586990519051688
ALL,25,autonomous,Sep17,r,0.1636381266991206,0.002942743103848939
ALL,25,autonomous,Sep17,vx,0.1945814900419989,0.011595694212282692
ALL,25,autonomous,Sep17,vy,0.18351364361346192,0.008133252181236367
ALL,25,autonomous,Sep17,vz,0.2577786249282851,0.007998145727829083
ALL,25,autonomous,Sep7,p,0.5600808222748589,0.003928848811334897
ALL,25,autonomous,Sep7,q,0.24477439146741056,0.010381835825629683
ALL,25,autonomous,Sep7,r,0.13980610904464127,0.0029059235096868465
ALL,25,autonomous,Sep7,vx,0.19447394069745702,0.002659621840831659
ALL,25,autonomous,Sep7,vy,0.19602039971857663,0.00021808012617230405
ALL,25,autonomous,Sep7,vz,0.20000436028487864,0.0008081334526122729
ALL,25,local100ms,ALL,p,0.49621150153344074,0.0032849519077113574
ALL,25,local100ms,ALL,q,0.21398085299495737,0.004993019635467442
ALL,25,local100ms,ALL,r,0.13416812460386607,0.0019007820049857702
ALL,25,local100ms,ALL,vx,0.06240764090415296,0.0007435189302212602
ALL,25,local100ms,ALL,vy,0.06709883181908811,0.00036750887758048165
ALL,25,local100ms,ALL,vz,0.10871994748049163,0.0033054666158266136
ALL,25,local100ms,Sep17,p,0.4439806613419596,0.004575790077810247
ALL,25,local100ms,Sep17,q,0.2088137924737098,0.008071962050700866
ALL,25,local100ms,Sep17,r,0.1296009627630967,0.005894512290315532
ALL,25,local100ms,Sep17,vx,0.05823954605875745,0.0011759428897216717
ALL,25,local100ms,Sep17,vy,0.05892961992442083,0.002165028845171181
ALL,25,local100ms,Sep17,vz,0.11254531640780525,0.004444307813866193
ALL,25,local100ms,Sep7,p,0.5426389150369795,0.0026434705944226723
ALL,25,local100ms,Sep7,q,0.2185737956805108,0.0022563146469953875
ALL,25,local100ms,Sep7,r,0.13822782401788328,0.002399268383964966
ALL,25,local100ms,Sep7,vx,0.06611261410006007,0.0009159101828651981
ALL,25,local100ms,Sep7,vy,0.07436035350323679,0.0020143471392440426
ALL,25,local100ms,Sep7,vz,0.10531961954510172,0.003985205507414628
ALL,50,autonomous,ALL,p,0.5157297036533426,0.002395548949280718
ALL,50,autonomous,ALL,q,0.298948394993374,0.026296797692333597
ALL,50,autonomous,ALL,r,0.16588490961925803,0.00259844975589751
ALL,50,autonomous,ALL,vx,0.3897349736855813,0.004994808177003376
ALL,50,autonomous,ALL,vy,0.4112775254705124,0.0058510483764434755
ALL,50,autonomous,ALL,vz,0.30871734098846065,0.004696463838542464
ALL,50,autonomous,Sep17,p,0.49713627190200566,0.001910405024689875
ALL,50,autonomous,Sep17,q,0.31248811725708514,0.03687131815085873
ALL,50,autonomous,Sep17,r,0.18509564294781133,0.006805128930005054
ALL,50,autonomous,Sep17,vx,0.40709478398632254,0.008918671259149786
