group,interval,axis,cohort,seed,waveform_rmse,true_amplitude,pred_amplitude,mean_change_bias,direction_agreement
ALL,early,p,ALL,17,0.48478102400828754,0.8004581122269115,0.6371506554214703,-0.016591937981646605,0.9601362097868399
ALL,early,p,ALL,23,0.48413119997213605,0.8004581122269115,0.6453510031747115,0.001364334541000623,0.953392108438062
ALL,early,p,ALL,42,0.48865155241609615,0.8004581122269115,0.6440395667580646,-0.01796671874392153,0.9535604364005071
ALL,early,p,Sep17,17,0.4554293499074091,0.7323122674921025,0.5931495049381083,-0.039453262454225486,0.954798333245556
ALL,early,p,Sep17,23,0.449927396162936,0.7323122674921025,0.6015166932601715,-0.026317371966856292,0.9553333467517502
ALL,early,p,Sep17,42,0.4588933026159552,0.7323122674921025,0.59853225030708,-0.03797278656931272,0.9503714266360108
ALL,early,p,Sep7,17,0.5108714009868462,0.8610321964356307,0.6762627891844588,0.0037292393273124025,0.9648809889346478
ALL,early,p,Sep7,23,0.5145345811358695,0.8610321964356307,0.6843148342098581,0.02597029588131788,0.951666563270339
ALL,early,p,Sep7,42,0.5151033300162214,0.8610321964356307,0.6844905147144953,-0.0001835473435738017,0.9563951117467262
ALL,early,q,ALL,17,0.20107191983248646,0.7215625776398622,0.6888111010375327,-0.007399861856065112,0.9945817919126947
ALL,early,q,ALL,23,0.2060121141658311,0.7215625776398622,0.6838149083795606,0.00656338217448623,0.9935523195804659
ALL,early,q,ALL,42,0.20088946939802516,0.7215625776398622,0.6910170613681434,0.010424696031185466,0.9945689436351866
ALL,early,q,Sep17,17,0.2055879577166207,0.7716270274562759,0.7255036096490346,-0.002002887686398236,0.9912106016571911
ALL,early,q,Sep17,23,0.2108520765736003,0.7716270274562759,0.7143284788289215,0.028381236434883977,0.9890229729512048
ALL,early,q,Sep17,42,0.20308131362368742,0.7716270274562759,0.729395511648401,0.02654778354859689,0.9922426211013845
ALL,early,q,Sep7,17,0.19705766393547824,0.6770608444697166,0.6561955378273088,-0.012197172229102334,0.9975784054731422
ALL,early,q,Sep7,23,0.20170992535892512,0.6770608444697166,0.6566917346467954,-0.012830266056978436,0.9975784054731422
ALL,early,q,Sep7,42,0.1989411634196587,0.6770608444697166,0.6569028833412477,-0.003906937317624688,0.996636785887455
ALL,early,r,ALL,17,0.11452279603168984,0.1352960676924316,0.09419485878014515,0.0011874182837226667,0.8029453515700558
ALL,early,r,ALL,23,0.11668680083977342,0.1352960676924316,0.09447369166949574,0.003852262596929621,0.8015409109183487
ALL,early,r,ALL,42,0.1135442201125377,0.1352960676924316,0.09336911878760745,0.0028579666474523925,0.7990436304347734
ALL,early,r,Sep17,17,0.11162649682771889,0.14455356183839652,0.09684929325824362,-0.010532508466262903,0.8392045185140529
ALL,early,r,Sep17,23,0.1171159517727885,0.14455356183839652,0.10143227704820287,-0.0023377412677834867,0.8049181120285706
ALL,early,r,Sep17,42,0.11102681595913216,0.14455356183839652,0.097814953469195,-0.006425962179282178,0.8222798495899879
ALL,early,r,Sep7,17,0.11709728421299737,0.12706718400712946,0.09183536146627984,0.011605130950376507,0.7707149809531695
ALL,early,r,Sep7,23,0.11630533334376003,0.12706718400712946,0.08828828244397828,0.009354488254452382,0.7985389543759291
ALL,early,r,Sep7,42,0.11578191269334262,0.12706718400712946,0.0894172657373074,0.011110347826772012,0.7783892134079162
ALL,early,vx,ALL,17,0.0475385612398859,0.14943853608387003,0.14511046753501972,0.004028738194444132,0.9964817915871471
ALL,early,vx,ALL,23,0.049127596566142726,0.14943853608387003,0.14675076791267927,0.005069578189445937,0.993139685032385
ALL,early,vx,ALL,42,0.04791454359515148,0.14943853608387003,0.14716939701960113,0.003366358747838463,0.9952302271315777
ALL,early,vx,Sep17,17,0.049488395083174264,0.15024708539736042,0.1470826280867853,0.005587720312350203,0.9943894787644788
ALL,early,vx,Sep17,23,0.050803747556208305,0.15024708539736042,0.15042749192782773,0.006983623362635417,0.989125737629727
ALL,early,vx,Sep17,42,0.050689489424378634,0.15024708539736042,0.14985645584312896,0.004521022463786288,0.9917299042963936
ALL,early,vx,Sep7,17,0.04580537560140736,0.14871982558298968,0.14335743593345035,0.0026429763118609576,0.9983416252072969
ALL,early,vx,Sep7,23,0.04763768457497333,0.14871982558298968,0.14348256878810284,0.0033682047021663998,0.9967076382791924
ALL,early,vx,Sep7,42,0.04544792508028289,0.14871982558298968,0.14478090028757637,0.0023399910003292852,0.9983416252072969
ALL,early,vy,ALL,17,0.049162162277448226,0.15136266906589624,0.14299166500584298,0.002183557092501471,0.9954945477824292
ALL,early,vy,ALL,23,0.05121409635452373,0.15136266906589624,0.14514551415268415,0.001832582244298255,0.9942418496634036
ALL,early,vy,ALL,42,0.05098307378759775,0.15136266906589624,0.14445304584714597,0.0014556560672436775,0.995438922695515
ALL,early,vy,Sep17,17,0.044956152265874044,0.1444722500164947,0.14245431110628792,0.0031205899182723405,0.9930300807043286
ALL,early,vy,Sep17,23,0.04706481670658437,0.1444722500164947,0.14597448752814035,0.001613310621320325,0.9956896551724138
ALL,early,vy,Sep17,42,0.04741759175319893,0.1444722500164947,0.1442041027843973,0.002383133569764771,0.9956896551724138
ALL,early,vy,Sep7,17,0.05290083784329194,0.15748748599869763,0.14346931291655862,0.0013506390251495875,0.9976851851851851
ALL,early,vy,Sep7,23,0.05490234493046983,0.15748748599869763,0.14440864893005645,0.0020274903536119703,0.9929549114331723
ALL,early,vy,Sep7,42,0.0541523911515078,0.15748748599869763,0.14467432856958923,0.000631231620558261,0.995216049382716
ALL,early,vz,ALL,17,0.07614030154473805,0.5536782054700328,0.5615523108647642,0.006379928231349973,0.9993535875888817
ALL,early,vz,ALL,23,0.08213386296303175,0.5536782054700328,0.565742106503694,0.006756197503344927,0.998828377504848
ALL,early,vz,ALL,42,0.07868717773904108,0.5536782054700328,0.5655378784944707,0.012527582857776868,0.9993535875888817
ALL,early,vz,Sep17,17,0.08560175699698881,0.5487708286796813,0.5519801804403084,0.004542783609189235,0.9986263736263736
ALL,early,vz,Sep17,23,0.09203113836149233,0.5487708286796813,0.5585142216847189,-0.0033671719700778726,0.9975103021978022
ALL,early,vz,Sep17,42,0.08455388613819226,0.5487708286796813,0.5551328650698424,0.010291659492673315,0.9986263736263736
ALL,early,vz,Sep7,17,0.06773011892051513,0.5580403181725675,0.5700608712420583,0.008012945673270629,1.0
ALL,early,vz,Sep7,23,0.07333628483106677,0.5580403181725675,0.5721668930094496,0.015754748146387415,1.0
ALL,early,vz,Sep7,42,0.07347232582868446,0.5580403181725675,0.5747867793163626,0.014515070293424467,1.0
ALL,extended,p,ALL,17,0.5147037238555805,0.8473624306506786,0.6995827514227625,-0.03224721144695368,0.9892529723788144
ALL,extended,p,ALL,23,0.5094133842284293,0.8473624306506786,0.6983990696684336,-0.022100756918436795,0.988048518342624
ALL,extended,p,ALL,42,0.5162851941058885,0.8473624306506786,0.7127338058934464,-0.042046910346942586,0.9869872294778625
ALL,extended,p,Sep17,17,0.49257895270286967,0.7859702609880198,0.660623060037118,-0.06056735041162582,0.9874507602186173
