experiment,partition,signal,source,frequency_hz,power
S1,validation,velocity_n,pred,0.0,0.04471820568884713
S1,validation,velocity_n,pred,0.390625,0.5978613927544167
S1,validation,velocity_n,pred,0.78125,0.0411555544289913
S1,validation,velocity_n,pred,1.171875,0.0017828812428704105
S1,validation,velocity_n,pred,1.5625,0.0002995359057286798
S1,validation,velocity_n,pred,1.953125,0.00017584512283265236
S1,validation,velocity_n,pred,2.34375,0.0010900593713596494
S1,validation,velocity_n,pred,2.734375,0.008125784536347323
S1,validation,velocity_n,pred,3.125,0.041931731931570064
S1,validation,velocity_n,pred,3.515625,0.11096310246820304
S1,validation,velocity_n,pred,3.90625,0.1250705164752922
S1,validation,velocity_n,pred,4.296875,0.05524083194419851
S1,validation,velocity_n,pred,4.6875,0.007229331899341022
S1,validation,velocity_n,pred,5.078125,0.0002705759547449048
S1,validation,velocity_n,pred,5.46875,3.239701046292145e-05
S1,validation,velocity_n,pred,5.859375,1.691553435739358e-05
S1,validation,velocity_n,pred,6.25,2.47176266813931e-05
S1,validation,velocity_n,pred,6.640625,4.793090514393957e-05
S1,validation,velocity_n,pred,7.03125,6.750869961907919e-05
S1,validation,velocity_n,pred,7.421875,7.545150658862267e-05
S1,validation,velocity_n,pred,7.8125,6.162833398837787e-05
S1,validation,velocity_n,pred,8.203125,3.8610825027018116e-05
S1,validation,velocity_n,pred,8.59375,1.7634260305115795e-05
S1,validation,velocity_n,pred,8.984375,5.057013261034256e-06
S1,validation,velocity_n,pred,9.375,1.892876150541854e-06
S1,validation,velocity_n,pred,9.765625,2.4287788325844987e-06
S1,validation,velocity_n,pred,10.15625,6.1130610961294684e-06
S1,validation,velocity_n,pred,10.546875,1.0614605394145247e-05
S1,validation,velocity_n,pred,10.9375,1.1190075349969343e-05
S1,validation,velocity_n,pred,11.328125,8.890220326142206e-06
S1,validation,velocity_n,pred,11.71875,6.84168055667559e-06
S1,validation,velocity_n,pred,12.109375,5.5155878177078006e-06
S1,validation,velocity_n,pred,12.5,3.840303682427963e-06
S1,validation,velocity_n,pred,12.890625,2.61638728235361e-06
S1,validation,velocity_n,pred,13.28125,1.43834841349006e-06
S1,validation,velocity_n,pred,13.671875,7.665567256409908e-07
S1,validation,velocity_n,pred,14.0625,3.765644171939144e-07
S1,validation,velocity_n,pred,14.453125,4.28609517730591e-07
S1,validation,velocity_n,pred,14.84375,5.162115292267044e-07
S1,validation,velocity_n,pred,15.234375,4.38637954162814e-07
S1,validation,velocity_n,pred,15.625,4.027622951374579e-07
S1,validation,velocity_n,pred,16.015625,5.199504188615129e-07
S1,validation,velocity_n,pred,16.40625,6.441936504633498e-07
S1,validation,velocity_n,pred,16.796875,5.932394745676427e-07
S1,validation,velocity_n,pred,17.1875,5.904645626708791e-07
S1,validation,velocity_n,pred,17.578125,8.588108423910476e-07
S1,validation,velocity_n,pred,17.96875,1.4547920896974023e-06
S1,validation,velocity_n,pred,18.359375,1.8718461104044193e-06
S1,validation,velocity_n,pred,18.75,1.6279176805127868e-06
S1,validation,velocity_n,pred,19.140625,9.071036673082437e-07
S1,validation,velocity_n,pred,19.53125,4.578147018126649e-07
S1,validation,velocity_n,pred,19.921875,2.1262222707500618e-07
S1,validation,velocity_n,pred,20.3125,1.2473472946601244e-07
S1,validation,velocity_n,pred,20.703125,2.079595417832512e-07
S1,validation,velocity_n,pred,21.09375,2.3793821725580555e-07
S1,validation,velocity_n,pred,21.484375,1.420980131075942e-07
S1,validation,velocity_n,pred,21.875,9.435236241466703e-08
S1,validation,velocity_n,pred,22.265625,1.402805185764041e-07
S1,validation,velocity_n,pred,22.65625,1.4549303385729542e-07
