experiment,horizon_s,rotation_component_rms,body_derivative_component_rms,vector_sum_rms
S1,0.2,0.3111335337162018,4.377188107209946,4.3960517805588974
S1,0.5,0.5404610633850098,4.697497160667168,4.705462069110278
S1,1.0,0.8610469102859497,5.508395631239004,5.542108503412282
S1,2.0,1.3270552158355713,7.054809606614274,7.117054158177723
S1,3.0,1.5917930603027344,8.119102171711297,8.178710442886358
S1,5.0,1.840574026107788,9.867265097855743,9.904846457729336
