partition,harmonics,variant,steps,axis,rmse
train_correction_oof,0,baseline,5,p,0.37422782402333393
train_correction_oof,0,baseline,5,q,0.19784843853365475
train_correction_oof,0,baseline,5,r,0.11920864509248645
train_correction_oof,0,baseline,10,p,0.39589601194048607
train_correction_oof,0,baseline,10,q,0.2082355506262799
train_correction_oof,0,baseline,10,r,0.13354433088384415
train_correction_oof,0,baseline,25,p,0.4066591536317035
train_correction_oof,0,baseline,25,q,0.2248667984263932
train_correction_oof,0,baseline,25,r,0.15307577633897054
train_correction_oof,0,baseline,50,p,0.424544405772872
train_correction_oof,0,baseline,50,q,0.2588881775210595
train_correction_oof,0,baseline,50,r,0.16704051643890508
train_correction_oof,1,harmonic_diagnostic,5,p,0.37250157725456057
train_correction_oof,1,harmonic_diagnostic,5,q,0.19780674666625986
train_correction_oof,1,harmonic_diagnostic,5,r,0.11317568949000238
train_correction_oof,1,harmonic_diagnostic,10,p,0.39534095084910087
train_correction_oof,1,harmonic_diagnostic,10,q,0.20762974982389107
train_correction_oof,1,harmonic_diagnostic,10,r,0.13113314256266972
train_correction_oof,1,harmonic_diagnostic,25,p,0.40565515382405337
train_correction_oof,1,harmonic_diagnostic,25,q,0.22444684856895528
train_correction_oof,1,harmonic_diagnostic,25,r,0.15278976633096752
train_correction_oof,1,harmonic_diagnostic,50,p,0.4225481402902613
train_correction_oof,1,harmonic_diagnostic,50,q,0.2584337009825113
train_correction_oof,1,harmonic_diagnostic,50,r,0.1661504353466322
train_correction_oof,2,harmonic_diagnostic,5,p,0.3718075826937776
train_correction_oof,2,harmonic_diagnostic,5,q,0.19729083804807013
train_correction_oof,2,harmonic_diagnostic,5,r,0.11162455066926487
train_correction_oof,2,harmonic_diagnostic,10,p,0.39326381877106026
train_correction_oof,2,harmonic_diagnostic,10,q,0.20668192883961375
train_correction_oof,2,harmonic_diagnostic,10,r,0.12938341082172128
train_correction_oof,2,harmonic_diagnostic,25,p,0.4047628023487016
train_correction_oof,2,harmonic_diagnostic,25,q,0.22407815945080795
train_correction_oof,2,harmonic_diagnostic,25,r,0.1526676866447233
train_correction_oof,2,harmonic_diagnostic,50,p,0.4212532965373566
train_correction_oof,2,harmonic_diagnostic,50,q,0.2584649178571625
train_correction_oof,2,harmonic_diagnostic,50,r,0.16576576151087719
validation,0,baseline,5,p,0.4730498760720786
validation,0,baseline,5,q,0.2187729159295463
validation,0,baseline,5,r,0.13385686523117066
validation,0,baseline,10,p,0.4956915506398567
validation,0,baseline,10,q,0.21569377805602666
validation,0,baseline,10,r,0.1425815095385024
validation,0,baseline,25,p,0.5179728578456952
validation,0,baseline,25,q,0.23750563545704761
validation,0,baseline,25,r,0.14873287210276795
validation,0,baseline,50,p,0.5114070778205175
validation,0,baseline,50,q,0.28598595066889965
validation,0,baseline,50,r,0.16301338676729354
validation,1,harmonic_diagnostic,5,p,0.4724606033517837
validation,1,harmonic_diagnostic,5,q,0.22013498100009488
validation,1,harmonic_diagnostic,5,r,0.12633877221164874
validation,1,harmonic_diagnostic,10,p,0.49670861145802936
validation,1,harmonic_diagnostic,10,q,0.21568511301631013
validation,1,harmonic_diagnostic,10,r,0.13918591510484196
validation,1,harmonic_diagnostic,25,p,0.5194260573424581
validation,1,harmonic_diagnostic,25,q,0.23728431951143336
validation,1,harmonic_diagnostic,25,r,0.1480154313828804
validation,1,harmonic_diagnostic,50,p,0.5124182421625294
validation,1,harmonic_diagnostic,50,q,0.2859212523816437
validation,1,harmonic_diagnostic,50,r,0.1616750591948912
validation,2,harmonic_diagnostic,5,p,0.47026938314496886
validation,2,harmonic_diagnostic,5,q,0.21723165119132815
validation,2,harmonic_diagnostic,5,r,0.1243486125229102
validation,2,harmonic_diagnostic,10,p,0.49107417639143547
validation,2,harmonic_diagnostic,10,q,0.2131887481732193
validation,2,harmonic_diagnostic,10,r,0.1372506831542153
validation,2,harmonic_diagnostic,25,p,0.518086351396499
validation,2,harmonic_diagnostic,25,q,0.23548274223791021
validation,2,harmonic_diagnostic,25,r,0.14764578474215367
validation,2,harmonic_diagnostic,50,p,0.5100130337837594
validation,2,harmonic_diagnostic,50,q,0.2861982559088007
validation,2,harmonic_diagnostic,50,r,0.1606535252352861
