harmonics,fold,axis,gain
1,0,p,0.07642390688574048
1,0,q,0.02156450495458218
1,0,r,0.24736404475808546
1,1,p,0.07602569186821663
1,1,q,0.022619937987600116
1,1,r,0.2462280228667525
1,2,p,0.07771629835308971
1,2,q,0.020083871677542536
1,2,r,0.2486137038926977
1,3,p,0.045941761862561874
1,3,q,0.020657459732352765
1,3,r,0.25268863191452645
1,4,p,0.07790719275043254
1,4,q,0.01456080885160963
1,4,r,0.24910045747853965
1,full_train,p,0.07137693779006758
1,full_train,q,0.019977535926228588
1,full_train,r,0.2487830844888614
2,0,p,0.0891702723894673
2,0,q,0.02824564827946583
2,0,r,0.2688082967719689
2,1,p,0.09035652988944304
2,1,q,0.027742276110722948
2,1,r,0.266286202270362
2,2,p,0.0925131903060577
2,2,q,0.027818255204191667
2,2,r,0.2704959523034476
2,3,p,0.06415328989415155
2,3,q,0.028411537272818956
2,3,r,0.27566145606306974
2,4,p,0.09219725319421374
2,4,q,0.02463686267265047
2,4,r,0.27166314072393555
2,full_train,p,0.08611084255500662
2,full_train,q,0.027392074634345627
2,full_train,r,0.2705562818031184
