parameter_hash,profile_name,A_tip_deg,kappa,psi_theta_deg,static_twist_offset_deg,stage,family,airflow_mode,train_fx_rmse,train_fx_mae,train_fx_pearson_r,train_fx_primary_peak_phase_error_deg,train_fx_model_primary_peak_phase_deg,train_fx_data_primary_peak_phase_deg,train_fx_model_full_peak_phase_deg,train_fx_data_full_peak_phase_deg,train_fx_model_primary_peak_magnitude,train_fx_data_primary_peak_magnitude,train_fx_model_first_harmonic_phase_rad,train_fx_first_harmonic_phase_error_rad,train_fx_circular_xcorr_lag_deg,train_fx_model_peak_half_height_width_rad,train_fx_model_minimum_phase_deg,train_fx_data_minimum_phase_deg,train_fx_model_minimum_magnitude,train_fx_data_minimum_magnitude,train_fx_minimum_amplitude_error_abs,train_fz_rmse,train_fz_mae,train_fz_pearson_r,train_fz_primary_peak_phase_error_deg,train_fz_model_primary_peak_phase_deg,train_fz_data_primary_peak_phase_deg,train_fz_model_full_peak_phase_deg,train_fz_data_full_peak_phase_deg,train_fz_model_primary_peak_magnitude,train_fz_data_primary_peak_magnitude,train_fz_model_first_harmonic_phase_rad,train_fz_first_harmonic_phase_error_rad,train_fz_circular_xcorr_lag_deg,train_fz_model_peak_half_height_width_rad,train_fz_model_minimum_phase_deg,train_fz_data_minimum_phase_deg,train_fz_model_minimum_magnitude,train_fz_data_minimum_magnitude,train_fz_minimum_amplitude_error_abs,validation_fx_rmse,validation_fx_mae,validation_fx_pearson_r,validation_fx_primary_peak_phase_error_deg,validation_fx_model_primary_peak_phase_deg,validation_fx_data_primary_peak_phase_deg,validation_fx_model_full_peak_phase_deg,validation_fx_data_full_peak_phase_deg,validation_fx_model_primary_peak_magnitude,validation_fx_data_primary_peak_magnitude,validation_fx_model_first_harmonic_phase_rad,validation_fx_first_harmonic_phase_error_rad,validation_fx_circular_xcorr_lag_deg,validation_fx_model_peak_half_height_width_rad,validation_fx_model_minimum_phase_deg,validation_fx_data_minimum_phase_deg,validation_fx_model_minimum_magnitude,validation_fx_data_minimum_magnitude,validation_fx_minimum_amplitude_error_abs,validation_fz_rmse,validation_fz_mae,validation_fz_pearson_r,validation_fz_primary_peak_phase_error_deg,validation_fz_model_primary_peak_phase_deg,validation_fz_data_primary_peak_phase_deg,validation_fz_model_full_peak_phase_deg,validation_fz_data_full_peak_phase_deg,validation_fz_model_primary_peak_magnitude,validation_fz_data_primary_peak_magnitude,validation_fz_model_first_harmonic_phase_rad,validation_fz_first_harmonic_phase_error_rad,validation_fz_circular_xcorr_lag_deg,validation_fz_model_peak_half_height_width_rad,validation_fz_model_minimum_phase_deg,validation_fz_data_minimum_phase_deg,validation_fz_model_minimum_magnitude,validation_fz_data_minimum_magnitude,validation_fz_minimum_amplitude_error_abs,physical_constraints_passed
cad5d99d0e899e52,quadratic2_phase,40.0,-0.5,-15.0,0.0,coarse,A_tip_x_kappa_x_psi,attitude_ground_wind_3d,3.222154063741664,2.220005451212338,0.8271950001280909,4.999999999999969,217.49999999999997,212.5,217.49999999999997,212.5,4.074977038510744,12.412482732977477,3.907525997788164,0.3015821195915023,355.0,2.617993877991494,,,,,,8.325315037456141,7.248897875843225,0.7136112613938317,,,,,,,,0.5370691503650485,0.7465041713219036,320.0,,197.5,177.5,-28.117538082445,-21.602382557070023,6.515155525374979,3.1967748669748657,2.209082745511443,0.8320002686044253,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,4.11117450313598,12.314776137544175,3.8814276880709406,0.24026066794404954,0.0,2.530727415391778,,,,,,7.921028434807051,6.9062288106834,0.7395696294643662,,,,,,,,0.5191939153059689,0.7070975546926475,320.0,,197.5,182.5,-27.979007924343943,-22.03397299518589,5.9450349291580515,True
8d9fce17bb7a3926,quadratic2_phase,35.0,-1.0,-15.0,0.0,coarse,A_tip_x_kappa_x_psi,attitude_ground_wind_3d,3.218026019298836,2.2277742417113564,0.8226847568833556,4.999999999999969,217.49999999999997,212.5,217.49999999999997,212.5,4.099549161055738,12.412482732977477,3.926070617872804,0.3201267396761427,355.0,2.617993877991494,,,,,,8.506589319420964,7.428849431222577,0.7011879560967245,,,,,,,,0.5571441538511105,0.7665791748079656,320.0,,197.5,177.5,-28.30990221864426,-21.602382557070023,6.7075196615742385,3.1923619776513052,2.217043332020847,0.827272366579862,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,4.147111760403463,12.314776137544175,3.899059319419603,0.25789229929271196,0.0,2.617993877991494,,,,,,8.100067048804673,7.081870924876681,0.7277820453909624,,,,,,,,0.5391263009228646,0.727029940309543,320.0,,197.5,182.5,-28.173375877557657,-22.03397299518589,6.1394028823717655,True
d926f68d21a773f3,quadratic2_phase,40.0,0.0,-25.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.5172067780324627,1.8073775053419046,0.8916715043705397,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,5.884851036465866,12.412482732977477,3.736618793660559,0.13067491546389753,0.0,2.2689280275926285,,,,,,7.922681256221413,7.0359118610515665,0.8455766855001177,,,,,,,,0.3190945066509751,0.5285295276078301,330.0,,187.5,177.5,-31.852178821184662,-21.602382557070023,10.24979626411464,2.522936251895903,1.8366817516958673,0.8857462289395149,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,5.877568538145636,12.314776137544175,3.722012922949888,0.08084590282299686,5.0,2.2689280275926285,,,,,,7.513195120567526,6.691858179226333,0.8618233298309423,,,,,,,,0.3063103377645064,0.4942139771511851,335.0,,187.5,182.5,-31.629350004432496,-22.03397299518589,9.595377009246604,True
b13f856296e97f22,quadratic2_phase,40.0,-0.125,-25.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.5884270624320544,1.8558637004828153,0.8863615587937521,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,5.7035122319996585,12.412482732977477,3.7956951666991796,0.1897512885025181,0.0,2.2689280275926285,,,,,,8.163346913834587,7.249731148813885,0.8231864118708806,,,,,,,,0.36284206394586066,0.5722770849027157,330.0,,187.5,177.5,-31.754194794471744,-21.602382557070023,10.151812237401721,2.581946237918316,1.8751689462955272,0.884196211736548,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,5.726274218527616,12.314776137544175,3.7793654147759304,0.13819839464903927,0.0,2.2689280275926285,,,,,,7.749886229220679,6.907558518083972,0.8411239732571993,,,,,,,,0.34936708032906727,0.537270719715746,330.0,,187.5,182.5,-31.547498298149826,-22.03397299518589,9.513525302963934,True
6b61a9f40fe486af,quadratic2_phase,40.0,0.0,-30.0,0.0,coarse,A_tip_x_kappa_x_psi,attitude_ground_wind_3d,2.3338959728531083,1.7160628611622564,0.9005300896907672,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,6.444191415747433,12.412482732977477,3.768334332990615,0.16239045479395342,0.0,2.181661564992912,,,,,,8.298295251249304,7.329279956549306,0.8523400961076707,,,,,,,,0.3088703935698217,0.5183054145266768,335.0,,187.5,177.5,-33.20425929423506,-21.602382557070023,11.601876737165036,2.3376237391713213,1.740537267997889,0.8968034184620574,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,6.438555806801034,12.314776137544175,3.7541344919968993,0.11296747187000822,5.0,2.181661564992912,,,,,,7.886350069611618,6.976553253897098,0.8679472722890931,,,,,,,,0.2966117225861509,0.4845153619728295,335.0,,182.5,182.5,-32.98228340678638,-22.03397299518589,10.948310411600488,True
c37987c0329073c4,quadratic2_phase,40.0,-0.125,-30.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.400062949394311,1.7603315605848542,0.8941433197580821,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,6.284619698162143,12.412482732977477,3.824269245644129,0.21832536744746767,355.0,2.181661564992912,,,,,,8.54202325152222,7.559284256989552,0.8324709039048984,,,,,,,,0.3486128845591218,0.558047905515977,330.0,,187.5,177.5,-33.19406423089282,-21.602382557070023,11.591681673822798,2.3903496667602604,1.7749679455464753,0.8940684616921591,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,6.309908944331591,12.314776137544175,3.808681477427959,0.16751445730106784,0.0,2.2689280275926285,,,,,,8.125712177752217,7.208302465843464,0.8495744877483342,,,,,,,,0.33577944645648045,0.5236830858431594,335.0,,187.5,182.5,-32.95595444904796,-22.03397299518589,10.921981453862067,True
261903a6f335adab,quadratic2_phase,35.0,-0.5,-30.0,0.0,coarse,A_tip_x_kappa_x_psi,attitude_ground_wind_3d,2.368170232840339,1.7472551901897404,0.8948183246370015,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,6.394909967253304,12.412482732977477,3.809477205447168,0.20353332725050644,0.0,2.2689280275926285,,,,,,8.620394042026884,7.624135106042124,0.8351902372437642,,,,,,,,0.3440977168176181,0.5535327377744732,330.0,,187.5,177.5,-33.43252216579161,-21.602382557070023,11.830139608721588,2.3653218114929286,1.769269902221578,0.892707919837016,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,6.396415889000331,12.314776137544175,3.794168129322448,0.15300110919555676,0.0,2.2689280275926285,,,,,,8.204957350055711,7.272082525244871,0.8520079583884288,,,,,,,,0.33143277593474485,0.5193364153214235,335.0,,187.5,182.5,-33.18991217197333,-22.03397299518589,11.155939176787442,True
14c3d56cd4921a32,quadratic2_phase,37.5,-0.125,-35.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.128844451793106,1.6028707936298063,0.9086390742880515,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,7.123103788097778,12.412482732977477,3.7643432413331834,0.15839936313652192,0.0,2.181661564992912,,,,,,8.657398276493126,7.573457045996815,0.8673328401099932,,,,,,,,0.280413085340213,0.4898481062970683,335.0,,187.5,177.5,-34.59571543974176,-21.602382557070023,12.993332882671737,2.1407303908008637,1.6398057685205805,0.9042786267336587,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,7.088953141191531,12.314776137544175,3.7512144923099933,0.11004747218310218,5.0,2.181661564992912,,,,,,8.247280701187945,7.216186499673057,0.8816211064168976,,,,,,,,0.26889040030547684,0.4567940396921557,335.0,,182.5,182.5,-34.44010753842515,-22.03397299518589,12.406134543239261,True
f0212cb6836e4a11,quadratic2_phase,40.0,0.0,-35.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.156477508399876,1.6165433264652407,0.9076071657824506,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,7.034349516193115,12.412482732977477,3.786336749659578,0.18039287146291638,0.0,2.0943951023931953,,,,,,8.68546224207764,7.613622906423796,0.8610829315540368,,,,,,,,0.2936191200161373,0.5030541409729925,335.0,,187.5,177.5,-34.51527808473304,-21.602382557070023,12.912895527663018,2.1596789164225014,1.645771699925229,0.90514644358732,4.999999999999969,212.5,217.49999999999997,212.5,217.49999999999997,7.021508927478118,12.314776137544175,3.772762775937433,0.13159575581054206,0.0,2.0943951023931953,,,,,,8.273191801027355,7.256383806903013,0.875907766825235,,,,,,,,0.28187271865208186,0.4697763580387604,335.0,,182.5,182.5,-34.32352731979035,-22.03397299518589,12.28955432460446,True
ef07e01f772221f9,quadratic2_phase,40.0,0.125,-35.0,0.0,refine,pareto_local_neighborhood,attitude_ground_wind_3d,2.1061510874837985,1.5851695265370789,0.9110757146758223,4.999999999999995,207.50000000000003,212.5,207.50000000000003,212.5,7.16969320540762,12.412482732977477,3.736404351681443,0.1304604734847814,0.0,2.181661564992912,,,,,,8.452362958943013,7.372011861167923,0.8775083764246666,,,,,,,,0.2574103699504417,0.46684539090729693,335.0,,187.5,177.5,-34.43308429171464,-21.602382557070023,12.83070173464462,2.1245878461708645,1.6247156168379613,0.9054070611689834,14.999999999999982,202.5,217.49999999999997,202.5,217.49999999999997,7.135701519278294,12.314776137544175,3.7239312786370222,0.08276425851013114,5.0,2.0943951023931953,,,,,,8.045112434989921,7.016386164760162,0.8910101393165176,,,,,,,,0.24615641782495865,0.4340600572116373,340.0,,182.5,182.5,-34.306770390345875,-22.03397299518589,12.272797395159984,True
