log_id,RC_MAP_ROLL,RC_MAP_PITCH,RC_MAP_YAW,RC_MAP_THROTTLE,FW_PR_P,FW_PR_I,FW_PR_D,FW_PR_FF,FLAP_SLOW_EN
2026.9.6/log_17_2026-9-6-18-34-06.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
2026.9.6/log_18_2026-9-6-18-46-20.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
2026.9.6/log_19_2026-9-6-18-52-30.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
2026.9.6/log_20_2026-9-6-18-58-10.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
2026.9.6/log_24_2026-9-6-06-28-38.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
2026.9.6/log_28_2026-9-6-07-01-38.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.11数据/log_13_2026-9-11-18-28-08.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.11数据/log_14_2026-9-11-18-34-58.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.11数据/log_15_2026-9-11-18-40-48.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_10_2026-9-12-06-13-40.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_11_2026-9-12-06-21-12.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_12_2026-9-12-06-29-44.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_2_2026-9-12-18-32-54.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_3_2026-9-12-18-40-02.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_7_2026-9-12-05-49-02.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_8_2026-9-12-05-55-30.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.12数据/log_9_2026-9-12-06-03-32.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_1_2026-9-13-06-11-06.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_2_2026-9-13-06-20-06.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_3_2026-9-13-06-31-26.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_4_2026-9-13-06-36-26.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_5_2026-9-13-06-42-40.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,
9.13数据/log_7_2026-9-13-18-12-52.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.14数据/log_11_2026-9-14-18-13-22.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,0.0
9.14数据/log_12_2026-9-14-18-20-30.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.14数据/log_13_2026-9-14-18-28-32.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.14数据/log_14_2026-9-14-18-34-22.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_10_2026-9-15-17-44-04.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_11_2026-9-15-17-51-56.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_12_2026-9-15-18-03-58.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_13_2026-9-15-18-10-58.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_14_2026-9-15-18-17-26.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.15数据/log_15_2026-9-15-18-23-44.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,0.0
9.16数据/log_1_2026-9-16-18-02-34.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,0.0
9.16数据/log_2_2026-9-16-18-08-46.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.16数据/log_3_2026-9-16-18-13-58.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.16数据/log_4_2026-9-16-18-20-50.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,1.0
9.16数据/log_5_2026-9-16-18-26-48.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,0.0
9.18数据/log_0_2026-9-18-18-15-06.ulg,1.0,2.0,4.0,3.0,0.05999999865889549,0.10000000149011612,0.0,0.5,0.0
