log_id,topic,rows,median_dt_s,dt_p95_s,nonpositive_dt,sample_timestamp,fields,roll_finite_fraction,roll_std,pitch_finite_fraction,pitch_std,yaw_finite_fraction,yaw_std,throttle_finite_fraction,throttle_std,valid_fraction
2026.9.6/log_17_2026-9-6-18-34-06.ulg,manual_control_setpoint,1169,0.200378,0.24372349999999998,0,True,"timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving",1.0,0.2990141212940216,1.0,0.22091692686080933,1.0,0.014505287632346153,1.0,0.5210689306259155,1.0
2026.9.6/log_17_2026-9-6-18-34-06.ulg,input_rc,467,0.5003085,0.50304125,0,False,"timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr",,,,,,,,,
2026.9.6/log_17_2026-9-6-18-34-06.ulg,vehicle_attitude_setpoint,9767,0.01996,0.025228,0,False,"timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]",,,,,,,,,
2026.9.6/log_17_2026-9-6-18-34-06.ulg,vehicle_rates_setpoint,9767,0.019961,0.025217999999999997,0,False,"timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral",1.0,0.4237947165966034,1.0,0.2794879972934723,1.0,0.1589110642671585,,,
2026.9.6/log_18_2026-9-6-18-46-20.ulg,manual_control_setpoint,890,0.200347,0.21713639999999992,0,True,"timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving",1.0,0.27136027812957764,1.0,0.23086608946323395,1.0,0.000851526390761137,1.0,0.4981265068054199,1.0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,input_rc,355,0.5003485000000001,0.5030557999999999,0,False,"timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr",,,,,,,,,
2026.9.6/log_18_2026-9-6-18-46-20.ulg,vehicle_attitude_setpoint,7855,0.019715,0.02496435,0,False,"timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]",,,,,,,,,
2026.9.6/log_18_2026-9-6-18-46-20.ulg,vehicle_rates_setpoint,7855,0.019719,0.02493935,0,False,"timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral",1.0,0.5287985801696777,1.0,0.2738061845302582,1.0,0.14981494843959808,,,
2026.9.6/log_19_2026-9-6-18-52-30.ulg,manual_control_setpoint,985,0.20059899999999997,0.22649299999999997,0,True,"timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving",1.0,0.25430166721343994,1.0,0.18996521830558777,1.0,0.0006445584003813565,1.0,0.5198492407798767,1.0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,input_rc,393,0.5002815,0.50295115,0,False,"timestamp,timestamp_last_signal,rssi,rssi_dbm,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,rc_frame_rate,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source,link_quality,link_snr",,,,,,,,,
2026.9.6/log_19_2026-9-6-18-52-30.ulg,vehicle_attitude_setpoint,8478,0.01996,0.025257199999999997,0,False,"timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]",,,,,,,,,
2026.9.6/log_19_2026-9-6-18-52-30.ulg,vehicle_rates_setpoint,8478,0.019962,0.025242,0,False,"timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral",1.0,0.39704909920692444,1.0,0.24972549080848694,1.0,0.15879304707050323,,,
2026.9.6/log_20_2026-9-6-18-58-10.ulg,manual_control_setpoint,838,0.200487,0.2176988,0,True,"timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving",1.0,0.30625200271606445,1.0,0.2482176274061203,1.0,0.0006257286877371371,1.0,0.5845392346382141,1.0
