experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius,rigid_largest_singular,rigid_spectral_radius
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:0,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009857999999999999,0.001,0.002,0.00021287371,0.00010798138934942081,4.32884803300837e-05,1.078966749489971,1.001214193195261,1.0789650444964993,1.0012141931952587,1.0241913382792327,1.0006664325575154
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:890,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715999999999997,0.001,0.002,0.0019073486,4.774400813523094e-05,0.00019614380034282952,1.1636413168306023,1.0028092158879924,1.1636392361174763,1.0028092158879927,1.0405237505940161,0.9956512301379576
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:90,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029573,0.001,0.002,0.0019073485,9.767126226467582e-06,6.477732937160141e-06,1.253453359962783,1.0131656689621882,1.253410488492088,1.0131656689621877,1.0713030495953046,1.01041001921525
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:990,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029571999999999998,0.001,0.002,0.007629335,7.482708246842051e-05,0.0018964792610667303,1.2506771234666778,1.0070799589157104,1.25067055569362,1.0051768612374163,1.0735844192362245,1.009780930339428
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:1880,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715,0.001,0.002,0.0019073486,0.00016494071044848013,0.00015372648138312073,1.165679457046234,1.0057096246511328,1.1656697660278843,1.0057096246511334,1.0413295039862132,1.0064779923655485
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:2770,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,5.518824904537922e-05,0.0002229047894011238,1.1678645685592837,1.0025326018809346,1.1678625331945693,1.0025326018809346,1.041655473206769,1.004986165384464
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:3670,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,1.079455580366151e-05,4.957791505688647e-05,1.1627838054964137,1.0018858920429594,1.1627817161142573,1.0018858920429599,1.0381881881795143,1.0026965828094712
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:230,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,8.21514470474849e-05,0.00012167942625906925,1.1616233241847629,1.0042490152364176,1.1616220440068814,1.004249015236416,1.0405989508295854,1.003864585875522
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:1120,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009856,0.001,0.002,0.0076293936,5.275502940538246e-05,0.00380180982661793,1.0791214842573922,1.0070799589157104,1.0791210375135316,1.00327152384618,1.0212968354936212,1.002783523072151
Step5_S1,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:2020,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.02957,0.001,0.002,0.0009536147,7.460853608920459e-06,6.195489436477963e-05,1.249291207595147,1.0018379699972126,1.2492877443623613,1.001837969997212,1.0621601123568805,0.9964791641696129
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:0,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.00017029978,5.98540877092546e-05,0.0,1.16895268498943,1.0000466108322144,1.1689490204773612,0.9996931290901759,1.042618847423958,0.9989343733321916
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:910,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,4.450404216438386e-05,0.0009536147117614746,1.1652798333861356,0.9994506239891052,1.1652785737301057,0.9992608151593549,1.0381261971752167,0.9986213143051874
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:220,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,4.056003254482299e-05,7.205500849782887e-05,1.1647217772118323,1.006850158371859,1.1647194918023975,1.0068501583718623,1.042270109869973,1.006122971455108
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:1130,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0076293945,2.906515205602922e-05,0.0030447324280453714,1.163964189848839,1.0070799589157104,1.1639606917375547,1.0040955673401908,1.0443027338835151,1.0029949842612145
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2040,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0038146973,2.7251401311545465e-05,0.00011532978367267965,1.1650479884905132,1.00557752954569,1.1650307121958758,1.0055775295456886,1.040557911888322,1.0026860793426013
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:2950,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,0.00011006744125019452,0.0006510058818606224,1.1645267523053824,0.9997532328190061,1.1645187332811138,0.9997532328190065,1.041302373045702,1.0001264776551522
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:3:3860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.029939,0.001,0.002,0.007629335,0.00029742167107671413,0.003614052661955469,1.2541901494853351,1.0070799589157104,1.2541857710727977,1.0035626842420522,1.065367268549284,1.0015877223280885
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:30,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.00095367426,0.00013278887179546395,1.1589280419777026e-05,1.1645653506256928,1.0013911057465756,1.1645635216396926,1.0013911057465767,1.0387009219372803,1.0029122073262393
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:940,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,0.0001203754078300534,0.00667572021484375,1.166514482736004,1.0070799589157104,1.166509477906899,0.9995431981347106,1.0457841874119385,0.9993216281216797
Step5_S1,train,train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:5:1860,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0.0,0.019961,0.001,0.002,0.0009536147,4.978690579582334e-06,5.5083904308972365e-06,1.1674121067759942,1.0046022085279458,1.167410267706422,1.0046022085279467,1.0427919564021035,0.9978836506712535
Step5_S1,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:0,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.00047677755,0.0001374515034939794,2.211719493350195e-05,1.1651782711655696,1.0010816381640641,1.1651753528092013,1.0010816381640641,1.0373380716171,1.0011959979509126
Step5_S1,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:900,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,2.6566683953177517e-05,0.00016746377212140118,1.1654365568595824,1.0026484674104632,1.1654324683715542,1.0026484674104619,1.0450514289920707,0.9974318800286043
Step5_S1,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:320,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,6.565851689144253e-05,5.019376998216529e-05,1.166369712935842,1.0050283022656399,1.1663673186973806,1.005028302265642,1.0424683205884409,1.001621525811728
