flight,n_origins,cohort
2026.9.7/log_21_2026-9-7-05-54-56.ulg,168,Sep7
2026.9.7/log_22_2026-9-7-06-01-40.ulg,182,Sep7
2026.9.7/log_23_2026-9-7-06-09-22.ulg,160,Sep7
2026.9.7/log_24_2026-9-7-06-16-04.ulg,161,Sep7
2026.9.7/log_26_2026-9-7-06-30-26.ulg,150,Sep7
2026.9.7/log_27_2026-9-7-06-37-24.ulg,155,Sep7
2026.9.7/log_28_2026-9-7-06-44-02.ulg,140,Sep7
2026.9.7/log_29_2026-9-7-06-51-04.ulg,201,Sep7
2026.9.7/log_30_2026-9-7-06-58-22.ulg,164,Sep7
9.17数据/log_10_2026-9-17-06-34-34.ulg,130,Sep17
9.17数据/log_11_2026-9-17-06-40-30.ulg,145,Sep17
9.17数据/log_12_2026-9-17-06-46-02.ulg,144,Sep17
9.17数据/log_13_2026-9-17-06-52-30.ulg,153,Sep17
9.17数据/log_6_2026-9-17-06-02-24.ulg,138,Sep17
9.17数据/log_7_2026-9-17-06-12-16.ulg,131,Sep17
9.17数据/log_8_2026-9-17-06-17-52.ulg,146,Sep17
9.17数据/log_9_2026-9-17-06-28-10.ulg,114,Sep17
