metric,horizon,group,cohort,condition,unit,n,lower,higher,equal
attitude_deg,0_500ms,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,high,Sep7,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,low,ALL,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,low,Sep17,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,low,Sep7,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,0_500ms,middle,Sep7,synchronized,seed,3,0,3,0
attitude_deg,100ms,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,100ms,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,100ms,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,100ms,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,100ms,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,100ms,high,Sep7,synchronized,seed,3,0,3,0
attitude_deg,100ms,low,ALL,synchronized,seed,3,3,0,0
attitude_deg,100ms,low,Sep17,synchronized,seed,3,3,0,0
attitude_deg,100ms,low,Sep7,synchronized,seed,3,2,1,0
attitude_deg,100ms,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,100ms,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,100ms,middle,Sep7,synchronized,seed,3,0,3,0
attitude_deg,1s,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,1s,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,1s,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,1s,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,1s,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,1s,high,Sep7,synchronized,seed,3,2,1,0
attitude_deg,1s,low,ALL,synchronized,seed,3,1,2,0
attitude_deg,1s,low,Sep17,synchronized,seed,3,1,2,0
attitude_deg,1s,low,Sep7,synchronized,seed,3,0,3,0
attitude_deg,1s,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,1s,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,1s,middle,Sep7,synchronized,seed,3,0,3,0
attitude_deg,200ms,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,200ms,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,200ms,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,200ms,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,200ms,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,200ms,high,Sep7,synchronized,seed,3,0,3,0
attitude_deg,200ms,low,ALL,synchronized,seed,3,0,3,0
attitude_deg,200ms,low,Sep17,synchronized,seed,3,1,2,0
attitude_deg,200ms,low,Sep7,synchronized,seed,3,0,3,0
attitude_deg,200ms,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,200ms,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,200ms,middle,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,high,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,low,ALL,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,low,Sep17,synchronized,seed,3,1,2,0
attitude_deg,500_1000ms,low,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500_1000ms,middle,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500ms,ALL,ALL,synchronized,seed,3,0,3,0
attitude_deg,500ms,ALL,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500ms,ALL,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500ms,high,ALL,synchronized,seed,3,0,3,0
attitude_deg,500ms,high,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500ms,high,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500ms,low,ALL,synchronized,seed,3,0,3,0
attitude_deg,500ms,low,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500ms,low,Sep7,synchronized,seed,3,0,3,0
attitude_deg,500ms,middle,ALL,synchronized,seed,3,0,3,0
attitude_deg,500ms,middle,Sep17,synchronized,seed,3,0,3,0
attitude_deg,500ms,middle,Sep7,synchronized,seed,3,0,3,0
p_rad_s,0_500ms,ALL,ALL,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,ALL,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,ALL,Sep17,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,ALL,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,ALL,Sep7,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,ALL,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,high,ALL,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,high,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,high,Sep17,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,high,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,high,Sep7,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,high,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,low,ALL,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,low,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,low,Sep17,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,low,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,low,Sep7,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,low,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,middle,ALL,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,middle,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,middle,Sep17,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,middle,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,0_500ms,middle,Sep7,synchronized,seed,3,3,0,0
p_rad_s,0_500ms,middle,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,ALL,ALL,synchronized,seed,3,3,0,0
p_rad_s,100ms,ALL,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,ALL,Sep17,synchronized,seed,3,3,0,0
p_rad_s,100ms,ALL,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,ALL,Sep7,synchronized,seed,3,3,0,0
p_rad_s,100ms,ALL,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,high,ALL,synchronized,seed,3,3,0,0
p_rad_s,100ms,high,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,high,Sep17,synchronized,seed,3,3,0,0
p_rad_s,100ms,high,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,high,Sep7,synchronized,seed,3,3,0,0
p_rad_s,100ms,high,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,low,ALL,synchronized,seed,3,3,0,0
p_rad_s,100ms,low,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,low,Sep17,synchronized,seed,3,3,0,0
p_rad_s,100ms,low,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,low,Sep7,synchronized,seed,3,3,0,0
p_rad_s,100ms,low,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,middle,ALL,synchronized,seed,3,3,0,0
p_rad_s,100ms,middle,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,middle,Sep17,synchronized,seed,3,3,0,0
p_rad_s,100ms,middle,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,100ms,middle,Sep7,synchronized,seed,3,3,0,0
p_rad_s,100ms,middle,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,ALL,ALL,synchronized,seed,3,3,0,0
p_rad_s,1s,ALL,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,ALL,Sep17,synchronized,seed,3,3,0,0
p_rad_s,1s,ALL,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,ALL,Sep7,synchronized,seed,3,3,0,0
p_rad_s,1s,ALL,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,high,ALL,synchronized,seed,3,3,0,0
p_rad_s,1s,high,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,high,Sep17,synchronized,seed,3,3,0,0
p_rad_s,1s,high,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,high,Sep7,synchronized,seed,3,3,0,0
p_rad_s,1s,high,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,low,ALL,synchronized,seed,3,3,0,0
p_rad_s,1s,low,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,low,Sep17,synchronized,seed,3,3,0,0
p_rad_s,1s,low,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,low,Sep7,synchronized,seed,3,3,0,0
p_rad_s,1s,low,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,middle,ALL,synchronized,seed,3,3,0,0
p_rad_s,1s,middle,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,middle,Sep17,synchronized,seed,3,3,0,0
p_rad_s,1s,middle,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,1s,middle,Sep7,synchronized,seed,3,3,0,0
p_rad_s,1s,middle,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,ALL,ALL,synchronized,seed,3,3,0,0
p_rad_s,200ms,ALL,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,ALL,Sep17,synchronized,seed,3,3,0,0
p_rad_s,200ms,ALL,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,ALL,Sep7,synchronized,seed,3,3,0,0
p_rad_s,200ms,ALL,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,high,ALL,synchronized,seed,3,3,0,0
p_rad_s,200ms,high,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,high,Sep17,synchronized,seed,3,3,0,0
p_rad_s,200ms,high,Sep17,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,high,Sep7,synchronized,seed,3,3,0,0
p_rad_s,200ms,high,Sep7,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,low,ALL,synchronized,seed,3,3,0,0
p_rad_s,200ms,low,ALL,synchronized_lowpass,seed,3,3,0,0
p_rad_s,200ms,low,Sep17,synchronized,seed,3,3,0,0
