seed,condition,metric,horizon,kind,group,flight,cohort,n_origins,value
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,0.4770357572314942
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,0.5361106402145758
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,0.44139872405194597
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,0.48033914197514205
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,0.47153528126265
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,0.49260528484642385
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,0.48115222889698256
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,0.566064798240992
17,original,p_rad_s,100ms,endpoint,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,0.5084829257910423
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,0.4970242826503458
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,0.4931478409373068
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,0.3822281169794774
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,0.4726451361130596
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,0.4409948623106812
17,original,p_rad_s,100ms,endpoint,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,0.41422562277221237
