condition,metric,horizon,kind,group,cohort,seed,value
original,attitude_deg,200ms,endpoint,ALL,Sep7,17,2.0103843577243063
original,attitude_deg,200ms,endpoint,ALL,Sep7,23,2.0475942835797944
original,attitude_deg,200ms,endpoint,ALL,Sep7,42,2.052332852225132
original,attitude_deg,200ms,endpoint,high,ALL,17,2.6867751036614855
original,attitude_deg,200ms,endpoint,high,ALL,23,2.7411059331474337
original,attitude_deg,200ms,endpoint,high,ALL,42,2.820265127321073
original,attitude_deg,200ms,endpoint,high,Sep17,17,2.997908273656913
original,attitude_deg,200ms,endpoint,high,Sep17,23,3.1190431222804165
original,attitude_deg,200ms,endpoint,high,Sep17,42,3.225568038721736
original,attitude_deg,200ms,endpoint,high,Sep7,17,2.4102122858877717
original,attitude_deg,200ms,endpoint,high,Sep7,23,2.405161765029226
original,attitude_deg,200ms,endpoint,high,Sep7,42,2.4599958727427054
original,attitude_deg,200ms,endpoint,low,ALL,17,1.8134921484038073
original,attitude_deg,200ms,endpoint,low,ALL,23,1.8744128289608235
original,attitude_deg,200ms,endpoint,low,ALL,42,1.8576363114744647
original,attitude_deg,200ms,endpoint,low,Sep17,17,1.7427386725482144
original,attitude_deg,200ms,endpoint,low,Sep17,23,1.8297852588380588
original,attitude_deg,200ms,endpoint,low,Sep17,42,1.808159409044103
original,attitude_deg,200ms,endpoint,low,Sep7,17,1.8763841269421124
original,attitude_deg,200ms,endpoint,low,Sep7,23,1.914081780181059
original,attitude_deg,200ms,endpoint,low,Sep7,42,1.901615780301453
original,attitude_deg,200ms,endpoint,middle,ALL,17,2.0743606182385794
original,attitude_deg,200ms,endpoint,middle,ALL,23,2.1130565181964864
original,attitude_deg,200ms,endpoint,middle,ALL,42,2.1234623837186093
original,attitude_deg,200ms,endpoint,middle,Sep17,17,2.1399981547877513
original,attitude_deg,200ms,endpoint,middle,Sep17,23,2.1792689078713443
original,attitude_deg,200ms,endpoint,middle,Sep17,42,2.2018008799246904
original,attitude_deg,200ms,endpoint,middle,Sep7,17,2.016016141305982
original,attitude_deg,200ms,endpoint,middle,Sep7,23,2.054201060707724
original,attitude_deg,200ms,endpoint,middle,Sep7,42,2.0538281648687597
original,attitude_deg,500_1000ms,interval,ALL,ALL,17,5.488630981035594
original,attitude_deg,500_1000ms,interval,ALL,ALL,23,5.406635652785525
original,attitude_deg,500_1000ms,interval,ALL,ALL,42,5.544158648620777
original,attitude_deg,500_1000ms,interval,ALL,Sep17,17,6.210569500752381
original,attitude_deg,500_1000ms,interval,ALL,Sep17,23,5.955486579435873
original,attitude_deg,500_1000ms,interval,ALL,Sep17,42,6.353237671667674
original,attitude_deg,500_1000ms,interval,ALL,Sep7,17,4.84690785239845
original,attitude_deg,500_1000ms,interval,ALL,Sep7,23,4.91876816242966
original,attitude_deg,500_1000ms,interval,ALL,Sep7,42,4.824977294801312
original,attitude_deg,500_1000ms,interval,high,ALL,17,6.517223821333008
original,attitude_deg,500_1000ms,interval,high,ALL,23,6.544463566448417
original,attitude_deg,500_1000ms,interval,high,ALL,42,6.566306507911234
original,attitude_deg,500_1000ms,interval,high,Sep17,17,7.147454512993641
original,attitude_deg,500_1000ms,interval,high,Sep17,23,7.180297534610984
original,attitude_deg,500_1000ms,interval,high,Sep17,42,7.2860419039311495
original,attitude_deg,500_1000ms,interval,high,Sep7,17,5.957018762079112
original,attitude_deg,500_1000ms,interval,high,Sep7,23,5.97927781697058
original,attitude_deg,500_1000ms,interval,high,Sep7,42,5.926541711449087
original,attitude_deg,500_1000ms,interval,low,ALL,17,4.7224252186618525
original,attitude_deg,500_1000ms,interval,low,ALL,23,4.634041141097256
original,attitude_deg,500_1000ms,interval,low,ALL,42,4.7973914928574715
original,attitude_deg,500_1000ms,interval,low,Sep17,17,5.018611138205786
original,attitude_deg,500_1000ms,interval,low,Sep17,23,4.659908539898718
original,attitude_deg,500_1000ms,interval,low,Sep17,42,5.171322931187646
original,attitude_deg,500_1000ms,interval,low,Sep7,17,4.459148845733911
original,attitude_deg,500_1000ms,interval,low,Sep7,23,4.61104789771818
original,attitude_deg,500_1000ms,interval,low,Sep7,42,4.4650079921195385
original,attitude_deg,500_1000ms,interval,middle,ALL,17,5.494649554443587
original,attitude_deg,500_1000ms,interval,middle,ALL,23,5.320749869921766
original,attitude_deg,500_1000ms,interval,middle,ALL,42,5.532678132769873
original,attitude_deg,500_1000ms,interval,middle,Sep17,17,6.0572679027534235
original,attitude_deg,500_1000ms,interval,middle,Sep17,23,5.703953419314704
original,attitude_deg,500_1000ms,interval,middle,Sep17,42,6.185116334757329
original,attitude_deg,500_1000ms,interval,middle,Sep7,17,4.994544355945954
original,attitude_deg,500_1000ms,interval,middle,Sep7,23,4.980124492683599
original,attitude_deg,500_1000ms,interval,middle,Sep7,42,4.952733064336579
original,attitude_deg,500ms,endpoint,ALL,ALL,17,4.033739771723627
original,attitude_deg,500ms,endpoint,ALL,ALL,23,4.075688471845725
original,attitude_deg,500ms,endpoint,ALL,ALL,42,4.125763726825424
original,attitude_deg,500ms,endpoint,ALL,Sep17,17,4.526343428566673
original,attitude_deg,500ms,endpoint,ALL,Sep17,23,4.4925398588152055
original,attitude_deg,500ms,endpoint,ALL,Sep17,42,4.689643898170552
original,attitude_deg,500ms,endpoint,ALL,Sep7,17,3.59586985452981
original,attitude_deg,500ms,endpoint,ALL,Sep7,23,3.7051539056506297
