condition,metric,horizon,kind,group,cohort,seed,value
original,r_rad_s,500_1000ms,interval,high,Sep17,17,0.20173724739759347
original,r_rad_s,500_1000ms,interval,high,Sep17,23,0.19555637803747056
original,r_rad_s,500_1000ms,interval,high,Sep17,42,0.20215303743074134
original,r_rad_s,500_1000ms,interval,high,Sep7,17,0.16780846274182837
original,r_rad_s,500_1000ms,interval,high,Sep7,23,0.1644885354202224
original,r_rad_s,500_1000ms,interval,high,Sep7,42,0.16942539765599912
original,r_rad_s,500_1000ms,interval,low,ALL,17,0.14912211446399865
original,r_rad_s,500_1000ms,interval,low,ALL,23,0.14417556917877952
original,r_rad_s,500_1000ms,interval,low,ALL,42,0.14722779243705275
original,r_rad_s,500_1000ms,interval,low,Sep17,17,0.15688070927844544
original,r_rad_s,500_1000ms,interval,low,Sep17,23,0.14675016731343007
original,r_rad_s,500_1000ms,interval,low,Sep17,42,0.1555368356341578
original,r_rad_s,500_1000ms,interval,low,Sep7,17,0.14222558574004593
original,r_rad_s,500_1000ms,interval,low,Sep7,23,0.14188703750353457
original,r_rad_s,500_1000ms,interval,low,Sep7,42,0.13984197626184824
original,r_rad_s,500_1000ms,interval,middle,ALL,17,0.16409319890896187
original,r_rad_s,500_1000ms,interval,middle,ALL,23,0.15815146810587755
original,r_rad_s,500_1000ms,interval,middle,ALL,42,0.16138707931961904
original,r_rad_s,500_1000ms,interval,middle,Sep17,17,0.17667763391525232
original,r_rad_s,500_1000ms,interval,middle,Sep17,23,0.1661089696655224
original,r_rad_s,500_1000ms,interval,middle,Sep17,42,0.17570354497533766
original,r_rad_s,500_1000ms,interval,middle,Sep7,17,0.15290703445892595
original,r_rad_s,500_1000ms,interval,middle,Sep7,23,0.1510781333861932
original,r_rad_s,500_1000ms,interval,middle,Sep7,42,0.14866133207009133
original,r_rad_s,500ms,endpoint,ALL,ALL,17,0.15348245796622756
original,r_rad_s,500ms,endpoint,ALL,ALL,23,0.15092699245631358
original,r_rad_s,500ms,endpoint,ALL,ALL,42,0.14865407810594175
original,r_rad_s,500ms,endpoint,ALL,Sep17,17,0.16700034361350174
original,r_rad_s,500ms,endpoint,ALL,Sep17,23,0.16153115436609952
original,r_rad_s,500ms,endpoint,ALL,Sep17,42,0.16238288211776053
original,r_rad_s,500ms,endpoint,ALL,Sep7,17,0.14146655961309493
original,r_rad_s,500ms,endpoint,ALL,Sep7,23,0.14150107075872612
original,r_rad_s,500ms,endpoint,ALL,Sep7,42,0.13645069676210284
original,r_rad_s,500ms,endpoint,high,ALL,17,0.18495559236608675
original,r_rad_s,500ms,endpoint,high,ALL,23,0.1819455896775708
original,r_rad_s,500ms,endpoint,high,ALL,42,0.18301394181467173
original,r_rad_s,500ms,endpoint,high,Sep17,17,0.18607847648581036
original,r_rad_s,500ms,endpoint,high,Sep17,23,0.18673349130526684
original,r_rad_s,500ms,endpoint,high,Sep17,42,0.18762806592712414
original,r_rad_s,500ms,endpoint,high,Sep7,17,0.18395747314855465
original,r_rad_s,500ms,endpoint,high,Sep7,23,0.17768967711961875
original,r_rad_s,500ms,endpoint,high,Sep7,42,0.1789124981591585
original,r_rad_s,500ms,endpoint,low,ALL,17,0.13634236992091409
original,r_rad_s,500ms,endpoint,low,ALL,23,0.1342352901955131
original,r_rad_s,500ms,endpoint,low,ALL,42,0.12930776511240794
original,r_rad_s,500ms,endpoint,low,Sep17,17,0.1448867926967206
original,r_rad_s,500ms,endpoint,low,Sep17,23,0.13735216257057917
original,r_rad_s,500ms,endpoint,low,Sep17,42,0.1359051388203372
original,r_rad_s,500ms,endpoint,low,Sep7,17,0.12874732745353049
original,r_rad_s,500ms,endpoint,low,Sep7,23,0.1314647369732322
original,r_rad_s,500ms,endpoint,low,Sep7,42,0.1234434329275819
original,r_rad_s,500ms,endpoint,middle,ALL,17,0.15263860185000405
original,r_rad_s,500ms,endpoint,middle,ALL,23,0.14849143211506882
original,r_rad_s,500ms,endpoint,middle,ALL,42,0.14618469833037737
original,r_rad_s,500ms,endpoint,middle,Sep17,17,0.1647209660087727
original,r_rad_s,500ms,endpoint,middle,Sep17,23,0.15673098190825277
original,r_rad_s,500ms,endpoint,middle,Sep17,42,0.1575186779386623
original,r_rad_s,500ms,endpoint,middle,Sep7,17,0.14189872259776526
original,r_rad_s,500ms,endpoint,middle,Sep7,23,0.1411673878544609
original,r_rad_s,500ms,endpoint,middle,Sep7,42,0.1361100497896796
original,rate_rad_s,0_500ms,interval,ALL,ALL,17,0.5670763531062886
original,rate_rad_s,0_500ms,interval,ALL,ALL,23,0.5667346177011521
original,rate_rad_s,0_500ms,interval,ALL,ALL,42,0.5657999593957923
original,rate_rad_s,0_500ms,interval,ALL,Sep17,17,0.5453938295042287
original,rate_rad_s,0_500ms,interval,ALL,Sep17,23,0.54424274647921
original,rate_rad_s,0_500ms,interval,ALL,Sep17,42,0.542608148779877
original,rate_rad_s,0_500ms,interval,ALL,Sep7,17,0.5863497074192308
original,rate_rad_s,0_500ms,interval,ALL,Sep7,23,0.5867273921206562
original,rate_rad_s,0_500ms,interval,ALL,Sep7,42,0.5864149021654946
original,rate_rad_s,0_500ms,interval,high,ALL,17,0.6203802919258606
original,rate_rad_s,0_500ms,interval,high,ALL,23,0.6221144102939081
original,rate_rad_s,0_500ms,interval,high,ALL,42,0.6212688842233962
original,rate_rad_s,0_500ms,interval,high,Sep17,17,0.6149939795041075
original,rate_rad_s,0_500ms,interval,high,Sep17,23,0.6221929682743519
original,rate_rad_s,0_500ms,interval,high,Sep17,42,0.6211513915916234
original,rate_rad_s,0_500ms,interval,high,Sep7,17,0.625168125189641
original,rate_rad_s,0_500ms,interval,high,Sep7,23,0.6220445809779582
original,rate_rad_s,0_500ms,interval,high,Sep7,42,0.6213733221183054
original,rate_rad_s,0_500ms,interval,low,ALL,17,0.5465237290412961
original,rate_rad_s,0_500ms,interval,low,ALL,23,0.5459194449633012
original,rate_rad_s,0_500ms,interval,low,ALL,42,0.5430716011844126
original,rate_rad_s,0_500ms,interval,low,Sep17,17,0.5181262225025987
original,rate_rad_s,0_500ms,interval,low,Sep17,23,0.5167874521233989
original,rate_rad_s,0_500ms,interval,low,Sep17,42,0.509540721543356
original,rate_rad_s,0_500ms,interval,low,Sep7,17,0.5717659570756937
original,rate_rad_s,0_500ms,interval,low,Sep7,23,0.5718145497098812
original,rate_rad_s,0_500ms,interval,low,Sep7,42,0.5728768275320183
original,rate_rad_s,0_500ms,interval,middle,ALL,17,0.5590516359522496
original,rate_rad_s,0_500ms,interval,middle,ALL,23,0.5579557658158663
original,rate_rad_s,0_500ms,interval,middle,ALL,42,0.5561669474212981
original,rate_rad_s,0_500ms,interval,middle,Sep17,17,0.5240852680082676
original,rate_rad_s,0_500ms,interval,middle,Sep17,23,0.5189924232200331
original,rate_rad_s,0_500ms,interval,middle,Sep17,42,0.5185280528083454
original,rate_rad_s,0_500ms,interval,middle,Sep7,17,0.5901328519024557
original,rate_rad_s,0_500ms,interval,middle,Sep7,23,0.5925898481232733
original,rate_rad_s,0_500ms,interval,middle,Sep7,42,0.5896237426328117
original,rate_rad_s,100ms,endpoint,ALL,ALL,17,0.5438908711237967
original,rate_rad_s,100ms,endpoint,ALL,ALL,23,0.5437161480655596
original,rate_rad_s,100ms,endpoint,ALL,ALL,42,0.5483794331513228
original,rate_rad_s,100ms,endpoint,ALL,Sep17,17,0.5271383388882338
original,rate_rad_s,100ms,endpoint,ALL,Sep17,23,0.5247899582661589
original,rate_rad_s,100ms,endpoint,ALL,Sep17,42,0.5302459665563374
original,rate_rad_s,100ms,endpoint,ALL,Sep7,17,0.5587820108887416
original,rate_rad_s,100ms,endpoint,ALL,Sep7,23,0.5605394278872491
original,rate_rad_s,100ms,endpoint,ALL,Sep7,42,0.5644980701246431
original,rate_rad_s,100ms,endpoint,high,ALL,17,0.6164080124380128
original,rate_rad_s,100ms,endpoint,high,ALL,23,0.619310600036711
original,rate_rad_s,100ms,endpoint,high,ALL,42,0.6259467293696188
original,rate_rad_s,100ms,endpoint,high,Sep17,17,0.62167502794058
original,rate_rad_s,100ms,endpoint,high,Sep17,23,0.6228419885929221
original,rate_rad_s,100ms,endpoint,high,Sep17,42,0.6382125928434128
original,rate_rad_s,100ms,endpoint,high,Sep7,17,0.6117262208801753
original,rate_rad_s,100ms,endpoint,high,Sep7,23,0.6161715879867457
original,rate_rad_s,100ms,endpoint,high,Sep7,42,0.615043739615135
original,rate_rad_s,100ms,endpoint,low,ALL,17,0.5085287501857382
original,rate_rad_s,100ms,endpoint,low,ALL,23,0.5106180632518255
original,rate_rad_s,100ms,endpoint,low,ALL,42,0.5086733830039636
original,rate_rad_s,100ms,endpoint,low,Sep17,17,0.4594164996528234
original,rate_rad_s,100ms,endpoint,low,Sep17,23,0.4651437240680639
original,rate_rad_s,100ms,endpoint,low,Sep17,42,0.4545573171939908
original,rate_rad_s,100ms,endpoint,low,Sep7,17,0.5521840839927735
original,rate_rad_s,100ms,endpoint,low,Sep7,23,0.5510396980818357
original,rate_rad_s,100ms,endpoint,low,Sep7,42,0.5567765526128282
original,rate_rad_s,100ms,endpoint,middle,ALL,17,0.5231138773762022
original,rate_rad_s,100ms,endpoint,middle,ALL,23,0.5243653001151002
original,rate_rad_s,100ms,endpoint,middle,ALL,42,0.5272744248343503
original,rate_rad_s,100ms,endpoint,middle,Sep17,17,0.5023373889090186
original,rate_rad_s,100ms,endpoint,middle,Sep17,23,0.4972846968721577
original,rate_rad_s,100ms,endpoint,middle,Sep17,42,0.502670587139023
original,rate_rad_s,100ms,endpoint,middle,Sep7,17,0.5415818671248096
original,rate_rad_s,100ms,endpoint,middle,Sep7,23,0.5484369474421603
original,rate_rad_s,100ms,endpoint,middle,Sep7,42,0.5491445027857524
original,rate_rad_s,1s,endpoint,ALL,ALL,17,0.6179617016979126
original,rate_rad_s,1s,endpoint,ALL,ALL,23,0.6331251400447657
original,rate_rad_s,1s,endpoint,ALL,ALL,42,0.6121323463723045
original,rate_rad_s,1s,endpoint,ALL,Sep17,17,0.6087628786367514
original,rate_rad_s,1s,endpoint,ALL,Sep17,23,0.635914735532969
original,rate_rad_s,1s,endpoint,ALL,Sep17,42,0.6074177776532983
original,rate_rad_s,1s,endpoint,ALL,Sep7,17,0.6261384333078338
original,rate_rad_s,1s,endpoint,ALL,Sep7,23,0.6306454996108073
original,rate_rad_s,1s,endpoint,ALL,Sep7,42,0.6163230741225322
original,rate_rad_s,1s,endpoint,high,ALL,17,0.6624572591687076
original,rate_rad_s,1s,endpoint,high,ALL,23,0.6708355174133892
original,rate_rad_s,1s,endpoint,high,ALL,42,0.6495160526824257
original,rate_rad_s,1s,endpoint,high,Sep17,17,0.6518342109067479
original,rate_rad_s,1s,endpoint,high,Sep17,23,0.6798040095165706
original,rate_rad_s,1s,endpoint,high,Sep17,42,0.6524767311577293
original,rate_rad_s,1s,endpoint,high,Sep7,17,0.671899968734894
original,rate_rad_s,1s,endpoint,high,Sep7,23,0.6628635244327834
original,rate_rad_s,1s,endpoint,high,Sep7,42,0.6468843384821558
original,rate_rad_s,1s,endpoint,low,ALL,17,0.5932914290807451
original,rate_rad_s,1s,endpoint,low,ALL,23,0.6176887718733485
original,rate_rad_s,1s,endpoint,low,ALL,42,0.5903519630626541
original,rate_rad_s,1s,endpoint,low,Sep17,17,0.5862281346822887
original,rate_rad_s,1s,endpoint,low,Sep17,23,0.6278257886772711
original,rate_rad_s,1s,endpoint,low,Sep17,42,0.5867442831614195
original,rate_rad_s,1s,endpoint,low,Sep7,17,0.5995699129904839
original,rate_rad_s,1s,endpoint,low,Sep7,23,0.6086780902698616
original,rate_rad_s,1s,endpoint,low,Sep7,42,0.5935587896415293
original,rate_rad_s,1s,endpoint,middle,ALL,17,0.6112805911802038
original,rate_rad_s,1s,endpoint,middle,ALL,23,0.6235655650401876
original,rate_rad_s,1s,endpoint,middle,ALL,42,0.6016412023483884
original,rate_rad_s,1s,endpoint,middle,Sep17,17,0.591746311288829
original,rate_rad_s,1s,endpoint,middle,Sep17,23,0.6153275729138403
original,rate_rad_s,1s,endpoint,middle,Sep17,42,0.5869068533230057
original,rate_rad_s,1s,endpoint,middle,Sep7,17,0.6286443955280926
original,rate_rad_s,1s,endpoint,middle,Sep7,23,0.630888224708052
original,rate_rad_s,1s,endpoint,middle,Sep7,42,0.6147384014820617
original,rate_rad_s,200ms,endpoint,ALL,ALL,17,0.5642465257049663
original,rate_rad_s,200ms,endpoint,ALL,ALL,23,0.5695336495342366
original,rate_rad_s,200ms,endpoint,ALL,ALL,42,0.5650685449125675
original,rate_rad_s,200ms,endpoint,ALL,Sep17,17,0.5362156869348987
original,rate_rad_s,200ms,endpoint,ALL,Sep17,23,0.5374336609896214
original,rate_rad_s,200ms,endpoint,ALL,Sep17,42,0.5374540629190476
original,rate_rad_s,200ms,endpoint,ALL,Sep7,17,0.5891628268339152
original,rate_rad_s,200ms,endpoint,ALL,Sep7,23,0.5980669726850055
original,rate_rad_s,200ms,endpoint,ALL,Sep7,42,0.5896147511290296
original,rate_rad_s,200ms,endpoint,high,ALL,17,0.5899304840417838
original,rate_rad_s,200ms,endpoint,high,ALL,23,0.5924285780395757
original,rate_rad_s,200ms,endpoint,high,ALL,42,0.5972882734555097
original,rate_rad_s,200ms,endpoint,high,Sep17,17,0.599731146763842
original,rate_rad_s,200ms,endpoint,high,Sep17,23,0.6090527348073058
original,rate_rad_s,200ms,endpoint,high,Sep17,42,0.6173108612677656
original,rate_rad_s,200ms,endpoint,high,Sep7,17,0.5812187838443987
original,rate_rad_s,200ms,endpoint,high,Sep7,23,0.5776515498015934
original,rate_rad_s,200ms,endpoint,high,Sep7,42,0.5794904176223935
original,rate_rad_s,200ms,endpoint,low,ALL,17,0.5474340288677035
original,rate_rad_s,200ms,endpoint,low,ALL,23,0.5539417227171213
original,rate_rad_s,200ms,endpoint,low,ALL,42,0.5482131665449811
original,rate_rad_s,200ms,endpoint,low,Sep17,17,0.5131104898481356
original,rate_rad_s,200ms,endpoint,low,Sep17,23,0.5187202995808908
original,rate_rad_s,200ms,endpoint,low,Sep17,42,0.5162913330034058
original,rate_rad_s,200ms,endpoint,low,Sep7,17,0.5779438413295418
original,rate_rad_s,200ms,endpoint,low,Sep7,23,0.5852496543937705
original,rate_rad_s,200ms,endpoint,low,Sep7,42,0.5765881296930481
original,rate_rad_s,200ms,endpoint,middle,ALL,17,0.5536323375457719
original,rate_rad_s,200ms,endpoint,middle,ALL,23,0.5628819661245751
original,rate_rad_s,200ms,endpoint,middle,ALL,42,0.5515578801491637
original,rate_rad_s,200ms,endpoint,middle,Sep17,17,0.5120474992533194
original,rate_rad_s,200ms,endpoint,middle,Sep17,23,0.5078537589710418
original,rate_rad_s,200ms,endpoint,middle,Sep17,42,0.5045410383747106
original,rate_rad_s,200ms,endpoint,middle,Sep7,17,0.5905966382501742
original,rate_rad_s,200ms,endpoint,middle,Sep7,23,0.6117959280388269
original,rate_rad_s,200ms,endpoint,middle,Sep7,42,0.593350628393122
original,rate_rad_s,500_1000ms,interval,ALL,ALL,17,0.6017371924672172
original,rate_rad_s,500_1000ms,interval,ALL,ALL,23,0.6078807514510575
original,rate_rad_s,500_1000ms,interval,ALL,ALL,42,0.597298769933037
original,rate_rad_s,500_1000ms,interval,ALL,Sep17,17,0.5877296309586173
original,rate_rad_s,500_1000ms,interval,ALL,Sep17,23,0.5991035595294937
original,rate_rad_s,500_1000ms,interval,ALL,Sep17,42,0.5833904469101933
original,rate_rad_s,500_1000ms,interval,ALL,Sep7,17,0.6141883582526393
original,rate_rad_s,500_1000ms,interval,ALL,Sep7,23,0.6156826998257809
original,rate_rad_s,500_1000ms,interval,ALL,Sep7,42,0.6096617237311202
original,rate_rad_s,500_1000ms,interval,high,ALL,17,0.6497424239591955
original,rate_rad_s,500_1000ms,interval,high,ALL,23,0.6536221780657637
original,rate_rad_s,500_1000ms,interval,high,ALL,42,0.6489102715505358
original,rate_rad_s,500_1000ms,interval,high,Sep17,17,0.6473267771186374
original,rate_rad_s,500_1000ms,interval,high,Sep17,23,0.6574695800272483
original,rate_rad_s,500_1000ms,interval,high,Sep17,42,0.6464106062286803
original,rate_rad_s,500_1000ms,interval,high,Sep7,17,0.6518896655952469
original,rate_rad_s,500_1000ms,interval,high,Sep7,23,0.6502022652111107
original,rate_rad_s,500_1000ms,interval,high,Sep7,42,0.6511321962810741
original,rate_rad_s,500_1000ms,interval,low,ALL,17,0.5782501963696456
original,rate_rad_s,500_1000ms,interval,low,ALL,23,0.5879858099497408
original,rate_rad_s,500_1000ms,interval,low,ALL,42,0.5728855067712514
original,rate_rad_s,500_1000ms,interval,low,Sep17,17,0.5603633731823149
original,rate_rad_s,500_1000ms,interval,low,Sep17,23,0.5771687197229844
original,rate_rad_s,500_1000ms,interval,low,Sep17,42,0.5529450405854722
original,rate_rad_s,500_1000ms,interval,low,Sep7,17,0.5941495947583839
original,rate_rad_s,500_1000ms,interval,low,Sep7,23,0.5976010012624131
original,rate_rad_s,500_1000ms,interval,low,Sep7,42,0.5906103656030551
original,rate_rad_s,500_1000ms,interval,middle,ALL,17,0.5971079837615373
original,rate_rad_s,500_1000ms,interval,middle,ALL,23,0.6028376137111929
original,rate_rad_s,500_1000ms,interval,middle,ALL,42,0.5911006224646658
original,rate_rad_s,500_1000ms,interval,middle,Sep17,17,0.5690195502972136
original,rate_rad_s,500_1000ms,interval,middle,Sep17,23,0.5798321115296803
original,rate_rad_s,500_1000ms,interval,middle,Sep17,42,0.5636532616995683
original,rate_rad_s,500_1000ms,interval,middle,Sep7,17,0.6220754801742694
original,rate_rad_s,500_1000ms,interval,middle,Sep7,23,0.6232869489836487
original,rate_rad_s,500_1000ms,interval,middle,Sep7,42,0.6154982764780857
original,rate_rad_s,500ms,endpoint,ALL,ALL,17,0.5987111840019169
original,rate_rad_s,500ms,endpoint,ALL,ALL,23,0.5976309396014523
original,rate_rad_s,500ms,endpoint,ALL,ALL,42,0.5933875807324946
original,rate_rad_s,500ms,endpoint,ALL,Sep17,17,0.5620904662494559
original,rate_rad_s,500ms,endpoint,ALL,Sep17,23,0.5648123314414162
original,rate_rad_s,500ms,endpoint,ALL,Sep17,42,0.5558534135091175
original,rate_rad_s,500ms,endpoint,ALL,Sep7,17,0.6312629331152156
original,rate_rad_s,500ms,endpoint,ALL,Sep7,23,0.6268030357437067
original,rate_rad_s,500ms,endpoint,ALL,Sep7,42,0.6267512849310521
original,rate_rad_s,500ms,endpoint,high,ALL,17,0.6694277184026896
original,rate_rad_s,500ms,endpoint,high,ALL,23,0.6657598839349866
original,rate_rad_s,500ms,endpoint,high,ALL,42,0.6711899628816851
original,rate_rad_s,500ms,endpoint,high,Sep17,17,0.6263673550580322
original,rate_rad_s,500ms,endpoint,high,Sep17,23,0.6279693265146159
original,rate_rad_s,500ms,endpoint,high,Sep17,42,0.6265094280098035
original,rate_rad_s,500ms,endpoint,high,Sep7,17,0.7077035969312738
original,rate_rad_s,500ms,endpoint,high,Sep7,23,0.6993514905308719
original,rate_rad_s,500ms,endpoint,high,Sep7,42,0.7109059938789133
original,rate_rad_s,500ms,endpoint,low,ALL,17,0.562200311634354
original,rate_rad_s,500ms,endpoint,low,ALL,23,0.5602854621892024
original,rate_rad_s,500ms,endpoint,low,ALL,42,0.553049721883558
original,rate_rad_s,500ms,endpoint,low,Sep17,17,0.501373398261371
original,rate_rad_s,500ms,endpoint,low,Sep17,23,0.5050736658216242
original,rate_rad_s,500ms,endpoint,low,Sep17,42,0.49032986758223
original,rate_rad_s,500ms,endpoint,low,Sep7,17,0.6162686790770058
original,rate_rad_s,500ms,endpoint,low,Sep7,23,0.6093626145159388
original,rate_rad_s,500ms,endpoint,low,Sep7,42,0.6088007034847387
original,rate_rad_s,500ms,endpoint,middle,ALL,17,0.5778531811592004
original,rate_rad_s,500ms,endpoint,middle,ALL,23,0.5780590073335787
original,rate_rad_s,500ms,endpoint,middle,ALL,42,0.5707453050148896
original,rate_rad_s,500ms,endpoint,middle,Sep17,17,0.5456788697508328
original,rate_rad_s,500ms,endpoint,middle,Sep17,23,0.5491070819026291
original,rate_rad_s,500ms,endpoint,middle,Sep17,42,0.5381274982153511
original,rate_rad_s,500ms,endpoint,middle,Sep7,17,0.6064525690777494
original,rate_rad_s,500ms,endpoint,middle,Sep7,23,0.6037940521610895
original,rate_rad_s,500ms,endpoint,middle,Sep7,42,0.5997389110589241
synchronized,attitude_deg,0_500ms,interval,ALL,ALL,17,2.802639898030138
synchronized,attitude_deg,0_500ms,interval,ALL,ALL,23,2.8270968904946843
synchronized,attitude_deg,0_500ms,interval,ALL,ALL,42,2.867435003275336
synchronized,attitude_deg,0_500ms,interval,ALL,Sep17,17,3.102803398395849
synchronized,attitude_deg,0_500ms,interval,ALL,Sep17,23,3.1039043687739287
synchronized,attitude_deg,0_500ms,interval,ALL,Sep17,42,3.2010464948087454
synchronized,attitude_deg,0_500ms,interval,ALL,Sep7,17,2.535827897705061
synchronized,attitude_deg,0_500ms,interval,ALL,Sep7,23,2.581045798690911
synchronized,attitude_deg,0_500ms,interval,ALL,Sep7,42,2.5708914552456394
synchronized,attitude_deg,0_500ms,interval,high,ALL,17,3.516366215732655
synchronized,attitude_deg,0_500ms,interval,high,ALL,23,3.533454589443427
synchronized,attitude_deg,0_500ms,interval,high,ALL,42,3.560076886482109
synchronized,attitude_deg,0_500ms,interval,high,Sep17,17,3.9878221059613264
synchronized,attitude_deg,0_500ms,interval,high,Sep17,23,4.045518329306473
synchronized,attitude_deg,0_500ms,interval,high,Sep17,42,4.1524730724873296
synchronized,attitude_deg,0_500ms,interval,high,Sep7,17,3.097294313307169
synchronized,attitude_deg,0_500ms,interval,high,Sep7,23,3.0782868206762752
synchronized,attitude_deg,0_500ms,interval,high,Sep7,42,3.033502498921913
synchronized,attitude_deg,0_500ms,interval,low,ALL,17,2.305580960870058
synchronized,attitude_deg,0_500ms,interval,low,ALL,23,2.3420167293242447
synchronized,attitude_deg,0_500ms,interval,low,ALL,42,2.3788800785042348
synchronized,attitude_deg,0_500ms,interval,low,Sep17,17,2.285550021754083
synchronized,attitude_deg,0_500ms,interval,low,Sep17,23,2.297882304561435
synchronized,attitude_deg,0_500ms,interval,low,Sep17,42,2.3910045547904506
synchronized,attitude_deg,0_500ms,interval,low,Sep7,17,2.323386240084258
synchronized,attitude_deg,0_500ms,interval,low,Sep7,23,2.3812473291134086
synchronized,attitude_deg,0_500ms,interval,low,Sep7,42,2.3681027662498213
synchronized,attitude_deg,0_500ms,interval,middle,ALL,17,2.734007578499323
synchronized,attitude_deg,0_500ms,interval,middle,ALL,23,2.7416521122465176
synchronized,attitude_deg,0_500ms,interval,middle,ALL,42,2.787010643627127
synchronized,attitude_deg,0_500ms,interval,middle,Sep17,17,2.8843864975802953
synchronized,attitude_deg,0_500ms,interval,middle,Sep17,23,2.8540577218756984
synchronized,attitude_deg,0_500ms,interval,middle,Sep17,42,2.946775567507639
synchronized,attitude_deg,0_500ms,interval,middle,Sep7,17,2.6003374282051253
synchronized,attitude_deg,0_500ms,interval,middle,Sep7,23,2.6417360147983575
synchronized,attitude_deg,0_500ms,interval,middle,Sep7,42,2.6449973779555607
synchronized,attitude_deg,100ms,endpoint,ALL,ALL,17,1.4643153591479137
synchronized,attitude_deg,100ms,endpoint,ALL,ALL,23,1.488708502276319
synchronized,attitude_deg,100ms,endpoint,ALL,ALL,42,1.4865432806782395
synchronized,attitude_deg,100ms,endpoint,ALL,Sep17,17,1.5793961099562606
synchronized,attitude_deg,100ms,endpoint,ALL,Sep17,23,1.5872786082341621
synchronized,attitude_deg,100ms,endpoint,ALL,Sep17,42,1.5964270807610348
synchronized,attitude_deg,100ms,endpoint,ALL,Sep7,17,1.3620213584293834
synchronized,attitude_deg,100ms,endpoint,ALL,Sep7,23,1.4010906303137916
synchronized,attitude_deg,100ms,endpoint,ALL,Sep7,42,1.388868791715755
synchronized,attitude_deg,100ms,endpoint,high,ALL,17,1.7447523755907897
synchronized,attitude_deg,100ms,endpoint,high,ALL,23,1.7396120449615124
synchronized,attitude_deg,100ms,endpoint,high,ALL,42,1.7905223830982278
synchronized,attitude_deg,100ms,endpoint,high,Sep17,17,2.0351643075017924
synchronized,attitude_deg,100ms,endpoint,high,Sep17,23,2.0157385544779185
synchronized,attitude_deg,100ms,endpoint,high,Sep17,42,2.086925106849176
synchronized,attitude_deg,100ms,endpoint,high,Sep7,17,1.4866084361143426
synchronized,attitude_deg,100ms,endpoint,high,Sep7,23,1.4941662587247064
synchronized,attitude_deg,100ms,endpoint,high,Sep7,42,1.5270532953196068
synchronized,attitude_deg,100ms,endpoint,low,ALL,17,1.2459821798276156
synchronized,attitude_deg,100ms,endpoint,low,ALL,23,1.305640656669216
synchronized,attitude_deg,100ms,endpoint,low,ALL,42,1.2532970611265721
synchronized,attitude_deg,100ms,endpoint,low,Sep17,17,1.229585715296657
synchronized,attitude_deg,100ms,endpoint,low,Sep17,23,1.3103633117940716
synchronized,attitude_deg,100ms,endpoint,low,Sep17,42,1.2146015391310316
synchronized,attitude_deg,100ms,endpoint,low,Sep7,17,1.2605568149662452
synchronized,attitude_deg,100ms,endpoint,low,Sep7,23,1.3014427410026776
synchronized,attitude_deg,100ms,endpoint,low,Sep7,42,1.2876930806781641
synchronized,attitude_deg,100ms,endpoint,middle,ALL,17,1.4464779294580454
synchronized,attitude_deg,100ms,endpoint,middle,ALL,23,1.4708782822126871
synchronized,attitude_deg,100ms,endpoint,middle,ALL,42,1.4590432758890433
synchronized,attitude_deg,100ms,endpoint,middle,Sep17,17,1.470545174565245
synchronized,attitude_deg,100ms,endpoint,middle,Sep17,23,1.4741419935848308
synchronized,attitude_deg,100ms,endpoint,middle,Sep17,42,1.477970333265709
synchronized,attitude_deg,100ms,endpoint,middle,Sep7,17,1.42508482269609
synchronized,attitude_deg,100ms,endpoint,middle,Sep7,23,1.4679772054374483
synchronized,attitude_deg,100ms,endpoint,middle,Sep7,42,1.4422192248875627
synchronized,attitude_deg,1s,endpoint,ALL,ALL,17,6.762363873076109
synchronized,attitude_deg,1s,endpoint,ALL,ALL,23,6.550789140607412
synchronized,attitude_deg,1s,endpoint,ALL,ALL,42,6.83787593190801
synchronized,attitude_deg,1s,endpoint,ALL,Sep17,17,7.697590685847507
synchronized,attitude_deg,1s,endpoint,ALL,Sep17,23,7.177635056389733
synchronized,attitude_deg,1s,endpoint,ALL,Sep17,42,7.87749294493077
synchronized,attitude_deg,1s,endpoint,ALL,Sep7,17,5.931051150612644
synchronized,attitude_deg,1s,endpoint,ALL,Sep7,23,5.993592771023126
synchronized,attitude_deg,1s,endpoint,ALL,Sep7,42,5.913771920332222
synchronized,attitude_deg,1s,endpoint,high,ALL,17,7.753015552742897
synchronized,attitude_deg,1s,endpoint,high,ALL,23,7.735823755588003
synchronized,attitude_deg,1s,endpoint,high,ALL,42,7.816669296891796
synchronized,attitude_deg,1s,endpoint,high,Sep17,17,8.652557947791454
synchronized,attitude_deg,1s,endpoint,high,Sep17,23,8.489867705670957
synchronized,attitude_deg,1s,endpoint,high,Sep17,42,8.725427730405695
synchronized,attitude_deg,1s,endpoint,high,Sep7,17,6.953422312699734
synchronized,attitude_deg,1s,endpoint,high,Sep7,23,7.0655624666253765
synchronized,attitude_deg,1s,endpoint,high,Sep7,42,7.008884022657221
synchronized,attitude_deg,1s,endpoint,low,ALL,17,5.9107551472003514
synchronized,attitude_deg,1s,endpoint,low,ALL,23,5.650236679580136
synchronized,attitude_deg,1s,endpoint,low,ALL,42,6.012221984104324
synchronized,attitude_deg,1s,endpoint,low,Sep17,17,6.366920476213561
synchronized,attitude_deg,1s,endpoint,low,Sep17,23,5.64232714587994
synchronized,attitude_deg,1s,endpoint,low,Sep17,42,6.560603565348336
